Numero Classe;Tipo_Laurea;Denominazione Classe;Ordinamento Classe;ISCED_F_1dgt;ISCED_F_2dgt;ISCED_F_3dgt;Nome Gruppo Disciplinare;Area Disciplinare;Macro Area Disciplinare;STEAM
L/GASTR;Laurea - dm 270/04;Scienze, culture e politiche della gastronomia;D.M. 270/04;04;041;0419;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM-76;Laurea Magistrale - dm 270/04;Scienze economiche per l'ambiente e la cultura;D.M. 270/04;04;041;0419;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
83/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze economiche per l'ambiente e la cultura;D.M. 509/99;04;041;0419;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM/GASTR;Laurea Magistrale - dm 270/04;Scienze economiche  e sociali della gastronomia;D.M. 270/04;04;041;0419;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
22/S;Laurea Specialistica - dm 509/99;Specialistiche in giurisprudenza;D.M. 509/99;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM/SC-GIUR;Laurea Magistrale - dm 270/04;Scienze Giuridiche;D.M. 270/04;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
31-bis;Corso di Laurea - vecchio ordinamento;Scienze giuridiche - Quinquennale;pre-D.M. 509/99;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
31;Laurea  - dm 509/99;Scienze giuridiche;D.M. 509/99;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
L-14;Laurea - dm 270/04;Scienze dei servizi giuridici;D.M. 270/04;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LMG/01;Laurea Magistrale a Ciclo Unico - dm 270/04;Magistrali in giurisprudenza;D.M. 270/04;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
102/S;Laurea Specialistica - dm 509/99;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;D.M. 509/99;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
02;Laurea  - dm 509/99;Scienze dei servizi giuridici;D.M. 509/99;04;042;0421;Giuridico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
06/S;Laurea Specialistica - dm 509/99;Specialistiche in biologia;D.M. 509/99;05;051;0511;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-06;Laurea Magistrale - dm 270/04;Biologia;D.M. 270/04;05;051;0511;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
12;Laurea  - dm 509/99;Scienze biologiche;D.M. 509/99;05;051;0511;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-13;Laurea - dm 270/04;Scienze biologiche;D.M. 270/04;05;051;0511;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
01;Laurea  - dm 509/99;Biotecnologie;D.M. 509/99;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
09/S;Laurea Specialistica - dm 509/99;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;D.M. 509/99;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-02;Laurea - dm 270/04;Biotecnologie;D.M. 270/04;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
07/S;Laurea Specialistica - dm 509/99;Specialistiche in biotecnologie agrarie;D.M. 509/99;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-09;Laurea Magistrale - dm 270/04;Biotecnologie mediche, veterinarie e farmaceutiche;D.M. 270/04;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-08;Laurea Magistrale - dm 270/04;Biotecnologie industriali;D.M. 270/04;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-07;Laurea Magistrale - dm 270/04;Biotecnologie agrarie;D.M. 270/04;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
08/S;Laurea Specialistica - dm 509/99;Specialistiche in biotecnologie industriali;D.M. 509/99;05;051;0512;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-61;Laurea Magistrale - dm 270/04;Scienze della nutrizione umana;D.M. 270/04;05;051;0519;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
69/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze della nutrizione umana;D.M. 509/99;05;051;0519;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
68/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze della natura;D.M. 509/99;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-75;Laurea Magistrale - dm 270/04;Scienze e tecnologie per l'ambiente e il territorio;D.M. 270/04;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
82/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;D.M. 509/99;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-60;Laurea Magistrale - dm 270/04;Scienze della natura;D.M. 270/04;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
27;Laurea  - dm 509/99;Scienze e tecnologie per l'ambiente e la natura;D.M. 509/99;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-32;Laurea - dm 270/04;Scienze e tecnologie per l'ambiente e la natura;D.M. 270/04;05;052;0521;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
12/S;Laurea Specialistica - dm 509/99;Specialistiche in conservazione e restauro del patrimonio storico-artistico;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
24;Laurea  - dm 509/99;Scienze e tecnologie farmaceutiche;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
81/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze e tecnologie della chimica industriale;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-Sc.Mat.;Laurea - dm 270/04;Scienze dei Materiali;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-54;Laurea Magistrale - dm 270/04;Scienze chimiche;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-71;Laurea Magistrale - dm 270/04;Scienze e tecnologie della chimica industriale;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
41;Laurea  - dm 509/99;Tecnologie per la conservazione e il restauro dei beni culturali;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
62/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze chimiche;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-Sc.Mat.;Laurea Magistrale - dm 270/04;Scienze dei Materiali;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
21;Laurea  - dm 509/99;Scienze e tecnologie chimiche;D.M. 509/99;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-27;Laurea - dm 270/04;Scienze e tecnologie chimiche;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-11;Laurea Magistrale - dm 270/04;Scienze per la conservazione dei beni culturali;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-43;Laurea - dm 270/04;Diagnostica per la conservazione dei beni culturali;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-29;Laurea - dm 270/04;Scienze e tecnologie farmaceutiche;D.M. 270/04;05;053;0531;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-34;Laurea - dm 270/04;Scienze geologiche;D.M. 270/04;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-79;Laurea Magistrale - dm 270/04;Scienze geofisiche;D.M. 270/04;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
16;Laurea  - dm 509/99;Scienze della Terra;D.M. 509/99;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-74;Laurea Magistrale - dm 270/04;Scienze e tecnologie geologiche;D.M. 270/04;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
85/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze geofisiche;D.M. 509/99;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
86/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze geologiche;D.M. 509/99;05;053;0532;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-30;Laurea - dm 270/04;Scienze e tecnologie fisiche;D.M. 270/04;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-58;Laurea Magistrale - dm 270/04;Scienze dell'universo;D.M. 270/04;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
25;Laurea  - dm 509/99;Scienze e tecnologie fisiche;D.M. 509/99;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
20/S;Laurea Specialistica - dm 509/99;Specialistiche in fisica;D.M. 509/99;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
66/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dell'universo;D.M. 509/99;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-17;Laurea Magistrale - dm 270/04;Fisica;D.M. 270/04;05;053;0533;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-28;Laurea - dm 270/04;Scienze e tecnologie della navigazione;D.M. 270/04;05;053;0539;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-72;Laurea Magistrale - dm 270/04;Scienze e tecnologie della navigazione;D.M. 270/04;05;053;0539;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
80/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze e tecnologie dei sistemi di navigazione;D.M. 509/99;05;053;0539;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
22;Laurea  - dm 509/99;Scienze e tecnologie della navigazione marittima e aerea;D.M. 509/99;05;053;0539;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-40;Laurea Magistrale - dm 270/04;Matematica;D.M. 270/04;05;054;0541;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
45/S;Laurea Specialistica - dm 509/99;Specialistiche in matematica;D.M. 509/99;05;054;0541;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-35;Laurea - dm 270/04;Scienze matematiche;D.M. 270/04;05;054;0541;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
32;Laurea  - dm 509/99;Scienze matematiche;D.M. 509/99;05;054;0541;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-82;Laurea Magistrale - dm 270/04;Scienze statistiche;D.M. 270/04;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
L-41;Laurea - dm 270/04;Statistica;D.M. 270/04;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
48/S;Laurea Specialistica - dm 509/99;Specialistiche in metodi per l'analisi valutativa dei sistemi complessi;D.M. 509/99;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-83;Laurea Magistrale - dm 270/04;Scienze statistiche attuariali e finanziarie;D.M. 270/04;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
90/S;Laurea Specialistica - dm 509/99;Specialistiche in statistica demografica e sociale;D.M. 509/99;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
91/S;Laurea Specialistica - dm 509/99;Specialistiche in statistica economica, finanziaria ed attuariale;D.M. 509/99;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
92/S;Laurea Specialistica - dm 509/99;Specialistiche in statistica per la ricerca sperimentale;D.M. 509/99;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
37;Laurea  - dm 509/99;Scienze statistiche;D.M. 509/99;05;054;0542;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
LM-95;Laurea Magistrale - dm 270/04;Classe di abilitazione A059 - Matematica e scienze nella scuola secondaria di I grado;D.M. 270/04;05;058;0588;Scientifico                                                                                                                                                                                                                                               ;STEM;Scientifica;SI
23/S;Laurea Specialistica - dm 509/99;Specialistiche in informatica;D.M. 509/99;06;061;0610;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
LM-18;Laurea Magistrale - dm 270/04;Informatica;D.M. 270/04;06;061;0610;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
26;Laurea  - dm 509/99;Scienze e tecnologie informatiche;D.M. 509/99;06;061;0610;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
L-31;Laurea - dm 270/04;Scienze e tecnologie informatiche;D.M. 270/04;06;061;0610;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
100/S;Laurea Specialistica - dm 509/99;Specialistiche in tecniche e metodi per la societa dell'informazione;D.M. 509/99;06;061;0612;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
LM-66;Laurea Magistrale - dm 270/04;Sicurezza informatica;D.M. 270/04;06;061;0612;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
LM-91;Laurea Magistrale - dm 270/04;Tecniche e metodi per la societa dell'informazione;D.M. 270/04;06;061;0612;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
LM-Data;Laurea Magistrale - dm 270/04;Data Science;D.M. 270/04;06;068;0688;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;STEM;Scientifica;SI
LM-96;Laurea Magistrale - dm 270/04;Classe di abilitazione A033 - Tecnologia;D.M. 270/04;07;071;0710;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
27/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria chimica;D.M. 509/99;07;071;0711;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-22;Laurea Magistrale - dm 270/04;Ingegneria chimica;D.M. 270/04;07;071;0711;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
31/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria elettrica;D.M. 509/99;07;071;0713;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-28;Laurea Magistrale - dm 270/04;Ingegneria elettrica;D.M. 270/04;07;071;0713;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-30;Laurea Magistrale - dm 270/04;Ingegneria energetica e nucleare;D.M. 270/04;07;071;0713;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
33/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria energetica e nucleare;D.M. 509/99;07;071;0713;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
32/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria elettronica;D.M. 509/99;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
35/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria informatica;D.M. 509/99;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
30/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria delle telecomunicazioni;D.M. 509/99;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
09;Laurea  - dm 509/99;Ingegneria dell'informazione;D.M. 509/99;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
29/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria dell'automazione;D.M. 509/99;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-29;Laurea Magistrale - dm 270/04;Ingegneria elettronica;D.M. 270/04;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-25;Laurea Magistrale - dm 270/04;Ingegneria dell'automazione;D.M. 270/04;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-27;Laurea Magistrale - dm 270/04;Ingegneria delle telecomunicazioni;D.M. 270/04;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-32;Laurea Magistrale - dm 270/04;Ingegneria informatica;D.M. 270/04;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
L-08;Laurea - dm 270/04;Ingegneria dell'informazione;D.M. 270/04;07;071;0714;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
36/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria meccanica;D.M. 509/99;07;071;0715;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-33;Laurea Magistrale - dm 270/04;Ingegneria meccanica;D.M. 270/04;07;071;0715;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-34;Laurea Magistrale - dm 270/04;Ingegneria navale;D.M. 270/04;07;071;0716;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
25/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria aerospaziale e astronautica;D.M. 509/99;07;071;0716;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
37/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria navale;D.M. 509/99;07;071;0716;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-20;Laurea Magistrale - dm 270/04;Ingegneria aerospaziale e astronautica;D.M. 270/04;07;071;0716;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
34/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria gestionale;D.M. 509/99;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
L-09;Laurea - dm 270/04;Ingegneria industriale;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-26;Laurea Magistrale - dm 270/04;Ingegneria della sicurezza;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
L-P03;Laurea - dm 270/04;Professioni tecniche industriali e dell’informazione;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
26/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria biomedica;D.M. 509/99;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-31;Laurea Magistrale - dm 270/04;Ingegneria gestionale;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
10;Laurea  - dm 509/99;Ingegneria industriale;D.M. 509/99;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-21;Laurea Magistrale - dm 270/04;Ingegneria biomedica;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-44;Laurea Magistrale - dm 270/04;Modellistica matematico-fisica per l'ingegneria;D.M. 270/04;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
50/S;Laurea Specialistica - dm 509/99;Specialistiche in modellistica matematico-fisica per l'ingegneria;D.M. 509/99;07;071;0719;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-53ante21;Laurea Magistrale - dm 270/04;Scienza e ingegneria dei materiali;D.M. 270/04;07;072;0722;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
LM-53;Laurea Magistrale - dm 270/04;Ingegneria dei materiali;D.M. 270/04;07;072;0722;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
61/S;Laurea Specialistica - dm 509/99;Specialistiche in scienza e ingegneria dei materiali;D.M. 509/99;07;072;0722;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;STEM;Scientifica;SI
L-P01;Laurea - dm 270/04;Professioni tecniche per l'edilizia e il territorio;D.M. 270/04;07;073;0730;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
04/S;Laurea Specialistica - dm 509/99;Specialistiche in architettura e ingegneria edile;D.M. 509/99;07;073;0730;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-04cu;Laurea Magistrale a Ciclo Unico - dm 270/04;Architettura e ingegneria edile-architettura (quinquennale);D.M. 270/04;07;073;0730;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
04/S-cu;Laurea Specialistica a Ciclo Unico - dm 509/99;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;D.M. 509/99;07;073;0730;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-04;Laurea Magistrale - dm 270/04;Architettura e ingegneria edile-architettura;D.M. 270/04;07;073;0730;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-03;Laurea Magistrale - dm 270/04;Architettura del paesaggio;D.M. 270/04;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-10;Laurea Magistrale - dm 270/04;Conservazione dei beni architettonici e ambientali;D.M. 270/04;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
54/S;Laurea Specialistica - dm 509/99;Specialistiche in pianificazione territoriale urbanistica e ambientale;D.M. 509/99;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-48;Laurea Magistrale - dm 270/04;Pianificazione territoriale urbanistica e ambientale;D.M. 270/04;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
03/S;Laurea Specialistica - dm 509/99;Specialistiche in architettura del paesaggio;D.M. 509/99;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
10/S;Laurea Specialistica - dm 509/99;Specialistiche in conservazione dei beni architettonici e ambientali;D.M. 509/99;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
07;Laurea  - dm 509/99;Urbanistica e scienze della pianificazione territoriale e ambientale;D.M. 509/99;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
L-21;Laurea - dm 270/04;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;D.M. 270/04;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
L-17;Laurea - dm 270/04;Scienze dell'architettura;D.M. 270/04;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
04;Laurea  - dm 509/99;Scienze dell'architettura e dell'ingegneria edile;D.M. 509/99;07;073;0731;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-24;Laurea Magistrale - dm 270/04;Ingegneria dei sistemi edilizi;D.M. 270/04;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
L-07;Laurea - dm 270/04;Ingegneria civile e ambientale;D.M. 270/04;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-23;Laurea Magistrale - dm 270/04;Ingegneria civile;D.M. 270/04;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
LM-35;Laurea Magistrale - dm 270/04;Ingegneria per l'ambiente e il territorio;D.M. 270/04;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
L-23;Laurea - dm 270/04;Scienze e tecniche dell'edilizia;D.M. 270/04;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
38/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria per l'ambiente e il territorio;D.M. 509/99;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
08;Laurea  - dm 509/99;Ingegneria civile e ambientale;D.M. 509/99;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
28/S;Laurea Specialistica - dm 509/99;Specialistiche in ingegneria civile;D.M. 509/99;07;073;0732;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;STEM;Scientifica;SI
L-26;Laurea - dm 270/04;Scienze e tecnologie alimentari;D.M. 270/04;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
40;Laurea  - dm 509/99;Scienze e tecnologie zootecniche e delle produzioni animali;D.M. 509/99;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
78/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze e tecnologie agroalimentari;D.M. 509/99;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
LM-86;Laurea Magistrale - dm 270/04;Scienze zootecniche e tecnologie  animali;D.M. 270/04;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
79/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze e tecnologie agrozootecniche;D.M. 509/99;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
L-38;Laurea - dm 270/04;Scienze zootecniche e tecnologie delle produzioni animali;D.M. 270/04;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
LM-70;Laurea Magistrale - dm 270/04;Scienze e tecnologie alimentari;D.M. 270/04;08;081;0811;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Sanitaria e Agro-Veterinaria;Scientifica;
