AnnoA;ClasseNUMERO;SedeR;ResidenzaR;Isc
2024/2025;LM-51;VENETO;MARCHE;100
2024/2025;LM-71;EMILIA ROMAGNA;REGIONE ESTERA;100
2024/2025;LMG/01;LOMBARDIA;FRIULI VENEZIA GIULIA;100
2024/2025;L-11;FRIULI VENEZIA GIULIA;VENETO;100
2024/2025;L-11;VENETO;PIEMONTE;100
2024/2025;L-15;LIGURIA;LIGURIA;100
2024/2025;L-17;VENETO;FRIULI VENEZIA GIULIA;100
2024/2025;LM-13;LOMBARDIA;PUGLIA;100
2024/2025;L-9;CAMPANIA;LAZIO;100
2024/2025;L-9;LIGURIA;LOMBARDIA;100
2024/2025;LM-32;LOMBARDIA;LAZIO;100
2024/2025;LM-31;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;100
2024/2025;LM-35;LOMBARDIA;REGIONE ESTERA;100
2024/2025;L-41;CALABRIA;CALABRIA;100
2024/2025;L-36;FRIULI VENEZIA GIULIA;VENETO;100
2024/2025;L-24;UMBRIA;BASILICATA;100
2024/2025;L-29;EMILIA ROMAGNA;EMILIA ROMAGNA;100
2024/2025;L-33;LOMBARDIA;PUGLIA;100
2023/2024;LM-43;CAMPANIA;CAMPANIA;100
2023/2024;LM-41;BASILICATA;BASILICATA;100
2023/2024;L-9;LIGURIA;LOMBARDIA;100
2023/2024;L-31;PIEMONTE;PUGLIA;100
2023/2024;L-23;EMILIA ROMAGNA;EMILIA ROMAGNA;100
2023/2024;L-22;VENETO;LOMBARDIA;99
2023/2024;L-20;PIEMONTE;SICILIA;99
2023/2024;L-31;PUGLIA;BASILICATA;99
2023/2024;L-36;LAZIO;CALABRIA;99
2023/2024;L-36;LOMBARDIA;VENETO;99
2023/2024;L/SNT1;EMILIA ROMAGNA;LOMBARDIA;99
2023/2024;L/GASTR;EMILIA ROMAGNA;LOMBARDIA;99
2023/2024;L-14;TOSCANA;LOMBARDIA;99
2023/2024;L-5;EMILIA ROMAGNA;TOSCANA;99
2023/2024;LM-13;LAZIO;CAMPANIA;99
2023/2024;LM-12;LAZIO;REGIONE ESTERA;99
2023/2024;L-9;TOSCANA;CALABRIA;99
2023/2024;LM-21;LIGURIA;LIGURIA;99
2023/2024;LM-41;UMBRIA;LOMBARDIA;99
2023/2024;LM-33;EMILIA ROMAGNA;REGIONE ESTERA;99
2023/2024;LM-34;LIGURIA;LIGURIA;99
2024/2025;L-36;Provincia autonoma di TRENTO;LOMBARDIA;99
2024/2025;L-38;ABRUZZO;LAZIO;99
2024/2025;LM-33;PUGLIA;PUGLIA;99
2024/2025;LM-25;LOMBARDIA;REGIONE ESTERA;99
2024/2025;LM-27;LAZIO;REGIONE ESTERA;99
2024/2025;L-9;LAZIO;CALABRIA;99
2024/2025;LM/SNT3;SICILIA;SICILIA;99
2024/2025;LM-13;TOSCANA;LAZIO;99
2024/2025;L-22;EMILIA ROMAGNA;SICILIA;99
2024/2025;L-12;LOMBARDIA;PUGLIA;99
2024/2025;L-13;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;99
2024/2025;L-10;LAZIO;UMBRIA;99
2024/2025;L/SNT4;EMILIA ROMAGNA;EMILIA ROMAGNA;99
2023/2024;LM-63;EMILIA ROMAGNA;EMILIA ROMAGNA;99
2024/2025;LM-Data;SICILIA;SICILIA;99
2024/2025;L-P03;PIEMONTE;PIEMONTE;99
2024/2025;LM-77;EMILIA ROMAGNA;CAMPANIA;99
2024/2025;LM-88;SICILIA;SICILIA;99
2024/2025;LM-53;LOMBARDIA;REGIONE ESTERA;99
2024/2025;LM-59;LOMBARDIA;EMILIA ROMAGNA;99
2024/2025;LM-41;UMBRIA;CAMPANIA;99
2024/2025;LM-48;LOMBARDIA;LOMBARDIA;99
2024/2025;LM-49;TOSCANA;TOSCANA;98
2024/2025;LM-62;TOSCANA;TOSCANA;98
2024/2025;LM-85 bis;MOLISE;ABRUZZO;98
2024/2025;LM-71;LAZIO;LAZIO;98
2024/2025;LM-77;PIEMONTE;LOMBARDIA;98
2023/2024;LM-61;VENETO;REGIONE ESTERA;98
2023/2024;LM-67;MARCHE;MARCHE;98
2023/2024;LM-76;LOMBARDIA;REGIONE ESTERA;98
2023/2024;LM-78;LIGURIA;LIGURIA;98
2023/2024;LMG/01;MARCHE;ABRUZZO;98
2024/2025;L/SNT2;Provincia autonoma di BOLZANO;Provincia autonoma di BOLZANO;98
2024/2025;L-20;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;98
2024/2025;L-20;LOMBARDIA;CAMPANIA;98
2024/2025;L-20;EMILIA ROMAGNA;REGIONE ESTERA;98
2024/2025;L-18;ABRUZZO;PUGLIA;98
2024/2025;L-18;TOSCANA;BASILICATA;98
2024/2025;L-9;LOMBARDIA;LIGURIA;98
2024/2025;L-9;PIEMONTE;VENETO;98
2024/2025;LM-34;LIGURIA;LIGURIA;98
2024/2025;L-5;EMILIA ROMAGNA;VENETO;98
2024/2025;L-32;FRIULI VENEZIA GIULIA;VENETO;98
2023/2024;LM-38;PIEMONTE;PUGLIA;98
2023/2024;LM-59;LOMBARDIA;SICILIA;98
2023/2024;LM-60;PIEMONTE;PIEMONTE;98
2023/2024;LM-18;ABRUZZO;ABRUZZO;98
2023/2024;LM-28;PIEMONTE;PIEMONTE;98
2023/2024;L-8;TOSCANA;PUGLIA;98
2023/2024;L-12;MARCHE;ABRUZZO;98
2023/2024;L-4;VENETO;FRIULI VENEZIA GIULIA;98
2023/2024;L-22;EMILIA ROMAGNA;PUGLIA;98
2023/2024;L-22;MARCHE;PUGLIA;97
2023/2024;L-24;UMBRIA;LOMBARDIA;97
2023/2024;L-26;FRIULI VENEZIA GIULIA;VENETO;97
2023/2024;L-41;CALABRIA;CALABRIA;97
2023/2024;L-11;FRIULI VENEZIA GIULIA;VENETO;97
2023/2024;L-9;EMILIA ROMAGNA;LOMBARDIA;97
2023/2024;L-9;CAMPANIA;LAZIO;97
2023/2024;LM-13;EMILIA ROMAGNA;MARCHE;97
2023/2024;LM-56;MARCHE;MARCHE;97
2023/2024;LM-36;VENETO;VENETO;97
2024/2025;L-31;PUGLIA;BASILICATA;97
2024/2025;L-5;EMILIA ROMAGNA;TOSCANA;97
2024/2025;L-42;SICILIA;SICILIA;97
2024/2025;LM-35;SICILIA;SICILIA;97
2024/2025;LM-31;LOMBARDIA;EMILIA ROMAGNA;97
2024/2025;LM-13;MARCHE;ABRUZZO;97
2024/2025;LM-18;EMILIA ROMAGNA;REGIONE ESTERA;97
2024/2025;L-2;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;97
2024/2025;L/GASTR;MARCHE;MARCHE;97
2024/2025;L/SNT1;BASILICATA;PUGLIA;97
2024/2025;L-11;CAMPANIA;CALABRIA;97
2023/2024;LMG/01;Provincia autonoma di TRENTO;FRIULI VENEZIA GIULIA;97
2024/2025;LM-75;VENETO;VENETO;97
2024/2025;LM-85 bis;LOMBARDIA;VENETO;97
2024/2025;LM-89;ABRUZZO;ABRUZZO;97
2024/2025;LM-6;EMILIA ROMAGNA;PUGLIA;97
2024/2025;LM-51;LOMBARDIA;EMILIA ROMAGNA;97
2024/2025;LM-48;LOMBARDIA;REGIONE ESTERA;97
2024/2025;LM-41;VENETO;EMILIA ROMAGNA;97
2024/2025;LM-41;SICILIA;PIEMONTE;97
2024/2025;LM-6;EMILIA ROMAGNA;LOMBARDIA;96
2024/2025;LM-59;LOMBARDIA;SICILIA;96
2024/2025;LM-77;Provincia autonoma di TRENTO;VENETO;96
2024/2025;LM-77;TOSCANA;SICILIA;96
2024/2025;LMG/01;Provincia autonoma di TRENTO;Provincia autonoma di BOLZANO;96
2024/2025;LMG/01;VENETO;FRIULI VENEZIA GIULIA;96
2024/2025;LM-9;PIEMONTE;LOMBARDIA;96
2023/2024;LM-85 bis;EMILIA ROMAGNA;VENETO;96
2024/2025;L-20;FRIULI VENEZIA GIULIA;VENETO;96
2024/2025;LM-13;MARCHE;SICILIA;96
2024/2025;LM-13;UMBRIA;LAZIO;96
2024/2025;LM-12;LOMBARDIA;EMILIA ROMAGNA;96
2024/2025;LM-32;PUGLIA;PUGLIA;96
2024/2025;LM-27;CALABRIA;CALABRIA;96
2024/2025;LM-24;PUGLIA;PUGLIA;96
2024/2025;L-36;VENETO;Provincia autonoma di TRENTO;96
2023/2024;LM-33;EMILIA ROMAGNA;LOMBARDIA;96
2023/2024;LM-6;EMILIA ROMAGNA;SICILIA;96
2023/2024;LM-52;EMILIA ROMAGNA;REGIONE ESTERA;96
2023/2024;LM-13;TOSCANA;PUGLIA;96
2023/2024;LM-28;PUGLIA;PUGLIA;96
2023/2024;LM-25;LOMBARDIA;REGIONE ESTERA;96
2023/2024;L-1;VENETO;EMILIA ROMAGNA;96
2023/2024;L-2;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;96
2023/2024;L-31;PIEMONTE;SICILIA;96
2023/2024;L-22;SICILIA;REGIONE ESTERA;96
2023/2024;L-20;EMILIA ROMAGNA;SICILIA;96
2023/2024;L-24;VENETO;TOSCANA;95
2023/2024;L-26;MARCHE;MARCHE;95
2023/2024;L-27;EMILIA ROMAGNA;LOMBARDIA;95
2023/2024;L-3;TOSCANA;REGIONE ESTERA;95
2023/2024;L-35;Provincia autonoma di TRENTO;VENETO;95
2023/2024;L-39;LAZIO;PUGLIA;95
2023/2024;LM-24;PUGLIA;PUGLIA;95
2023/2024;LM-27;PUGLIA;PUGLIA;95
2023/2024;LM-30;VENETO;REGIONE ESTERA;95
2023/2024;L-8;PIEMONTE;CAMPANIA;95
2023/2024;LM-4cu;EMILIA ROMAGNA;PUGLIA;95
2023/2024;LM-46;CALABRIA;CALABRIA;95
2023/2024;LM-41;UMBRIA;PUGLIA;95
2023/2024;LM-40;LIGURIA;LIGURIA;95
2024/2025;L-8;UMBRIA;REGIONE ESTERA;95
2024/2025;L-31;PIEMONTE;SICILIA;95
2024/2025;L-33;FRIULI VENEZIA GIULIA;REGIONE ESTERA;95
2024/2025;L-34;TOSCANA;REGIONE ESTERA;95
2024/2025;LM-35;VENETO;REGIONE ESTERA;95
2024/2025;LM-36;VENETO;VENETO;95
2024/2025;L-18;TOSCANA;CAMPANIA;95
2024/2025;L-18;LAZIO;MOLISE;95
2024/2025;L-10;MARCHE;EMILIA ROMAGNA;95
2024/2025;L-13;EMILIA ROMAGNA;SICILIA;95
2023/2024;LMG/01;Provincia autonoma di TRENTO;EMILIA ROMAGNA;95
2023/2024;LMG/01;Provincia autonoma di TRENTO;Provincia autonoma di BOLZANO;95
2023/2024;LMG/01;LOMBARDIA;FRIULI VENEZIA GIULIA;95
2023/2024;LM-77;LAZIO;VENETO;95
2023/2024;LM-77;TOSCANA;CAMPANIA;95
2023/2024;LM-68;MARCHE;MARCHE;95
2023/2024;LM-68;VENETO;VENETO;95
2024/2025;LM-78;CALABRIA;CALABRIA;95
2024/2025;LM-81;VENETO;REGIONE ESTERA;95
2024/2025;LM-75;LAZIO;LAZIO;95
2024/2025;LM-65;LAZIO;CAMPANIA;95
2024/2025;LM-66;VENETO;VENETO;95
2024/2025;LM-41;SICILIA;LAZIO;95
2024/2025;LM-45;LAZIO;LAZIO;95
2024/2025;LM-51;EMILIA ROMAGNA;MARCHE;95
2024/2025;LM-61;VENETO;REGIONE ESTERA;94
2024/2025;LM-51;PIEMONTE;LIGURIA;94
2023/2024;LM-68;TOSCANA;TOSCANA;94
2023/2024;LM-62;ABRUZZO;ABRUZZO;94
2023/2024;LM-78;MARCHE;MARCHE;94
2024/2025;L-11;VENETO;TOSCANA;94
2024/2025;L-2;UMBRIA;TOSCANA;94
2024/2025;LM-12;VENETO;VENETO;94
2024/2025;L-9;TOSCANA;CALABRIA;94
2024/2025;L-31;EMILIA ROMAGNA;MARCHE;94
2024/2025;L-28;SICILIA;SICILIA;94
2024/2025;L-24;VENETO;TOSCANA;94
2024/2025;L-27;EMILIA ROMAGNA;LOMBARDIA;94
2024/2025;L-8;LOMBARDIA;FRIULI VENEZIA GIULIA;94
2024/2025;L-8;EMILIA ROMAGNA;SICILIA;94
2023/2024;LM-37;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;94
2023/2024;LM-53;LOMBARDIA;REGIONE ESTERA;94
2023/2024;L-8;LOMBARDIA;FRIULI VENEZIA GIULIA;94
2023/2024;L-8;PIEMONTE;LAZIO;94
2023/2024;L-5;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;94
2023/2024;LM-19;LAZIO;CAMPANIA;94
2023/2024;L-38;CALABRIA;CALABRIA;94
2023/2024;L-4;LOMBARDIA;PUGLIA;94
2023/2024;L-3;LAZIO;CALABRIA;94
2023/2024;L-10;MOLISE;MOLISE;94
2023/2024;L-10;EMILIA ROMAGNA;CALABRIA;93
2023/2024;L-20;MOLISE;MOLISE;93
2023/2024;L-33;LOMBARDIA;SICILIA;93
2023/2024;L-33;LOMBARDIA;EMILIA ROMAGNA;93
2023/2024;LM-32;LAZIO;REGIONE ESTERA;93
2023/2024;LM-22;TOSCANA;TOSCANA;93
2023/2024;LM-59;LOMBARDIA;EMILIA ROMAGNA;93
2023/2024;LM-32;LOMBARDIA;LAZIO;93
2023/2024;LM-41;LAZIO;LIGURIA;93
2023/2024;LM-43;EMILIA ROMAGNA;EMILIA ROMAGNA;93
2024/2025;LM-13;ABRUZZO;PUGLIA;93
2024/2025;LM-31;LOMBARDIA;VENETO;93
2023/2024;LM-89;ABRUZZO;ABRUZZO;93
2024/2025;LM-51;Provincia autonoma di TRENTO;VENETO;93
2024/2025;LM-6;MARCHE;REGIONE ESTERA;93
2024/2025;LM-68;TOSCANA;TOSCANA;93
2024/2025;LM-67;SICILIA;CALABRIA;93
2024/2025;LM-77;EMILIA ROMAGNA;ABRUZZO;93
2024/2025;LM-70;TOSCANA;TOSCANA;93
2024/2025;LM-81;TOSCANA;REGIONE ESTERA;93
2024/2025;LMG/01;Provincia autonoma di TRENTO;EMILIA ROMAGNA;93
2024/2025;LM-Data;CAMPANIA;REGIONE ESTERA;92
2024/2025;LMG/01;LOMBARDIA;BASILICATA;92
2024/2025;LM-90;VENETO;VENETO;92
2024/2025;LM-77;PUGLIA;BASILICATA;92
2024/2025;LM-77;EMILIA ROMAGNA;CALABRIA;92
2024/2025;LM-77;LAZIO;VENETO;92
2024/2025;LM-6;VENETO;REGIONE ESTERA;92
2024/2025;LM-4cu;EMILIA ROMAGNA;PUGLIA;92
2023/2024;LM-85;LAZIO;CAMPANIA;92
2023/2024;LM-85 bis;UMBRIA;TOSCANA;92
2023/2024;LM-Data;LOMBARDIA;REGIONE ESTERA;92
2023/2024;LM-84;VENETO;REGIONE ESTERA;92
2023/2024;LM-81;PIEMONTE;PIEMONTE;92
2023/2024;LM-62;MARCHE;MARCHE;92
2024/2025;L-20;PIEMONTE;SICILIA;92
2024/2025;L-14;PUGLIA;BASILICATA;92
2024/2025;L-10;VENETO;REGIONE ESTERA;92
2024/2025;LM-37;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;92
2024/2025;LM-33;PIEMONTE;REGIONE ESTERA;92
2024/2025;LM-23;CAMPANIA;REGIONE ESTERA;92
2024/2025;LM-21;EMILIA ROMAGNA;EMILIA ROMAGNA;92
2024/2025;LM-13;EMILIA ROMAGNA;MARCHE;92
2024/2025;L-9;PIEMONTE;VALLE D'AOSTA;92
2024/2025;L-9;EMILIA ROMAGNA;MOLISE;92
2024/2025;LM-19;LIGURIA;LIGURIA;92
2024/2025;L-36;LAZIO;CALABRIA;92
2024/2025;L-39;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;92
2024/2025;L-33;LOMBARDIA;SICILIA;92
2023/2024;LM-41;SICILIA;PIEMONTE;92
2023/2024;LM-41;VENETO;SICILIA;92
2023/2024;LM-41;EMILIA ROMAGNA;BASILICATA;92
2023/2024;LM-46;EMILIA ROMAGNA;VENETO;92
2023/2024;LM-49;TOSCANA;TOSCANA;92
2023/2024;LM-51;LOMBARDIA;PUGLIA;92
2023/2024;LM-31;LOMBARDIA;LAZIO;92
2023/2024;LM-21;CALABRIA;CALABRIA;92
2023/2024;LM-15;VENETO;VENETO;92
2023/2024;L-9;EMILIA ROMAGNA;CAMPANIA;92
2023/2024;LM-12;LOMBARDIA;EMILIA ROMAGNA;92
2023/2024;L-36;TOSCANA;LIGURIA;92
2023/2024;L-24;VALLE D'AOSTA;VALLE D'AOSTA;92
2023/2024;L-24;UMBRIA;BASILICATA;92
2023/2024;L-11;CAMPANIA;BASILICATA;92
2023/2024;L-18;EMILIA ROMAGNA;LIGURIA;92
2023/2024;L-12;PIEMONTE;PUGLIA;92
2023/2024;L-11;VENETO;PUGLIA;91
2023/2024;L-18;LAZIO;MOLISE;91
2023/2024;L-18;PIEMONTE;PUGLIA;91
2023/2024;L-20;LOMBARDIA;CALABRIA;91
2023/2024;L-41;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;91
2023/2024;L-36;Provincia autonoma di TRENTO;LOMBARDIA;91
2023/2024;LM-13;LOMBARDIA;SICILIA;91
2023/2024;L-9;VENETO;Provincia autonoma di TRENTO;91
2023/2024;L-8;TOSCANA;CALABRIA;91
2023/2024;LM-3;LAZIO;REGIONE ESTERA;91
2023/2024;LM-28;EMILIA ROMAGNA;EMILIA ROMAGNA;91
2023/2024;LM-25;LOMBARDIA;REGIONE ESTERA;91
2023/2024;LM-51;LOMBARDIA;SICILIA;91
2023/2024;LM-59;LOMBARDIA;VENETO;91
2023/2024;LM-59;LAZIO;CAMPANIA;91
2023/2024;LM-55;Provincia autonoma di TRENTO;REGIONE ESTERA;91
2023/2024;LM-41;SICILIA;LAZIO;91
2023/2024;LM-32;LOMBARDIA;VENETO;91
2023/2024;LM-32;PUGLIA;PUGLIA;91
2024/2025;L-26;MARCHE;MARCHE;91
2024/2025;L-36;TOSCANA;LIGURIA;91
2024/2025;L-8;LOMBARDIA;PIEMONTE;91
2024/2025;L-5;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;91
2024/2025;LM-33;TOSCANA;REGIONE ESTERA;91
2024/2025;L-11;VENETO;Provincia autonoma di TRENTO;91
2024/2025;L-12;LOMBARDIA;REGIONE ESTERA;91
2024/2025;L/SNT3;LOMBARDIA;PIEMONTE;91
2024/2025;L-18;PIEMONTE;PUGLIA;91
2023/2024;LM-61;VENETO;VENETO;91
2023/2024;LM-77;VENETO;FRIULI VENEZIA GIULIA;91
2023/2024;LM-78;CALABRIA;CALABRIA;91
2023/2024;LM-77;MARCHE;EMILIA ROMAGNA;91
2023/2024;LM-77;MOLISE;MOLISE;91
2023/2024;LM-88;TOSCANA;TOSCANA;91
2024/2025;LM-50;VENETO;FRIULI VENEZIA GIULIA;91
2024/2025;LM-41;TOSCANA;BASILICATA;91
2024/2025;LM-53;CAMPANIA;CAMPANIA;91
2024/2025;LM-77;LAZIO;BASILICATA;91
2024/2025;LM-70;PIEMONTE;PIEMONTE;91
2024/2025;LM-84;CALABRIA;CALABRIA;91
2024/2025;LM-89;LAZIO;REGIONE ESTERA;90
2024/2025;LM-78;MARCHE;MARCHE;90
2024/2025;LM-92;LIGURIA;LIGURIA;90
2024/2025;LMG/01;MARCHE;ABRUZZO;90
2024/2025;LM-63;EMILIA ROMAGNA;EMILIA ROMAGNA;90
2023/2024;LM-85 bis;MARCHE;PUGLIA;90
2023/2024;LM-81;EMILIA ROMAGNA;EMILIA ROMAGNA;90
2023/2024;LM-65;LAZIO;CAMPANIA;90
2024/2025;L/SNT3;LAZIO;PUGLIA;90
2024/2025;L-1;BASILICATA;BASILICATA;90
2024/2025;LM-32;LOMBARDIA;VENETO;90
2024/2025;LM-33;EMILIA ROMAGNA;MARCHE;90
2024/2025;L-9;EMILIA ROMAGNA;CAMPANIA;90
2024/2025;L-4;SARDEGNA;SARDEGNA;90
2024/2025;L-40;Provincia autonoma di TRENTO;VENETO;90
2024/2025;L-31;EMILIA ROMAGNA;REGIONE ESTERA;90
2023/2024;LM-33;EMILIA ROMAGNA;MARCHE;90
2023/2024;LM-41;CAMPANIA;CALABRIA;90
2023/2024;LM-19;LIGURIA;LIGURIA;90
2023/2024;L-9;EMILIA ROMAGNA;LAZIO;90
2023/2024;L-9;PIEMONTE;TOSCANA;90
2023/2024;L-34;CALABRIA;CALABRIA;90
2023/2024;L-12;PUGLIA;BASILICATA;90
2023/2024;L/SNT3;LOMBARDIA;PIEMONTE;90
2023/2024;L/SNT1;LAZIO;BASILICATA;90
2023/2024;L/SNT2;LAZIO;CAMPANIA;89
2023/2024;L-10;FRIULI VENEZIA GIULIA;VENETO;89
2023/2024;L-42;SICILIA;SICILIA;89
2023/2024;L-39;Provincia autonoma di TRENTO;Provincia autonoma di TRENTO;89
2023/2024;L-20;PIEMONTE;PUGLIA;89
2023/2024;L-3;LOMBARDIA;PIEMONTE;89
2023/2024;L-3;EMILIA ROMAGNA;PUGLIA;89
2023/2024;L-9;LAZIO;SICILIA;89
2023/2024;L-8;TOSCANA;LAZIO;89
2023/2024;L-8;PIEMONTE;LOMBARDIA;89
2023/2024;LM-2;PUGLIA;PUGLIA;89
2023/2024;LM-41;SARDEGNA;PIEMONTE;89
2023/2024;LM-46;ABRUZZO;PUGLIA;89
2023/2024;LM-45;LAZIO;LAZIO;89
2023/2024;LM-56;TOSCANA;REGIONE ESTERA;89
2023/2024;LM-58;LAZIO;LAZIO;89
2023/2024;LM-4cu;TOSCANA;REGIONE ESTERA;89
2024/2025;L-33;LAZIO;UMBRIA;89
2024/2025;L-9;ABRUZZO;LAZIO;89
2024/2025;L-8;PIEMONTE;LAZIO;89
2024/2025;L-9;EMILIA ROMAGNA;LAZIO;89
2024/2025;L-9;PIEMONTE;EMILIA ROMAGNA;89
2024/2025;LM/SNT3;PUGLIA;PUGLIA;89
2024/2025;LM-30;EMILIA ROMAGNA;EMILIA ROMAGNA;89
2024/2025;L-12;LOMBARDIA;SICILIA;89
2024/2025;L-14;ABRUZZO;LOMBARDIA;89
2024/2025;L-22;ABRUZZO;LAZIO;89
2024/2025;L-22;PUGLIA;BASILICATA;89
2023/2024;LM-85 bis;VENETO;LOMBARDIA;89
2024/2025;LM-61;MARCHE;MARCHE;89
2024/2025;LM-53;LAZIO;LAZIO;89
2024/2025;LM-52;LAZIO;CAMPANIA;89
2024/2025;LM-51;LOMBARDIA;PUGLIA;89
2024/2025;LM-49;TOSCANA;REGIONE ESTERA;89
2024/2025;L-P01;VENETO;VENETO;89
2024/2025;LM-77;VENETO;LOMBARDIA;89
2024/2025;LM-85 bis;VENETO;LOMBARDIA;88
2024/2025;LM-87;LIGURIA;LIGURIA;88
2024/2025;LM-85 bis;LIGURIA;PIEMONTE;88
2024/2025;LMG/01;PIEMONTE;LIGURIA;88
2024/2025;LM-46;ABRUZZO;LAZIO;88
2024/2025;LM-41;LAZIO;LIGURIA;88
2024/2025;LM-41;CAMPANIA;CALABRIA;88
2024/2025;LM-38;PUGLIA;PUGLIA;88
2024/2025;LM-55;Provincia autonoma di TRENTO;REGIONE ESTERA;88
2023/2024;LM-67;SICILIA;CALABRIA;88
2023/2024;LM-77;LOMBARDIA;FRIULI VENEZIA GIULIA;88
2023/2024;LM-77;VENETO;LOMBARDIA;88
2024/2025;L-2;FRIULI VENEZIA GIULIA;VENETO;88
2024/2025;L-9;UMBRIA;REGIONE ESTERA;88
2024/2025;LM-2;PUGLIA;PUGLIA;88
2024/2025;L-38;MARCHE;MARCHE;88
2024/2025;L-35;Provincia autonoma di TRENTO;VENETO;88
2023/2024;LM-4cu;EMILIA ROMAGNA;VENETO;88
2023/2024;LM-51;EMILIA ROMAGNA;LOMBARDIA;88
2023/2024;LM-51;VENETO;MARCHE;88
2023/2024;LM-46;ABRUZZO;LAZIO;88
2023/2024;LM-41;ABRUZZO;LOMBARDIA;88
2023/2024;LM-19;SARDEGNA;SARDEGNA;88
2023/2024;LM-21;EMILIA ROMAGNA;EMILIA ROMAGNA;88
2023/2024;LM-32;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;88
2023/2024;L-9;LOMBARDIA;REGIONE ESTERA;88
2023/2024;L-9;MOLISE;MOLISE;88
2023/2024;LM-14;EMILIA ROMAGNA;LOMBARDIA;88
2023/2024;L-3;LAZIO;UMBRIA;88
2023/2024;L-28;SICILIA;SICILIA;88
2023/2024;L-36;EMILIA ROMAGNA;ABRUZZO;88
2023/2024;L-11;MARCHE;ABRUZZO;88
2023/2024;L-2;FRIULI VENEZIA GIULIA;VENETO;88
2023/2024;L-2;ABRUZZO;LAZIO;87
2023/2024;L/SNT1;VENETO;LOMBARDIA;87
2023/2024;L-10;TOSCANA;CALABRIA;87
2023/2024;L-4;LOMBARDIA;SICILIA;87
2023/2024;L-3;LAZIO;TOSCANA;87
2023/2024;L-20;TOSCANA;LIGURIA;87
2023/2024;L-24;LAZIO;TOSCANA;87
2023/2024;LM-12;PIEMONTE;PIEMONTE;87
2023/2024;LM-13;ABRUZZO;MOLISE;87
2023/2024;LM-33;PIEMONTE;CAMPANIA;87
2023/2024;LM-37;UMBRIA;UMBRIA;87
2023/2024;LM-4;EMILIA ROMAGNA;EMILIA ROMAGNA;87
2023/2024;LM-4;MARCHE;MARCHE;87
2023/2024;LM-59;LOMBARDIA;PUGLIA;87
2023/2024;LM-52;UMBRIA;UMBRIA;87
2024/2025;L-31;Provincia autonoma di TRENTO;LOMBARDIA;87
2024/2025;L-8;PIEMONTE;CAMPANIA;87
2024/2025;L-5;EMILIA ROMAGNA;MARCHE;87
2024/2025;L-41;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;87
2024/2025;L-9;VENETO;EMILIA ROMAGNA;87
2024/2025;L-9;VENETO;Provincia autonoma di TRENTO;87
2024/2025;LM-21;LIGURIA;LIGURIA;87
2024/2025;LM-31;ABRUZZO;ABRUZZO;87
2024/2025;L-20;EMILIA ROMAGNA;SICILIA;87
2024/2025;L-20;TOSCANA;REGIONE ESTERA;87
2024/2025;L-18;TOSCANA;EMILIA ROMAGNA;87
2024/2025;L-18;EMILIA ROMAGNA;CAMPANIA;87
2024/2025;L-14;ABRUZZO;TOSCANA;87
2024/2025;L-12;VENETO;EMILIA ROMAGNA;87
2024/2025;L-11;LAZIO;ABRUZZO;87
2024/2025;L-10;EMILIA ROMAGNA;ABRUZZO;87
2023/2024;LM-77;LAZIO;BASILICATA;87
2023/2024;LMG/01;EMILIA ROMAGNA;MOLISE;87
2023/2024;LM-92;LAZIO;LAZIO;87
2023/2024;LMG/01;PIEMONTE;VALLE D'AOSTA;87
2024/2025;LM-63;LIGURIA;LIGURIA;87
2024/2025;LM-41;PUGLIA;CALABRIA;87
2024/2025;LM-46;ABRUZZO;PUGLIA;87
2024/2025;LMG/01;PIEMONTE;VALLE D'AOSTA;87
2024/2025;LMG/01;Provincia autonoma di TRENTO;MARCHE;87
2024/2025;LM-87;MARCHE;MARCHE;87
2024/2025;LM-89;VENETO;LOMBARDIA;87
2024/2025;LM-62;ABRUZZO;ABRUZZO;86
2023/2024;LMG/01;Provincia autonoma di TRENTO;MARCHE;86
2023/2024;LM-91;PIEMONTE;PIEMONTE;86
2023/2024;LM-93;EMILIA ROMAGNA;VENETO;86
2023/2024;LM-85 bis;MOLISE;ABRUZZO;86
2023/2024;LM-89;VENETO;LOMBARDIA;86
2023/2024;LM-75;LAZIO;LAZIO;86
2023/2024;LM-81;EMILIA ROMAGNA;REGIONE ESTERA;86
2023/2024;LM-81;PIEMONTE;REGIONE ESTERA;86
2023/2024;LM-82;PIEMONTE;PIEMONTE;86
2023/2024;LM-63;TOSCANA;TOSCANA;86
2023/2024;LM-62;TOSCANA;TOSCANA;86
2024/2025;L/SNT4;PIEMONTE;PIEMONTE;86
