AnnoA;ClasseNOME;ClasseNUMERO;SESSO;Isc_D
2023/2024;Scienze dell'economia;LM-56;F;1027
2023/2024;Scienze e tecnologie zootecniche e delle produzioni animali;L-38;F;1
2023/2024;Medicina veterinaria;LM-42;F;172
2023/2024;Scienze dell'universo;LM-58;F;20
2023/2024;Specialistiche in lingue straniere per la comunicazione internazionale;LM-38;F;1
2023/2024;Scienze e tecnologie farmaceutiche;L-29;M;46
2023/2024;Servizio sociale e politiche sociali;LM-87;M;9
2023/2024;Ingegneria dei materiali;LM-53;M;173
2023/2024;Scienze della politica;LM-62;F;273
2023/2024;Storia;L-42;F;362
2023/2024;Lingue moderne per la comunicazione e la cooperazione internazionale;LM-38;F;272
2023/2024;Classe non definita;LM-37;M;2
2023/2024;Scienze dello spettacolo e produzione multimediale;LM-65;M;94
2023/2024;Classe non definita;LM-6;F;8
2023/2024;Archeologia;LM-2;F;233
2023/2024;Classe non definita;LM-84;F;2
2023/2024;Ingegneria civile e ambientale;L-7;F;334
2023/2024;Scienze e tecnologie per l'ambiente e la natura;L-32;F;110
2023/2024;Scienze economiche;L-33;F;1517
2023/2024;Psicologia;LM-51;F;1007
2023/2024;Servizio sociale;L-39;F;162
2023/2024;Scienze matematiche;L-35;M;154
2023/2024;Classe non definita;LM-82;F;2
2023/2024;Classe non definita;LM-41;F;56
2023/2024;Scienze dell'architettura e dell'ingegneria edile;L-17/L-23;M;3
2023/2024;Scienze zootecniche e tecnologie  animali;LM-86;M;30
2023/2024;Scienze geologiche;L-34;M;104
2023/2024;Finanza;LM-16;M;306
2023/2024;Professioni tecniche per l'edilizia e il territorio;L-P01;F;3
2023/2024;Scienze dell'architettura;L-17;M;453
2023/2024;Scienze infermieristiche e ostetriche;LM/SNT1;M;4
2023/2024;Ingegneria delle telecomunicazioni;LM-27;M;663
2023/2024;Specialistiche in lingua e cultura italiana;LM-14;F;1
2023/2024;Scienze della difesa e della sicurezza;L/DS;F;9
2023/2024;Scienze e tecnologie alimentari;L-26;F;109
2023/2024;Conservazione e restauro dei beni culturali;LMR/02;F;15
2023/2024;Scienze biologiche;L-13;F;319
2023/2024;Specialistiche in medicina e chirurgia;LM-41;F;98
2023/2024;Scienze e tecnologie della chimica industriale;LM-71;F;145
2023/2024;Scienze storiche;LM-84;M;100
2023/2024;Programmazione e gestione dei servizi educativi;LM-50;M;5
2023/2024;Scienze e tecniche dello sport;LM-68;M;85
2023/2024;Scienze e tecnologie alimentari;LM-70;M;138
2023/2024;Antropologia culturale ed etnologia;LM-1;F;52
2023/2024;Ingegneria civile;LM-23;F;305
2023/2024;Filosofia;L-5;F;162
2023/2024;Lettere;L-10;F;393
2023/2024;Scienze per la conservazione dei beni culturali;LM-11;M;19
2023/2024;Sicurezza informatica;LM-66;M;77
2023/2024;Specialistiche in geografia;LM-80;M;1
2023/2024;Architettura del paesaggio;LM-3;M;123
2023/2024;Specialistiche in medicina veterinaria;LM-42;F;5
2023/2024;Scienze economiche  e sociali della gastronomia;LM/GASTR;M;2
2023/2024;Scienze geofisiche;LM-79;M;83
2023/2024;Scienze e tecnologie geologiche;LM-74;M;84
2023/2024;Ingegneria industriale;L-9;M;2058
2023/2024;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;M;1
2023/2024;Ingegneria dell'informazione;L-8;M;2234
2023/2024;Ingegneria gestionale;LM-31;M;755
2023/2024;Scienze della difesa e della sicurezza;LM/DS;M;147
2023/2024;Scienze Giuridiche;LM/SC-GIUR;F;203
2023/2024;Geografia;L-6;M;6
2023/2024;Scienze della comunicazione;L-20;F;842
2023/2024;Magistrali in giurisprudenza;LMG/01;F;798
2023/2024;Scienze della nutrizione umana;LM-61;F;198
2023/2024;Ingegneria navale;LM-34;F;1
2023/2024;Ingegneria per l'ambiente e il territorio;LM-35;F;352
2023/2024;Specialistiche in scienze dell'economia;LM-56;M;1
2023/2024;Ingegneria dei sistemi edilizi;LM-24;F;335
2023/2024;Scienze, culture e politiche della gastronomia;L/GASTR;F;64
2023/2024;Archivistica e biblioteconomia;LM-5;M;2
2023/2024;Classe non definita;LM-13;F;6
2023/2024;Classe non definita;LM-52;M;4
2023/2024;Scienze delle attività motorie e sportive;L-22;M;258
2023/2024;Scienza e ingegneria dei materiali;LM-53;M;162
2023/2024;Scienze e tecnologie agrarie;LM-69;M;116
2023/2024;Metodologie informatiche per le discipline umanistiche;LM-43;M;34
2023/2024;Classe non definita;LM-56;M;2
2023/2024;Ingegneria biomedica;LM-21;F;159
2023/2024;Teorie della comunicazione;LM-92;F;269
2023/2024;Matematica;LM-40;F;69
2023/2024;Ingegneria meccanica;LM-33;F;173
2023/2024;Filologia moderna;LM-14;F;264
2023/2024;Scienze dell'amministrazione e dell'organizzazione;L-16;F;208
2023/2024;Classe non definita;LM-85;F;2
2023/2024;Ingegneria elettrica;LM-28;M;404
2023/2024;Scienze e tecnologie fisiche;L-30;M;115
2023/2024;Ingegneria elettronica;LM-29;M;589
2023/2024;Architettura e ingegneria edile-architettura;LM-4;M;978
2023/2024;Scienze del turismo;L-15;F;263
2023/2024;Fisica;LM-17;F;227
2023/2024;Statistica;L-41;F;197
2023/2024;Professioni sanitarie della riabilitazione;L/SNT2;M;62
2023/2024;Teorie e metodologie dell'e-learning e della media education;LM-93;F;5
2023/2024;Specialistiche in medicina veterinaria;LM-42;M;2
2023/2024;Scienze delle professioni sanitarie tecniche;LM/SNT3;F;4
2023/2024;Filosofia;L-5;M;129
2023/2024;Scienze della Formazione Primaria - Quadriennale;LM-85 bis;F;2
2023/2024;Ingegneria civile;LM-23;M;891
2023/2024;Ingegneria elettrica;LM-28;F;94
2023/2024;Lingue e culture moderne;L-11;M;706
2023/2024;Sociologia e ricerca sociale;LM-88;F;51
2023/2024;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;F;12
2023/2024;Scienze della formazione primaria;LM-85 bis;F;105
2023/2024;Scienze dell'educazione degli adulti e della formazione continua;LM-57;M;4
2023/2024;Ingegneria energetica e nucleare;LM-30;M;576
2023/2024;Scienze della difesa e della sicurezza;LM/DS;F;77
2023/2024;Specialistiche in storia dell'arte;LM-89;F;1
2023/2024;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;F;1
2023/2024;Scienze per la cooperazione allo sviluppo;LM-81;F;540
2023/2024;Geografia;L-6;F;11
2023/2024;Storia dell'arte;LM-89;F;241
2023/2024;Ingegneria gestionale;LM-31;F;512
2023/2024;Scienze dell'educazione e della formazione;L-19;M;80
2023/2024;Biotecnologie agrarie;LM-7;F;54
2023/2024;Scienze Giuridiche;LM/SC-GIUR;M;104
2023/2024;Scienze delle attività motorie e sportive;L-22;F;102
2023/2024;Diagnostica per la conservazione dei beni culturali;L-43;M;3
2023/2024;Scienze della comunicazione pubblica, d'impresa e pubblicità;LM-59;F;310
2023/2024;Teorie della comunicazione;LM-92;M;67
2023/2024;Professioni sanitarie della prevenzione;L/SNT4;M;1
2023/2024;Matematica;LM-40;M;97
2023/2024;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;24
2023/2024;Scienze del turismo;L-15;M;155
2023/2024;Scienze, culture e politiche della gastronomia;L/GASTR;M;45
2023/2024;Scienze chimiche;LM-54;M;102
2023/2024;Biotecnologie;L-2;M;158
2023/2024;Scienze e tecnologie geologiche;LM-74;F;68
2023/2024;Scienza e ingegneria dei materiali;LM-53;F;119
2023/2024;Sociologia;L-40;M;37
2023/2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;496
2023/2024;Informatica;LM-18;M;734
2023/2024;Antropologia culturale ed etnologia;LM-1;M;15
2023/2024;Informazione e sistemi editoriali;LM-19;M;13
2023/2024;Scienze e tecnologie della navigazione;L-28;F;5
2023/2024;Scienze e tecniche psicologiche;L-24;M;283
2023/2024;Odontoiatria e protesi dentaria;LM-46;M;248
2023/2024;Biologia;LM-6;M;299
2023/2024;Scienze e tecnologie agrarie, agroalimentari e forestali;L-25/L-26;M;1
2023/2024;Tecnologie per la conservazione e il restauro dei beni culturali;L-43;F;1
2023/2024;Scienze dell'economia e della gestione aziendale;L-18;M;3089
2023/2024;Scienze del servizio sociale;L-39;F;3
2023/2024;Medicina e chirurgia;LM-41;M;2998
2023/2024;Scienze e tecnologie forestali ed ambientali;LM-73;F;102
2023/2024;Ingegneria chimica;LM-22;M;248
2023/2024;Progettazione e gestione dei sistemi turistici;LM-49;F;701
2023/2024;Scienze filosofiche;LM-78;M;75
2023/2024;Specialistiche in odontoiatria e protesi dentaria;LM-46;F;2
2023/2024;Professioni tecniche agrarie, alimentari e forestali;L-P02;M;29
2023/2024;Traduzione specialistica e interpretariato;LM-94;M;12
2023/2024;Scienze politiche e delle relazioni internazionali;L-36;M;906
2023/2024;Scienze economico-aziendali;LM-77;M;1432
2023/2024;Beni culturali;L-1;M;146
2023/2024;Scienze e tecnologie informatiche;L-31;F;678
2023/2024;Scienze e tecnologie della navigazione;LM-72;M;1
2023/2024;Classe non definita;LM-17;M;2
2023/2024;Professioni tecniche industriali e dell’informazione;L-P03;F;2
2023/2024;Scienze dei Materiali;LM-Sc.Mat.;M;44
2023/2024;Scienze e tecnologie agrarie e forestali;L-25;F;125
2023/2024;Scienze pedagogiche;LM-85;M;11
2023/2024;Specialistiche in farmacia e farmacia industriale;LM-13;F;54
2023/2024;Pianificazione territoriale urbanistica e ambientale;LM-48;M;166
2023/2024;Farmacia e farmacia industriale;LM-13;M;560
2023/2024;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;F;686
2023/2024;Tecniche e metodi per la societa dell'informazione;LM-91;F;302
2023/2024;Lingue e letterature moderne europee e americane;LM-37;M;140
2023/2024;Specialistiche in scienze economico-aziendali;LM-77;F;1
2023/2024;Ingegneria dell'informazione;L-8;F;899
2023/2024;Data Science;LM-Data;M;280
2023/2024;Scienze statistiche;LM-82;M;75
2023/2024;Servizio sociale e politiche sociali;LM-87;F;62
2023/2024;Scienze delle pubbliche amministrazioni;LM-63;M;31
2023/2024;Scienze e tecnologie agrarie;LM-69;F;147
2023/2024;Classe non definita;LM-29;M;2
2023/2024;Biotecnologie industriali;LM-8;M;101
2023/2024;Scienze economiche per l'ambiente e la cultura;LM-76;M;75
2023/2024;Disegno industriale;L-4;M;246
2023/2024;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;34
2023/2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;250
2023/2024;Scienze matematiche;L-35;F;93
2023/2024;Scienze dei Materiali;L-Sc.Mat.;M;2
2023/2024;Ingegneria dell'automazione;LM-25;M;483
2023/2024;Ingegneria elettronica;LM-29;F;165
2023/2024;Scienze e tecnologie per l'ambiente e il territorio;LM-75;M;86
2023/2024;Scienze delle religioni;LM-64;F;8
2023/2024;Classe non definita;LM-31;M;2
2023/2024;Scienze e tecniche delle attività motorie preventive e adattate;LM-67;F;37
2023/2024;Ingegneria informatica;LM-32;F;491
2023/2024;Scienze della natura;LM-60;M;36
2023/2024;Architettura e ingegneria edile-architettura;LM-4;F;1979
2023/2024;Ingegneria aerospaziale e astronautica;LM-20;M;273
2023/2024;Scienze e tecniche dell'edilizia;L-23;M;258
2023/2024;Biotecnologie agrarie;LM-7;M;47
2023/2024;Scienze geofisiche;LM-79;F;40
2023/2024;Scienze dei Materiali;LM-Sc.Mat.;F;44
2023/2024;Scienze statistiche attuariali e finanziarie;LM-83;M;15
2023/2024;Ingegneria chimica;LM-22;F;166
2023/2024;Biotecnologie;L-2;F;323
2023/2024;Scienze economiche  e sociali della gastronomia;LM/GASTR;F;3
2023/2024;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;71
2023/2024;Classe non definita;LM-18;F;2
2023/2024;Ingegneria della sicurezza;LM-26;F;59
2023/2024;Architettura del paesaggio;LM-3;F;309
2023/2024;Scienze dei beni culturali;L-1;M;1
2023/2024;Classe non definita;LM-52;F;6
2023/2024;Scienze statistiche;LM-82;F;70
2023/2024;Archivistica e biblioteconomia;LM-5;F;5
2023/2024;Scienze della comunicazione;L-20;M;390
2023/2024;Scienze pedagogiche;LM-85;F;117
2023/2024;Medicina e chirurgia;LM-41;F;3875
2023/2024;Specialistiche in matematica;LM-40;F;1
2023/2024;Sicurezza informatica;LM-66;F;35
2023/2024;Scienze filosofiche;LM-78;F;45
2023/2024;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;M;345
2023/2024;Classe non definita;LM-13;M;4
2023/2024;Disegno industriale;L-4;F;438
2023/2024;Ingegneria energetica e nucleare;LM-30;F;170
2023/2024;Pianificazione territoriale urbanistica e ambientale;LM-48;F;279
2023/2024;Specialistiche in farmacia e farmacia industriale;LM-13;M;26
2023/2024;Scienze geografiche;LM-80;M;25
2023/2024;Ingegneria industriale;L-9;F;694
2023/2024;Ingegneria per l'ambiente e il territorio;LM-35;M;623
2023/2024;Metodologie informatiche per le discipline umanistiche;LM-43;F;90
2023/2024;Mediazione linguistica;L-12;M;299
2023/2024;Ingegneria dei sistemi edilizi;LM-24;M;395
2023/2024;Scienze dei Materiali;L-Sc.Mat.;F;2
2023/2024;Specialistiche in informatica;LM-18;M;1
2023/2024;Scienze politiche e delle relazioni internazionali;L-36;F;1327
2023/2024;Specialistiche in ingegneria civile;LM-23;M;1
2023/2024;Professioni tecniche agrarie, alimentari e forestali;L-P02;F;11
2023/2024;Scienze della nutrizione umana;LM-61;M;55
2023/2024;Fisica;LM-17;M;382
2023/2024;Scienze e tecniche psicologiche;L-24;F;1224
2023/2024;Ingegneria dell'automazione;LM-25;F;133
2023/2024;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;44
2023/2024;Scienze per la conservazione dei beni culturali;LM-11;F;73
2023/2024;Professioni sanitarie della riabilitazione;L/SNT2;F;128
2023/2024;Scienze e tecnologie fisiche;L-30;F;89
2023/2024;Scienze dell'architettura e dell'ingegneria edile;L-17/L-23;F;1
2023/2024;Informatica;LM-18;F;345
2023/2024;Specialistiche in architettura e ingegneria edile;LM-4;F;2
2023/2024;Classe non definita;LM-23;M;6
2023/2024;Sociologia;L-40;F;52
2023/2024;Classe non definita;LM-46;F;2
2023/2024;Psicologia;LM-51;M;220
2023/2024;Ingegneria dei materiali;LM-53;F;123
2023/2024;Lingue moderne per la comunicazione e la cooperazione internazionale;LM-38;M;51
2023/2024;Scienze economico-aziendali;LM-77;F;2124
2023/2024;Professioni sanitarie tecniche;L/SNT3;F;149
2023/2024;Lingue e culture moderne;L-11;F;1405
2023/2024;Studi europei;LM-90;M;379
2023/2024;Classe non definita;LM-60;F;2
2023/2024;Scienze e tecnologie farmaceutiche;L-29;F;119
2023/2024;Scienze dell'architettura;L-17;F;740
2023/2024;Scienze economiche;L-33;M;1595
2023/2024;Professioni tecniche per l'edilizia e il territorio;L-P01;M;4
2023/2024;Scienze giuridiche;L-14;M;2
2023/2024;Scienze zootecniche e tecnologie  animali;LM-86;F;38
2023/2024;Classe non definita;LM-77;M;4
2023/2024;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;378
2023/2024;Filologia, letterature e storia dell'antichità;LM-15;F;12
2023/2024;Design;LM-12;M;332
2023/2024;Linguistica;LM-39;F;431
2023/2024;Modellistica matematico-fisica per l'ingegneria;LM-44;F;122
2023/2024;Classe non definita;LM-6;M;2
2023/2024;Scienze chimiche;LM-54;F;145
2023/2024;Scienze riabilitative delle professioni sanitarie;LM/SNT2;F;4
2023/2024;Scienze della mediazione linguistica;L-12;F;5
2023/2024;Classe non definita;LM-41;M;50
2023/2024;Diagnostica per la conservazione dei beni culturali;L-43;F;23
2023/2024;Relazioni internazionali;LM-52;F;729
2023/2024;Scienze e tecnologie alimentari;L-26;M;48
2023/2024;Scienze cognitive;LM-55;M;100
2023/2024;Scienze dell'economia e della gestione aziendale;L-18;F;3051
2023/2024;Scienze e tecnologie della chimica industriale;LM-71;M;95
2023/2024;Specialistiche in medicina e chirurgia;LM-41;M;80
2023/2024;Scienze della difesa e della sicurezza;L/DS;M;51
2023/2024;Lingue e letterature dell'Africa e dell'Asia;LM-36;F;29
2023/2024;Scienze e tecnologie chimiche;L-27;F;90
2023/2024;Biologia;LM-6;F;563
2023/2024;Scienze e tecniche dello sport;LM-68;F;103
2023/2024;Musicologia e beni musicali;LM-45;F;57
2023/2024;Ingegneria delle telecomunicazioni;LM-27;F;357
2023/2024;Professioni sanitarie della prevenzione;L/SNT4;F;30
2023/2024;Informazione e sistemi editoriali;LM-19;F;59
2023/2024;Servizio sociale;L-39;M;34
2023/2024;Finanza;LM-16;F;226
