AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2023/2024;LM-54;Scienze chimiche;F;1799
2023/2024;LM-54;Scienze chimiche;M;1709
2023/2024;LM-55;Scienze cognitive;F;471
2023/2024;LM-55;Scienze cognitive;M;221
2023/2024;LM-56;Scienze dell'economia;F;6469
2023/2024;LM-56;Scienze dell'economia;M;7838
2023/2024;LM-57;Scienze dell'educazione degli adulti e della formazione continua;F;1035
2023/2024;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;173
2023/2024;LM-58;Scienze dell'universo;F;158
2023/2024;LM-58;Scienze dell'universo;M;240
2023/2024;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;F;4970
2023/2024;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;1894
2023/2024;LM-6;Biologia;F;7701
2023/2024;LM-6;Biologia;M;2932
2023/2024;LM-60;Scienze della natura;F;678
2023/2024;LM-60;Scienze della natura;M;464
2023/2024;LM-61;Scienze della nutrizione umana;F;5738
2023/2024;LM-61;Scienze della nutrizione umana;M;2955
2023/2024;LM-62;Scienze della politica;F;1902
2023/2024;LM-62;Scienze della politica;M;1595
2023/2024;LM-63;Scienze delle pubbliche amministrazioni;F;2618
2023/2024;LM-63;Scienze delle pubbliche amministrazioni;M;1759
2023/2024;LM-64;Scienze delle religioni;F;213
2023/2024;LM-64;Scienze delle religioni;M;206
2023/2024;LM-65;Scienze dello spettacolo e produzione multimediale;F;2664
2023/2024;LM-65;Scienze dello spettacolo e produzione multimediale;M;1277
2023/2024;LM-66;Sicurezza informatica;F;128
2023/2024;LM-66;Sicurezza informatica;M;722
2023/2024;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;3769
2023/2024;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;5753
2023/2024;LM-68;Scienze e tecniche dello sport;F;770
2023/2024;LM-68;Scienze e tecniche dello sport;M;2129
2023/2024;LM-69;Scienze e tecnologie agrarie;F;864
2023/2024;LM-69;Scienze e tecnologie agrarie;M;1909
2023/2024;LM-7;Biotecnologie agrarie;F;436
2023/2024;LM-7;Biotecnologie agrarie;M;331
2023/2024;LM-70;Scienze e tecnologie alimentari;F;1435
2023/2024;LM-70;Scienze e tecnologie alimentari;M;1133
2023/2024;LM-71;Scienze e tecnologie della chimica industriale;F;566
2023/2024;LM-71;Scienze e tecnologie della chimica industriale;M;599
2023/2024;LM-72;Scienze e tecnologie della navigazione;F;36
2023/2024;LM-72;Scienze e tecnologie della navigazione;M;111
2023/2024;LM-73;Scienze e tecnologie forestali ed ambientali;F;360
2023/2024;LM-73;Scienze e tecnologie forestali ed ambientali;M;535
2023/2024;LM-74;Scienze e tecnologie geologiche;F;550
2023/2024;LM-74;Scienze e tecnologie geologiche;M;896
2023/2024;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;822
2023/2024;LM-75;Scienze e tecnologie per l'ambiente e il territorio;M;653
2023/2024;LM-76;Scienze economiche per l'ambiente e la cultura;F;999
2023/2024;LM-76;Scienze economiche per l'ambiente e la cultura;M;358
2023/2024;LM-77;Scienze economico-aziendali;F;22661
2023/2024;LM-77;Scienze economico-aziendali;M;21712
2023/2024;LM-78;Scienze filosofiche;F;2606
2023/2024;LM-78;Scienze filosofiche;M;2753
2023/2024;LM-79;Scienze geofisiche;F;80
2023/2024;LM-79;Scienze geofisiche;M;149
2023/2024;LM-8;Biotecnologie industriali;F;1146
2023/2024;LM-8;Biotecnologie industriali;M;780
2023/2024;LM-80;Scienze geografiche;F;246
2023/2024;LM-80;Scienze geografiche;M;250
2023/2024;LM-81;Scienze per la cooperazione allo sviluppo;F;1557
2023/2024;LM-81;Scienze per la cooperazione allo sviluppo;M;545
2023/2024;LM-82;Scienze statistiche;F;855
2023/2024;LM-82;Scienze statistiche;M;1121
2023/2024;LM-83;Scienze statistiche attuariali e finanziarie;F;267
2023/2024;LM-83;Scienze statistiche attuariali e finanziarie;M;443
2023/2024;LM-84;Scienze storiche;F;2045
2023/2024;LM-84;Scienze storiche;M;2990
2023/2024;LM-85;Scienze pedagogiche;F;13357
2023/2024;LM-85;Scienze pedagogiche;M;1107
2023/2024;LM-85 bis;Scienze della formazione primaria;F;39254
2023/2024;LM-85 bis;Scienze della formazione primaria;M;2471
2023/2024;LM-86;Scienze zootecniche e tecnologie  animali;F;527
2023/2024;LM-86;Scienze zootecniche e tecnologie  animali;M;306
2023/2024;LM-87;Servizio sociale e politiche sociali;F;4459
2023/2024;LM-87;Servizio sociale e politiche sociali;M;404
2023/2024;LM-88;Sociologia e ricerca sociale;F;2056
2023/2024;LM-88;Sociologia e ricerca sociale;M;807
2023/2024;LM-89;Storia dell'arte;F;4504
2023/2024;LM-89;Storia dell'arte;M;1055
2023/2024;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;4865
2023/2024;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;M;1670
2023/2024;LM-90;Studi europei;F;1020
2023/2024;LM-90;Studi europei;M;588
2023/2024;LM-91;Tecniche e metodi per la societa dell'informazione;F;830
2023/2024;LM-91;Tecniche e metodi per la societa dell'informazione;M;1316
2023/2024;LM-92;Teorie della comunicazione;F;1899
2023/2024;LM-92;Teorie della comunicazione;M;673
2023/2024;LM-93;Teorie e metodologie dell'e-learning e della media education;F;299
2023/2024;LM-93;Teorie e metodologie dell'e-learning e della media education;M;71
2023/2024;LM-94;Traduzione specialistica e interpretariato;F;1905
2023/2024;LM-94;Traduzione specialistica e interpretariato;M;325
2023/2024;LM-Data;Data Science;F;377
2023/2024;LM-Data;Data Science;M;769
2023/2024;LMG/01;Magistrali in giurisprudenza;F;68771
2023/2024;LMG/01;Magistrali in giurisprudenza;M;37233
2023/2024;LMR/02;Conservazione e restauro dei beni culturali;F;451
2023/2024;LMR/02;Conservazione e restauro dei beni culturali;M;59
2023/2024;LM-Sc.Mat.;Scienze dei Materiali;F;83
2023/2024;LM-Sc.Mat.;Scienze dei Materiali;M;102
2023/2024;L-P01;Professioni tecniche per l'edilizia e il territorio;F;171
2023/2024;L-P01;Professioni tecniche per l'edilizia e il territorio;M;589
2023/2024;L-P02;Professioni tecniche agrarie, alimentari e forestali;F;89
2023/2024;L-P02;Professioni tecniche agrarie, alimentari e forestali;M;244
2023/2024;L-P03;Professioni tecniche industriali e dell’informazione;F;60
2023/2024;L-P03;Professioni tecniche industriali e dell’informazione;M;594
2023/2024;L-Sc.Mat.;Scienze dei Materiali;F;72
2023/2024;L-Sc.Mat.;Scienze dei Materiali;M;171
2023/2024;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;93
2023/2024;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;35
2023/2024;SNT1/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;F;2
2023/2024;SNT1/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;M;1
2023/2024;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;F;2
2023/2024;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;M;2
2023/2024;SNT2;Professioni sanitarie della riabilitazione;F;18
2023/2024;SNT2;Professioni sanitarie della riabilitazione;M;16
2023/2024;SNT3;Professioni sanitarie tecniche;F;11
2023/2024;SNT3;Professioni sanitarie tecniche;M;14
2023/2024;SNT4;Professioni sanitarie della prevenzione;F;4
2023/2024;SNT4;Professioni sanitarie della prevenzione;M;4
2024/2025;1;Biotecnologie;F;27
2024/2025;1;Biotecnologie;M;10
2024/2025;1/S;Specialistiche in antropologia culturale ed etnologia;F;6
2024/2025;1/S;Specialistiche in antropologia culturale ed etnologia;M;1
2024/2025;10;Ingegneria industriale;F;59
2024/2025;10;Ingegneria industriale;M;246
2024/2025;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;M;1
2024/2025;101/S;Specialistiche in teoria della comunicazione;F;1
2024/2025;101/S;Specialistiche in teoria della comunicazione;M;2
2024/2025;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;M;1
2024/2025;103/S;Specialistiche in teorie e metodi del disegno industriale;F;2
2024/2025;103/S;Specialistiche in teorie e metodi del disegno industriale;M;1
2024/2025;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;F;3
2024/2025;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;M;1
2024/2025;11;Lingue e culture moderne;F;153
2024/2025;11;Lingue e culture moderne;M;30
2024/2025;12;Scienze biologiche;F;169
2024/2025;12;Scienze biologiche;M;50
2024/2025;13;Scienze dei beni culturali;F;182
2024/2025;13;Scienze dei beni culturali;M;48
2024/2025;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;F;3
2024/2025;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;M;5
2024/2025;14;Scienze della comunicazione;F;95
2024/2025;14;Scienze della comunicazione;M;48
2024/2025;14/S;Specialistiche in farmacia e farmacia industriale;F;620
2024/2025;14/S;Specialistiche in farmacia e farmacia industriale;M;170
2024/2025;15;Scienze politiche e delle relazioni internazionali;F;70
2024/2025;15;Scienze politiche e delle relazioni internazionali;M;79
2024/2025;15/S;Specialistiche in filologia e letterature dell'antichita;F;5
2024/2025;15/S;Specialistiche in filologia e letterature dell'antichita;M;1
2024/2025;16;Scienze della Terra;F;6
2024/2025;16;Scienze della Terra;M;14
2024/2025;16/S;Specialistiche in filologia moderna;F;12
2024/2025;16/S;Specialistiche in filologia moderna;M;2
2024/2025;17;Scienze dell'economia e della gestione aziendale;F;279
2024/2025;17;Scienze dell'economia e della gestione aziendale;M;187
2024/2025;17/S;Specialistiche in filosofia e storia della scienza;F;1
2024/2025;18;Scienze dell'educazione e della formazione;F;235
2024/2025;18;Scienze dell'educazione e della formazione;M;29
2024/2025;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;F;5
2024/2025;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;M;5
2024/2025;18-bis;Scienze della Formazione Primaria - Quadriennale;F;429
2024/2025;18-bis;Scienze della Formazione Primaria - Quadriennale;M;21
2024/2025;19;Scienze dell'amministrazione;F;47
2024/2025;19;Scienze dell'amministrazione;M;44
2024/2025;19/S;Specialistiche in finanza;F;1
2024/2025;2;Scienze dei servizi giuridici;F;50
2024/2025;2;Scienze dei servizi giuridici;M;30
2024/2025;2/S;Specialistiche in archeologia;F;6
2024/2025;2/S;Specialistiche in archeologia;M;1
2024/2025;20;Scienze e tecnologie agrarie, agroalimentari e forestali;F;43
2024/2025;20;Scienze e tecnologie agrarie, agroalimentari e forestali;M;54
2024/2025;20/S;Specialistiche in fisica;F;1
2024/2025;20/S;Specialistiche in fisica;M;5
2024/2025;21;Scienze e tecnologie chimiche;F;27
2024/2025;21;Scienze e tecnologie chimiche;M;23
2024/2025;21/S;Specialistiche in geografia;F;1
2024/2025;21/S;Specialistiche in geografia;M;2
2024/2025;22;Scienze e tecnologie della navigazione marittima e aerea;F;1
2024/2025;22;Scienze e tecnologie della navigazione marittima e aerea;M;2
2024/2025;22/S;Specialistiche in giurisprudenza;F;30
2024/2025;22/S;Specialistiche in giurisprudenza;M;17
2024/2025;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;F;40
2024/2025;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;M;21
2024/2025;23/S;Specialistiche in informatica;F;4
2024/2025;23/S;Specialistiche in informatica;M;14
2024/2025;24;Scienze e tecnologie farmaceutiche;F;57
2024/2025;24;Scienze e tecnologie farmaceutiche;M;11
2024/2025;24/S;Specialistiche in informatica per le discipline umanistiche;M;1
2024/2025;25;Scienze e tecnologie fisiche;F;18
2024/2025;25;Scienze e tecnologie fisiche;M;45
2024/2025;25/S;Specialistiche in ingegneria aerospaziale e astronautica;F;1
2024/2025;25/S;Specialistiche in ingegneria aerospaziale e astronautica;M;7
2024/2025;26;Scienze e tecnologie informatiche;F;23
2024/2025;26;Scienze e tecnologie informatiche;M;130
2024/2025;26/S;Specialistiche in ingegneria biomedica;F;1
2024/2025;26/S;Specialistiche in ingegneria biomedica;M;1
2024/2025;27;Scienze e tecnologie per l'ambiente e la natura;F;28
2024/2025;27;Scienze e tecnologie per l'ambiente e la natura;M;24
2024/2025;27/S;Specialistiche in ingegneria chimica;M;1
2024/2025;28;Scienze economiche;F;102
2024/2025;28;Scienze economiche;M;67
2024/2025;28/S;Specialistiche in ingegneria civile;F;3
2024/2025;28/S;Specialistiche in ingegneria civile;M;14
2024/2025;29;Filosofia;F;51
2024/2025;29;Filosofia;M;47
2024/2025;29/S;Specialistiche in ingegneria dell'automazione;F;1
2024/2025;29/S;Specialistiche in ingegneria dell'automazione;M;4
2024/2025;3;Scienze della mediazione linguistica;F;57
2024/2025;3;Scienze della mediazione linguistica;M;12
2024/2025;3/S;Specialistiche in architettura del paesaggio;F;1
2024/2025;30;Scienze geografiche;F;6
2024/2025;30;Scienze geografiche;M;6
2024/2025;30/S;Specialistiche in ingegneria delle telecomunicazioni;F;2
2024/2025;30/S;Specialistiche in ingegneria delle telecomunicazioni;M;6
2024/2025;31;Scienze giuridiche;F;146
2024/2025;31;Scienze giuridiche;M;90
2024/2025;31/S;Specialistiche in ingegneria elettrica;F;1
2024/2025;31/S;Specialistiche in ingegneria elettrica;M;6
2024/2025;31-bis;Scienze giuridiche - Quinquennale;F;14
2024/2025;31-bis;Scienze giuridiche - Quinquennale;M;10
2024/2025;32;Scienze matematiche;F;34
2024/2025;32;Scienze matematiche;M;16
2024/2025;32/S;Specialistiche in ingegneria elettronica;F;1
2024/2025;32/S;Specialistiche in ingegneria elettronica;M;12
2024/2025;33;Scienze delle attivita motorie e sportive;F;21
2024/2025;33;Scienze delle attivita motorie e sportive;M;46
2024/2025;33/S;Specialistiche in ingegneria energetica e nucleare;F;1
2024/2025;34;Scienze e tecniche psicologiche;F;159
2024/2025;34;Scienze e tecniche psicologiche;M;41
2024/2025;34/S;Specialistiche in ingegneria gestionale;F;6
2024/2025;34/S;Specialistiche in ingegneria gestionale;M;6
2024/2025;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;10
2024/2025;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;7
2024/2025;35/S;Specialistiche in ingegneria informatica;F;3
2024/2025;35/S;Specialistiche in ingegneria informatica;M;28
2024/2025;36;Scienze sociologiche;F;43
2024/2025;36;Scienze sociologiche;M;18
2024/2025;36/S;Specialistiche in ingegneria meccanica;M;14
2024/2025;37;Scienze statistiche;F;5
2024/2025;37;Scienze statistiche;M;4
2024/2025;37/S;Specialistiche in ingegneria navale;M;1
2024/2025;38;Scienze storiche;F;29
2024/2025;38;Scienze storiche;M;44
2024/2025;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;F;4
2024/2025;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;M;5
2024/2025;39;Scienze del turismo;F;29
2024/2025;39;Scienze del turismo;M;5
2024/2025;39/S;Specialistiche in interpretariato di conferenza;F;1
2024/2025;4;Scienze dell'architettura e dell'ingegneria edile;F;63
2024/2025;4;Scienze dell'architettura e dell'ingegneria edile;M;65
2024/2025;4/S;Specialistiche in architettura e ingegneria edile;F;10
2024/2025;4/S;Specialistiche in architettura e ingegneria edile;M;10
2024/2025;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;270
2024/2025;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;235
2024/2025;40;Scienze e tecnologie zootecniche e delle produzioni animali;F;21
2024/2025;40;Scienze e tecnologie zootecniche e delle produzioni animali;M;3
2024/2025;40/S;Specialistiche in lingua e cultura italiana;F;3
2024/2025;40/S;Specialistiche in lingua e cultura italiana;M;2
2024/2025;41;Tecnologie per la conservazione e il restauro dei beni culturali;F;8
2024/2025;41;Tecnologie per la conservazione e il restauro dei beni culturali;M;2
2024/2025;41/S;Specialistiche in lingue e letterature afroasiatiche;F;1
2024/2025;41/S;Specialistiche in lingue e letterature afroasiatiche;M;1
2024/2025;42;Disegno industriale;F;7
2024/2025;42;Disegno industriale;M;9
2024/2025;42/S;Specialistiche in lingue e letterature moderne euroamericane;F;9
2024/2025;42/S;Specialistiche in lingue e letterature moderne euroamericane;M;2
2024/2025;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;F;8
2024/2025;44/S;Specialistiche in linguistica;M;1
2024/2025;45/S;Specialistiche in matematica;F;3
2024/2025;45/S;Specialistiche in matematica;M;1
2024/2025;46/S;Specialistiche in medicina e chirurgia;F;955
2024/2025;46/S;Specialistiche in medicina e chirurgia;M;534
2024/2025;47/S;Specialistiche in medicina veterinaria;F;146
2024/2025;47/S;Specialistiche in medicina veterinaria;M;45
2024/2025;5;Lettere;F;187
2024/2025;5;Lettere;M;56
2024/2025;5/S;Specialistiche in archivistica e biblioteconomia;F;1
2024/2025;52/S;Specialistiche in odontoiatria e protesi dentaria;F;17
2024/2025;52/S;Specialistiche in odontoiatria e protesi dentaria;M;29
2024/2025;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;F;1
2024/2025;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;M;1
2024/2025;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;F;1
2024/2025;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;F;7
2024/2025;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;F;26
2024/2025;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;M;3
2024/2025;58/S;Specialistiche in psicologia;F;26
2024/2025;58/S;Specialistiche in psicologia;M;5
2024/2025;59/S;Specialistiche in pubblicita e comunicazione d'impresa;F;2
2024/2025;6;Scienze del servizio sociale;F;70
2024/2025;6;Scienze del servizio sociale;M;9
2024/2025;6/S;Specialistiche in biologia;F;8
2024/2025;6/S;Specialistiche in biologia;M;4
2024/2025;60/S;Specialistiche in relazioni internazionali;F;8
2024/2025;60/S;Specialistiche in relazioni internazionali;M;2
2024/2025;62/S;Specialistiche in scienze chimiche;F;1
2024/2025;62/S;Specialistiche in scienze chimiche;M;1
2024/2025;64/S;Specialistiche in scienze dell'economia;F;6
2024/2025;64/S;Specialistiche in scienze dell'economia;M;4
2024/2025;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;F;4
2024/2025;66/S;Specialistiche in scienze dell'universo;M;1
2024/2025;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;F;3
2024/2025;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;M;2
2024/2025;68/S;Specialistiche in scienze della natura;F;1
2024/2025;7;Urbanistica e scienze della pianificazione territoriale e ambientale;F;5
2024/2025;7;Urbanistica e scienze della pianificazione territoriale e ambientale;M;7
2024/2025;70/S;Specialistiche in scienze della politica;F;4
2024/2025;70/S;Specialistiche in scienze della politica;M;2
2024/2025;71/S;Specialistiche in scienze delle pubbliche amministrazioni;F;3
2024/2025;71/S;Specialistiche in scienze delle pubbliche amministrazioni;M;9
2024/2025;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;F;4
2024/2025;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;M;2
2024/2025;75/S;Specialistiche in scienze e tecnica dello sport;F;1
2024/2025;75/S;Specialistiche in scienze e tecnica dello sport;M;3
2024/2025;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;M;2
2024/2025;77/S;Specialistiche in scienze e tecnologie agrarie;M;3
2024/2025;79/S;Specialistiche in scienze e tecnologie agrozootecniche;F;1
2024/2025;8;Ingegneria civile e ambientale;F;56
2024/2025;8;Ingegneria civile e ambientale;M;123
2024/2025;8/S;Specialistiche in biotecnologie industriali;F;1
2024/2025;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;F;1
2024/2025;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;M;2
2024/2025;84/S;Specialistiche in scienze economico-aziendali;F;29
2024/2025;84/S;Specialistiche in scienze economico-aziendali;M;16
2024/2025;86/S;Specialistiche in scienze geologiche;F;1
2024/2025;86/S;Specialistiche in scienze geologiche;M;1
2024/2025;87/S;Specialistiche in scienze pedagogiche;F;5
2024/2025;87/S;Specialistiche in scienze pedagogiche;M;1
2024/2025;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;F;1
2024/2025;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;M;1
2024/2025;89/S;Specialistiche in sociologia;F;3
2024/2025;89/S;Specialistiche in sociologia;M;1
2024/2025;9;Ingegneria dell'informazione;F;34
2024/2025;9;Ingegneria dell'informazione;M;188
2024/2025;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;F;2
2024/2025;90/S;Specialistiche in statistica demografica e sociale;F;1
2024/2025;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;F;2
2024/2025;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;M;1
2024/2025;92/S;Specialistiche in statistica per la ricerca sperimentale;M;1
2024/2025;93/S;Specialistiche in storia antica;M;1
2024/2025;94/S;Specialistiche in storia contemporanea;F;4
2024/2025;95/S;Specialistiche in storia dell'arte;F;11
2024/2025;95/S;Specialistiche in storia dell'arte;M;1
2024/2025;96/S;Specialistiche in storia della filosofia;F;3
2024/2025;96/S;Specialistiche in storia della filosofia;M;2
2024/2025;97/S;Specialistiche in storia medievale;M;2
2024/2025;98/S;Specialistiche in storia moderna;F;2
2024/2025;99/S;Specialistiche in studi europei;F;2
2024/2025;99/S;Specialistiche in studi europei;M;1
2024/2025;99999;Classe non definita;F;7524
2024/2025;99999;Classe non definita;M;4744
2024/2025;DS1;Scienze della difesa e della sicurezza;M;4
2024/2025;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;M;4
2024/2025;L/DS;Scienze della difesa e della sicurezza;F;273
2024/2025;L/DS;Scienze della difesa e della sicurezza;M;936
2024/2025;L/GASTR;Scienze, culture e politiche della gastronomia;F;1512
2024/2025;L/GASTR;Scienze, culture e politiche della gastronomia;M;1848
2024/2025;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;44313
2024/2025;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;13039
2024/2025;L/SNT2;Professioni sanitarie della riabilitazione;F;10689
2024/2025;L/SNT2;Professioni sanitarie della riabilitazione;M;6893
2024/2025;L/SNT3;Professioni sanitarie tecniche;F;9341
2024/2025;L/SNT3;Professioni sanitarie tecniche;M;5398
2024/2025;L/SNT4;Professioni sanitarie della prevenzione;F;1699
2024/2025;L/SNT4;Professioni sanitarie della prevenzione;M;1339
2024/2025;L-1;Beni culturali;F;15237
2024/2025;L-1;Beni culturali;M;5326
2024/2025;L-10;Lettere;F;28908
2024/2025;L-10;Lettere;M;11078
2024/2025;L-11;Lingue e culture moderne;F;31754
2024/2025;L-11;Lingue e culture moderne;M;7944
2024/2025;L-12;Mediazione linguistica;F;22240
2024/2025;L-12;Mediazione linguistica;M;5119
2024/2025;L-13;Scienze biologiche;F;20454
2024/2025;L-13;Scienze biologiche;M;8972
2024/2025;L-14;Scienze dei servizi giuridici;F;24189
2024/2025;L-14;Scienze dei servizi giuridici;M;24429
2024/2025;L-15;Scienze del turismo;F;5863
2024/2025;L-15;Scienze del turismo;M;2320
2024/2025;L-16;Scienze dell'amministrazione e dell'organizzazione;F;4934
2024/2025;L-16;Scienze dell'amministrazione e dell'organizzazione;M;3408
2024/2025;L-17;Scienze dell'architettura;F;6824
2024/2025;L-17;Scienze dell'architettura;M;4479
2024/2025;L-18;Scienze dell'economia e della gestione aziendale;F;65489
2024/2025;L-18;Scienze dell'economia e della gestione aziendale;M;83050
2024/2025;L-19;Scienze dell'educazione e della formazione;F;69199
2024/2025;L-19;Scienze dell'educazione e della formazione;M;5669
2024/2025;L-2;Biotecnologie;F;12213
2024/2025;L-2;Biotecnologie;M;5633
2024/2025;L-20;Scienze della comunicazione;F;35688
2024/2025;L-20;Scienze della comunicazione;M;16754
2024/2025;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;811
2024/2025;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;852
2024/2025;L-22;Scienze delle attività motorie e sportive;F;17438
2024/2025;L-22;Scienze delle attività motorie e sportive;M;43846
2024/2025;L-23;Scienze e tecniche dell'edilizia;F;1673
2024/2025;L-23;Scienze e tecniche dell'edilizia;M;2245
2024/2025;L-24;Scienze e tecniche psicologiche;F;56007
2024/2025;L-24;Scienze e tecniche psicologiche;M;15507
2024/2025;L-25;Scienze e tecnologie agrarie e forestali;F;2995
2024/2025;L-25;Scienze e tecnologie agrarie e forestali;M;7214
2024/2025;L-26;Scienze e tecnologie alimentari;F;5384
2024/2025;L-26;Scienze e tecnologie alimentari;M;4783
2024/2025;L-27;Scienze e tecnologie chimiche;F;5043
2024/2025;L-27;Scienze e tecnologie chimiche;M;5804
2024/2025;L-28;Scienze e tecnologie della navigazione;F;209
2024/2025;L-28;Scienze e tecnologie della navigazione;M;710
2024/2025;L-29;Scienze e tecnologie farmaceutiche;F;3868
2024/2025;L-29;Scienze e tecnologie farmaceutiche;M;1257
2024/2025;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;10293
2024/2025;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;5397
2024/2025;L-30;Scienze e tecnologie fisiche;F;4950
2024/2025;L-30;Scienze e tecnologie fisiche;M;8971
2024/2025;L-31;Scienze e tecnologie informatiche;F;6080
2024/2025;L-31;Scienze e tecnologie informatiche;M;34700
2024/2025;L-32;Scienze e tecnologie per l'ambiente e la natura;F;5303
2024/2025;L-32;Scienze e tecnologie per l'ambiente e la natura;M;5068
2024/2025;L-33;Scienze economiche;F;17336
2024/2025;L-33;Scienze economiche;M;25698
2024/2025;L-34;Scienze geologiche;F;955
2024/2025;L-34;Scienze geologiche;M;1906
2024/2025;L-35;Scienze matematiche;F;4748
2024/2025;L-35;Scienze matematiche;M;5705
2024/2025;L-36;Scienze politiche e delle relazioni internazionali;F;23263
2024/2025;L-36;Scienze politiche e delle relazioni internazionali;M;19518
2024/2025;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;1193
2024/2025;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;618
2024/2025;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;3670
2024/2025;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;1041
2024/2025;L-39;Scienze del Servizio sociale;F;35
2024/2025;L-39;Scienze del Servizio sociale;M;4
2024/2025;L-39;Servizio sociale;F;11669
2024/2025;L-39;Servizio sociale;M;1081
2024/2025;L-4;Disegno industriale;F;9714
2024/2025;L-4;Disegno industriale;M;5055
2024/2025;L-40;Sociologia;F;8362
2024/2025;L-40;Sociologia;M;2775
2024/2025;L-41;Statistica;F;2069
2024/2025;L-41;Statistica;M;3480
2024/2025;L-42;Storia;F;4002
2024/2025;L-42;Storia;M;7719
2024/2025;L-43;Diagnostica per la conservazione dei beni culturali;F;320
2024/2025;L-43;Diagnostica per la conservazione dei beni culturali;M;71
2024/2025;L-5;Filosofia;F;9065
2024/2025;L-5;Filosofia;M;8445
2024/2025;L-6;Geografia;F;232
2024/2025;L-6;Geografia;M;308
2024/2025;L-7;Ingegneria civile e ambientale;F;6114
2024/2025;L-7;Ingegneria civile e ambientale;M;15774
2024/2025;L-8;Ingegneria dell'informazione;F;15809
2024/2025;L-8;Ingegneria dell'informazione;M;54202
2024/2025;L-9;Ingegneria industriale;F;24051
2024/2025;L-9;Ingegneria industriale;M;73408
2024/2025;LM/DS;Scienze della difesa e della sicurezza;F;203
2024/2025;LM/DS;Scienze della difesa e della sicurezza;M;580
2024/2025;LM/GASTR;Scienze economiche  e sociali della gastronomia;F;61
