AnnoA;CorsoTIPO;AnnoNascita;SESSO;Isc
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1991;M;69
2020/2021;Laurea - dm 270/04;1960;M;67
2020/2021;Laurea Magistrale - dm 270/04;1963;F;67
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;F;66
2020/2021;Laurea - dm 270/04;2003;F;65
2020/2021;Laurea - dm 270/04;1962;F;65
2020/2021;Laurea Magistrale - dm 270/04;1964;F;64
2020/2021;Laurea Magistrale - dm 270/04;1964;M;62
2020/2021;Laurea - dm 270/04;1959;M;61
2020/2021;Laurea Magistrale - dm 270/04;1963;M;59
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1988;M;57
2020/2021;Laurea Magistrale - dm 270/04;2000;F;56
2020/2021;Laurea Magistrale - dm 270/04;1962;F;56
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1989;M;55
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;F;52
2020/2021;Laurea - dm 270/04;1958;M;52
2020/2021;Laurea Magistrale - dm 270/04;1962;M;51
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;F;51
2020/2021;Laurea - dm 270/04;1960;F;50
2020/2021;Laurea - dm 270/04;1956;M;49
2020/2021;Laurea - dm 270/04;1955;M;46
2020/2021;Laurea - dm 270/04;1957;M;46
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;F;44
2020/2021;Laurea Magistrale - dm 270/04;2000;M;44
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;F;40
2020/2021;Laurea Magistrale - dm 270/04;1961;M;39
2020/2021;Laurea - dm 270/04;1959;F;38
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;F;37
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;M;37
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;F;37
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;F;36
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1985;M;36
2020/2021;Laurea - dm 270/04;1953;M;35
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1987;M;34
2020/2021;Laurea - dm 270/04;1958;F;33
2020/2021;Laurea - dm 270/04;1957;F;32
2020/2021;Laurea Magistrale - dm 270/04;1961;F;32
2020/2021;Laurea - dm 270/04;1952;M;31
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1983;M;30
2020/2021;Laurea - dm 270/04;1954;M;29
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;F;28
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1986;M;27
2020/2021;Laurea - dm 270/04;1956;F;26
2020/2021;Laurea Magistrale - dm 270/04;1960;M;24
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;M;23
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;F;23
2020/2021;Laurea Magistrale - dm 270/04;1959;M;22
2020/2021;Laurea Magistrale - dm 270/04;1958;F;22
2020/2021;Laurea Magistrale - dm 270/04;1960;F;21
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;F;21
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;M;21
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;M;20
2020/2021;Laurea - dm 270/04;1951;M;20
2020/2021;Laurea - dm 270/04;1954;F;19
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;F;19
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;M;19
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;M;19
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1984;M;19
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;M;18
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;M;17
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;M;17
2020/2021;Laurea Magistrale - dm 270/04;1958;M;17
2020/2021;Laurea Magistrale - dm 270/04;1957;F;16
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;M;16
2020/2021;Laurea Magistrale - dm 270/04;1957;M;15
2020/2021;Laurea - dm 270/04;1955;F;15
2020/2021;Laurea - dm 270/04;1949;M;15
2020/2021;Laurea Magistrale - dm 270/04;1959;F;15
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;F;15
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;M;14
2020/2021;Laurea - dm 270/04;1948;M;14
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1968;F;13
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;M;13
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;M;13
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1969;F;12
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;F;12
2020/2021;Laurea - dm 270/04;1950;M;12
2020/2021;Laurea Magistrale - dm 270/04;1956;M;12
2020/2021;Laurea - dm 270/04;1953;F;12
2020/2021;Laurea Magistrale - dm 270/04;1953;M;11
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1968;M;11
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1964;M;10
2020/2021;Laurea Magistrale - dm 270/04;1954;M;10
2020/2021;Laurea Magistrale - dm 270/04;1956;F;10
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;M;10
2020/2021;Laurea Magistrale - dm 270/04;1955;F;9
2020/2021;Laurea Magistrale - dm 270/04;1954;F;9
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;M;9
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;F;7
2020/2021;Laurea - dm 270/04;1949;F;7
2020/2021;Laurea Magistrale - dm 270/04;1955;M;7
2020/2021;Laurea - dm 270/04;1947;M;7
2020/2021;Laurea Magistrale - dm 270/04;1948;M;6
2020/2021;Laurea - dm 270/04;1946;M;6
2020/2021;Laurea Magistrale - dm 270/04;1952;F;6
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;M;6
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1964;F;6
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1960;M;5
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;F;5
2020/2021;Laurea - dm 270/04;1952;F;5
2020/2021;Laurea Magistrale - dm 270/04;1951;M;5
2020/2021;Laurea - dm 270/04;1943;M;5
2020/2021;Laurea Magistrale - dm 270/04;2001;F;5
2020/2021;Laurea Magistrale - dm 270/04;2001;M;4
2020/2021;Laurea Magistrale - dm 270/04;1947;M;4
2020/2021;Laurea - dm 270/04;1948;F;4
2020/2021;Laurea Magistrale - dm 270/04;1950;F;4
2020/2021;Laurea Magistrale - dm 270/04;1950;M;4
2020/2021;Laurea - dm 270/04;1951;F;4
2020/2021;Laurea Magistrale - dm 270/04;1949;M;4
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;F;4
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1963;M;4
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1961;M;4
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1959;F;3
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1958;M;3
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;M;3
2020/2021;Laurea - dm 270/04;1950;F;3
2020/2021;Laurea - dm 270/04;1947;F;3
2020/2021;Laurea Magistrale - dm 270/04;1949;F;3
2020/2021;Laurea - dm 270/04;1944;M;3
2020/2021;Laurea - dm 270/04;1945;F;3
2020/2021;Laurea - dm 270/04;1945;M;3
2020/2021;Laurea - dm 270/04;1940;M;3
2020/2021;Laurea - dm 270/04;1942;M;3
2020/2021;Laurea Magistrale - dm 270/04;1952;M;3
2020/2021;Laurea Magistrale - dm 270/04;1953;F;3
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1957;M;3
2020/2021;Laurea - dm 270/04;1937;M;3
2020/2021;Laurea - dm 270/04;1939;M;3
2020/2021;Laurea Magistrale - dm 270/04;1934;M;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1956;F;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1956;M;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1953;M;2
2020/2021;Laurea - dm 270/04;1941;F;2
2020/2021;Laurea - dm 270/04;1941;M;2
2020/2021;Laurea Magistrale - dm 270/04;1941;M;2
2020/2021;Laurea Magistrale - dm 270/04;1943;M;2
2020/2021;Laurea - dm 270/04;1944;F;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1958;F;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1959;M;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1962;M;2
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1963;F;1
2020/2021;Laurea Magistrale - dm 270/04;1944;F;1
2020/2021;Laurea Magistrale - dm 270/04;1944;M;1
2020/2021;Laurea Magistrale - dm 270/04;1946;F;1
2020/2021;Laurea - dm 270/04;1942;F;1
2020/2021;Laurea Magistrale - dm 270/04;1942;M;1
2020/2021;Laurea Magistrale - dm 270/04;1940;M;1
2020/2021;Laurea Magistrale - dm 270/04;1951;F;1
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1954;F;1
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1951;M;1
2020/2021;Laurea Magistrale a Ciclo Unico - dm 270/04;1955;M;1
2020/2021;Laurea - dm 270/04;1936;M;1
2020/2021;Laurea - dm 270/04;1937;F;1
2020/2021;Laurea Magistrale - dm 270/04;1939;F;1
2020/2021;Laurea - dm 270/04;1938;F;1
2020/2021;Laurea - dm 270/04;1938;M;1
2020/2021;Laurea Magistrale - dm 270/04;1923;M;1
2020/2021;Laurea Magistrale - dm 270/04;1926;M;1
2020/2021;Laurea Magistrale - dm 270/04;1930;M;1
2020/2021;Laurea - dm 270/04;1932;F;1
2020/2021;Laurea - dm 270/04;1932;M;1
2020/2021;Laurea Magistrale - dm 270/04;1933;M;1
2020/2021;Laurea - dm 270/04;2004;M;1
2020/2021;Laurea Magistrale - dm 270/04;2002;F;1
2019/2020;Laurea - dm 270/04;2000;F;92315
2019/2020;Laurea - dm 270/04;2000;M;74842
2019/2020;Laurea - dm 270/04;1999;F;29643
2019/2020;Laurea - dm 270/04;1999;M;24337
2019/2020;Laurea Magistrale - dm 270/04;1997;F;23560
2019/2020;Laurea Magistrale - dm 270/04;1996;F;19358
2019/2020;Laurea Magistrale - dm 270/04;1997;M;19021
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2000;F;17396
2019/2020;Laurea Magistrale - dm 270/04;1996;M;15022
2019/2020;Laurea - dm 270/04;2001;F;13568
2019/2020;Laurea - dm 270/04;1998;M;10927
2019/2020;Laurea - dm 270/04;1998;F;10813
2019/2020;Laurea - dm 270/04;2001;M;10023
2019/2020;Laurea Magistrale - dm 270/04;1995;F;9808
2019/2020;Laurea Magistrale - dm 270/04;1995;M;8807
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2000;M;8149
2019/2020;Laurea - dm 270/04;1997;M;6105
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1999;F;5771
2019/2020;Laurea Magistrale - dm 270/04;1994;F;5422
2019/2020;Laurea Magistrale - dm 270/04;1994;M;5381
2019/2020;Laurea - dm 270/04;1997;F;5364
2019/2020;Laurea - dm 270/04;1996;M;4280
2019/2020;Laurea Magistrale - dm 270/04;1993;F;3669
2019/2020;Laurea - dm 270/04;1996;F;3593
2019/2020;Laurea Magistrale - dm 270/04;1993;M;3440
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2001;F;3316
2019/2020;Laurea - dm 270/04;1995;M;3233
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1999;M;2825
2019/2020;Laurea Magistrale - dm 270/04;1998;F;2778
2019/2020;Laurea - dm 270/04;1995;F;2641
2019/2020;Laurea - dm 270/04;1994;M;2555
2019/2020;Laurea Magistrale - dm 270/04;1992;F;2427
2019/2020;Laurea Magistrale - dm 270/04;1992;M;2304
2019/2020;Laurea - dm 270/04;1994;F;2203
2019/2020;Laurea - dm 270/04;1993;M;2070
2019/2020;Laurea Magistrale - dm 270/04;1998;M;2021
2019/2020;Laurea - dm 270/04;1992;M;1776
2019/2020;Laurea Magistrale - dm 270/04;1991;F;1761
2019/2020;Laurea Magistrale - dm 270/04;1991;M;1657
2019/2020;Laurea - dm 270/04;1993;F;1652
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2001;M;1530
2019/2020;Laurea - dm 270/04;1992;F;1512
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1998;F;1454
2019/2020;Laurea - dm 270/04;1991;M;1370
2019/2020;Laurea Magistrale - dm 270/04;1990;F;1342
2019/2020;Laurea Magistrale - dm 270/04;1989;F;1191
2019/2020;Laurea Magistrale - dm 270/04;1990;M;1163
2019/2020;Laurea - dm 270/04;1991;F;1156
2019/2020;Laurea - dm 270/04;1990;M;1134
2019/2020;Laurea - dm 270/04;1990;F;1029
2019/2020;Laurea Magistrale - dm 270/04;1988;F;977
2019/2020;Laurea - dm 270/04;1989;M;956
2019/2020;Laurea Magistrale - dm 270/04;1989;M;887
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1998;M;866
2019/2020;Laurea - dm 270/04;1989;F;857
2019/2020;Laurea - dm 270/04;1988;M;845
2019/2020;Laurea Magistrale - dm 270/04;1987;F;769
2019/2020;Laurea - dm 270/04;1988;F;759
2019/2020;Laurea Magistrale - dm 270/04;1986;F;744
2019/2020;Laurea - dm 270/04;1987;M;741
2019/2020;Laurea Magistrale - dm 270/04;1988;M;737
2019/2020;Laurea Magistrale - dm 270/04;1985;F;723
2019/2020;Laurea - dm 270/04;1987;F;686
2019/2020;Laurea Magistrale - dm 270/04;1987;M;630
2019/2020;Laurea Magistrale - dm 270/04;1984;F;607
2019/2020;Laurea Magistrale - dm 270/04;1983;F;597
2019/2020;Laurea - dm 270/04;1986;F;596
2019/2020;Laurea - dm 270/04;1986;M;595
2019/2020;Laurea - dm 270/04;1985;M;579
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1997;F;549
2019/2020;Laurea - dm 270/04;1985;F;544
2019/2020;Laurea - dm 270/04;1984;F;542
2019/2020;Laurea Magistrale - dm 270/04;1986;M;527
2019/2020;Laurea - dm 270/04;1984;M;522
2019/2020;Laurea - dm 270/04;1982;M;482
2019/2020;Laurea Magistrale - dm 270/04;1982;F;479
2019/2020;Laurea - dm 270/04;1983;M;477
2019/2020;Laurea Magistrale - dm 270/04;1985;M;447
2019/2020;Laurea - dm 270/04;1983;F;444
2019/2020;Laurea - dm 270/04;1982;F;435
2019/2020;Laurea - dm 270/04;1981;M;434
2019/2020;Laurea - dm 270/04;1978;M;416
2019/2020;Laurea - dm 270/04;1980;M;409
2019/2020;Laurea Magistrale - dm 270/04;1983;M;402
2019/2020;Laurea - dm 270/04;1981;F;401
2019/2020;Laurea Magistrale - dm 270/04;1984;M;399
2019/2020;Laurea - dm 270/04;1977;M;397
2019/2020;Laurea - dm 270/04;1978;F;396
2019/2020;Laurea - dm 270/04;1980;F;396
2019/2020;Laurea - dm 270/04;1979;M;394
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1997;M;392
2019/2020;Laurea Magistrale - dm 270/04;1981;F;391
2019/2020;Laurea - dm 270/04;1977;F;385
2019/2020;Laurea - dm 270/04;1976;M;384
2019/2020;Laurea - dm 270/04;1975;M;384
2019/2020;Laurea - dm 270/04;1976;F;383
2019/2020;Laurea - dm 270/04;1979;F;379
2019/2020;Laurea - dm 270/04;1974;M;379
2019/2020;Laurea - dm 270/04;1975;F;376
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1996;F;359
2019/2020;Laurea - dm 270/04;1974;F;358
2019/2020;Laurea - dm 270/04;1973;F;356
2019/2020;Laurea Magistrale - dm 270/04;1980;F;351
2019/2020;Laurea Magistrale - dm 270/04;1982;M;337
2019/2020;Laurea - dm 270/04;1972;F;336
2019/2020;Laurea - dm 270/04;1972;M;310
2019/2020;Laurea - dm 270/04;1973;M;309
2019/2020;Laurea - dm 270/04;1971;F;308
2019/2020;Laurea Magistrale - dm 270/04;1981;M;276
2019/2020;Laurea Magistrale - dm 270/04;1977;F;275
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1996;M;274
2019/2020;Laurea Magistrale - dm 270/04;1979;F;270
2019/2020;Laurea Magistrale - dm 270/04;1978;F;268
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1995;F;264
2019/2020;Laurea - dm 270/04;1969;F;262
2019/2020;Laurea Magistrale - dm 270/04;1976;F;261
2019/2020;Laurea Magistrale - dm 270/04;1980;M;257
2019/2020;Laurea - dm 270/04;1971;M;248
2019/2020;Laurea - dm 270/04;1968;F;243
2019/2020;Laurea - dm 270/04;1970;F;240
2019/2020;Laurea Magistrale - dm 270/04;1975;F;236
2019/2020;Laurea - dm 270/04;1970;M;227
2019/2020;Laurea - dm 270/04;1969;M;226
2019/2020;Laurea Magistrale - dm 270/04;1979;M;224
2019/2020;Laurea Magistrale - dm 270/04;1977;M;224
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1994;F;224
2019/2020;Laurea Magistrale - dm 270/04;1978;M;223
2019/2020;Laurea - dm 270/04;1967;F;220
2019/2020;Laurea Magistrale - dm 270/04;1973;F;200
2019/2020;Laurea - dm 270/04;1968;M;197
2019/2020;Laurea Magistrale - dm 270/04;1974;F;195
2019/2020;Laurea Magistrale - dm 270/04;1976;M;195
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1995;M;190
2019/2020;Laurea - dm 270/04;1966;F;187
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1993;F;184
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1992;F;177
2019/2020;Laurea Magistrale - dm 270/04;1972;F;167
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1991;F;164
2019/2020;Laurea Magistrale - dm 270/04;1974;M;163
2019/2020;Laurea - dm 270/04;1966;M;163
2019/2020;Laurea Magistrale - dm 270/04;1970;F;161
2019/2020;Laurea Magistrale - dm 270/04;1975;M;157
2019/2020;Laurea Magistrale - dm 270/04;1971;F;156
2019/2020;Laurea Magistrale - dm 270/04;1973;M;153
2019/2020;Laurea - dm 270/04;1965;F;149
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1993;M;145
2019/2020;Laurea - dm 270/04;1967;M;143
2019/2020;Laurea Magistrale - dm 270/04;1969;F;142
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1994;M;141
2019/2020;Laurea Magistrale - dm 270/04;1971;M;138
2019/2020;Laurea Magistrale - dm 270/04;1968;F;137
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1990;F;137
2019/2020;Laurea - dm 270/04;1964;F;133
2019/2020;Laurea Magistrale - dm 270/04;1972;M;126
2019/2020;Laurea - dm 270/04;1964;M;124
2019/2020;Laurea - dm 270/04;1965;M;122
2019/2020;Laurea Magistrale - dm 270/04;1966;F;114
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1992;M;114
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1989;F;113
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1988;F;107
2019/2020;Laurea - dm 270/04;1963;M;106
2019/2020;Laurea Magistrale - dm 270/04;1969;M;101
2019/2020;Laurea Magistrale - dm 270/04;1970;M;100
2019/2020;Laurea - dm 270/04;1963;F;99
2019/2020;Laurea Magistrale - dm 270/04;1967;F;95
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1986;F;93
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1987;F;92
2019/2020;Laurea - dm 270/04;2002;M;89
2019/2020;Laurea Magistrale - dm 270/04;1968;M;88
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1991;M;86
2019/2020;Laurea Magistrale - dm 270/04;1967;M;85
2019/2020;Laurea Magistrale - dm 270/04;1965;F;83
2019/2020;Laurea Magistrale - dm 270/04;1964;F;83
2019/2020;Laurea - dm 270/04;1961;M;83
2019/2020;Laurea - dm 270/04;2002;F;78
2019/2020;Laurea - dm 270/04;1959;M;76
2019/2020;Laurea - dm 270/04;1962;M;74
2019/2020;Laurea - dm 270/04;1962;F;73
2019/2020;Laurea Magistrale - dm 270/04;1966;M;72
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1985;F;72
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1984;F;72
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1990;M;71
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1983;F;68
2019/2020;Laurea Magistrale - dm 270/04;1965;M;66
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;F;62
2019/2020;Laurea - dm 270/04;1961;F;61
2019/2020;Laurea - dm 270/04;1960;M;60
2019/2020;Laurea - dm 270/04;1958;M;57
2019/2020;Laurea Magistrale - dm 270/04;1964;M;57
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1988;M;57
2019/2020;Laurea Magistrale - dm 270/04;1999;M;55
2019/2020;Laurea Magistrale - dm 270/04;1963;F;53
2019/2020;Laurea - dm 270/04;1960;F;52
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;F;52
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;F;47
2019/2020;Laurea - dm 270/04;1954;M;47
2019/2020;Laurea - dm 270/04;1955;M;47
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1987;M;46
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1989;M;45
2019/2020;Laurea - dm 270/04;1956;M;43
2019/2020;Laurea Magistrale - dm 270/04;1963;M;41
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1985;M;41
2019/2020;Laurea - dm 270/04;1957;M;40
2019/2020;Laurea - dm 270/04;1959;F;40
2019/2020;Laurea Magistrale - dm 270/04;1961;F;39
2019/2020;Laurea Magistrale - dm 270/04;1962;F;39
2019/2020;Laurea Magistrale - dm 270/04;1999;F;37
2019/2020;Laurea Magistrale - dm 270/04;1960;F;36
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;F;36
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;F;35
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;F;35
2019/2020;Laurea Magistrale - dm 270/04;1962;M;35
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;M;34
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1986;M;34
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;F;33
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;F;32
2019/2020;Laurea Magistrale - dm 270/04;1960;M;32
2019/2020;Laurea - dm 270/04;1957;F;32
2019/2020;Laurea Magistrale - dm 270/04;1961;M;31
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;F;29
2019/2020;Laurea - dm 270/04;1958;F;28
2019/2020;Laurea - dm 270/04;1952;M;28
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;M;27
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1983;M;27
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;F;27
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;M;26
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1984;M;25
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;M;24
2019/2020;Laurea - dm 270/04;1953;M;24
2019/2020;Laurea - dm 270/04;1951;M;23
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;M;23
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;F;22
2019/2020;Laurea - dm 270/04;1956;F;22
2019/2020;Laurea - dm 270/04;1950;M;21
2019/2020;Laurea Magistrale - dm 270/04;1955;M;20
2019/2020;Laurea Magistrale - dm 270/04;1956;M;19
2019/2020;Laurea Magistrale - dm 270/04;1958;M;19
2019/2020;Laurea Magistrale - dm 270/04;1959;M;19
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;F;19
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;M;19
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;M;18
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;M;18
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;M;17
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;M;16
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;F;16
2019/2020;Laurea Magistrale - dm 270/04;1957;M;16
2019/2020;Laurea Magistrale - dm 270/04;1958;F;15
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;M;15
2019/2020;Laurea - dm 270/04;1954;F;15
2019/2020;Laurea Magistrale - dm 270/04;1954;M;15
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;F;14
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;M;13
2019/2020;Laurea Magistrale - dm 270/04;1959;F;13
2019/2020;Laurea - dm 270/04;1949;M;13
2019/2020;Laurea - dm 270/04;1955;F;12
2019/2020;Laurea Magistrale - dm 270/04;1957;F;12
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1968;F;12
2019/2020;Laurea Magistrale - dm 270/04;1955;F;11
2019/2020;Laurea Magistrale - dm 270/04;1952;M;10
2019/2020;Laurea - dm 270/04;1952;F;10
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1969;F;10
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;F;9
2019/2020;Laurea Magistrale - dm 270/04;1951;M;9
2019/2020;Laurea - dm 270/04;1948;M;8
2019/2020;Laurea - dm 270/04;1947;M;7
2019/2020;Laurea Magistrale - dm 270/04;1947;M;7
2019/2020;Laurea - dm 270/04;1946;M;7
2019/2020;Laurea - dm 270/04;1951;F;7
2019/2020;Laurea - dm 270/04;1953;F;7
2019/2020;Laurea Magistrale - dm 270/04;1954;F;7
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;F;7
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;M;7
2019/2020;Laurea Magistrale - dm 270/04;1956;F;7
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;F;6
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;M;6
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1969;M;6
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;M;6
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;M;6
2019/2020;Laurea - dm 270/04;1950;F;6
2019/2020;Laurea - dm 270/04;1938;M;6
2019/2020;Laurea Magistrale - dm 270/04;1949;F;5
2019/2020;Laurea - dm 270/04;1920;F;5
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1964;M;5
2019/2020;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;M;5
