ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_CORSI_SUP_VO;INTERVENTI_CORSI_ACCADEMICI_NO;INTERVENTI_CORSI_ACCADEMICI_NO_POST
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);013;Borse di studio - N. borse concesse;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;65;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;20;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;1;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;23;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;013;Borse di studio - N. borse concesse;0;3;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;6;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;18;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;15;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;017703017029;Accademie Legalmente Riconosciute;Accademia di Belle Arti SantaGiulia di BRESCIA;BRESCIA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;23;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;37;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;13;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;017704017029;Accademie Legalmente Riconosciute;Libera Accademia di Belle Arti LABA di BRESCIA;BRESCIA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;1;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;1;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;5;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;013;Borse di studio - N. borse concesse;0;7;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;1;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;3;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;013;Borse di studio - N. borse concesse;0;1;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;1;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;5;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;1;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;20;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;8;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;17;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;6;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;5;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;013;Borse di studio - N. borse concesse;0;10;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;10;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;9;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;30;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;1;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;200;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
