ANNO_ACCADEMICO;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;14;2;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;1105;408;7;20
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;2;Posti a concorso e posti confermati - N° idonei;325;123;5;15
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;3;Posti a concorso e posti confermati - N° ammessi;189;97;3;11
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;87;7;2;4
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;3;3;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;135;34;5;15
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;138;67;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;27;5;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;2;Posti a concorso e posti confermati - N° idonei;13;1;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;3;Posti a concorso e posti confermati - N° ammessi;10;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;6;1;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;14;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;2;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0318;Fondazione Collegio delle Università Milanesi;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;18;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;2;Posti a concorso e posti confermati - N° idonei;17;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;3;Posti a concorso e posti confermati - N° ammessi;10;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;39;0;4;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;30;0;6;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;21;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0346;Collegio Universitario Lucchini di Brescia;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;68;33;3;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;2;Posti a concorso e posti confermati - N° idonei;46;13;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;3;Posti a concorso e posti confermati - N° ammessi;26;6;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;64;9;3;1
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;22;6;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;15;4;2;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;47;3;1;1
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;12;0;0;0
2024-2025 ;CS;0349;Collegio Cairoli di Pavia;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;201;30;7;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;2;Posti a concorso e posti confermati - N° idonei;201;30;7;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;3;Posti a concorso e posti confermati - N° ammessi;120;24;3;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;334;17;20;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;356;0;23;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;98;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;11;Mobilità internazionale - N° domande contributi;25;2;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;12;Mobilità internazionale - N° contributi concessi;25;2;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;151;12;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;30;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);8;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0508;"Collegio universitario ''don Nicola Mazza""";I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;67;15;0;0
