ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_PARZIALE;DESCRIZIONE_ESONERO_PARZIALE;ESONERO_PARZIALE_LAUREA;ESONERO_PARZIALE_DOTTORATO;ESONERO_PARZIALE_SPECIALIZZAZIONE;ESONERO_PARZIALE_MASTER
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;15 ;Altre tipologie non comprese nelle precedenti voci;530;0;0;141
2023-2024;05805;Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);5;0;0;
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";15 ;Altre tipologie non comprese nelle precedenti voci;1;0;0;0
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05806;"Roma - Università degli studi del ""Foro Italico""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);260;0;0;
2023-2024;05807;Roma - III Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05807;Roma - III Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;99;0;0;2
2023-2024;05807;Roma - III Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05807;Roma - III Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3242;0;0;
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";15 ;Altre tipologie non comprese nelle precedenti voci;108;0;0;45
2023-2024;05808;"Roma - Università ""Campus Bio-Medico""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;15 ;Altre tipologie non comprese nelle precedenti voci;272;0;0;228
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);19;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);40;0;0;
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";15 ;Altre tipologie non comprese nelle precedenti voci;18031;18;0;43
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);260;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";15 ;Altre tipologie non comprese nelle precedenti voci;4733;0;0;2189
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05812;Roma - Università Europea;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05812;Roma - Università Europea;15 ;Altre tipologie non comprese nelle precedenti voci;514;0;0;30
2023-2024;05812;Roma - Università Europea;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);89;0;0;
2023-2024;05814;Roma - Universitas telematica Mercatorum;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);182;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);127;0;0;
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";15 ;Altre tipologie non comprese nelle precedenti voci;1532;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);325;0;0;0
2023-2024;05817;Roma - Link Campus University;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05817;Roma - Link Campus University;15 ;Altre tipologie non comprese nelle precedenti voci;0;15;0;0
2023-2024;05817;Roma - Link Campus University;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05818;Roma - Saint Camillus International;15 ;Altre tipologie non comprese nelle precedenti voci;18;0;0;57
2023-2024;05818;Roma - Saint Camillus International;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);950;0;0;
2023-2024;06201;Benevento - Università degli studi del Sannio;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);5;0;0;
2023-2024;06201;Benevento - Università degli studi del Sannio;15 ;Altre tipologie non comprese nelle precedenti voci;235;0;0;58
2023-2024;06201;Benevento - Università degli studi del Sannio;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);N;0;0;0
2023-2024;06201;Benevento - Università degli studi del Sannio;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);38;0;0;
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";15 ;Altre tipologie non comprese nelle precedenti voci;490;0;0;101
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);63;0;0;
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";15 ;Altre tipologie non comprese nelle precedenti voci;14153;0;0;0
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);9925;0;0;
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);7;0;0;
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";15 ;Altre tipologie non comprese nelle precedenti voci;206;0;0;1
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);398;0;0;
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);18;0;0;
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);21;0;0;0
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);483;0;0;
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";15 ;Altre tipologie non comprese nelle precedenti voci;902;0;9;429
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);105;N;0;
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";15 ;Altre tipologie non comprese nelle precedenti voci;17;0;0;18
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);905;0;0;
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);987;0;0;
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";15 ;Altre tipologie non comprese nelle precedenti voci;2223;0;0;0
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);446;0;0;0
2023-2024;06308;Napoli - Scuola Superiore Meridionale;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06308;Napoli - Scuola Superiore Meridionale;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;06308;Napoli - Scuola Superiore Meridionale;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06308;Napoli - Scuola Superiore Meridionale;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;06501;Salerno - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06501;Salerno - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1015;0;0;28
2023-2024;06501;Salerno - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06501;Salerno - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;06601;L'Aquila - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);27;0;0;
2023-2024;06601;L'Aquila - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;227;0;0;53
2023-2024;06601;L'Aquila - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06601;L'Aquila - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);731;0;0;
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;06701;Teramo - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06701;Teramo - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;780;0;1;77
2023-2024;06701;Teramo - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06701;Teramo - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);314;0;0;
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);54;0;0;
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;15 ;Altre tipologie non comprese nelle precedenti voci;1271;0;2;7
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1700;0;0;
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";15 ;Altre tipologie non comprese nelle precedenti voci;72;0;0;593
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07001;Campobasso - Università degli studi del Molise;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;07001;Campobasso - Università degli studi del Molise;15 ;Altre tipologie non comprese nelle precedenti voci;182;0;2;84
2023-2024;07001;Campobasso - Università degli studi del Molise;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07001;Campobasso - Università degli studi del Molise;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);419;0;0;
2023-2024;07101;Foggia - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);59;5;N;
2023-2024;07101;Foggia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;2032;197;1;0
2023-2024;07101;Foggia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07101;Foggia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1092;0;0;
2023-2024;07201;Bari - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);126;0;5;
2023-2024;07201;Bari - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1603;4;12;27
2023-2024;07201;Bari - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);175;0;0;0
2023-2024;07201;Bari - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2011;0;0;
2023-2024;07202;Bari - Politecnico;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;07202;Bari - Politecnico;15 ;Altre tipologie non comprese nelle precedenti voci;682;0;0;0
2023-2024;07202;Bari - Politecnico;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07202;Bari - Politecnico;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);472;0;0;
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";15 ;Altre tipologie non comprese nelle precedenti voci;183;0;0;144
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07501;Lecce - Università del Salento;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);41;0;0;
2023-2024;07501;Lecce - Università del Salento;15 ;Altre tipologie non comprese nelle precedenti voci;158;0;0;11
2023-2024;07501;Lecce - Università del Salento;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07501;Lecce - Università del Salento;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);864;0;0;
2023-2024;07601;Potenza - Università degli studi della Basilicata;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);74;0;0;
2023-2024;07601;Potenza - Università degli studi della Basilicata;15 ;Altre tipologie non comprese nelle precedenti voci;69;0;0;0
2023-2024;07601;Potenza - Università degli studi della Basilicata;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07601;Potenza - Università degli studi della Basilicata;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1516;0;0;
2023-2024;07801;Arcavacata di Rende - Università della Calabria;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);32;0;0;
2023-2024;07801;Arcavacata di Rende - Università della Calabria;15 ;Altre tipologie non comprese nelle precedenti voci;1999;0;0;46
2023-2024;07801;Arcavacata di Rende - Università della Calabria;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07801;Arcavacata di Rende - Università della Calabria;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1669;0;0;
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";15 ;Altre tipologie non comprese nelle precedenti voci;37;213;0;219
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);141;0;0;
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;15 ;Altre tipologie non comprese nelle precedenti voci;541;1;0;0
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);114;0;0;
2023-2024;08003;Reggio Calabria - Università per Stranieri;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;08003;Reggio Calabria - Università per Stranieri;15 ;Altre tipologie non comprese nelle precedenti voci;80;0;0;0
2023-2024;08003;Reggio Calabria - Università per Stranieri;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;08201;Palermo - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;08201;Palermo - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;2703;919;0;0
2023-2024;08201;Palermo - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;08201;Palermo - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3178;0;0;
2023-2024;08301;Messina - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);46;N;4;
2023-2024;08301;Messina - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1716;21;0;0
2023-2024;08301;Messina - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;08301;Messina - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1230;0;0;
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";15 ;Altre tipologie non comprese nelle precedenti voci;123;0;0;3
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;08701;Catania - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;08701;Catania - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;34;0;38;50
2023-2024;08701;Catania - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;N
2023-2024;08701;Catania - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);5843;0;0;
2023-2024;09001;Sassari - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);N;0;0;
2023-2024;09001;Sassari - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;210;0;0;0
2023-2024;09001;Sassari - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);110;0;0;0
2023-2024;09001;Sassari - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);745;0;0;
2023-2024;09201;Cagliari - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);18;0;0;
2023-2024;09201;Cagliari - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;267;0;0;0
2023-2024;09201;Cagliari - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);25;0;0;0
2023-2024;09201;Cagliari - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1046;0;0;
