Title: ,The structure of European education systems,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
IE,2025/2026,IE02.Institute of technology ,IE11.Apprenticeship,Institute of technology ,Apprenticeship,ISCED 7,2,2,120,na,na
IE,2025/2026,IE03.Third-level college,IE12.Higher Certificate,Third-level college,Higher Certificate,ISCED 5,0,2,120,na,higher education
IE,2025/2026,IE03.Third-level college,IE13.Ordinary Bachelor Degree,Third-level college,Ordinary Bachelor Degree,ISCED 6,0,3,180,na,na
IE,2025/2026,IE04.Education and Training Boards,IE14.Apprenticeship,Education and Training Boards,Apprenticeship,ISCED 6,0,2,120,na,na
IS,2025/2026,IS01.University,"IS01.Tertiary programmes 3 years, first university degree",Háskóli,Háskólanám (fyrstu gráðu),ISCED 6,0,3,180,na,na
IS,2025/2026,IS01.University,"IS02.Tertiary programmes, 0.5-1 year in addition to 3-4 year studies, not leading to a second degree",Háskóli,"Háskólanám, 0,5-1 viðbótarár",ISCED 6,3,1,60,na,na
IS,2025/2026,IS01.University,"IS03.Tertiary programmes, 2 years in addition to 3-4 year studies, leading to a second degree",Háskóli,"Háskólanám, viðbótargráða",ISCED 7,3,2,120,na,na
IS,2025/2026,IS01.University,"IS04.Doctoral programme, Ph.D.",Háskóli,Doktorsnám,ISCED 8,5,3,180,na,na
IT,2025/2026,IT01.Higher technological institute (ITS Academy),IT01.Higher technological tertiary education,Istituto tecnologico superiore (ITS Academy),Istruzione tecnologica superiore,ISCED 5,0,2,Not applicable,na,vocational
IT,2025/2026,IT01.Higher technological institute (ITS Academy),IT02.Higher technological tertiary education,Istituto tecnologico superiore (ITS Academy),Istruzione tecnologica superiore,ISCED 6,0,3,Not applicable,na,na
IT,2025/2026,IT02.University,IT03.Bachelor programme,Universitá,Corso di Laurea,ISCED 6,0,3,180,na,na
IT,2025/2026,IT02.University,"IT04.Master (long first degree, 5-6 years) ",Universitá,Corso di Laurea magistrale a ciclo unico,ISCED 7,0,5,300,na,na
IT,2025/2026,IT02.University,IT05.Post-Bachelor programme,Universitá,Master universitario di 1° livello,ISCED 6,3,1,60,na,na
IT,2025/2026,IT02.University,IT06.Master programme ,Universitá,Corso di Laurea magistrale ,ISCED 7,3,2,120,na,na
IT,2025/2026,IT02.University,IT07.Post-Master programme,Universitá,Master universitario di 2° livello,ISCED 7,5,1,60,na,na
IT,2025/2026,IT02.University,IT08.Research Doctorate (PhD),Universitá,Dottorato di ricerca,ISCED 8,5,3,Not applicable,na,na
IT,2025/2026,IT03.AFAM Institution,"IT09.Higher education for the fine arts, music, and dance - first level programme (bachelor)",Istituto AFAM,Corsi accademici di AFAM - 1° livello,ISCED 6,0,3,180,na,na
IT,2025/2026,IT03.AFAM Institution,"IT10.Higher education for the fine arts, music, and dance - second level (master)",Istituto AFAM,Corsi accademici di AFAM - 2° livello,ISCED 7,3,2,120,na,na
LI,2025/2026,LI01.University,LI01.Bachelor,Universität,Bachelor,ISCED 6,0,3,180,na,na
LI,2025/2026,LI01.University,LI02.Master,Universität,Master,ISCED 7,3,2,120,na,na
LI,2025/2026,LI01.University,LI03.Doctorate,Universität,Doktorat,ISCED 8,5,3,Not applicable,na,na
LT,2025/2026,LT01.College ,LT01.Short cycle studies,Kolegija,Trumposios pakopos studijos,ISCED 5,0,1.5,90,na,higher education
LT,2025/2026,LT01.College,LT02.Higher non-university studies,Kolegija,Profesinio bakalauro studijų programos                    ,ISCED 6,0,3,180,na,na
LT,2025/2026,LT02.University,LT03.Bachelor's studies,Universitetas,Bakalauro studijų programos                ,ISCED 6,0,4,240,na,na
LT,2025/2026,LT02.University,LT04.Integrated studies,Universitetas,Vientisųjų studijų programos,ISCED 7,0,5,300,na,na
LT,2025/2026,LT02.University,LT05.Master's studies,Universitetas,Magistrantūros studijų programos,ISCED 7,3,2,120,na,na
LT,2025/2026,LT02.University,LT06.Doctorate studies ,Universitetas,Doktorantūra ,ISCED 8,5,4,Not applicable,na,na
LU,2025/2026,LU01.General secondary school,LU01.Higher technician certificate,Lycée général,Brevet de technicien supérieur (BTS),ISCED 5,0,2,120,na,higher education
LU,2025/2026,LU02.University,LU02.Bachelor,Université,Bachelor,ISCED 6,0,3,180,na,na
LU,2025/2026,LU02.University,LU03.Master,Université,Master ,ISCED 7,3,2,120,na,na
LU,2025/2026,LU02.University,LU04.Doctorate/PhD,Université,Doctorat,ISCED 8,5,3,Not applicable,na,na
LU,2025/2026,LU03.Specialised higher education institution,LU05.Bachelor,Établissement d'enseignement supérieur spécialisé,Bachelor ,ISCED 6,0,3,180,na,na
LU,2025/2026,LU03.Specialised higher education institution,LU06.Master,Établissement d'enseignement supérieur spécialisé,Master ,ISCED 7,3,2,120,na,na
LV,2025/2026,LV01.College,LV01.Short cycle vocationall higher education  ,Koledža,Īsā cikla profesionālā augstākā izglītība ,ISCED 5,0,2,120,na,higher education
LV,2025/2026,LV02.Higher education institution,LV02.Short cycle vocationall higher education  ,Augstskola,Īsā cikla profesionālā augstākā izglītība ,ISCED 5,0,2,120,na,higher education
LV,2025/2026,LV02.Higher education institution,LV03.Academic bachelor programmes,Augstskola,Akadēmiskā bakalura programmas,ISCED 6,0,3,180,na,na
LV,2025/2026,LV02.Higher education institution,LV04.Professional bachelor programmes,Augstskola,Profesionālā bakalaura programmas,ISCED 6,0,4,240,na,na
LV,2025/2026,LV02.Higher education institution,LV05.Academic master programmes,Augstskola,Akadēmiskā maģistra programmas,ISCED 7,3,2,120,na,na
LV,2025/2026,LV02.Higher education institution,LV06.Professional master programme,Augstskola,Profesionālā maģistra programma,ISCED 7,4,2,120,na,na
LV,2025/2026,LV02.Higher education institution,LV07.Doctoral programmes,Augstskola,Doktora programmas,ISCED 8,5,3,180,na,na
LV,2025/2026,LV03.University,LV08.Short cycle vocationall higher education  ,Universitāte ,Īsā cikla profesionālā augstākā izglītība ,ISCED 5,0,2,120,na,higher education
LV,2025/2026,LV03.University,LV09.Academic bachelor programmes,Universitāte ,Akadēmiskā bakalura programmas,ISCED 6,0,3,180,na,na
LV,2025/2026,LV03.University,LV10.Professional bachelor programmes,Universitāte ,Profesionālā bakalaura programmas,ISCED 6,0,4,240,na,na
LV,2025/2026,LV03.University,LV11.Professional higher education programmes,Universitāte,Profesionlālās augstākās izglītības programmas,ISCED 7,0,5,300,na,na
LV,2025/2026,LV03.University,LV12.Academic master programmes,Universitāte ,Akadēmiskā maģistra programmas,ISCED 7,3,2,120,na,na
LV,2025/2026,LV03.University,LV13.Professional master programme,Universitāte ,Profesionālā maģistra programma,ISCED 7,4,2,120,na,na
LV,2025/2026,LV03.University ,LV14.Professional third-cycle programmes,Universitāte,Profesionālās trešā cikla programmas,ISCED 8,5,3,180,na,na
LV,2025/2026,LV03.University,LV15.Doctoral programmes,Universitāte ,Doktora programmas,ISCED 8,5,3,180,na,na
ME,2025/2026,ME01.University,ME01.Bachelor degree,Univerzitet,Osnovni studijski program,ISCED 6,0,3,180,na,na
ME,2025/2026,ME01.University,ME02.Master degree programmes (integrated studies),Univerzitet,Integrisane studije,ISCED 7,0,5,300,na,na
ME,2025/2026,ME01.University,ME03.Master degree programmes following the Bachelor degree,Univerzitet,Postdiplomsk (master) studijski program,ISCED 7,3,2,120,na,na
ME,2025/2026,ME01.University,ME04.Doctorate ,Univerzitet,Doktorski studijski program,ISCED 8,5,3,180,na,na
MK,2025/2026,MK01.Independent higher vocational school ,MK01.Vocational studies from the first cycle of education ,Samostojna visoka struchna shkola,Struchni studii od prv ciklus na obrazovanie                                                                                                                                                                                                                                                                                                                                         ,ISCED 5,0,1,60,na,higher education
MK,2025/2026,MK01.Independent higher vocational school ,MK02.First cycle of vocational studies,Samostojna visoka struchna shkola,Prv ciklus na struchni studii                      ,ISCED 6,0,3,180,na,na
MK,2025/2026,MK01.Independent higher vocational school ,MK03.Second cycle of vocational studies (specialist programme),Samostojna visoka struchna shkola,Prv ciklus na struchni studii,ISCED 7,3,1,60,na,na
MK,2025/2026,MK02.University ,MK04.Certificate/Diploma,Univerzitet,Certificate/Diploma,ISCED 5,0,1,60,na,higher education
MK,2025/2026,MK02.University,MK05.First cycle of academic studies (undergraduate studies),Univerzitet,Prv ciklus na akademski studii,ISCED 6,0,4,240,na,na
MK,2025/2026,MK02.University,"MK06.Integrated studies in medicine, pharmacy, veterinary medicine and architecture (5 or 6 years)",Univerzitet,Integrirani studii,ISCED 7,0,5,300,na,na
MK,2025/2026,MK02.University,MK07.Second cycle of academic studies (graduate programmes),Univerzitet,Vtor ciklus na akademski studii,ISCED 7,4,1,60,na,na
MK,2025/2026,MK02.University ,MK08.Doctoral studies (Doctorate),Univerzitet,Doktorski studii (doktorat),ISCED 8,5,3,180,na,na
MT,2025/2026,MT01.University,MT01.Certificate / Diploma,University,Certificate / Diploma,ISCED 5,0,1,60,na,higher education
MT,2025/2026,MT01.University,MT02.Diploma / Higher National Diploma / Higher Diploma,University,Diploma / Higher National Diploma / Higher Diploma,ISCED 5,0,2,120,na,higher education
MT,2025/2026,MT01.University,MT03.Bachelors Degree / Bachelors Honours Degree,University,Bachelors Degree / Bachelors Honours Degree,ISCED 6,0,3,180,na,na
MT,2025/2026,MT01.University,MT04.Masters Degree ,University,Masters Degree ,ISCED 7,0,5,300,na,na
MT,2025/2026,MT01.University,MT05.Post Graduate Certificate / Diploma ,University,Post Graduate Certificate / Diploma ,ISCED 7,3,1,60,na,na
MT,2025/2026,MT01.University,MT06.Masters Degree ,University,Masters Degree ,ISCED 7,3,2,120,na,na
MT,2025/2026,MT01.University,MT07.Masters Degree ,University,Masters Degree ,ISCED 7,5,3,180,na,na
MT,2025/2026,MT01.University,MT08.PhD,University,PhD,ISCED 8,5,4,Not applicable,na,na
MT,2025/2026,MT01.University,MT09.Professional Doctorate,University,Professional Doctorate,ISCED 8,5,3,180,na,na
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT10.Diploma ,MCAST,Diploma ,ISCED 5,0,1,60,na,higher education
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT11.Diploma / Higher National Diploma / Higher Diploma,MCAST,Diploma / Higher National Diploma / Higher Diploma,ISCED 5,0,2,120,na,higher education
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT12.Bachelors Degree,MCAST,Bachelors Degree,ISCED 6,0,3,180,na,na
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT13.Post Graduate Certificate / Diploma ,MCAST,Post Graduate Certificate / Diploma ,ISCED 7,3,1,60,na,na
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT14.Masters Degree ,MCAST,Masters Degree ,ISCED 7,3,2,90,na,na
MT,2025/2026,"MT02.Malta College of Arts, Science and Technology (MCAST)",MT15.DRes,MCAST,Dres,ISCED 8,5,5,Not applicable,na,na
MT,2025/2026,MT03.Institute of Tourism Studies (ITS),MT16.Diploma ,ITS,Diploma ,ISCED 5,0,1,60,na,higher education
MT,2025/2026,MT03.Institute of Tourism Studies (ITS),MT17.Diploma / Higher National Diploma ,ITS,Diploma / Higher National Diploma ,ISCED 5,0,2,120,na,higher education
MT,2025/2026,MT03.Institute of Tourism Studies (ITS),MT18.Bachelors Degree,ITS,Bachelors Degree,ISCED 6,0,3,180,na,na
MT,2025/2026,MT03.Institute of Tourism Studies (ITS),MT19.Post Graduate Certificate / Diploma ,ITS,Post Graduate Certificate / Diploma ,ISCED 7,3,1,60,na,na
MT,2025/2026,MT03.Institute of Tourism Studies (ITS),MT20.Masters Degree ,ITS,Masters Degree ,ISCED 7,3,2,90,na,na
NL,2025/2026,NL01.University of applied sciences,NL01.Associate degree programmes,Hogeschool,Associate degree opleiding,ISCED 5,0,2,120,na,higher education
NL,2025/2026,NL01.University of applied sciences,NL02.Professional bachelor's degree programmes,Hogeschool,HBO bacheloropleiding,ISCED 6,0,4,240,na,na
NL,2025/2026,NL01.University of applied sciences,NL03.Professional master's degree programmes,Hogeschool,HBO masteropleiding,ISCED 7,4,2,120,na,na
NL,2025/2026,NL02.University,NL04.Academic bachelor's degree programmes,Universiteit,WO bacheloropleiding,ISCED 6,0,3,180,na,na
NL,2025/2026,NL02.University,NL05.Academic master's degree programmes,Universiteit,WO masteropleiding,ISCED 7,3,2,120,na,na
NL,2025/2026,NL02.University,NL06.Research assistants,Universiteit,Assistenten in opleiding (aio's),ISCED 8,5,4,Not applicable,na,na
NO,2025/2026,NO01.Vocational college,NO01.Tertiary vocational education,Fagskole,Fagskoleutdanning,ISCED 5,0,2,120,na,higher education
NO,2025/2026,NO02.University,NO02.Bachelor programme,Universitet ,Bachelorutdannning,ISCED 6,0,3,180,na,na
NO,2025/2026,NO02.University,"NO03.Master programme, 5 years",Universitet ,"Masterutdanning, 5-årig",ISCED 7,0,5,300,na,na
NO,2025/2026,NO02.University,"NO04.Master programme, 2 years",Universitet ,"Masterutdanning, 2-årig",ISCED 7,3,2,120,na,na
NO,2025/2026,NO02.University,NO06.Experience-based Master's programme,Universitet ,Erfaringsbasert masterprogram,ISCED 7,5,2,120,2,na
NO,2025/2026,NO02.University,NO07.PhD programme/Artistic Research Fellowship Programme/Doctorate,Universitet ,Doktorgradsprogram,ISCED 8,5,3,Not applicable,na,na
NO,2025/2026,NO03.College,NO08.Bachelor programme,Høgskole,Bachelorutdannning,ISCED 6,0,3,180,na,na
NO,2025/2026,NO03.College,NO09.Programmes in teacher education outside the BA-MA cycle,Høgskole,Lærerutdanning,ISCED 6,0,4,240,na,na
NO,2025/2026,NO03.College,"NO10.Master programme, 5 years",Høgskole,"Masterutdanning, 5-årig",ISCED 7,0,5,300,na,na
NO,2025/2026,NO03.College,"NO11.Master programme, 2 years",Høgskole,"Masterutdanning, 2-årig",ISCED 7,3,2,120,na,na
NO,2025/2026,NO03.College,NO13.Experience-based Master's programme,Høgskole,Erfaringsbasert masterprogram,ISCED 7,5,2,120,2,na
PL,2025/2026,PL01.Higher education institution,PL01.First cycle studies - Bachelor's degree and equivalents,Uczelnia,Studia pierwszego stopnia - licencjackie ,ISCED 6,0,3,180,na,na
PL,2025/2026,PL01.Higher education institution,PL02.First cycle studies - Bachelor's of Applied Science degree,Uczelnia,Studia pierwszego stopnia - inżynierskie ,ISCED 6,0,3.5,210,na,na
PL,2025/2026,PL01.Higher education institution ,PL03.Long-cycle Master's degree studies,Uczelnia,Jednolite studia magisterskie,ISCED 7,0,5,300,na,na
PL,2025/2026,PL01.Higher education institution ,PL04.Second-cycle studies - Master's degree and equivalents,Uczelnia,Studia drugiego stopnia - magisterskie,ISCED 7,3,2,120,na,na
PL,2025/2026,PL01.Higher education institution ,PL05.Doctoral schools,Uczelnia,Szkoły doktorskie,ISCED 8,5,4,240,na,na
PT,2025/2026,PT01.Polytechnic ,PT01.Short-cycle tertiary education - Vocational and technical higher education courses (CTeSP),Instituto politécnico,Cursos técnicos superiores profissionais (CTeSP),ISCED 5,0,2,120,na,higher education
PT,2025/2026,PT01.Polytechnic ,PT02.First programme in higher education level,Instituto politécnico,Licenciatura 1.º ciclo,ISCED 6,0,3,180,na,na
PT,2025/2026,PT01.Polytechnic ,PT03.Second degree in higher education level,Instituto politécnico,Mestrado 2.º ciclo,ISCED 7,3,2,120,na,na
PT,2025/2026,PT02.University,PT04.First programme in higher education level,Universidade,Licenciatura 1.º ciclo,ISCED 6,0,3,180,na,na
PT,2025/2026,PT02.University,PT05.First/second degree higher education level (Integrated Master’s),Universidade,Mestrado Integrado,ISCED 7,0,5,300,na,na
PT,2025/2026,PT02.University,PT06.Second degree in higher education level,Universidade,Mestrado 2.º ciclo,ISCED 7,3,2,120,na,na
PT,2025/2026,PT02.University,PT07.Second advanced research qualification,Universidade,Doutoramento 3.º ciclo,ISCED 8,5,3,180,na,na
RO,2025/2026,RO01.Higher Education Institution,RO01.Short cycle,Instituție de învățământ superior,Studii universitare de scurtă durată,ISCED 5,0,2,120,na,higher education
RO,2025/2026,RO01.Higher Education Institution,RO02.First cycle (Bachelor),Instituție de învățământ superior,Studii universitare de licenţă,ISCED 6,0,3,180,na,na
RO,2025/2026,RO01.Higher Education Institution,RO03.First cycle (Bachelor in engineering sciences),Instituție de învățământ superior,Studii universitare de licenţă în domeniul științelor inginerești,ISCED 6,0,4,240,na,na
RO,2025/2026,RO01.Higher Education Institution,RO04.University level accredited long first-degree study (Master's equivalent degree),Instituție de învățământ superior,Studii universitare de licenţă și master integrat/comasat  ,ISCED 7,0,6,360,na,na
RO,2025/2026,RO01.Higher Education Institution,RO05.Second cycle (Master),Instituție de învățământ superior,Studii universitare de master ,ISCED 7,3,2,120,na,na
RO,2025/2026,RO01.Higher Education Institution,RO06.Third cycle (doctorate),Instituție de învățământ superior,Studii universitare de doctorat ,ISCED 8,5,4,240,na,na
RS,2025/2026,RS01.College of applied studies / Academy of applied studies,RS01.Basic applied studies,Visoka škola strukovnih studija / Akademija strukovnih studija,Osnovne strukovne studije,ISCED 6,0,3,180,na,na
RS,2025/2026,RS01.College of applied studies / Academy of applied studies,RS02.Specialist applied studies,Visoka škola strukovnih studija / Akademija strukovnih studija,Specijalističke strukovne studije,ISCED 6,3,1,60,na,na
RS,2025/2026,RS01.College of applied studies / Academy of applied studies,RS03.Master applied studies,Visoka škola strukovnih studija / Akademija strukovnih studija,Master strukovne studije,ISCED 7,4,1,60,na,na
RS,2025/2026,RS02.University,RS04.Basic academic studies,Univerzitet,Osnovne akademske studije,ISCED 6,0,4,240,na,na
RS,2025/2026,RS02.University,RS05.Integrated academic studies,Univerzitet,Integrisane akademske studije,ISCED 7,0,5,300,na,na
RS,2025/2026,RS02.University,RS06.Master academic studies,Univerzitet,Master akademske studije,ISCED 7,4,1,60,na,na
RS,2025/2026,RS02.University,RS07.Specialist academic studies,Univerzitet,Specijalističke akademske studije,ISCED 7,5,1,60,na,na
RS,2025/2026,RS02.University,RS08.Doctoral academic studies,Univerzitet,Doktorske akademske studije,ISCED 8,5,3,180,na,na
SE,2025/2026,SE01.Higher vocational school,"SE01.Higher vocational education, > 2 yrs",Yrkeshögskola,"YH-utbildning, >2 år",ISCED 5,0,2,Not applicable,na,vocational
SE,2025/2026,SE02.University,SE02.Short-cycle tertiary education,Högskola / Universitet,Generellt högskoleexamensprogram,ISCED 5,0,2,120,na,higher education
SE,2025/2026,SE02.University,SE03.Bachelor programme,Högskola / Universitet,Generellt kandidatexamensprogram,ISCED 6,0,3,180,na,na
SE,2025/2026,SE02.University,"SE04.Tertiary education 4 yrs and more, professional and academic",Högskola / Universitet,Yrkesexamensprogram,ISCED 7,0,5,300,na,na
SE,2025/2026,SE02.University,SE05.Master's programme,Högskola / Universitet,Generellt masterexamensprogram,ISCED 7,3,2,120,na,na
SE,2025/2026,SE02.University,SE06.Doctoral education,Högskola / Universitet,Utbildning på forskarnivå,ISCED 8,5,4,240,na,na
SI,2025/2026,SI01.Higher vocational college,SI01.Short-cycle higher vocational education,Višja strokovna šola,Višje strokovno izobraževanje,ISCED 5,0,2,120,na,higher education
SI,2025/2026,SI02.Higher education institution,SI02.Professional first-cycle study programmes,Visokošolski zavod,Visokošolsko strokovno izobraževanje ,ISCED 6,0,3,180,na,na
SI,2025/2026,SI03.University,SI03.Academic first-cycle study programmes,Univerza,Visokošolsko univerzitetno izobraževanje,ISCED 6,0,3,180,na,na
SI,2025/2026,SI03.University,SI04.Integrated Master's study programmes,Univerza,Magistrsko izobraževanje; enoviti programi,ISCED 7,0,5,300,na,na
SI,2025/2026,SI03.University,SI05.Master's study programmes,Univerza,Magistrsko izobraževanje,ISCED 7,3,2,120,na,na
SI,2025/2026,SI03.University,SI06.Doctoral study programmes ,Univerza,Doktorsko izobraževanje,ISCED 8,5,3,180,na,na
SK,2025/2026,SK01.Secondary vocational school,SK01.Postsecondary specialized study,Stredná odborná škola,Pomaturitné špecializačné štúdium,ISCED 5,0,2,Not applicable,na,vocational
SK,2025/2026,SK01.Secondary vocational school,SK02.Higher vocational study,Stredná odborná škola,Vyššie odborné štúdium,ISCED 5,0,3,Not applicable,na,vocational
SK,2025/2026,SK02.Higher education institution,SK03.Bachelor  study,Vysoká škola,Bakalárske stúdium,ISCED 6,0,3,180,na,na
SK,2025/2026,SK02.Higher education institution,SK04.Doctor and Master study,Vysoká škola,Doktorské a magisterské štúdium,ISCED 7,0,6,360,na,na
SK,2025/2026,SK02.Higher education institution,SK05.Master study,Vysoká škola,Magisterské pokračujúce štúdium,ISCED 7,3,2,120,na,na
SK,2025/2026,SK02.Higher education institution,SK06.State examina rigorosa,Vysoká škola,Rigorózne štúdium,ISCED 7,5,1,Not applicable,na,na
SK,2025/2026,SK02.Higher education institution,SK07.PhD study,Vysoká škola,Doktorandské štúdium,ISCED 8,5,4,240,na,na
TR,2025/2026,TR01.Vocational school,TR01.Associate Degree Programmes,Meslek Yüksek Okulu,Ön Lisans Programları,ISCED 5,0,2,120,na,higher education
TR,2025/2026,TR02.University,TR02.Bachelor's Programmes,Üniversite,Lisans Programları,ISCED 6,0,4,240,na,na
TR,2025/2026,TR02.University,TR03.Long integrated programme,Üniversite,Tıp Fakültesi,ISCED 7,0,6,360,na,na
TR,2025/2026,TR02.University,TR04.Master's Programmes (with thesis),Üniversite,Yüksek Lisans Programları (Tezli),ISCED 7,4,2,120,na,na
TR,2025/2026,TR02.University,TR05.Doctorate and Proficiency in Art Programmes ,Üniversite,Doktora ve Sanatta Yeterlilik Programları,ISCED 8,6,4,240,na,na
