AnnoA;Diploma_Voto;Sesso;Imm
2020/2021;99;F;914
2020/2021;80;F;9230
2020/2021;88;M;3074
2020/2021;61;F;722
2020/2021;68;F;3432
2020/2021;69;M;857
2020/2021;95;M;3669
2020/2021;87;F;3491
2020/2021;76;M;3346
2020/2021;76;F;3679
2020/2021;84;M;2740
2020/2021;88;F;4752
2021/2022;86;M;2734
2021/2022;64;F;1343
2021/2022;60;M;6022
2021/2022;78;F;4773
2021/2022;79;M;668
2021/2022;997;F;7
2021/2022;83;F;3078
2021/2022;90;M;5012
2021/2022;63;F;1049
2021/2022;71;M;1442
2021/2022;64;M;2095
2021/2022;89;F;1545
2021/2022;101;F;6544
2021/2022;82;F;4695
2021/2022;997;M;10
2021/2022;97;M;2342
2021/2022;70;F;5858
2021/2022;78;M;4457
2021/2022;67;M;2064
2021/2022;71;F;1332
2021/2022;97;F;3774
2021/2022;66;F;1502
2021/2022;72;M;4275
2021/2022;102;F;205
2021/2022;90;F;7747
2021/2022;98;M;3604
2021/2022;85;F;4925
2021/2022;93;M;2121
2021/2022;999;F;3520
2021/2022;74;M;2776
2021/2022;73;F;2419
2021/2022;81;M;1669
2021/2022;92;F;5007
2021/2022;62;M;2765
2021/2022;100;M;19909
2021/2022;80;M;7548
2021/2022;98;F;6168
2021/2022;99;M;450
2021/2022;86;F;3515
2021/2022;72;F;3839
2021/2022;68;M;3420
2021/2022;77;F;2766
2021/2022;60;F;3647
2021/2022;65;F;2166
2021/2022;73;M;2499
2021/2022;92;M;2982
2021/2022;96;F;4622
2021/2022;998;F;5305
2021/2022;84;M;2697
2021/2022;85;M;4071
2021/2022;66;M;2132
2021/2022;84;F;3380
2021/2022;999;M;2488
2021/2022;79;F;802
2021/2022;67;F;1686
2021/2022;94;M;2258
2021/2022;61;M;828
2021/2022;75;M;5110
2021/2022;75;F;4964
2021/2022;102;M;313
2021/2022;88;M;3204
2021/2022;80;F;8602
2021/2022;91;F;2000
2021/2022;87;M;2473
2021/2022;61;F;476
2021/2022;83;M;2287
2021/2022;87;F;3288
2021/2022;68;F;2745
2021/2022;94;F;3664
2021/2022;69;M;683
2021/2022;76;M;3047
2021/2022;95;M;3585
2021/2022;99;F;622
2021/2022;100;F;35376
2021/2022;82;M;4139
2021/2022;62;F;1800
2021/2022;89;M;1297
2021/2022;70;M;7058
2021/2022;91;M;1339
2021/2022;74;F;2812
2021/2022;101;M;3409
2021/2022;93;F;3640
2021/2022;81;F;1904
2021/2022;63;M;1630
2021/2022;77;M;2535
2021/2022;76;F;3276
2021/2022;998;M;4808
2021/2022;96;M;2968
2021/2022;88;F;4378
2021/2022;103;M;1
2021/2022;95;F;5685
2021/2022;65;M;3138
2021/2022;69;F;627
2022/2023;82;F;5261
2022/2023;63;F;1254
2022/2023;90;M;5145
2022/2023;97;M;2353
2022/2023;89;F;1721
2022/2023;78;M;4954
2022/2023;101;F;7143
2022/2023;997;M;14
2022/2023;75;F;5459
2022/2023;80;F;8409
2022/2023;64;M;2211
2022/2023;61;F;556
2022/2023;95;M;3296
2022/2023;94;F;4044
2022/2023;87;F;3417
2022/2023;88;M;3182
2022/2023;83;M;2772
2022/2023;69;M;871
2022/2023;76;M;3864
2022/2023;68;F;3018
2022/2023;102;M;324
2022/2023;99;F;926
2022/2023;89;M;1225
2022/2023;63;M;1762
2022/2023;93;F;4088
2022/2023;74;F;3485
2022/2023;101;M;3951
2022/2023;81;F;2529
2022/2023;100;F;26309
2022/2023;70;M;7173
2022/2023;73;F;3151
2022/2023;74;M;3273
2022/2023;82;M;4102
2022/2023;62;F;1833
2022/2023;999;F;3704
2022/2023;92;F;5221
2022/2023;100;M;15455
2022/2023;67;M;2307
2022/2023;83;F;3526
2022/2023;98;M;2940
2022/2023;97;F;3731
2022/2023;72;M;4594
2022/2023;997;F;10
2022/2023;78;F;5657
2022/2023;79;M;1191
2022/2023;102;F;236
2022/2023;71;F;1927
2022/2023;70;F;6100
2022/2023;71;M;1955
2022/2023;86;M;2845
2022/2023;60;M;5405
2022/2023;64;F;1572
2022/2023;90;F;7848
2022/2023;62;M;2758
2022/2023;85;F;4784
2022/2023;93;M;2508
2022/2023;81;M;1972
2022/2023;66;F;1730
2022/2023;87;M;2424
2022/2023;86;F;3830
2022/2023;79;F;1352
2022/2023;75;M;5408
2022/2023;98;F;5124
2022/2023;61;M;919
2022/2023;60;F;3490
2022/2023;67;F;1928
2022/2023;68;M;3637
2022/2023;94;M;2419
2022/2023;80;M;7140
2022/2023;72;F;4397
2022/2023;92;M;3307
2022/2023;77;F;3428
2022/2023;66;M;2340
2022/2023;96;F;4497
2022/2023;998;F;6503
2022/2023;99;M;637
2022/2023;84;F;3724
2022/2023;91;F;2749
2022/2023;999;M;2648
2022/2023;84;M;2659
2022/2023;95;F;5229
2022/2023;69;F;872
2022/2023;998;M;5719
2022/2023;65;M;3202
2022/2023;96;M;2661
2022/2023;88;F;4840
2022/2023;77;M;3046
2022/2023;91;M;1843
2022/2023;76;F;4118
2022/2023;85;M;3605
2022/2023;73;M;3069
2022/2023;65;F;2394
2023/2024;66;F;2717
2023/2024;60;M;6400
2023/2024;86;M;2400
2023/2024;71;F;2933
2023/2024;85;F;4833
2023/2024;68;M;4515
2023/2024;74;M;4022
2023/2024;97;F;3008
2023/2024;98;F;3699
2023/2024;82;M;3825
2023/2024;94;M;2065
2023/2024;60;F;4562
2023/2024;86;F;3502
2023/2024;79;F;1922
2023/2024;87;M;1961
2023/2024;75;M;5651
2023/2024;67;F;2893
2023/2024;101;M;3277
2023/2024;83;F;3993
2023/2024;91;M;1752
2023/2024;79;M;1414
2023/2024;78;F;6206
2023/2024;93;M;2209
2023/2024;98;M;2037
2023/2024;67;M;3126
2023/2024;90;F;7280
2023/2024;998;M;6061
2023/2024;76;F;5012
2023/2024;65;M;4010
2023/2024;64;F;2353
2023/2024;997;F;33
2023/2024;95;F;4194
2023/2024;84;M;2757
2023/2024;102;F;723
2023/2024;72;M;5504
2023/2024;82;F;5404
2023/2024;66;M;3166
2023/2024;89;F;1852
2023/2024;97;M;1811
2023/2024;63;F;1960
2023/2024;77;F;4232
2023/2024;71;M;2732
2023/2024;84;F;4156
2023/2024;73;M;3706
2023/2024;99;M;364
2023/2024;72;F;5552
2023/2024;998;F;6986
2023/2024;61;F;1041
2023/2024;62;M;3456
2023/2024;88;M;2640
2023/2024;80;M;7192
2023/2024;999;M;2772
2023/2024;61;M;1470
2023/2024;92;M;2871
2023/2024;65;F;3324
2023/2024;91;F;2741
2023/2024;90;M;4455
2023/2024;96;F;3600
2023/2024;78;M;5006
2023/2024;70;F;8189
2023/2024;63;M;2405
2023/2024;100;F;20870
2023/2024;77;M;3523
2023/2024;85;M;3177
2023/2024;101;F;6029
2023/2024;62;F;2652
2023/2024;69;F;1377
2023/2024;88;F;3900
2023/2024;89;M;1285
2023/2024;93;F;3528
2023/2024;74;F;4605
2023/2024;81;F;3493
2023/2024;70;M;8168
2023/2024;96;M;2133
2023/2024;83;M;2675
2023/2024;76;M;4253
2023/2024;102;M;659
2023/2024;75;F;6281
2023/2024;94;F;3396
2023/2024;87;F;2741
2023/2024;64;M;2832
2023/2024;997;M;22
2023/2024;95;M;2617
2023/2024;68;F;4321
2023/2024;73;F;4228
2023/2024;81;M;2510
2023/2024;99;F;561
2023/2024;92;F;4693
2023/2024;69;M;1299
2023/2024;100;M;12789
2023/2024;80;F;9352
2023/2024;999;F;3927
2024/2025;65;F;3558
2024/2025;73;M;3912
2024/2025;96;F;3496
2024/2025;999;M;2903
2024/2025;85;M;3122
2024/2025;92;M;2869
2024/2025;84;F;4284
2024/2025;66;M;3519
2024/2025;68;M;4850
2024/2025;80;M;7172
2024/2025;98;F;3481
2024/2025;94;M;2058
2024/2025;75;M;5798
2024/2025;91;F;2762
2024/2025;87;M;1919
2024/2025;72;F;6092
2024/2025;60;F;4844
2024/2025;61;M;1627
2024/2025;86;F;3532
2024/2025;99;M;366
2024/2025;79;F;2167
2024/2025;998;F;8232
2024/2025;92;F;4693
2024/2025;100;M;12320
2024/2025;66;F;2989
2024/2025;81;M;2537
2024/2025;74;M;4243
2024/2025;73;F;4485
2024/2025;74;F;4971
2024/2025;93;M;2069
2024/2025;85;F;4670
2024/2025;62;M;3744
2024/2025;63;M;2679
2024/2025;67;F;3324
2024/2025;81;F;3585
2024/2025;89;M;1287
2024/2025;100;F;20141
2024/2025;101;M;3365
2024/2025;65;M;4103
2024/2025;77;M;3647
2024/2025;103;M;1
2024/2025;95;F;4168
2024/2025;76;F;5251
2024/2025;88;F;4004
2024/2025;77;F;4483
2024/2025;998;M;7928
2024/2025;96;M;2131
2024/2025;69;F;1612
2024/2025;84;M;2713
2024/2025;70;M;8719
2024/2025;82;M;3721
2024/2025;62;F;2790
2024/2025;93;F;3565
2024/2025;88;M;2586
2024/2025;87;F;2774
2024/2025;95;M;2474
2024/2025;61;F;1166
2024/2025;80;F;9617
2024/2025;69;M;1451
2024/2025;83;M;2584
2024/2025;89;F;1896
2024/2025;75;F;6731
2024/2025;78;M;5130
2024/2025;76;M;4175
2024/2025;99;F;568
2024/2025;102;M;414
2024/2025;68;F;4778
2024/2025;63;F;2176
2024/2025;997;M;26
2024/2025;94;F;3322
2024/2025;64;M;3200
2024/2025;86;M;2426
2024/2025;64;F;2600
2024/2025;997;F;28
2024/2025;78;F;6514
2024/2025;72;M;5622
2024/2025;90;F;7111
2024/2025;102;F;467
2024/2025;79;M;1653
2024/2025;60;M;6818
2024/2025;91;M;1654
2024/2025;999;F;3941
2024/2025;71;F;3101
2024/2025;98;M;1917
2024/2025;83;F;4040
2024/2025;84;9;1
2024/2025;67;M;3346
2024/2025;97;F;2956
2024/2025;101;F;5720
2024/2025;97;M;1760
2024/2025;71;M;2916
2024/2025;70;F;8737
2024/2025;82;F;5272
2024/2025;90;M;4443
