ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,RMPSQP500D,SCUOLA SECONDARIA II GRADO,5,39,39,0,0,0
202425,RMPS27500L,SCUOLA SECONDARIA II GRADO,4,28,25,3,0,3
202425,SAPM3S500H,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
202425,MB1E07100P,SCUOLA PRIMARIA,4,28,26,2,0,2
202425,BLPM01500Q,SCUOLA SECONDARIA II GRADO,3,30,30,0,0,0
202425,CO1E00800E,SCUOLA PRIMARIA,3,17,15,2,1,1
202425,MBSL05500V,SCUOLA SECONDARIA II GRADO,5,80,78,2,1,1
202425,VV1E00100R,SCUOLA PRIMARIA,5,20,20,0,0,0
202425,BO1E01500R,SCUOLA PRIMARIA,3,31,30,1,0,1
202425,TV1E00100X,SCUOLA PRIMARIA,3,24,23,1,0,1
202425,SARFMI5004,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
202425,RE1E565000,SCUOLA PRIMARIA,2,8,7,1,0,1
202425,RMSL5N500U,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202425,CA1E01000G,SCUOLA PRIMARIA,4,20,20,0,0,0
202425,MI1E017005,SCUOLA PRIMARIA,2,71,69,2,1,1
202425,UD1E00900V,SCUOLA PRIMARIA,4,13,13,0,0,0
202425,VBRH155008,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
202425,NA1E04100G,SCUOLA PRIMARIA,4,49,49,0,0,0
202425,AVTFN9500H,SCUOLA SECONDARIA II GRADO,3,1,1,0,0,0
202425,NATLT3500M,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
202425,SA1E00200B,SCUOLA PRIMARIA,5,7,7,0,0,0
202425,VAPMV0500Q,SCUOLA SECONDARIA II GRADO,3,24,24,0,0,0
202425,NA1E28100Q,SCUOLA PRIMARIA,5,53,53,0,0,0
202425,TV1E00300G,SCUOLA PRIMARIA,4,36,35,1,0,1
202425,LU1E002008,SCUOLA PRIMARIA,5,15,14,1,1,0
202425,BG1E030001,SCUOLA PRIMARIA,2,47,46,1,1,0
202425,CORC43500S,SCUOLA SECONDARIA II GRADO,5,21,20,1,0,1
202425,RM1M01200Q,SCUOLA SECONDARIA I GRADO,1,55,53,2,0,2
202425,RMPSLS5006,SCUOLA SECONDARIA II GRADO,4,20,20,0,0,0
202425,VR1E01000A,SCUOLA PRIMARIA,4,24,19,5,3,2
202425,CERIPM5008,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
202425,CE1E06400A,SCUOLA PRIMARIA,5,11,11,0,0,0
202425,SAPMBS5006,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
202425,RC1M00400N,SCUOLA SECONDARIA I GRADO,2,17,17,0,0,0
202425,PA1E03800L,SCUOLA PRIMARIA,1,13,13,0,0,0
202425,NA1E15500A,SCUOLA PRIMARIA,4,24,24,0,0,0
202425,MI1M06100C,SCUOLA SECONDARIA I GRADO,3,63,61,2,0,2
202425,RN1E005009,SCUOLA PRIMARIA,2,37,36,1,0,1
202425,BO1E01600L,SCUOLA PRIMARIA,2,26,23,3,1,2
202425,MIPL94500B,SCUOLA SECONDARIA II GRADO,2,16,15,1,1,0
202425,RMPM3G5002,SCUOLA SECONDARIA II GRADO,5,44,43,1,0,1
202425,NA1E08900L,SCUOLA PRIMARIA,5,20,20,0,0,0
202425,PD1E01000L,SCUOLA PRIMARIA,2,40,39,1,0,1
202425,SRPS52500Q,SCUOLA SECONDARIA II GRADO,2,8,6,2,0,2
202425,FI1E034008,SCUOLA PRIMARIA,5,47,47,0,0,0
202425,CE1E06800N,SCUOLA PRIMARIA,4,9,9,0,0,0
202425,SATL00500A,SCUOLA SECONDARIA II GRADO,5,30,29,1,0,1
202425,LCPMEE500S,SCUOLA SECONDARIA II GRADO,5,25,25,0,0,0
202425,RMPL085008,SCUOLA SECONDARIA II GRADO,5,30,26,4,1,3
202425,TO1M012007,SCUOLA SECONDARIA I GRADO,2,46,45,1,0,1
202425,FO1E002002,SCUOLA PRIMARIA,4,11,8,3,0,3
202425,NA1E12000B,SCUOLA PRIMARIA,4,10,9,1,0,1
202425,NA1E07700A,SCUOLA PRIMARIA,3,16,16,0,0,0
202425,LT1E00400C,SCUOLA PRIMARIA,4,15,14,1,1,0
202425,CERH00500D,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
202425,NATDQR500S,SCUOLA SECONDARIA II GRADO,4,3,3,0,0,0
202425,VI1E008002,SCUOLA PRIMARIA,4,6,6,0,0,0
202425,CS1E00500N,SCUOLA PRIMARIA,5,9,8,1,1,0
202425,FI1E006004,SCUOLA PRIMARIA,1,20,19,1,0,1
202425,MI1E00800A,SCUOLA PRIMARIA,3,65,64,1,0,1
202425,RM1M08400N,SCUOLA SECONDARIA I GRADO,3,34,32,2,0,2
202425,VE1E006003,SCUOLA PRIMARIA,1,25,23,2,0,2
202425,CT1E054002,SCUOLA PRIMARIA,4,25,21,4,0,4
202425,RM1E21400X,SCUOLA PRIMARIA,3,9,9,0,0,0
202425,MI1E03000G,SCUOLA PRIMARIA,3,24,23,1,0,1
202425,PDPS035006,SCUOLA SECONDARIA II GRADO,3,26,25,1,1,0
202425,CE1E04100N,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,MI1M084005,SCUOLA SECONDARIA I GRADO,1,24,22,2,0,2
202425,NATF6G5004,SCUOLA SECONDARIA II GRADO,5,67,65,2,0,2
202425,AL1E00100P,SCUOLA PRIMARIA,1,55,52,3,0,3
202425,APTD5L500H,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
202425,PAPM25500A,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
202425,MIPM1R500Q,SCUOLA SECONDARIA II GRADO,2,22,22,0,0,0
202425,UDPS0G500U,SCUOLA SECONDARIA II GRADO,1,14,13,1,0,1
202425,TOPSA6500N,SCUOLA SECONDARIA II GRADO,2,18,17,1,1,0
202425,SA1E016009,SCUOLA PRIMARIA,4,15,14,1,0,1
202425,VEPC02500E,SCUOLA SECONDARIA II GRADO,2,9,9,0,0,0
202425,PA1E01000R,SCUOLA PRIMARIA,5,21,21,0,0,0
202425,BORI03500C,SCUOLA SECONDARIA II GRADO,4,27,26,1,1,0
202425,TVTB205003,SCUOLA SECONDARIA II GRADO,4,40,35,5,3,2
202425,AVTLU25001,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
202425,RM1E073002,SCUOLA PRIMARIA,2,40,28,12,4,8
202425,TO1E02600X,SCUOLA PRIMARIA,2,22,18,4,1,3
202425,CTTD34500V,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202425,NATFRU500B,SCUOLA SECONDARIA II GRADO,4,4,4,0,0,0
202425,NAPM115006,SCUOLA SECONDARIA II GRADO,1,9,8,1,0,1
202425,TS1E008001,SCUOLA PRIMARIA,1,21,20,1,1,0
202425,MIPC18500P,SCUOLA SECONDARIA II GRADO,1,22,22,0,0,0
202425,RM1E00200X,SCUOLA PRIMARIA,5,22,18,4,0,4
202425,RMPM4G5004,SCUOLA SECONDARIA II GRADO,5,30,30,0,0,0
202425,TOPQ04500Q,SCUOLA SECONDARIA II GRADO,3,49,49,0,0,0
202425,RE1E008001,SCUOLA PRIMARIA,3,24,22,2,0,2
202425,SATL16500Q,SCUOLA SECONDARIA II GRADO,1,8,6,2,0,2
202425,CETF8G500N,SCUOLA SECONDARIA II GRADO,1,5,5,0,0,0
202425,SA1E00600P,SCUOLA PRIMARIA,1,14,14,0,0,0
202425,TO1E05800B,SCUOLA PRIMARIA,2,17,7,10,4,6
202425,TO1E020001,SCUOLA PRIMARIA,3,18,17,1,1,0
202425,PVRFL2500T,SCUOLA SECONDARIA II GRADO,1,7,6,1,1,0
202425,PATL095008,SCUOLA SECONDARIA II GRADO,5,24,24,0,0,0
202425,CTPL00500R,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202425,RM1E21000L,SCUOLA PRIMARIA,5,24,24,0,0,0
202425,NATF30500A,SCUOLA SECONDARIA II GRADO,4,8,8,0,0,0
202425,RM1E130001,SCUOLA PRIMARIA,3,10,4,6,2,4
202425,RM1E10900G,SCUOLA PRIMARIA,2,20,20,0,0,0
202425,RMPS00500L,SCUOLA SECONDARIA II GRADO,1,2,1,1,0,1
202425,FG1E02500R,SCUOLA PRIMARIA,3,25,24,1,0,1
202425,CERI59500T,SCUOLA SECONDARIA II GRADO,4,14,14,0,0,0
202425,NA1E13900C,SCUOLA PRIMARIA,5,11,11,0,0,0
202425,LCPL025002,SCUOLA SECONDARIA II GRADO,2,9,9,0,0,0
202425,NA1E164005,SCUOLA PRIMARIA,1,12,12,0,0,0
202425,TO1M02900L,SCUOLA SECONDARIA I GRADO,2,17,15,2,0,2
202425,AV1EE5500E,SCUOLA PRIMARIA,3,10,9,1,1,0
202425,BLPMMN5000,SCUOLA SECONDARIA II GRADO,4,22,22,0,0,0
202425,CB1E002007,SCUOLA PRIMARIA,2,13,13,0,0,0
202425,MBRH02500X,SCUOLA SECONDARIA II GRADO,1,18,18,0,0,0
202425,NAPS045004,SCUOLA SECONDARIA II GRADO,2,30,30,0,0,0
202425,NA1E093008,SCUOLA PRIMARIA,1,15,15,0,0,0
202425,RM1M13900L,SCUOLA SECONDARIA I GRADO,2,57,55,2,1,1
202425,CA1E01500P,SCUOLA PRIMARIA,3,18,18,0,0,0
202425,CA1E00700Q,SCUOLA PRIMARIA,4,25,25,0,0,0
202425,SRTHA6500C,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,BG1M022007,SCUOLA SECONDARIA I GRADO,1,44,42,2,0,2
202425,MB1E032004,SCUOLA PRIMARIA,5,34,34,0,0,0
202425,NA1E022006,SCUOLA PRIMARIA,4,56,56,0,0,0
202425,MI1E039002,SCUOLA PRIMARIA,4,47,42,5,0,5
202425,MTTD01500D,SCUOLA SECONDARIA II GRADO,4,3,2,1,0,1
202425,CE1E022008,SCUOLA PRIMARIA,2,36,30,6,0,6
202425,CE1E03900N,SCUOLA PRIMARIA,3,22,21,1,0,1
202425,PG1E00200V,SCUOLA PRIMARIA,4,18,18,0,0,0
202425,RO1E00100P,SCUOLA PRIMARIA,5,24,23,1,0,1
202425,BSPS0H500D,SCUOLA SECONDARIA II GRADO,1,30,29,1,0,1
202425,LITD02500G,SCUOLA SECONDARIA II GRADO,5,49,49,0,0,0
202425,BG1E028001,SCUOLA PRIMARIA,2,18,17,1,0,1
202425,BNTDOO5001,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,CE1ERT500Q,SCUOLA PRIMARIA,1,11,10,1,1,0
202425,AP1MUM500N,SCUOLA SECONDARIA I GRADO,3,20,19,1,0,1
202425,NA1E234006,SCUOLA PRIMARIA,4,20,20,0,0,0
202425,TOPL11500A,SCUOLA SECONDARIA II GRADO,3,18,17,1,1,0
202425,BGPMDF500L,SCUOLA SECONDARIA II GRADO,4,22,22,0,0,0
202425,MI1E14300E,SCUOLA PRIMARIA,5,12,8,4,0,4
202425,CA1M4N500E,SCUOLA SECONDARIA I GRADO,3,15,13,2,1,1
202425,VRPS025009,SCUOLA SECONDARIA II GRADO,4,75,73,2,1,1
202425,BNRHZS500C,SCUOLA SECONDARIA II GRADO,4,9,9,0,0,0
202425,MI1MT3500U,SCUOLA SECONDARIA I GRADO,2,56,53,3,0,3
202425,VIPLVN5005,SCUOLA SECONDARIA II GRADO,5,15,14,1,1,0
202425,RE1EE9500Z,SCUOLA PRIMARIA,5,25,24,1,0,1
202425,FI1E063008,SCUOLA PRIMARIA,4,11,9,2,1,1
202425,CS1E00500N,SCUOLA PRIMARIA,3,12,11,1,1,0
202425,BR1E001002,SCUOLA PRIMARIA,5,14,13,1,0,1
202425,RNPM015006,SCUOLA SECONDARIA II GRADO,1,47,36,11,0,11
202425,MT1E00100E,SCUOLA PRIMARIA,4,17,15,2,2,0
202425,RMPS36500V,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
202425,NAPC00500E,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
202425,CE1E010002,SCUOLA PRIMARIA,5,11,11,0,0,0
202425,COTN025007,SCUOLA SECONDARIA II GRADO,1,14,14,0,0,0
202425,NA1E08200T,SCUOLA PRIMARIA,3,20,20,0,0,0
202425,VRPC01500G,SCUOLA SECONDARIA II GRADO,3,22,22,0,0,0
202425,MI1MIN5009,SCUOLA SECONDARIA I GRADO,3,51,49,2,0,2
202425,NA1E234006,SCUOLA PRIMARIA,5,10,10,0,0,0
202425,ANTD03500D,SCUOLA SECONDARIA II GRADO,2,8,5,3,0,3
202425,TOPS01500P,SCUOLA SECONDARIA II GRADO,4,50,48,2,2,0
202425,RMPSCF500T,SCUOLA SECONDARIA II GRADO,3,15,13,2,2,0
202425,RMPS265002,SCUOLA SECONDARIA II GRADO,3,30,29,1,0,1
202425,CS1E003002,SCUOLA PRIMARIA,2,20,20,0,0,0
202425,CT1E053006,SCUOLA PRIMARIA,3,17,17,0,0,0
202425,PA1E4O500T,SCUOLA PRIMARIA,2,17,14,3,1,2
202425,RM1EM25008,SCUOLA PRIMARIA,1,25,25,0,0,0
202425,TO1E6R5003,SCUOLA PRIMARIA,3,40,39,1,1,0
202425,BSPC01500D,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202425,MO1E00900B,SCUOLA PRIMARIA,1,21,19,2,0,2
202425,CTPM315008,SCUOLA SECONDARIA II GRADO,4,13,13,0,0,0
202425,TPSD015003,SCUOLA SECONDARIA II GRADO,1,35,34,1,1,0
202425,RMPL48500Q,SCUOLA SECONDARIA II GRADO,4,9,9,0,0,0
202425,APPSZ65005,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,FRTFF6500V,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202425,VR1M021002,SCUOLA SECONDARIA I GRADO,3,18,17,1,0,1
202425,ANTD02500V,SCUOLA SECONDARIA II GRADO,1,8,8,0,0,0
202425,NA1E19000N,SCUOLA PRIMARIA,1,14,14,0,0,0
202425,NA1E027009,SCUOLA PRIMARIA,5,23,23,0,0,0
202425,VE1M01200G,SCUOLA SECONDARIA I GRADO,2,25,25,0,0,0
202425,AVTFTA500S,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,NA1E13700R,SCUOLA PRIMARIA,1,16,16,0,0,0
202425,AVRFHT5000,SCUOLA SECONDARIA II GRADO,2,8,8,0,0,0
202425,AVPM03500Q,SCUOLA SECONDARIA II GRADO,5,19,18,1,1,0
202425,BA1M01200G,SCUOLA SECONDARIA I GRADO,1,58,58,0,0,0
202425,SS1E01100Q,SCUOLA PRIMARIA,5,15,14,1,0,1
202425,NATLGU500N,SCUOLA SECONDARIA II GRADO,3,9,9,0,0,0
202425,LTTD035005,SCUOLA SECONDARIA II GRADO,5,26,22,4,1,3
202425,RM1E00400G,SCUOLA PRIMARIA,5,21,21,0,0,0
202425,NA1E06700Q,SCUOLA PRIMARIA,3,51,50,1,0,1
202425,RMRFB3500L,SCUOLA SECONDARIA II GRADO,5,18,17,1,0,1
202425,TO1M042003,SCUOLA SECONDARIA I GRADO,2,18,18,0,0,0
202425,APTFZ6500L,SCUOLA SECONDARIA II GRADO,4,3,3,0,0,0
202425,BGPS1G5008,SCUOLA SECONDARIA II GRADO,3,20,20,0,0,0
202425,MI1EAE500E,SCUOLA PRIMARIA,2,18,16,2,0,2
202425,NARH4C5006,SCUOLA SECONDARIA II GRADO,2,10,10,0,0,0
202425,SATD01500E,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,BNTFM4500B,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202425,SAPS005004,SCUOLA SECONDARIA II GRADO,3,1,0,1,0,1
202425,TEPS335003,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,TOPL20500L,SCUOLA SECONDARIA II GRADO,3,27,27,0,0,0
202425,UD1MC15002,SCUOLA SECONDARIA I GRADO,1,19,19,0,0,0
202425,SA1E00700E,SCUOLA PRIMARIA,2,10,7,3,0,3
202425,CETDHG500L,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
202425,AR1M9B500D,SCUOLA SECONDARIA I GRADO,1,10,10,0,0,0
202425,RG1E00300C,SCUOLA PRIMARIA,5,18,18,0,0,0
202425,FI1E027005,SCUOLA PRIMARIA,1,18,16,2,1,1
202425,NA1E04600P,SCUOLA PRIMARIA,5,18,15,3,1,2
202425,SO1M00100Q,SCUOLA SECONDARIA I GRADO,3,15,15,0,0,0
202425,TVTD6A500Z,SCUOLA SECONDARIA II GRADO,2,15,15,0,0,0
202425,NA1E17300X,SCUOLA PRIMARIA,2,12,11,1,0,1
202425,RM1E015002,SCUOLA PRIMARIA,5,28,27,1,0,1
202425,NO1M01100X,SCUOLA SECONDARIA I GRADO,2,118,111,7,0,7
202425,CATF955004,SCUOLA SECONDARIA II GRADO,1,10,10,0,0,0
202425,TV1M006008,SCUOLA SECONDARIA I GRADO,2,21,20,1,0,1
202425,RMTD43500Q,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202425,MEPS01500B,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,CR1E005006,SCUOLA PRIMARIA,4,19,19,0,0,0
202425,NA1E09700G,SCUOLA PRIMARIA,1,45,45,0,0,0
202425,NATDFO5000,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202425,NA1E051006,SCUOLA PRIMARIA,2,42,38,4,0,4
202425,LCTB00500V,SCUOLA SECONDARIA II GRADO,5,6,5,1,0,1
202425,MOPS02500E,SCUOLA SECONDARIA II GRADO,4,29,28,1,0,1
202425,MI1E053008,SCUOLA PRIMARIA,2,77,76,1,0,1
202425,VARHL7500G,SCUOLA SECONDARIA II GRADO,4,4,4,0,0,0
202425,TO1E003007,SCUOLA PRIMARIA,2,19,18,1,0,1
202425,FRPM9G500T,SCUOLA SECONDARIA II GRADO,5,33,31,2,0,2
202425,RMTL08500Q,SCUOLA SECONDARIA II GRADO,5,62,59,3,2,1
202425,PVTL025009,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202425,GE1E01500Q,SCUOLA PRIMARIA,1,16,16,0,0,0
202425,LOPS01500A,SCUOLA SECONDARIA II GRADO,1,10,8,2,1,1
202425,PCTD015006,SCUOLA SECONDARIA II GRADO,4,24,20,4,1,3
202425,RMPLIL5008,SCUOLA SECONDARIA II GRADO,2,23,22,1,0,1
202425,VR1M026005,SCUOLA SECONDARIA I GRADO,3,58,52,6,2,4
202425,SP1E00400X,SCUOLA PRIMARIA,2,16,16,0,0,0
202425,MB1E09200Q,SCUOLA PRIMARIA,2,30,30,0,0,0
202425,MI1M041007,SCUOLA SECONDARIA I GRADO,2,172,165,7,1,6
202425,SATFIF5007,SCUOLA SECONDARIA II GRADO,1,15,13,2,0,2
202425,VEPS015003,SCUOLA SECONDARIA II GRADO,1,13,12,1,0,1
202425,LE1E00200E,SCUOLA PRIMARIA,1,21,20,1,0,1
202425,RM1EBQ5007,SCUOLA PRIMARIA,3,12,11,1,0,1
202425,TO1E03700A,SCUOLA PRIMARIA,5,37,35,2,1,1
202425,PV1E008004,SCUOLA PRIMARIA,5,22,20,2,0,2
202425,MI1M069003,SCUOLA SECONDARIA I GRADO,3,54,53,1,0,1
202425,RM1E163008,SCUOLA PRIMARIA,3,29,28,1,0,1
202425,CZPL925000,SCUOLA SECONDARIA II GRADO,1,8,8,0,0,0
202425,LTTA335002,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,MIPM01500Q,SCUOLA SECONDARIA II GRADO,2,24,24,0,0,0
202425,NAPMF15004,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
202425,VA1E4D500Q,SCUOLA PRIMARIA,4,39,36,3,0,3
202425,SAPS09500G,SCUOLA SECONDARIA II GRADO,4,6,6,0,0,0
202425,SR1E005001,SCUOLA PRIMARIA,3,22,17,5,0,5
202425,MI1E02200L,SCUOLA PRIMARIA,1,13,11,2,0,2
202425,TOPS04500E,SCUOLA SECONDARIA II GRADO,2,71,71,0,0,0
202425,MIPSQ55000,SCUOLA SECONDARIA II GRADO,5,16,16,0,0,0
202425,PI1E00300B,SCUOLA PRIMARIA,3,17,16,1,0,1
202425,SATLRU500B,SCUOLA SECONDARIA II GRADO,5,57,52,5,1,4
202425,MIPS445002,SCUOLA SECONDARIA II GRADO,2,28,26,2,1,1
202425,NA1E18900D,SCUOLA PRIMARIA,2,17,17,0,0,0
202425,NATNFI5001,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
202425,PATD475004,SCUOLA SECONDARIA II GRADO,1,1,1,0,0,0
202425,GE1E006001,SCUOLA PRIMARIA,1,85,69,16,0,16
202425,NATFFL500P,SCUOLA SECONDARIA II GRADO,5,66,63,3,1,2
202425,AG1EVA500E,SCUOLA PRIMARIA,4,16,15,1,0,1
202425,COTD06500Q,SCUOLA SECONDARIA II GRADO,1,4,3,1,0,1
202425,NA1E23600T,SCUOLA PRIMARIA,5,14,14,0,0,0
202425,RMSL3L500Q,SCUOLA SECONDARIA II GRADO,3,12,12,0,0,0
202425,TOPS09500G,SCUOLA SECONDARIA II GRADO,4,48,46,2,0,2
202425,RMPSHQ500O,SCUOLA SECONDARIA II GRADO,1,10,8,2,0,2
202425,RM1E11600P,SCUOLA PRIMARIA,1,13,9,4,0,4
202425,MI1E004003,SCUOLA PRIMARIA,2,48,42,6,0,6
202425,RMPS18500A,SCUOLA SECONDARIA II GRADO,2,12,11,1,0,1
202425,CT1E038004,SCUOLA PRIMARIA,3,14,13,1,0,1
202425,FI1E02400N,SCUOLA PRIMARIA,4,13,11,2,0,2
202425,SATFTV500U,SCUOLA SECONDARIA II GRADO,2,18,18,0,0,0
202425,MIPSEN500E,SCUOLA SECONDARIA II GRADO,5,54,54,0,0,0
202425,NA1E15900N,SCUOLA PRIMARIA,4,10,8,2,0,2
202425,RMPS575007,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,TO1EPI500H,SCUOLA PRIMARIA,3,15,14,1,0,1
202425,TVPM8T500U,SCUOLA SECONDARIA II GRADO,5,22,22,0,0,0
202425,RM1E19700B,SCUOLA PRIMARIA,1,49,47,2,1,1
202425,BNTDC1500F,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,TA1E00700G,SCUOLA PRIMARIA,3,20,20,0,0,0
202425,COPS04500P,SCUOLA SECONDARIA II GRADO,4,11,11,0,0,0
202425,MCPMC3500D,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202425,CA1E01700A,SCUOLA PRIMARIA,1,6,6,0,0,0
202425,CA1E00800G,SCUOLA PRIMARIA,4,24,23,1,0,1
202425,TOSL01500G,SCUOLA SECONDARIA II GRADO,3,29,29,0,0,0
202425,FI1E006004,SCUOLA PRIMARIA,2,17,16,1,0,1
202425,AR1E002001,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,RGPL025009,SCUOLA SECONDARIA II GRADO,1,10,2,8,2,6
202425,NA1E200003,SCUOLA PRIMARIA,5,1,1,0,0,0
202425,RMPS485001,SCUOLA SECONDARIA II GRADO,2,9,7,2,1,1
202425,CE1E05000C,SCUOLA PRIMARIA,4,17,15,2,1,1
202425,MI1E025004,SCUOLA PRIMARIA,1,36,33,3,0,3
202425,RMPC285004,SCUOLA SECONDARIA II GRADO,5,25,25,0,0,0
202425,BL1E00100G,SCUOLA PRIMARIA,3,27,26,1,0,1
202425,NA1MUL500P,SCUOLA SECONDARIA I GRADO,2,19,17,2,0,2
202425,CE1E030007,SCUOLA PRIMARIA,5,18,18,0,0,0
202425,RO1E00100P,SCUOLA PRIMARIA,1,21,21,0,0,0
202425,FIPLZD500L,SCUOLA SECONDARIA II GRADO,4,2,2,0,0,0
202425,NATFGP5005,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
202425,BO1E01000N,SCUOLA PRIMARIA,3,22,19,3,0,3
202425,SSPM9L500Q,SCUOLA SECONDARIA II GRADO,5,16,16,0,0,0
202425,BG1E021006,SCUOLA PRIMARIA,4,35,31,4,0,4
202425,RMPS08500D,SCUOLA SECONDARIA II GRADO,2,38,37,1,0,1
202425,VR1E020001,SCUOLA PRIMARIA,4,54,44,10,2,8
202425,NATDI75001,SCUOLA SECONDARIA II GRADO,2,6,6,0,0,0
202425,PGPCUN500G,SCUOLA SECONDARIA II GRADO,1,2,2,0,0,0
202425,SATFN25000,SCUOLA SECONDARIA II GRADO,4,2,2,0,0,0
202425,SATLRU500B,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
202425,LC1M08000Q,SCUOLA SECONDARIA I GRADO,3,41,40,1,0,1
202425,MI1EO4500Q,SCUOLA PRIMARIA,1,55,53,2,0,2
202425,CHRFQQ5004,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
202425,RMPS5G5003,SCUOLA SECONDARIA II GRADO,1,2,2,0,0,0
202425,BLPL49500T,SCUOLA SECONDARIA II GRADO,1,5,4,1,0,1
202425,TO1E024008,SCUOLA PRIMARIA,4,45,45,0,0,0
202425,RMPL00500B,SCUOLA SECONDARIA II GRADO,5,23,20,3,2,1
202425,MI1M063004,SCUOLA SECONDARIA I GRADO,3,120,119,1,0,1
202425,PVSLMT5003,SCUOLA SECONDARIA II GRADO,4,5,4,1,0,1
202425,SVPS015002,SCUOLA SECONDARIA II GRADO,5,22,21,1,1,0
202425,MIPC18500P,SCUOLA SECONDARIA II GRADO,2,13,13,0,0,0
202425,RM1M11200L,SCUOLA SECONDARIA I GRADO,3,8,8,0,0,0
202425,RM1E134008,SCUOLA PRIMARIA,1,17,15,2,0,2
202425,RMTAPV5005,SCUOLA SECONDARIA II GRADO,3,2,2,0,0,0
202425,MB1E05000N,SCUOLA PRIMARIA,3,72,71,1,0,1
202425,BS1E008008,SCUOLA PRIMARIA,3,28,27,1,0,1
202425,SATL09500T,SCUOLA SECONDARIA II GRADO,3,6,5,1,0,1
202425,CN1E00300P,SCUOLA PRIMARIA,2,29,28,1,1,0
202425,MIPS735002,SCUOLA SECONDARIA II GRADO,3,21,21,0,0,0
202425,TV1E019005,SCUOLA PRIMARIA,3,17,15,2,0,2
202425,MI1M05800L,SCUOLA SECONDARIA I GRADO,1,32,31,1,0,1
202425,RM1E16000R,SCUOLA PRIMARIA,3,11,11,0,0,0
202425,MBPSUD500O,SCUOLA SECONDARIA II GRADO,4,10,10,0,0,0
202425,BO1E00200P,SCUOLA PRIMARIA,3,37,34,3,0,3
202425,CR1E00200P,SCUOLA PRIMARIA,2,15,14,1,0,1
202425,BG1E021006,SCUOLA PRIMARIA,3,36,34,2,1,1
202425,MIPC125003,SCUOLA SECONDARIA II GRADO,5,23,23,0,0,0
202425,TOPS19500C,SCUOLA SECONDARIA II GRADO,2,11,10,1,1,0
202425,REPM3F5001,SCUOLA SECONDARIA II GRADO,3,18,17,1,0,1
202425,NA1E029001,SCUOLA PRIMARIA,4,18,18,0,0,0
202425,CSTDDC500C,SCUOLA SECONDARIA II GRADO,5,16,15,1,1,0
202425,MB1M02100V,SCUOLA SECONDARIA I GRADO,2,87,87,0,0,0
202425,MI1E04200T,SCUOLA PRIMARIA,3,42,40,2,1,1
202425,TVPM4Q500B,SCUOLA SECONDARIA II GRADO,4,13,13,0,0,0
202425,AGSL015004,SCUOLA SECONDARIA II GRADO,5,9,9,0,0,0
202425,BS1M013001,SCUOLA SECONDARIA I GRADO,1,74,68,6,2,4
202425,CTTD315003,SCUOLA SECONDARIA II GRADO,1,3,2,1,0,1
