ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202425,TEEE83303A,SCUOLA PRIMARIA,2,1,8,12
202425,CRPS001015,SCUOLA SECONDARIA II GRADO,4,2,14,19
202425,LCMM81704V,SCUOLA SECONDARIA I GRADO,1,1,11,5
202425,NASD10301A,SCUOLA SECONDARIA II GRADO,4,5,17,77
202425,AREE81501R,SCUOLA PRIMARIA,2,1,7,11
202425,RCMM84303T,SCUOLA SECONDARIA I GRADO,1,1,14,1
202425,PDRC02701R,SCUOLA SECONDARIA II GRADO,3,8,58,118
202425,PGEE02110D,SCUOLA PRIMARIA,3,1,9,15
202425,BATF06301G,SCUOLA SECONDARIA II GRADO,5,10,187,5
202425,SSEE85702X,SCUOLA PRIMARIA,2,3,19,29
202425,VAEE83504D,SCUOLA PRIMARIA,1,3,21,33
202425,AVTF021519,SCUOLA SECONDARIA II GRADO,5,1,6,8
202425,BIMM80002G,SCUOLA SECONDARIA I GRADO,2,1,11,6
202425,MIEE8BD012,SCUOLA PRIMARIA,1,1,6,8
202425,LUPS02301G,SCUOLA SECONDARIA II GRADO,2,6,71,53
202425,TAEE866026,SCUOLA PRIMARIA,5,1,10,7
202425,GREE82002N,SCUOLA PRIMARIA,2,1,4,5
202425,CZTL02451R,SCUOLA SECONDARIA II GRADO,5,1,7,5
202425,CAMM862011,SCUOLA SECONDARIA I GRADO,1,5,48,43
202425,BNPM003015,SCUOLA SECONDARIA II GRADO,2,7,19,99
202425,TVEE833048,SCUOLA PRIMARIA,2,2,22,16
202425,LOMM814012,SCUOLA SECONDARIA I GRADO,3,6,58,39
202425,SSEE81107Q,SCUOLA PRIMARIA,5,2,4,17
202425,PDEE82404B,SCUOLA PRIMARIA,1,1,6,12
202425,CNMM81401T,SCUOLA SECONDARIA I GRADO,3,1,11,7
202425,RMEE8B803X,SCUOLA PRIMARIA,4,1,13,5
202425,CAPC00101X,SCUOLA SECONDARIA II GRADO,1,4,8,52
202425,BRPC04001Q,SCUOLA SECONDARIA II GRADO,1,4,55,41
202425,SIEE814037,SCUOLA PRIMARIA,1,1,9,14
202425,RCPS014019,SCUOLA SECONDARIA II GRADO,5,5,28,47
202425,VBMM80302D,SCUOLA SECONDARIA I GRADO,2,1,2,7
202425,PAMM8BN017,SCUOLA SECONDARIA I GRADO,2,6,38,46
202425,CSEE83205X,SCUOLA PRIMARIA,1,1,6,6
202425,ARRH01601V,SCUOLA SECONDARIA II GRADO,3,1,11,11
202425,TEEE843053,SCUOLA PRIMARIA,4,1,7,8
202425,APEE821064,SCUOLA PRIMARIA,2,1,9,8
202425,AVEE878037,SCUOLA PRIMARIA,5,1,11,5
202425,RMEE805026,SCUOLA PRIMARIA,4,3,35,19
202425,NAMM8FC015,SCUOLA SECONDARIA I GRADO,2,9,103,102
202425,PGPC07000G,SCUOLA SECONDARIA II GRADO,1,9,48,159
202425,RGMM80501R,SCUOLA SECONDARIA I GRADO,2,2,18,14
202425,SAPS03601R,SCUOLA SECONDARIA II GRADO,5,4,37,38
202425,TAMM857019,SCUOLA SECONDARIA I GRADO,1,2,28,20
202425,FOEE81604R,SCUOLA PRIMARIA,4,2,21,23
202425,MEEE81605X,SCUOLA PRIMARIA,5,1,7,0
202425,PARI042526,SCUOLA SECONDARIA II GRADO,5,2,29,20
202425,RMEE8DG028,SCUOLA PRIMARIA,2,2,19,22
202425,NAMM8EZ01D,SCUOLA SECONDARIA I GRADO,1,1,7,7
202425,VIMM81601N,SCUOLA SECONDARIA I GRADO,1,4,42,34
202425,PDMM87704V,SCUOLA SECONDARIA I GRADO,2,1,11,17
202425,APEE83701C,SCUOLA PRIMARIA,5,1,12,12
202425,RMEE8DG017,SCUOLA PRIMARIA,2,2,21,14
202425,MIRI10303N,SCUOLA SECONDARIA II GRADO,5,3,50,7
202425,FGEE869018,SCUOLA PRIMARIA,2,3,37,23
202425,SAEE87702G,SCUOLA PRIMARIA,3,1,12,6
202425,CTEE89803G,SCUOLA PRIMARIA,1,1,2,10
202425,SATF06601P,SCUOLA SECONDARIA II GRADO,5,7,89,42
202425,FIEE82101X,SCUOLA PRIMARIA,5,1,13,7
202425,BOEE847012,SCUOLA PRIMARIA,3,2,26,16
202425,SAEE8AH01P,SCUOLA PRIMARIA,4,1,4,5
202425,RMMM8A9012,SCUOLA SECONDARIA I GRADO,2,5,52,52
202425,SVEE81501E,SCUOLA PRIMARIA,5,1,2,1
202425,GREE81902D,SCUOLA PRIMARIA,3,2,15,12
202425,AGRH01350P,SCUOLA SECONDARIA II GRADO,1,1,10,2
202425,PARC02301N,SCUOLA SECONDARIA II GRADO,2,1,0,13
202425,PDEE85804E,SCUOLA PRIMARIA,2,2,21,15
202425,VBEE812018,SCUOLA PRIMARIA,1,1,8,7
202425,SAEE8BK01A,SCUOLA PRIMARIA,4,4,37,34
202425,VREE89303E,SCUOLA PRIMARIA,5,1,12,9
202425,CNMM825018,SCUOLA SECONDARIA I GRADO,2,5,47,41
202425,TOEE89201L,SCUOLA PRIMARIA,3,2,18,16
202425,GREE81805R,SCUOLA PRIMARIA,5,1,1,1
202425,ANMM81101L,SCUOLA SECONDARIA I GRADO,2,2,20,28
202425,TAEE815029,SCUOLA PRIMARIA,5,1,5,8
202425,RMMM8CJ01L,SCUOLA SECONDARIA I GRADO,1,5,47,48
202425,CEEE073032,SCUOLA PRIMARIA,4,3,33,35
202425,BSEE816011,SCUOLA PRIMARIA,5,2,19,16
202425,SVTF00901T,SCUOLA SECONDARIA II GRADO,5,9,144,39
202425,OREE82803L,SCUOLA PRIMARIA,2,1,3,0
202425,AVEE88506D,SCUOLA PRIMARIA,5,3,32,22
202425,LOEE80902L,SCUOLA PRIMARIA,4,1,11,10
202425,REEE848048,SCUOLA PRIMARIA,4,1,8,9
202425,TOSL02050C,SCUOLA SECONDARIA II GRADO,5,2,12,16
202425,BRMM84501C,SCUOLA SECONDARIA I GRADO,3,7,74,73
202425,RMTF02801C,SCUOLA SECONDARIA II GRADO,1,2,41,1
202425,CZEE85203V,SCUOLA PRIMARIA,2,2,16,20
202425,VAPS00101Q,SCUOLA SECONDARIA II GRADO,4,9,122,69
202425,VCEE810039,SCUOLA PRIMARIA,3,2,24,14
202425,MOTL023016,SCUOLA SECONDARIA II GRADO,2,6,86,45
202425,AQEE84801D,SCUOLA PRIMARIA,2,2,16,14
202425,SRMM86401D,SCUOLA SECONDARIA I GRADO,3,1,10,8
202425,PNEE82302X,SCUOLA PRIMARIA,2,1,12,11
202425,NAEE8EN017,SCUOLA PRIMARIA,5,1,10,10
202425,LURI01601N,SCUOLA SECONDARIA II GRADO,5,5,66,8
202425,MSMM81001V,SCUOLA SECONDARIA I GRADO,2,2,22,15
202425,UDPS01801X,SCUOLA SECONDARIA II GRADO,4,6,45,43
202425,MNEE820017,SCUOLA PRIMARIA,5,3,34,26
202425,LUMM81101Q,SCUOLA SECONDARIA I GRADO,2,2,20,25
202425,TETF011012,SCUOLA SECONDARIA II GRADO,5,2,32,0
202425,SSRI022502,SCUOLA SECONDARIA II GRADO,5,1,4,3
202425,UDEE82005G,SCUOLA PRIMARIA,1,2,25,18
202425,LEMM853025,SCUOLA SECONDARIA I GRADO,2,2,17,18
202425,CNTF01401D,SCUOLA SECONDARIA II GRADO,2,3,78,0
202425,SSRA00302N,SCUOLA SECONDARIA II GRADO,3,2,12,11
202425,ORMM812021,SCUOLA SECONDARIA I GRADO,3,1,4,6
202425,NOEE81704E,SCUOLA PRIMARIA,4,1,14,9
202425,LEMM85503T,SCUOLA SECONDARIA I GRADO,1,1,13,6
202425,KRTD00650P,SCUOLA SECONDARIA II GRADO,4,1,4,2
202425,BLEE81801P,SCUOLA PRIMARIA,2,1,4,4
202425,RMEE8GS021,SCUOLA PRIMARIA,3,2,21,18
202425,CETD038508,SCUOLA SECONDARIA II GRADO,3,1,7,10
202425,ATEE812043,SCUOLA PRIMARIA,3,2,12,18
202425,TOEE89306N,SCUOLA PRIMARIA,2,1,9,13
202425,MIEE86902L,SCUOLA PRIMARIA,2,3,26,35
202425,NAMM8FH018,SCUOLA SECONDARIA I GRADO,2,8,69,68
202425,VITA01000L,SCUOLA SECONDARIA II GRADO,4,6,86,46
202425,FGPS04801Q,SCUOLA SECONDARIA II GRADO,4,2,26,15
202425,CTMM82001G,SCUOLA SECONDARIA I GRADO,3,4,43,29
202425,VTEE822055,SCUOLA PRIMARIA,4,1,4,8
202425,RMEE8AQ01Q,SCUOLA PRIMARIA,2,2,17,11
202425,BLEE829026,SCUOLA PRIMARIA,3,1,4,8
202425,BSEE886039,SCUOLA PRIMARIA,2,1,14,7
202425,ORMM812021,SCUOLA SECONDARIA I GRADO,1,1,8,5
202425,PSMM823015,SCUOLA SECONDARIA I GRADO,1,5,49,52
202425,ANTF01402R,SCUOLA SECONDARIA II GRADO,5,1,5,0
202425,BSPM02050E,SCUOLA SECONDARIA II GRADO,4,1,3,9
202425,COEE80104L,SCUOLA PRIMARIA,4,1,11,11
202425,TOEE823027,SCUOLA PRIMARIA,4,1,8,6
202425,NAEE8CM016,SCUOLA PRIMARIA,4,2,19,19
202425,TETD00151E,SCUOLA SECONDARIA II GRADO,2,1,9,13
202425,CAMM87802G,SCUOLA SECONDARIA I GRADO,1,1,12,9
202425,ALMM812041,SCUOLA SECONDARIA I GRADO,2,1,11,8
202425,CNEE84602B,SCUOLA PRIMARIA,5,2,21,19
202425,NAEE8HJ02R,SCUOLA PRIMARIA,2,1,9,7
202425,NARC104018,SCUOLA SECONDARIA II GRADO,3,6,35,88
202425,CREE80601Q,SCUOLA PRIMARIA,5,2,12,21
202425,RCEE829123,SCUOLA PRIMARIA,5,1,5,7
202425,CSEE8AM10L,SCUOLA PRIMARIA,3,3,41,16
202425,LIEE81003L,SCUOLA PRIMARIA,5,2,21,17
202425,RORC008018,SCUOLA SECONDARIA II GRADO,4,2,12,25
202425,CNEE83103P,SCUOLA PRIMARIA,7,2,16,13
202425,SOEE81201P,SCUOLA PRIMARIA,5,2,26,20
202425,NARA04101B,SCUOLA SECONDARIA II GRADO,1,1,16,12
202425,GREE828028,SCUOLA PRIMARIA,5,1,12,12
202425,LTRA00301C,SCUOLA SECONDARIA II GRADO,1,1,10,5
202425,LTEE855013,SCUOLA PRIMARIA,2,1,12,11
202425,MBMM82601D,SCUOLA SECONDARIA I GRADO,1,5,47,49
202425,CHEE84302R,SCUOLA PRIMARIA,5,2,18,22
202425,LEEE870031,SCUOLA PRIMARIA,5,2,25,21
202425,ANEE81103Q,SCUOLA PRIMARIA,4,1,11,8
202425,PIMM82803E,SCUOLA SECONDARIA I GRADO,2,4,43,28
202425,PGEE05703X,SCUOLA PRIMARIA,1,1,5,6
202425,ROEE81605A,SCUOLA PRIMARIA,2,1,4,7
202425,RMMM8CZ017,SCUOLA SECONDARIA I GRADO,3,7,88,77
202425,SAMM8BB019,SCUOLA SECONDARIA I GRADO,3,4,40,37
202425,VAEE82105L,SCUOLA PRIMARIA,2,1,7,7
202425,PVEE801035,SCUOLA PRIMARIA,4,2,15,15
202425,RMMM839017,SCUOLA SECONDARIA I GRADO,1,3,29,32
202425,FEMM815029,SCUOLA SECONDARIA I GRADO,3,3,24,22
202425,APTD00901L,SCUOLA SECONDARIA II GRADO,3,4,53,31
202425,NOEE82902P,SCUOLA PRIMARIA,3,1,5,8
202425,FIEE85102R,SCUOLA PRIMARIA,4,1,11,6
202425,BTEE8AJ033,SCUOLA PRIMARIA,4,3,27,16
202425,SRMM823017,SCUOLA SECONDARIA I GRADO,1,3,26,36
202425,FIMM84201X,SCUOLA SECONDARIA I GRADO,1,5,56,50
202425,PTTD00301C,SCUOLA SECONDARIA II GRADO,2,1,10,13
202425,LUMM829011,SCUOLA SECONDARIA I GRADO,2,4,38,42
202425,ROSD003013,SCUOLA SECONDARIA II GRADO,3,3,8,22
202425,LEEE8AE02B,SCUOLA PRIMARIA,3,2,22,15
202425,RMMM8E0012,SCUOLA SECONDARIA I GRADO,3,6,54,65
202425,NATF05000N,SCUOLA SECONDARIA II GRADO,5,8,147,14
202425,TVEE88104N,SCUOLA PRIMARIA,3,2,18,15
202425,KREE83104T,SCUOLA PRIMARIA,4,4,50,31
202425,TAEE845036,SCUOLA PRIMARIA,1,1,8,8
202425,TOEE86302N,SCUOLA PRIMARIA,5,1,6,16
202425,SAEE8BY04C,SCUOLA PRIMARIA,1,1,9,8
202425,RMMM8ER01C,SCUOLA SECONDARIA I GRADO,2,4,35,40
202425,MOMM816017,SCUOLA SECONDARIA I GRADO,2,3,33,27
202425,AVEE86301B,SCUOLA PRIMARIA,2,1,7,6
202425,RMPC27000A,SCUOLA SECONDARIA II GRADO,1,8,77,119
202425,ROMM803013,SCUOLA SECONDARIA I GRADO,2,5,55,57
202425,MNEE81001L,SCUOLA PRIMARIA,1,5,57,45
202425,LUEE831023,SCUOLA PRIMARIA,5,1,7,5
202425,AREE81502T,SCUOLA PRIMARIA,3,2,19,18
202425,NAPS09901D,SCUOLA SECONDARIA II GRADO,1,2,44,12
202425,NAEE8EL01G,SCUOLA PRIMARIA,1,3,17,20
202425,MIMM8DV012,SCUOLA SECONDARIA I GRADO,1,7,69,63
202425,CTMM8A101R,SCUOLA SECONDARIA I GRADO,2,5,50,54
202425,MERC01950L,SCUOLA SECONDARIA II GRADO,5,1,8,8
202425,MIMM8E501L,SCUOLA SECONDARIA I GRADO,3,5,56,50
202425,BGEE82403D,SCUOLA PRIMARIA,5,2,18,17
202425,RMPC180004,SCUOLA SECONDARIA II GRADO,4,10,109,114
202425,PGEE86701B,SCUOLA PRIMARIA,3,3,30,23
202425,NUEE823043,SCUOLA PRIMARIA,1,1,6,5
202425,PTEE81501A,SCUOLA PRIMARIA,3,2,26,23
202425,VEEE87301G,SCUOLA PRIMARIA,2,1,8,9
202425,PTEE81801T,SCUOLA PRIMARIA,5,3,28,27
202425,CEEE88301D,SCUOLA PRIMARIA,2,2,22,19
202425,BGMM88601N,SCUOLA SECONDARIA I GRADO,3,4,41,42
202425,FREE82902X,SCUOLA PRIMARIA,5,1,6,7
202425,CBMM848019,SCUOLA SECONDARIA I GRADO,1,4,30,41
202425,CEEE87301V,SCUOLA PRIMARIA,1,6,58,63
202425,SASL05901A,SCUOLA SECONDARIA II GRADO,4,1,8,18
202425,RMEE89901X,SCUOLA PRIMARIA,1,2,19,16
202425,NOPS07000Q,SCUOLA SECONDARIA II GRADO,1,6,63,49
202425,KREE81001N,SCUOLA PRIMARIA,5,4,42,34
202425,SSEE02504G,SCUOLA PRIMARIA,4,1,7,6
202425,RMMM8FF01G,SCUOLA SECONDARIA I GRADO,1,6,66,59
202425,ALEE80806C,SCUOLA PRIMARIA,4,1,3,2
202425,PATD01701N,SCUOLA SECONDARIA II GRADO,4,3,21,22
202425,VTMM80301E,SCUOLA SECONDARIA I GRADO,1,1,12,13
202425,MEEE8AA04Q,SCUOLA PRIMARIA,3,1,8,4
202425,GEEE82703T,SCUOLA PRIMARIA,5,1,12,8
202425,NAEE8A501R,SCUOLA PRIMARIA,3,3,32,27
202425,GOTD00401X,SCUOLA SECONDARIA II GRADO,3,2,4,8
202425,TPEE81701R,SCUOLA PRIMARIA,3,1,6,8
202425,FITN02301T,SCUOLA SECONDARIA II GRADO,1,1,10,16
202425,RIMM81101R,SCUOLA SECONDARIA I GRADO,2,1,12,5
202425,PGEE05201P,SCUOLA PRIMARIA,5,2,17,19
202425,PZMM85501C,SCUOLA SECONDARIA I GRADO,2,1,8,14
202425,CTEE84801C,SCUOLA PRIMARIA,3,4,46,42
202425,CHMM05907G,SCUOLA SECONDARIA I GRADO,3,1,2,1
202425,PGEE83001R,SCUOLA PRIMARIA,2,2,15,16
202425,MIEE8A204V,SCUOLA PRIMARIA,4,5,50,51
202425,FEMM815018,SCUOLA SECONDARIA I GRADO,1,3,39,29
202425,PGPS030008,SCUOLA SECONDARIA II GRADO,1,13,195,148
202425,MORI02000L,SCUOLA SECONDARIA II GRADO,4,6,84,42
202425,BREE84302V,SCUOLA PRIMARIA,4,3,4,1
202425,MOEE82801E,SCUOLA PRIMARIA,4,1,14,5
202425,TPEE80901T,SCUOLA PRIMARIA,2,2,24,16
202425,ARMM83201D,SCUOLA SECONDARIA I GRADO,3,1,7,5
202425,LEMM81301N,SCUOLA SECONDARIA I GRADO,3,3,29,29
202425,SAMM8B8018,SCUOLA SECONDARIA I GRADO,2,8,95,75
202425,RMEE87004B,SCUOLA PRIMARIA,5,1,8,9
202425,VTMM81602N,SCUOLA SECONDARIA I GRADO,3,3,34,25
202425,BREE82303P,SCUOLA PRIMARIA,3,1,9,8
202425,VREE865018,SCUOLA PRIMARIA,5,6,62,57
202425,LCEE828017,SCUOLA PRIMARIA,5,2,14,16
202425,FIPS00901T,SCUOLA SECONDARIA II GRADO,4,7,85,66
202425,UDEE81205L,SCUOLA PRIMARIA,3,1,2,2
202425,MTEE824022,SCUOLA PRIMARIA,2,1,9,7
202425,MCTF004507,SCUOLA SECONDARIA II GRADO,2,1,12,0
202425,CHMM83004Q,SCUOLA SECONDARIA I GRADO,2,1,11,3
202425,ANEE81101N,SCUOLA PRIMARIA,1,2,16,19
202425,LEMM8AH04X,SCUOLA SECONDARIA I GRADO,1,1,7,4
202425,RMPS114019,SCUOLA SECONDARIA II GRADO,4,5,43,54
202425,PCMM81101E,SCUOLA SECONDARIA I GRADO,2,1,9,9
202425,TOEE895014,SCUOLA PRIMARIA,4,2,23,16
202425,MITD047013,SCUOLA SECONDARIA II GRADO,3,4,67,18
202425,TOTN039012,SCUOLA SECONDARIA II GRADO,4,4,31,43
202425,PZMM815023,SCUOLA SECONDARIA I GRADO,1,1,7,13
202425,BSEE824021,SCUOLA PRIMARIA,5,1,8,6
202425,NOPS010004,SCUOLA SECONDARIA II GRADO,3,9,83,89
202425,VAEE86903G,SCUOLA PRIMARIA,5,1,7,13
202425,PEEE82004P,SCUOLA PRIMARIA,5,2,16,14
202425,TVEE842032,SCUOLA PRIMARIA,2,2,13,16
202425,BGTL020507,SCUOLA SECONDARIA II GRADO,3,1,7,5
202425,FIEE86102B,SCUOLA PRIMARIA,3,1,10,13
202425,SVMM81001A,SCUOLA SECONDARIA I GRADO,3,3,38,35
202425,TOEE8AX02X,SCUOLA PRIMARIA,4,1,11,12
202425,FRMM83701R,SCUOLA SECONDARIA I GRADO,2,4,34,47
202425,TVEE871021,SCUOLA PRIMARIA,3,3,32,27
202425,PAMM8BK01Q,SCUOLA SECONDARIA I GRADO,1,10,63,64
202425,LCEE816055,SCUOLA PRIMARIA,2,2,28,12
202425,RIEE810012,SCUOLA PRIMARIA,5,1,13,8
202425,PIEE838036,SCUOLA PRIMARIA,3,1,10,7
202425,SSPS00401V,SCUOLA SECONDARIA II GRADO,1,1,10,10
202425,RGEE816018,SCUOLA PRIMARIA,2,4,52,39
202425,VIMM83802G,SCUOLA SECONDARIA I GRADO,2,3,34,24
202425,PCEE814013,SCUOLA PRIMARIA,1,3,32,33
202425,SSMM800023,SCUOLA SECONDARIA I GRADO,2,1,7,12
202425,RMMM871013,SCUOLA SECONDARIA I GRADO,3,2,26,14
202425,CHMM832018,SCUOLA SECONDARIA I GRADO,2,11,121,123
202425,IMEE81101N,SCUOLA PRIMARIA,4,2,16,16
202425,VBEE81502R,SCUOLA PRIMARIA,2,2,20,17
202425,CNEE82202V,SCUOLA PRIMARIA,1,1,2,3
202425,PCPS004011,SCUOLA SECONDARIA II GRADO,1,5,31,71
202425,RMTA05201L,SCUOLA SECONDARIA II GRADO,2,1,22,2
202425,VEMM86901V,SCUOLA SECONDARIA I GRADO,2,8,85,84
202425,VVMM820031,SCUOLA SECONDARIA I GRADO,2,1,6,3
202425,VEEE84004B,SCUOLA PRIMARIA,5,2,20,17
202425,ENEE81501C,SCUOLA PRIMARIA,2,2,18,11
202425,CSEE8AY01D,SCUOLA PRIMARIA,1,4,44,25
202425,NAEE8GT01R,SCUOLA PRIMARIA,3,3,24,18
202425,PDMM840015,SCUOLA SECONDARIA I GRADO,1,4,44,45
202425,BOEE85803E,SCUOLA PRIMARIA,1,2,18,25
202425,CASL013016,SCUOLA SECONDARIA II GRADO,4,2,10,18
202425,PTEE811068,SCUOLA PRIMARIA,3,1,3,7
202425,NAEE8E301G,SCUOLA PRIMARIA,1,3,16,19
202425,CBMM830014,SCUOLA SECONDARIA I GRADO,2,1,9,5
202425,TREE81504D,SCUOLA PRIMARIA,4,1,2,0
202425,RMMM8AD01V,SCUOLA SECONDARIA I GRADO,2,2,18,21
202425,RMEE8G901P,SCUOLA PRIMARIA,5,4,43,48
202425,ANTF018013,SCUOLA SECONDARIA II GRADO,4,4,49,11
202425,TETF009012,SCUOLA SECONDARIA II GRADO,5,5,89,4
202425,CHPC014015,SCUOLA SECONDARIA II GRADO,2,2,10,22
202425,MIRC058027,SCUOLA SECONDARIA II GRADO,1,1,29,0
202425,MIEE82201A,SCUOLA PRIMARIA,4,2,22,18
202425,LCEE81304L,SCUOLA PRIMARIA,2,1,6,9
202425,MOEE817058,SCUOLA PRIMARIA,4,2,25,24
202425,RMTA06050X,SCUOLA SECONDARIA II GRADO,5,1,13,8
202425,TOEE8BZ015,SCUOLA PRIMARIA,4,4,45,45
202425,PTEE82803E,SCUOLA PRIMARIA,3,2,21,20
202425,RCTF03801X,SCUOLA SECONDARIA II GRADO,2,6,99,24
202425,PIMM824048,SCUOLA SECONDARIA I GRADO,3,1,7,13
202425,FREE851025,SCUOLA PRIMARIA,5,3,30,19
202425,TOTD054016,SCUOLA SECONDARIA II GRADO,5,1,6,12
202425,RNRH01000Q,SCUOLA SECONDARIA II GRADO,1,7,77,63
202425,RCSL03050C,SCUOLA SECONDARIA II GRADO,2,1,1,4
202425,TPEE82602L,SCUOLA PRIMARIA,4,1,13,8
202425,AREE814033,SCUOLA PRIMARIA,4,1,3,5
202425,MIEE8FG01X,SCUOLA PRIMARIA,4,2,27,19
202425,APEE81704A,SCUOLA PRIMARIA,1,1,10,1
202425,CNEE821012,SCUOLA PRIMARIA,1,3,25,16
202425,RMPC14000N,SCUOLA SECONDARIA II GRADO,5,7,58,100
202425,FRMM851013,SCUOLA SECONDARIA I GRADO,1,5,45,40
202425,CSRH017021,SCUOLA SECONDARIA II GRADO,4,2,22,0
202425,FOEE81604R,SCUOLA PRIMARIA,3,2,23,26
202425,TOEE82802A,SCUOLA PRIMARIA,3,2,17,7
202425,LTEE80101P,SCUOLA PRIMARIA,2,1,4,6
202425,CBEE82401T,SCUOLA PRIMARIA,2,3,38,28
202425,FIEE825039,SCUOLA PRIMARIA,4,3,19,34
202425,FGMM82002B,SCUOLA SECONDARIA I GRADO,1,1,2,1
202425,ARTF01201X,SCUOLA SECONDARIA II GRADO,4,4,69,5
202425,TOEE88503G,SCUOLA PRIMARIA,3,1,11,12
202425,MBEE8EV04E,SCUOLA PRIMARIA,1,1,8,6
202425,LOEE80802R,SCUOLA PRIMARIA,2,1,7,11
202425,RMTH03001X,SCUOLA SECONDARIA II GRADO,1,2,23,6
202425,FOEE81701D,SCUOLA PRIMARIA,5,4,45,42
202425,CSTD017012,SCUOLA SECONDARIA II GRADO,1,2,36,17
202425,MNEE81601G,SCUOLA PRIMARIA,4,4,51,39
202425,PSEE83708B,SCUOLA PRIMARIA,1,1,3,7
202425,TVTL01901N,SCUOLA SECONDARIA II GRADO,5,2,29,18
202425,NAMM80201N,SCUOLA SECONDARIA I GRADO,3,8,78,77
202425,BREE81002G,SCUOLA PRIMARIA,1,1,7,7
202425,GEEE84403G,SCUOLA PRIMARIA,4,3,27,19
202425,TPEE83802V,SCUOLA PRIMARIA,3,1,5,1
202425,ALEE838013,SCUOLA PRIMARIA,4,1,13,9
202425,PIEE82002X,SCUOLA PRIMARIA,5,2,19,18
202425,SVEE80105R,SCUOLA PRIMARIA,3,1,7,8
202425,FIMM863011,SCUOLA SECONDARIA I GRADO,2,3,26,26
202425,ANEE824072,SCUOLA PRIMARIA,5,1,13,9
202425,TOMM860014,SCUOLA SECONDARIA I GRADO,3,4,39,46
202425,BIEE81606A,SCUOLA PRIMARIA,7,2,12,12
202425,CSEE852011,SCUOLA PRIMARIA,1,1,10,10
202425,VAMM822017,SCUOLA SECONDARIA I GRADO,3,4,35,44
202425,ORMM820031,SCUOLA SECONDARIA I GRADO,3,1,4,8
202425,FREE842019,SCUOLA PRIMARIA,5,2,20,16
202425,AGEE86503V,SCUOLA PRIMARIA,5,2,13,15
202425,MOPS019018,SCUOLA SECONDARIA II GRADO,1,3,48,31
202425,AGEE85703X,SCUOLA PRIMARIA,5,1,5,5
202425,MIMM8A6023,SCUOLA SECONDARIA I GRADO,1,3,23,34
202425,VREE844028,SCUOLA PRIMARIA,2,3,28,31
202425,FREE851025,SCUOLA PRIMARIA,4,3,19,22
202425,MEEE89101D,SCUOLA PRIMARIA,5,2,16,20
202425,ORMM810018,SCUOLA SECONDARIA I GRADO,2,2,17,9
202425,RMMM8B0016,SCUOLA SECONDARIA I GRADO,1,6,67,54
202425,NAEE8HE013,SCUOLA PRIMARIA,2,4,38,33
202425,PIMM83901V,SCUOLA SECONDARIA I GRADO,2,6,72,57
202425,RMTD04801B,SCUOLA SECONDARIA II GRADO,5,4,39,44
202425,VEMM82701R,SCUOLA SECONDARIA I GRADO,3,5,60,46
202425,CZEE856014,SCUOLA PRIMARIA,5,1,7,6
202425,CSEE86102R,SCUOLA PRIMARIA,1,1,5,6
202425,PREE83602T,SCUOLA PRIMARIA,5,2,24,20
202425,PDEE882018,SCUOLA PRIMARIA,5,2,16,21
202425,CESD021015,SCUOLA SECONDARIA II GRADO,5,3,22,49
202425,VIEE869039,SCUOLA PRIMARIA,2,2,28,16
202425,TPEE84002V,SCUOLA PRIMARIA,5,1,3,11
202425,MIMM8BK01N,SCUOLA SECONDARIA I GRADO,1,8,67,79
202425,CSEE857069,SCUOLA PRIMARIA,3,1,4,1
202425,PAEE8BP01X,SCUOLA PRIMARIA,4,1,6,12
202425,NUMM869018,SCUOLA SECONDARIA I GRADO,3,3,26,23
202425,ALPS00401C,SCUOLA SECONDARIA II GRADO,4,4,42,56
202425,VAEE85605G,SCUOLA PRIMARIA,2,3,34,29
202425,LUEE83505D,SCUOLA PRIMARIA,1,1,8,10
202425,SRPC070006,SCUOLA SECONDARIA II GRADO,3,7,43,74
202425,PSTD006527,SCUOLA SECONDARIA II GRADO,2,1,4,0
202425,SAMM8BE03V,SCUOLA SECONDARIA I GRADO,2,2,17,19
202425,LEEE83604E,SCUOLA PRIMARIA,5,1,8,3
202425,NAPM02601R,SCUOLA SECONDARIA II GRADO,3,8,36,135
202425,IMEE806027,SCUOLA PRIMARIA,5,1,3,5
202425,BTEE8AD02D,SCUOLA PRIMARIA,1,2,21,18
202425,VAEE82702C,SCUOLA PRIMARIA,2,1,8,9
202425,PZEE828037,SCUOLA PRIMARIA,3,1,9,10
202425,MIEE8CY01R,SCUOLA PRIMARIA,2,4,44,39
202425,BTPC02301L,SCUOLA SECONDARIA II GRADO,2,5,15,71
202425,GEEE84202V,SCUOLA PRIMARIA,3,2,28,10
202425,PGRC00201N,SCUOLA SECONDARIA II GRADO,2,1,5,10
202425,SOMM824032,SCUOLA SECONDARIA I GRADO,2,2,17,14
202425,COEE80101D,SCUOLA PRIMARIA,2,1,4,7
202425,MIMM836028,SCUOLA SECONDARIA I GRADO,3,2,23,25
202425,PVEE823065,SCUOLA PRIMARIA,4,1,8,4
202425,FOMM812019,SCUOLA SECONDARIA I GRADO,1,2,13,19
202425,AGEE82802V,SCUOLA PRIMARIA,5,2,21,20
202425,NATF24001T,SCUOLA SECONDARIA II GRADO,4,1,9,0
202425,CLRH00950B,SCUOLA SECONDARIA II GRADO,5,1,5,3
