ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
202425,TOTF04850D,SCUOLA SECONDARIA II GRADO,4,18 anni,4
202425,VBSL001017,SCUOLA SECONDARIA II GRADO,1,15 anni,1
202425,TOEE8BD023,SCUOLA PRIMARIA,5,10 anni,35
202425,RMEE83102P,SCUOLA PRIMARIA,1,< di 6 anni,1
202425,RMEE220023,SCUOLA PRIMARIA,1,6 anni,43
202425,ALTD00301C,SCUOLA SECONDARIA II GRADO,1,15 anni,2
202425,RISD01101R,SCUOLA SECONDARIA II GRADO,3,15 anni,6
202425,VRMM87001P,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,AGTD02101B,SCUOLA SECONDARIA II GRADO,1,14 anni,43
202425,ALEE83301X,SCUOLA PRIMARIA,1,6 anni,8
202425,NAMM8D1018,SCUOLA SECONDARIA I GRADO,3,12 anni,12
202425,PDTD02801X,SCUOLA SECONDARIA II GRADO,1,14 anni,97
202425,MIMM8A901D,SCUOLA SECONDARIA I GRADO,2,11 anni,5
202425,COEE85601N,SCUOLA PRIMARIA,3,9 anni,3
202425,FITF01701V,SCUOLA SECONDARIA II GRADO,1,14 anni,162
202425,FREE86103R,SCUOLA PRIMARIA,2,6 anni,1
202425,PZEE88606A,SCUOLA PRIMARIA,4,9 anni,25
202425,VIEE879052,SCUOLA PRIMARIA,2,7 anni,33
202425,CTTA00401L,SCUOLA SECONDARIA II GRADO,2,14 anni,1
202425,VRRC00702A,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,MIEE8A6024,SCUOLA PRIMARIA,1,6 anni,51
202425,CSEE87502P,SCUOLA PRIMARIA,2,7 anni,10
202425,BNMM83803G,SCUOLA SECONDARIA I GRADO,3,12 anni,3
202425,MBEE84802C,SCUOLA PRIMARIA,1,7 anni,4
202425,SAMM887014,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,7
202425,MBPS05301B,SCUOLA SECONDARIA II GRADO,3,16 anni,127
202425,SSEE843011,SCUOLA PRIMARIA,3,8 anni,38
202425,SSEE836041,SCUOLA PRIMARIA,5,10 anni,38
202425,FOEE805039,SCUOLA PRIMARIA,4,10 anni,1
202425,COEE84405G,SCUOLA PRIMARIA,1,7 anni,1
202425,FEEE809012,SCUOLA PRIMARIA,3,9 anni,1
202425,GEEE84305T,SCUOLA PRIMARIA,2,7 anni,2
202425,MIEE8D801E,SCUOLA PRIMARIA,1,6 anni,46
202425,PREE01601L,SCUOLA PRIMARIA,4,9 anni,84
202425,FREE81701L,SCUOLA PRIMARIA,4,8 anni,5
202425,PVEE81302A,SCUOLA PRIMARIA,4,10 anni,1
202425,NATD052014,SCUOLA SECONDARIA II GRADO,2,15 anni,68
202425,LEMM80402X,SCUOLA SECONDARIA I GRADO,2,12 anni,33
202425,SOEE80401Q,SCUOLA PRIMARIA,4,8 anni,2
202425,BNTD008013,SCUOLA SECONDARIA II GRADO,2,15 anni,34
202425,RMMM8AU034,SCUOLA SECONDARIA I GRADO,1,12 anni,1
202425,BAPC042019,SCUOLA SECONDARIA II GRADO,3,15 anni,3
202425,RMMM821012,SCUOLA SECONDARIA I GRADO,2,11 anni,14
202425,FOMM818018,SCUOLA SECONDARIA I GRADO,1,12 anni,3
202425,CTPS017019,SCUOLA SECONDARIA II GRADO,5,18 anni,114
202425,MIRI01601R,SCUOLA SECONDARIA II GRADO,4,17 anni,26
202425,VVTH01000A,SCUOLA SECONDARIA II GRADO,3,16 anni,65
202425,APPS02000E,SCUOLA SECONDARIA II GRADO,3,15 anni,15
202425,NUMM864015,SCUOLA SECONDARIA I GRADO,3,12 anni,1
202425,KRTD00601A,SCUOLA SECONDARIA II GRADO,2,15 anni,9
202425,KRPS010005,SCUOLA SECONDARIA II GRADO,5,17 anni,36
202425,MIEE8A302L,SCUOLA PRIMARIA,2,8 anni,1
202425,TOPM027013,SCUOLA SECONDARIA II GRADO,2,16 anni,11
202425,NAPS09901D,SCUOLA SECONDARIA II GRADO,5,18 anni,16
202425,VTTD01201P,SCUOLA SECONDARIA II GRADO,1,15 anni,7
202425,NAEE8CU016,SCUOLA PRIMARIA,3,8 anni,18
202425,SPTL00201R,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,3
202425,MBEE8DC018,SCUOLA PRIMARIA,3,7 anni,4
202425,RMEE8DY024,SCUOLA PRIMARIA,4,9 anni,27
202425,PDPS06000V,SCUOLA SECONDARIA II GRADO,2,15 anni,199
202425,PZTD01801V,SCUOLA SECONDARIA II GRADO,1,16 anni,2
202425,PAMM839037,SCUOLA SECONDARIA I GRADO,1,11 anni,55
202425,PDMM897011,SCUOLA SECONDARIA I GRADO,1,12 anni,8
202425,CEPM01801X,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,1
202425,BTEE06802V,SCUOLA PRIMARIA,4,8 anni,1
202425,CSEE81906E,SCUOLA PRIMARIA,3,7 anni,1
202425,FGEE87301X,SCUOLA PRIMARIA,4,8 anni,6
202425,TOMM8AT01E,SCUOLA SECONDARIA I GRADO,2,13 anni,14
202425,FIMM868014,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,5
202425,CAEE876054,SCUOLA PRIMARIA,2,8 anni,1
202425,PAEE8BN04B,SCUOLA PRIMARIA,1,7 anni,1
202425,TOEE888011,SCUOLA PRIMARIA,4,10 anni,2
202425,SRRC00650X,SCUOLA SECONDARIA II GRADO,2,17 anni,3
202425,RMEE86701C,SCUOLA PRIMARIA,4,10 anni,3
202425,CTMM81301C,SCUOLA SECONDARIA I GRADO,2,11 anni,3
202425,VEEE871021,SCUOLA PRIMARIA,5,> di 10 anni,3
202425,MIPC00101P,SCUOLA SECONDARIA II GRADO,1,14 anni,36
202425,RMEE8BN01P,SCUOLA PRIMARIA,4,9 anni,57
202425,APEE82901D,SCUOLA PRIMARIA,4,9 anni,18
202425,KRPC00401Q,SCUOLA SECONDARIA II GRADO,5,18 anni,14
202425,AQMM823036,SCUOLA SECONDARIA I GRADO,3,12 anni,1
202425,PCSL007019,SCUOLA SECONDARIA II GRADO,5,17 anni,4
202425,BOMM882018,SCUOLA SECONDARIA I GRADO,1,11 anni,98
202425,CHSD01401P,SCUOLA SECONDARIA II GRADO,3,16 anni,37
202425,VIRI02201Q,SCUOLA SECONDARIA II GRADO,2,14 anni,1
202425,RAEE82301A,SCUOLA PRIMARIA,4,10 anni,2
202425,SREE84403B,SCUOLA PRIMARIA,3,8 anni,28
202425,CBPM040008,SCUOLA SECONDARIA II GRADO,2,14 anni,18
202425,PTEE81901N,SCUOLA PRIMARIA,5,10 anni,58
202425,BOTD01201B,SCUOLA SECONDARIA II GRADO,3,18 anni,3
202425,CZEE85803T,SCUOLA PRIMARIA,5,10 anni,16
202425,UDTD01301L,SCUOLA SECONDARIA II GRADO,1,16 anni,2
202425,CTEE008013,SCUOLA PRIMARIA,3,8 anni,63
202425,POEE81601C,SCUOLA PRIMARIA,2,8 anni,4
202425,SVEE80306D,SCUOLA PRIMARIA,3,8 anni,8
202425,FRTF003019,SCUOLA SECONDARIA II GRADO,2,14 anni,13
202425,BAEE85601T,SCUOLA PRIMARIA,1,< di 6 anni,9
202425,NATD101014,SCUOLA SECONDARIA II GRADO,3,16 anni,71
202425,VREE86902L,SCUOLA PRIMARIA,3,8 anni,31
202425,CEEE849012,SCUOLA PRIMARIA,1,6 anni,80
202425,CEEE8A3017,SCUOLA PRIMARIA,3,8 anni,31
202425,TAEE802027,SCUOLA PRIMARIA,4,8 anni,3
202425,RMEE8C701L,SCUOLA PRIMARIA,1,6 anni,91
202425,CZRH040505,SCUOLA SECONDARIA II GRADO,4,18 anni,3
202425,TAEE845025,SCUOLA PRIMARIA,4,9 anni,57
202425,PEEE83005A,SCUOLA PRIMARIA,4,10 anni,1
202425,RCMM812025,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,7
202425,VIEE82403Q,SCUOLA PRIMARIA,2,8 anni,1
202425,LIEE813012,SCUOLA PRIMARIA,5,10 anni,2
202425,SATH00601E,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,RMRC12201R,SCUOLA SECONDARIA II GRADO,3,16 anni,22
202425,CEMM88701Q,SCUOLA SECONDARIA I GRADO,2,11 anni,3
202425,PZEE85901R,SCUOLA PRIMARIA,5,10 anni,21
202425,PIEE833011,SCUOLA PRIMARIA,1,6 anni,34
202425,BSTF03201D,SCUOLA SECONDARIA II GRADO,2,18 anni,1
202425,TVEE88101E,SCUOLA PRIMARIA,5,> di 10 anni,3
202425,MIMM836017,SCUOLA SECONDARIA I GRADO,1,12 anni,7
202425,FGTD01050D,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,34
202425,CEEE815086,SCUOLA PRIMARIA,2,6 anni,7
202425,FIRC01601D,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,8
202425,BSMM83201T,SCUOLA SECONDARIA I GRADO,3,13 anni,74
202425,SAPS120003,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,CTEE8AP01R,SCUOLA PRIMARIA,4,8 anni,7
202425,SVRI002016,SCUOLA SECONDARIA II GRADO,1,17 anni,1
202425,NAEE8HG01P,SCUOLA PRIMARIA,2,6 anni,20
202425,AVPS032018,SCUOLA SECONDARIA II GRADO,3,17 anni,3
202425,VIEE85903P,SCUOLA PRIMARIA,1,6 anni,46
202425,MIEE837014,SCUOLA PRIMARIA,3,9 anni,3
202425,CZMM82901P,SCUOLA SECONDARIA I GRADO,2,11 anni,1
202425,PGEE813024,SCUOLA PRIMARIA,2,7 anni,3
202425,MIEE8C501C,SCUOLA PRIMARIA,5,10 anni,71
202425,VERI02701G,SCUOLA SECONDARIA II GRADO,2,14 anni,1
202425,TEMM83002R,SCUOLA SECONDARIA I GRADO,2,13 anni,3
202425,RMEE8F601L,SCUOLA PRIMARIA,3,9 anni,1
202425,NAEE8AK03Q,SCUOLA PRIMARIA,1,< di 6 anni,4
202425,REEE81602P,SCUOLA PRIMARIA,4,10 anni,1
202425,ANPS012012,SCUOLA SECONDARIA II GRADO,1,14 anni,220
202425,FGMM842017,SCUOLA SECONDARIA I GRADO,2,13 anni,4
202425,PAPM12000E,SCUOLA SECONDARIA II GRADO,5,17 anni,9
202425,VREE84101Q,SCUOLA PRIMARIA,5,10 anni,18
202425,RERI090008,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,2
202425,BAEE04503E,SCUOLA PRIMARIA,4,10 anni,1
202425,MIMM8EP018,SCUOLA SECONDARIA I GRADO,3,13 anni,61
202425,CBEE816053,SCUOLA PRIMARIA,4,9 anni,3
202425,CHEE825049,SCUOLA PRIMARIA,4,8 anni,1
202425,REEE84402V,SCUOLA PRIMARIA,1,6 anni,15
202425,CTEE830028,SCUOLA PRIMARIA,5,10 anni,29
202425,PAMM8AN01L,SCUOLA SECONDARIA I GRADO,2,12 anni,114
202425,SOEE82202A,SCUOLA PRIMARIA,4,10 anni,1
202425,BGMM811018,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,RMEE81102D,SCUOLA PRIMARIA,2,7 anni,21
202425,RGEE80102G,SCUOLA PRIMARIA,4,10 anni,1
202425,CTEE8A202P,SCUOLA PRIMARIA,3,10 anni,1
202425,LTEE842044,SCUOLA PRIMARIA,4,> di 10 anni,1
202425,TOEE8A702X,SCUOLA PRIMARIA,4,9 anni,40
202425,TPEE84001T,SCUOLA PRIMARIA,3,7 anni,5
202425,TOMM8AJ01V,SCUOLA SECONDARIA I GRADO,1,11 anni,128
202425,FREE85801V,SCUOLA PRIMARIA,5,10 anni,28
202425,BGMM859019,SCUOLA SECONDARIA I GRADO,1,12 anni,6
202425,LCPC00701G,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,6
202425,PVEE829042,SCUOLA PRIMARIA,5,9 anni,1
202425,PVMM800049,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
202425,RMEE8BU02P,SCUOLA PRIMARIA,3,7 anni,2
202425,AGRI016019,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,22
202425,TPTD02101R,SCUOLA SECONDARIA II GRADO,2,16 anni,10
202425,ALMM82202D,SCUOLA SECONDARIA I GRADO,1,12 anni,3
202425,ALPC01601G,SCUOLA SECONDARIA II GRADO,1,15 anni,5
202425,MEEE851013,SCUOLA PRIMARIA,4,8 anni,1
202425,BNMM84401R,SCUOLA SECONDARIA I GRADO,3,13 anni,47
202425,PIEE82103R,SCUOLA PRIMARIA,3,8 anni,15
202425,CAMM848093,SCUOLA SECONDARIA I GRADO,3,12 anni,1
202425,BSMM886016,SCUOLA SECONDARIA I GRADO,1,13 anni,1
202425,MIEE82502V,SCUOLA PRIMARIA,1,7 anni,1
202425,AREE83804L,SCUOLA PRIMARIA,2,7 anni,1
202425,VEEE83702D,SCUOLA PRIMARIA,2,7 anni,30
202425,TOMM882011,SCUOLA SECONDARIA I GRADO,2,11 anni,2
202425,BSEE865016,SCUOLA PRIMARIA,2,6 anni,5
202425,SPEE81507A,SCUOLA PRIMARIA,5,10 anni,19
202425,AGEE855049,SCUOLA PRIMARIA,2,7 anni,7
202425,AGMM834014,SCUOLA SECONDARIA I GRADO,3,12 anni,14
202425,CEPS14000X,SCUOLA SECONDARIA II GRADO,2,14 anni,42
202425,RCEE846029,SCUOLA PRIMARIA,5,9 anni,2
202425,SAEE89203P,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,TOPC01000C,SCUOLA SECONDARIA II GRADO,2,14 anni,10
202425,PGTD01000V,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,4
202425,CNEE82201T,SCUOLA PRIMARIA,3,7 anni,1
202425,NAEE83001V,SCUOLA PRIMARIA,3,> di 10 anni,2
202425,NAMM8EF012,SCUOLA SECONDARIA I GRADO,1,11 anni,58
202425,NUTD10000B,SCUOLA SECONDARIA II GRADO,4,17 anni,39
202425,NAEE8FU023,SCUOLA PRIMARIA,3,7 anni,16
202425,ROTD00801G,SCUOLA SECONDARIA II GRADO,4,18 anni,21
202425,LUEE830038,SCUOLA PRIMARIA,4,8 anni,1
202425,PDEE876022,SCUOLA PRIMARIA,2,8 anni,1
202425,RIEE80606G,SCUOLA PRIMARIA,1,7 anni,1
202425,CEMM8AX01D,SCUOLA SECONDARIA I GRADO,3,12 anni,2
202425,NOPS040011,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,23
202425,CSRI02201V,SCUOLA SECONDARIA II GRADO,2,16 anni,3
202425,TPSL03101C,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,3
202425,LEPS00201R,SCUOLA SECONDARIA II GRADO,2,16 anni,5
202425,LERC017013,SCUOLA SECONDARIA II GRADO,5,18 anni,11
202425,RMSL08901P,SCUOLA SECONDARIA II GRADO,1,14 anni,44
202425,NAEE8DQ014,SCUOLA PRIMARIA,3,8 anni,72
202425,RAPC01101D,SCUOLA SECONDARIA II GRADO,2,17 anni,1
202425,ORMM82806P,SCUOLA SECONDARIA I GRADO,1,12 anni,1
202425,RCPS03901N,SCUOLA SECONDARIA II GRADO,5,18 anni,96
202425,RCPS010001,SCUOLA SECONDARIA II GRADO,2,16 anni,5
202425,BGTF029015,SCUOLA SECONDARIA II GRADO,5,18 anni,76
202425,VAEE85605G,SCUOLA PRIMARIA,1,6 anni,40
202425,RIMM82402X,SCUOLA SECONDARIA I GRADO,1,11 anni,2
202425,GETF01101R,SCUOLA SECONDARIA II GRADO,5,17 anni,5
202425,PVEE82606L,SCUOLA PRIMARIA,5,10 anni,8
202425,FGMM856015,SCUOLA SECONDARIA I GRADO,1,11 anni,36
202425,VRTA01201N,SCUOLA SECONDARIA II GRADO,1,15 anni,11
202425,ISMM81201N,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,CSEE89603R,SCUOLA PRIMARIA,2,7 anni,33
202425,LUPS01000C,SCUOLA SECONDARIA II GRADO,1,15 anni,12
202425,CAEE871051,SCUOLA PRIMARIA,3,7 anni,1
202425,MBEE82601E,SCUOLA PRIMARIA,1,7 anni,1
202425,SREE83301V,SCUOLA PRIMARIA,2,6 anni,12
202425,FOEE81701D,SCUOLA PRIMARIA,4,10 anni,3
202425,VIEE808072,SCUOLA PRIMARIA,4,9 anni,25
202425,CTEE85902X,SCUOLA PRIMARIA,3,7 anni,1
202425,GOPM00101N,SCUOLA SECONDARIA II GRADO,1,14 anni,114
202425,PVEE80901N,SCUOLA PRIMARIA,3,8 anni,41
202425,PZEE888095,SCUOLA PRIMARIA,4,9 anni,9
202425,CSEE872038,SCUOLA PRIMARIA,5,10 anni,18
202425,CHRH01000N,SCUOLA SECONDARIA II GRADO,4,18 anni,2
202425,CAEE87703T,SCUOLA PRIMARIA,4,8 anni,1
202425,FRRH030008,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,2
202425,CREE80103P,SCUOLA PRIMARIA,5,10 anni,23
202425,CNEE86401X,SCUOLA PRIMARIA,2,7 anni,27
202425,TRMM811012,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,4
202425,MIRI094012,SCUOLA SECONDARIA II GRADO,2,14 anni,1
202425,RMEE8DG028,SCUOLA PRIMARIA,3,9 anni,1
202425,BREE82401C,SCUOLA PRIMARIA,3,8 anni,44
202425,BOTD00301L,SCUOLA SECONDARIA II GRADO,2,17 anni,3
202425,CSTF01000C,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,12
202425,CTEE8A801L,SCUOLA PRIMARIA,2,7 anni,29
202425,PREE835033,SCUOLA PRIMARIA,3,8 anni,35
202425,CZRA00303Q,SCUOLA SECONDARIA II GRADO,3,16 anni,22
202425,MIRC01401C,SCUOLA SECONDARIA II GRADO,1,17 anni,3
202425,TVEE85801D,SCUOLA PRIMARIA,3,8 anni,28
202425,MIRC30050D,SCUOLA SECONDARIA II GRADO,2,18 anni,5
202425,BGSL001014,SCUOLA SECONDARIA II GRADO,3,18 anni,1
202425,SSEE83904C,SCUOLA PRIMARIA,2,8 anni,1
202425,GRTD00101G,SCUOLA SECONDARIA II GRADO,3,15 anni,1
202425,PGMM18600L,SCUOLA SECONDARIA I GRADO,2,13 anni,5
202425,PVTF00201D,SCUOLA SECONDARIA II GRADO,1,16 anni,3
202425,RMTF11401B,SCUOLA SECONDARIA II GRADO,3,17 anni,9
202425,MIEE8DW01V,SCUOLA PRIMARIA,4,8 anni,2
202425,FIEE813022,SCUOLA PRIMARIA,5,10 anni,34
202425,RMEE84002D,SCUOLA PRIMARIA,3,9 anni,5
202425,VVSD00701C,SCUOLA SECONDARIA II GRADO,5,17 anni,9
202425,FIMM82201P,SCUOLA SECONDARIA I GRADO,1,12 anni,12
202425,NAMM8GS01X,SCUOLA SECONDARIA I GRADO,1,12 anni,3
202425,PRPS007019,SCUOLA SECONDARIA II GRADO,5,18 anni,49
202425,SAMM18900L,SCUOLA SECONDARIA I GRADO,3,13 anni,25
202425,LEEE88102A,SCUOLA PRIMARIA,5,10 anni,17
202425,BIRI007014,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,1
202425,RMMM892014,SCUOLA SECONDARIA I GRADO,3,12 anni,3
202425,NUEE87001D,SCUOLA PRIMARIA,2,7 anni,19
202425,BSEE82701B,SCUOLA PRIMARIA,2,6 anni,1
202425,ANTD002017,SCUOLA SECONDARIA II GRADO,1,18 anni,1
202425,PDMM89902N,SCUOLA SECONDARIA I GRADO,2,12 anni,19
202425,BSEE8AE015,SCUOLA PRIMARIA,4,9 anni,35
202425,BAEE8AL021,SCUOLA PRIMARIA,3,9 anni,1
202425,VREE89601X,SCUOLA PRIMARIA,4,10 anni,2
202425,TORC01201R,SCUOLA SECONDARIA II GRADO,3,15 anni,1
202425,BNPC02000N,SCUOLA SECONDARIA II GRADO,4,17 anni,98
202425,BGEE867019,SCUOLA PRIMARIA,4,9 anni,53
202425,SAMM8AG01T,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,3
202425,BAMM854015,SCUOLA SECONDARIA I GRADO,3,13 anni,62
202425,POEE804016,SCUOLA PRIMARIA,4,10 anni,17
202425,MBEE8EX024,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,LIMM80301A,SCUOLA SECONDARIA I GRADO,2,12 anni,35
202425,CTEE8BL036,SCUOLA PRIMARIA,5,9 anni,16
202425,APTD013018,SCUOLA SECONDARIA II GRADO,5,17 anni,3
202425,GEEE80601P,SCUOLA PRIMARIA,5,10 anni,36
202425,ANPS01401N,SCUOLA SECONDARIA II GRADO,2,17 anni,1
202425,RMMM8AZ023,SCUOLA SECONDARIA I GRADO,1,11 anni,32
202425,CSEE865024,SCUOLA PRIMARIA,2,7 anni,7
202425,AQPS018016,SCUOLA SECONDARIA II GRADO,1,14 anni,194
202425,FIRH020009,SCUOLA SECONDARIA II GRADO,1,16 anni,18
202425,TOEE8BK01A,SCUOLA PRIMARIA,3,8 anni,88
202425,PEPS004016,SCUOLA SECONDARIA II GRADO,1,14 anni,39
202425,TOPS01601G,SCUOLA SECONDARIA II GRADO,2,18 anni,1
202425,SAMM8CA014,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,7
202425,VCPS01701E,SCUOLA SECONDARIA II GRADO,2,15 anni,73
202425,PAEE8A601D,SCUOLA PRIMARIA,2,8 anni,1
202425,LETF021018,SCUOLA SECONDARIA II GRADO,4,16 anni,5
202425,IMEE80801T,SCUOLA PRIMARIA,3,8 anni,44
202425,ARMM00900C,SCUOLA SECONDARIA I GRADO,3,13 anni,32
202425,LIMM826013,SCUOLA SECONDARIA I GRADO,1,12 anni,13
202425,RMRC08701P,SCUOLA SECONDARIA II GRADO,2,15 anni,10
202425,VEMM805021,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
202425,LCMM81901B,SCUOLA SECONDARIA I GRADO,2,13 anni,5
202425,LEEE8AE01A,SCUOLA PRIMARIA,3,8 anni,26
202425,PSRI007012,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,1
202425,MCMM80901A,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
202425,MIEE8GE01V,SCUOLA PRIMARIA,3,9 anni,4
202425,BNRH030005,SCUOLA SECONDARIA II GRADO,4,18 anni,21
202425,FIEE87301L,SCUOLA PRIMARIA,3,10 anni,1
202425,RCTD01601R,SCUOLA SECONDARIA II GRADO,4,18 anni,2
202425,RCEE80409E,SCUOLA PRIMARIA,1,7 anni,1
202425,RMEE898014,SCUOLA PRIMARIA,3,10 anni,1
202425,VREE8AA032,SCUOLA PRIMARIA,2,7 anni,37
202425,APMM83001L,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,3
202425,CLEE80403Q,SCUOLA PRIMARIA,3,8 anni,24
202425,IMEE81603V,SCUOLA PRIMARIA,4,9 anni,3
202425,TEEE84501E,SCUOLA PRIMARIA,4,10 anni,3
202425,PGEE86701B,SCUOLA PRIMARIA,1,7 anni,2
202425,GERC00602R,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,3
202425,RMMM8EH01L,SCUOLA SECONDARIA I GRADO,3,13 anni,172
202425,VRPS00101T,SCUOLA SECONDARIA II GRADO,2,15 anni,104
202425,RMPS090001,SCUOLA SECONDARIA II GRADO,4,16 anni,30
202425,FEPS01000N,SCUOLA SECONDARIA II GRADO,2,14 anni,16
202425,CEEE898017,SCUOLA PRIMARIA,5,10 anni,30
202425,BOMM82101R,SCUOLA SECONDARIA I GRADO,2,12 anni,87
202425,NAPS046022,SCUOLA SECONDARIA II GRADO,3,17 anni,3
202425,GEMM84302N,SCUOLA SECONDARIA I GRADO,1,13 anni,1
202425,RMEE8A704E,SCUOLA PRIMARIA,5,10 anni,37
202425,PEEE828027,SCUOLA PRIMARIA,3,8 anni,10
202425,CTPM012017,SCUOLA SECONDARIA II GRADO,4,17 anni,20
202425,AVMM83201P,SCUOLA SECONDARIA I GRADO,2,11 anni,3
202425,LUEE84501X,SCUOLA PRIMARIA,1,< di 6 anni,3
202425,CARI01101V,SCUOLA SECONDARIA II GRADO,3,18 anni,6
202425,VRTD017017,SCUOLA SECONDARIA II GRADO,4,18 anni,8
202425,TOMM8AL01E,SCUOLA SECONDARIA I GRADO,3,13 anni,63
202425,RMEE82201V,SCUOLA PRIMARIA,5,9 anni,1
202425,CEEE88303G,SCUOLA PRIMARIA,1,6 anni,12
202425,FIPM01801N,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,BAEE81603D,SCUOLA PRIMARIA,4,9 anni,15
202425,MIMM8DA01P,SCUOLA SECONDARIA I GRADO,2,11 anni,5
202425,RMEE8AZ01X,SCUOLA PRIMARIA,2,8 anni,2
202425,NAEE03901A,SCUOLA PRIMARIA,2,7 anni,59
202425,VETD022013,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,15
202425,SIEE80902P,SCUOLA PRIMARIA,2,6 anni,2
202425,VEMM824019,SCUOLA SECONDARIA I GRADO,2,12 anni,134
202425,RMEE8ES04T,SCUOLA PRIMARIA,1,7 anni,2
202425,FGMM85804X,SCUOLA SECONDARIA I GRADO,1,11 anni,3
202425,MIEE8E3023,SCUOLA PRIMARIA,2,6 anni,3
202425,MEEE8AE021,SCUOLA PRIMARIA,3,8 anni,36
202425,PTEE81503C,SCUOLA PRIMARIA,2,7 anni,19
202425,TOPC090009,SCUOLA SECONDARIA II GRADO,5,18 anni,185
202425,MEEE83901C,SCUOLA PRIMARIA,5,10 anni,35
202425,NAPS037016,SCUOLA SECONDARIA II GRADO,4,16 anni,37
202425,PREE830041,SCUOLA PRIMARIA,1,6 anni,32
202425,MEEE8AB06N,SCUOLA PRIMARIA,5,10 anni,14
202425,GEEE86502G,SCUOLA PRIMARIA,5,10 anni,16
202425,VETF008013,SCUOLA SECONDARIA II GRADO,4,16 anni,2
202425,CTEE837012,SCUOLA PRIMARIA,3,8 anni,108
202425,REEE819037,SCUOLA PRIMARIA,1,6 anni,14
202425,RCTL034505,SCUOLA SECONDARIA II GRADO,2,> di 18 anni,16
202425,UDEE84002N,SCUOLA PRIMARIA,4,10 anni,1
202425,TATA02701C,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,3
202425,CEPS032015,SCUOLA SECONDARIA II GRADO,4,17 anni,10
202425,CSPS018018,SCUOLA SECONDARIA II GRADO,4,16 anni,13
202425,RMEE84601B,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,NAMM8HP01N,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
202425,NAMM8F9014,SCUOLA SECONDARIA I GRADO,2,13 anni,12
202425,TVTD007011,SCUOLA SECONDARIA II GRADO,3,17 anni,14
202425,TPEE81801L,SCUOLA PRIMARIA,1,6 anni,12
202425,TAEE875021,SCUOLA PRIMARIA,5,10 anni,78
202425,NAPS55000X,SCUOLA SECONDARIA II GRADO,5,17 anni,31
202425,MIRC061012,SCUOLA SECONDARIA II GRADO,2,15 anni,54
202425,LUMM84701E,SCUOLA SECONDARIA I GRADO,2,11 anni,5
202425,BGEE897015,SCUOLA PRIMARIA,4,9 anni,43
202425,BTTD00701N,SCUOLA SECONDARIA II GRADO,1,14 anni,46
202425,CSSD078014,SCUOLA SECONDARIA II GRADO,3,15 anni,2
202425,MCRC01101C,SCUOLA SECONDARIA II GRADO,2,15 anni,23
202425,ARPS01901L,SCUOLA SECONDARIA II GRADO,2,17 anni,2
202425,RERA00901L,SCUOLA SECONDARIA II GRADO,4,16 anni,1
202425,NAPC010002,SCUOLA SECONDARIA II GRADO,1,16 anni,2
202425,GRMM81701Q,SCUOLA SECONDARIA I GRADO,1,12 anni,1
202425,PARC037511,SCUOLA SECONDARIA II GRADO,2,18 anni,2
202425,MIPM11000D,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,10
202425,FOEE802061,SCUOLA PRIMARIA,4,9 anni,3
202425,RIEE810023,SCUOLA PRIMARIA,1,6 anni,1
