Ripartizione_geografica;Ordinatore;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Diff_WLE_19vs21;Diff_WLE_21vs22;Diff_WLE_19vs22;Diff_WLE_22vs23;Diff_WLE_23vs24;Diff_WLE_24vs25
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;1,96418701421996;3,17377797390685; ;,808267978969326;4,09219291023038;2,17143900775852
Prov. Aut. Bolzano (l. it.);7; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-15,6822408973683;3,52734244573321;-5,8161619467476;5,24399661961581
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 2;Italiano;2,26289318757762;-2,20549111928742; ;2,19240751897954;-13,7468776575693;5,7080434410679
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;5,23302281524877;-2,61860339748819; ;-10,6972178786739;-4,96581155146339;6,72799214483581
Prov. Aut. Bolzano (l. it.);7; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-11,8681096907399;6,36966101537871;-7,46005876401904;2,07877855244914
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Statistically significant;Grado 2;Matematica;-3,91437507206868;-7,98604034311171; ;5,4116721278813;-9,45623565514666;14,5452736760803
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-1,12727497945264;-1,58149633280161; ;-7,71165981888382;-2,48631895288835;,946018489200299
Prov. Aut. Trento;8;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;3,82872376200626;15,8053711135878; ;-15,5332114585263;19,5867587717972;-1,30921753034255
Prov. Aut. Trento;8;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-1,0289473815244;7,74167783105699; ;-5,4750004235664;10,0443265763573;-6,16743709782909
Prov. Aut. Trento;8; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-10,6306860177964;9,3750232106365;-9,92707852030861;1,85252186933388
Prov. Aut. Trento;8;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;6,41485964091609;-3,9716223340223; ;-4,0496029309075;-1,27659094567903;-7,20269382358705
Prov. Aut. Trento;8;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,57831224216136;-3,80469960440936; ;-2,07567751651948;-2,89581365271317;1,09771127023714
Prov. Aut. Trento;8; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-14,7889125659333;15,6249145965199;-9,18065581111023;1,85419275736817
Prov. Aut. Trento;8;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-1,65977384449545;-8,45575215294247; ;5,38817330447674;-8,53496059430933;2,73461251252706
Prov. Aut. Trento;8;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-3,89215382675999;,48369020435311; ;1,30693643234753;-7,43274679150872;5,29175931095006
Puglia;21;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-8,89193286147233;4,97435736540396; ;-1,61190083777018;11,5193366988669;,835413307049208
Puglia;21;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-6,604673752835;8,54117620996161; ;-2,96025933533534;6,06637545069322;1,79987443835131
Puglia;21; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-4,95499160136808;-3,80816091216005;1,10665139542112;3,23460588156678
Puglia;21;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2,21728320137566;-6,47938127101264; ;-3,70852772293981;2,8751260714285;,232876248921997
Puglia;21;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;,547799869523232;-4,58487623645647; ;1,44273134903639;-1,6216858556599;-1,69421815690967
Puglia;21; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-5,84544401774065;3,45816006364245;,657921003111852;-1,62322049182814
Puglia;21;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-1,36200738921548;-7,52989184971702; ;-1,24825840385728;3,28371812914685;-1,86700609056234
Puglia;21;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-6,1717160473242;-5,65408817782657; ;3,86588820786179;,0414887204846934;-5,40688844099674
Sardegna;26;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;6,06977684879303;6,50977399717263; ;-9,34911280217673;-2,93952917109982;14,5935308476724
Sardegna;26;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;10,0592654830775;1,0339521703533; ;-8,53892439136808;4,5275635906813;1,70682329243431
Sardegna;26; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-1,52022647807186;4,68530911253998;,778998412362341;-2,84985148269041
Sardegna;26;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;9,92332688223266;-8,59586078789255; ;-1,99234600393658;1,89991709968746;-1,72198088338209
Sardegna;26;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;6,80169145034338;-7,88381449021668; ;,975571295089424;-2,7335421461932;-2,55048774354898
Sardegna;26; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-2,95789319896605;7,86317527216212;-,0898410829528018;-4,87385245612694
Sardegna;26;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-,568059044994811;-8,25814863953349; ;-1,5133939424372;6,86541161748013;-5,28740938173297
Sardegna;26;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-,849967377960581;-10,171943311338; ;3,88875013266534;3,19903297444569;-4,75128504126855
Sicilia;25;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2,09487607431507;-6,11686290713834; ;-3,67311073715391;11,0515551695618;-1,15100469051052
Sicilia;25;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;1,4697438036963;1,261542519957; ;-7,84763431346005;14,7191372316761;-2,0372398567967
Sicilia;25; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-,144285288574679;-5,88647968794606;2,98971108292261;-2,43099928945878
Sicilia;25;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;5,67384010598104;-17,416744966236; ;-2,19306221114667;2,20542094014937;4,29855978978907
Sicilia;25;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;8,62308920293452;-9,51658943970384; ;-4,45006993392226;3,61141300836871;-3,08987687048744
Sicilia;25; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-1,50435350244058;-2,06084470798132;3,80094118515183;-3,12542244624328
Sicilia;25;Not Statistically significant;Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-2,69893485881465;-9,35881549813541; ;-7,9864230615284;7,39475971799314;-,340448551313898
Sicilia;25;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Matematica;1,06141603735838;-8,92132240426452; ;-4,81808437887364;10,6285036098469;-5,65575013546515
Sud e Isole;22;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;3,94174524695532;-4,0655078926473; ;-4,96961637376702;9,47982391193685;2,97487717558775
Sud e Isole;22;Not Statistically significant;Not Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;3,78717917553669;,65468896542481; ;-7,9771353730701;13,899033160834;-1,91998626119556
Sud e Isole;22; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-,431383504668332;-3,243365069513;1,1134136448625;-1,47343578471515
Sud e Isole;22;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;3,47608807091945;-11,6685200093895; ;-2,34683789922855;2,27162827341755;3,65481524048357
Sud e Isole;22;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;8,4601911091361;-9,47755896747614; ;-1,79495738975888;,262609362186112;-1,83059089695706
Sud e Isole;22; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-2,16575805920505;,44993223580073;2,68210280555627;-2,86439912978881
Sud e Isole;22;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 2;Matematica;-2,58952946668393;-7,52891453926574; ;-6,7322647908218;7,05808364520189;-,276383980065958
Sud e Isole;22;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Matematica;,730403941269287;-8,65259722448127; ;-2,1647928321924;7,21551504275916;-4,48153471464599
Sud;17;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-4,6769370796477;6,66879610642769; ;-3,28094083434416;13,4676434004033;-1,10866479576492
Sud;17;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-1,93655468991943;7,10402424681871; ;-2,21894173925313;7,60752559374808;-,0932649370954834
Sud;17; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,51692857809479;-1,7472694343671;-,390298907071269;3,89420779818988
Sud;17;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;5,90637897948224;-7,84511479199236; ;-2,47981498450159;2,72686765260366;1,02469159520058
Sud;17;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;5,52353457620151;-5,81709569124882; ;,163296637968131;-,282031471469423;-2,42263074408797
Sud;17; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-4,99066980489499;1,14918473982209;,272425112696141;1,33886641825396
Sud;17;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;,59240943377057;-5,7898131265795; ;-2,73800523835666;3,4399096458352;-1,68950648036619
Sud;17;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Statistically significant;Grado 5;Matematica;2,70812118075332;-9,07303080780795; ;2,37686798786726;4,03980165470946;-7,23868783915466
Toscana;13;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;1,39130625546574;4,1920978434546; ;2,52143884663496;24,2014047255708;-12,9878131462993
Toscana;13;Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;8,58007403836731;-1,39184642283053; ;,81919659046963;13,9185497274805;-8,21187654115849
Toscana;13; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,924053667995;,73634327371272;-3,8304165586753;-,0972292718629149
Toscana;13;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;6,55139249779282;-8,90836198665309; ;,679473006546857;-4,96624351973534;4,68947919078832
Toscana;13;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;4,44537414560878;-5,73025554449421; ;2,57821176768164;-7,8541715272782;2,98033669749302
Toscana;13; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-5,02123460596647;,963954133618671;-2,03840070804995;1,26739584899943
Toscana;13;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-1,1607188847328;-10,1441891880342; ;3,25575674739116;2,106963502589;3,31522819053868
Toscana;13;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-4,79212099479568;-3,7534879622923; ;,113372140973155;2,59994820765405;-6,63991020771974
Umbria;14;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-5,38659519762751;16,6965024594402; ;1,47245936788784;,469276655393145;11,1708984364591
Umbria;14;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-2,20722335709524;11,8762171412607; ;,653349372624177;-1,78594563770744;4,58247367670339
Umbria;14; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,52025028546612;-1,01999118217981;-,493907726004267;-2,59757265144168
Umbria;14;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-2,45557342226567;-2,08518790705691; ;-3,43517758746648;,00302536362681849;2,67446733106596
Umbria;14;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Italiano;-3,5561143609159;-,951722630427895; ;5,09259589103891;-9,65421016441968;5,58832090800496
Umbria;14; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-11,0896929715587;6,18285809478238;-,0676002240813034;-4,92133804017615
Umbria;14;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-11,7044367603812;-1,62364961494927; ;-1,19502446988415;2,99514194034202;1,83587276551026
Umbria;14;Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Matematica;-8,62812122577131;7,51875163273937; ;2,50977316202119;-8,41632417435125;,928925019205934
Valle d'Aosta;2;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-4,30849871893284;9,85193041275681; ;-10,2341251775145;21,3064613841247;-8,07428234825502
Valle d'Aosta;2;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-4,65931437120628;8,40041345226032; ;-2,08460940995914;9,5659842985232;-3,11358975106
Valle d'Aosta;2; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-12,6069446768925;-,872074117251486;,798961560436339;,50315156545031
Valle d'Aosta;2;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-,32160470221524;-,422855497640995; ;-14,0463267734199;8,83593336548611;-3,96601542131964
Valle d'Aosta;2;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;-6,44529137646023;2,316585439801; ;-3,79801415800719;-1,55090656470097;5,00095395606743
Valle d'Aosta;2; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-8,57837773553481;,211123164602753;4,34904088719449;-7,83587566138416
Valle d'Aosta;2;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-9,94418551538936;-2,24219961801415; ;-6,8171180688567;7,77309466930356;1,27567680311938
Valle d'Aosta;2;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-8,83722980490802;2,04467920362882; ;-8,64123666642593;8,04268324856091;-2,74839080145077
Veneto;9;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,473163723737571;9,36697706901921; ;-3,75275612431656;6,55622620172591;5,61421431048703
Veneto;9;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,228333834760861;10,0587378381695; ;-5,55989637592359;5,3309902461439;-1,15528858066506
Veneto;9; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-7,82394291136853;-2,63829831886625;-3,94918215931338;-1,3901278048283
Veneto;9;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;4,00286952462284;-8,55516466502343; ;-2,07278821757049;,572733169256139;-2,03285161107297
Veneto;9;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,98052294715231;-2,30610533887341; ;-10,6502569689486;5,67544307930888;-2,19942920858506
Veneto;9; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-10,3089300842818;,327997416901411;-2,97433123110363;-4,39094668578869
Veneto;9;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-6,67261160501445;-3,89257155219354; ;-,563535073690048;,128312681408062;3,28093285625482
Veneto;9;Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-5,36391472753164;,161302984313181; ;-8,05798254278315;6,90507327134767;-3,87916800846557
