AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2024/2025;3401;Parma;LM-40;Matematica;34.0;34027;9;M;18
2024/2025;3401;Parma;99999;Lettere;34.0;34027;3;F;18
2024/2025;3601;Modena e Reggio Emilia;LM-35;Ingegneria Civile e Ambientale;36.0;36023;11;M;18
2024/2025;3601;Modena e Reggio Emilia;LM-77;Economia e Diritto per le Imprese e le Pubbliche Amministrazioni;35.0;35033;7;M;18
2024/2025;3701;Bologna;99999;Ingegneria meccanica;37.0;37006;12;M;18
2024/2025;3701;Bologna;L/SNT3;Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia);37.0;37006;14;F;18
2024/2025;3701;Bologna;L-8;Ingegneria Elettronica per l'Energia e l'Informazione;40.0;40007;12;M;18
2024/2025;3701;Bologna;L-41;Finanza, Assicurazioni e Impresa;99.0;99014;9;M;18
2024/2025;3701;Bologna;LM-94;Traduzione Specializzata;40.0;40012;4;F;18
2024/2025;3801;Ferrara;46/S;Medicina e Chirurgia;38.0;38008;14;F;18
2024/2025;3701;Bologna;L-P03;Metodologie Chimiche per Prodotti e Processi;37.0;37006;12;M;18
2024/2025;3701;Bologna;LM-64;Religioni Storie Culture;37.0;37006;3;F;18
2024/2025;4101;Urbino;LM-78;Filosofia dell'Informazione. Teoria e Gestione della Conoscenza;41.0;41067;3;M;18
2024/2025;4101;Urbino;L-31;Informatica Applicata;41.0;41067;10;F;18
2024/2025;3801;Ferrara;LM-74;Scienze Geologiche, Georisorse e Territorio;38.0;38008;9;M;18
2024/2025;4201;Marche;LM-30;Green Industrial Engineering;41.0;41044;12;F;18
2024/2025;4201;Marche;LM-73;Scienze Forestali, dei Suoli e del Paesaggio;42.0;42002;13;F;18
2024/2025;4201;Marche;LM-70;Food And Beverage Innovation And Management;42.0;42002;13;F;18
2024/2025;4301;Macerata;99999;Lettere;43.0;43023;3;F;18
2024/2025;4801;Firenze;L-8;Ingegneria Elettronica e delle Telecomunicazioni;48.0;48017;12;F;18
2024/2025;4801;Firenze;LM-35;Ingegneria per la Tutela dell'Ambiente e del Territorio;48.0;48017;11;F;18
2024/2025;4801;Firenze;LM-30;Ingegneria Energetica;48.0;48017;12;F;18
2024/2025;4801;Firenze;LM-31;Ingegneria Gestionale;48.0;48017;12;M;18
2024/2025;4801;Firenze;L/SNT4;Osteopatia;48.0;48017;14;M;18
2024/2025;4804;Firenze IUL - telematica;LM-57;Innovazione educativa e apprendimento permanente nella formazione degli adulti in contesti nazionali e internazionali;48.0;48017;1;M;18
2024/2025;4801;Firenze;LM-Data;Data Science, Calcolo Scientifico & Intelligenza Artificiale;48.0;48017;10;F;18
2024/2025;4801;Firenze;L-P01;Tecniche e Tecnologie per le Costruzioni e il Territorio;48.0;48017;11;M;18
2024/2025;5001;Pisa;99999;Conservazione dei beni culturali;50.0;50026;2;F;18
2024/2025;5001;Pisa;46/S;Laurea Specialistica in Medicina e Chirurgia;50.0;50026;14;M;18
2024/2025;5001;Pisa;99999;Scienze biologiche;50.0;50026;9;F;18
2024/2025;5001;Pisa;99999;Ingegneria meccanica;50.0;50026;12;M;18
2024/2025;5001;Pisa;99999;Ingegneria elettronica;50.0;50026;12;M;18
2024/2025;5001;Pisa;L-P03;Tecniche per la Meccanica e la Produzione;50.0;50026;12;M;18
2024/2025;5001;Pisa;LM-79;Exploration And Applied Geophysics;50.0;50026;9;M;18
2024/2025;5202;Siena Stranieri;L-11;Plurilinguismo, Traduzione e Interpretazione;52.0;52032;4;M;18
2024/2025;5201;Siena;LM-9;Medical Biotechnologies;52.0;52032;9;M;18
2024/2025;5201;Siena;LM-56;Economics;52.0;52032;7;F;18
2024/2025;5401;Perugia;L-39;Servizio Sociale;54.0;54039;14;M;18
2024/2025;5801;Roma La Sapienza;14/S;Farmacia;58.0;58091;14;F;18
2024/2025;5601;Tuscia;LM-91;Informazione digitale;56.0;56059;10;M;18
2024/2025;5801;Roma La Sapienza;99999;Scienze biologiche;58.0;58091;9;F;18
2024/2025;5801;Roma La Sapienza;99999;Lingue e letterature straniere;58.0;58091;4;F;18
2024/2025;5801;Roma La Sapienza;99999;Fisica;58.0;58091;9;F;18
2024/2025;5801;Roma La Sapienza;99999;Fisica;58.0;58091;9;M;18
2024/2025;5401;Perugia;LM-9;BIOTECNOLOGIE FARMACEUTICHE;54.0;54039;9;M;18
2024/2025;5401;Perugia;LM-63;Politica, Amministrazione, Territorio;54.0;54039;5;F;18
2024/2025;5801;Roma La Sapienza;L-9;Ingegneria Meccanica;59.0;59011;12;M;18
2024/2025;5801;Roma La Sapienza;L/SNT4;Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario);58.0;58091;14;F;18
2024/2025;5801;Roma La Sapienza;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);57.0;57059;14;M;18
2024/2025;5801;Roma La Sapienza;LM-8;Biotecnologie e Genomica per l'Industria e l'Ambiente;58.0;58091;9;M;18
2024/2025;5801;Roma La Sapienza;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;56.0;56059;14;F;18
2024/2025;5801;Roma La Sapienza;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;56.0;56059;14;M;18
2024/2025;5802;Roma Tor Vergata;LM-18;Informatica;58.0;58091;10;M;18
2024/2025;5806;Roma Foro Italico;LM-67;Attività Fisica e Salute;58.0;58091;14;M;18
2024/2025;6301;Napoli Federico II;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);63.0;63049;14;M;18
2024/2025;6301;Napoli Federico II;99999;Medicina veterinaria;63.0;63049;13;F;18
2024/2025;6301;Napoli Federico II;99999;Lingue e letterature straniere;63.0;63049;4;F;18
2024/2025;6301;Napoli Federico II;99999;Ingegneria edile;63.0;63049;11;M;18
2024/2025;6301;Napoli Federico II;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;63.0;63049;14;F;18
2024/2025;6301;Napoli Federico II;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;63.0;63049;14;M;18
2024/2025;6301;Napoli Federico II;L-7;Civil And Environmental Engineering;63.0;63049;11;F;18
2024/2025;5817;Roma Link Campus;L/DS;Scienze della Difesa e della Sicurezza;63.0;63049;5;F;18
2024/2025;5817;Roma Link Campus;LM-62;Studi Strategici e Politiche della Sicurezza;58.0;58091;5;M;18
2024/2025;5817;Roma Link Campus;LMG/01;Giurisprudenza;58.0;58091;8;F;18
2024/2025;5817;Roma Link Campus;L-20;Tecnologie Innovative per la Comunicazione Digitale;58.0;58091;5;F;18
2024/2025;6201;Sannio;99999;Economia e commercio;62.0;62008;7;F;18
2024/2025;6001;Cassino;LM-85;Scienze Pedagogiche;60.0;60019;1;M;18
2024/2025;6001;Cassino;LM-27;Telecommunications Engineering - Ingegneria delle Telecomunicazioni;60.0;60019;12;M;18
2024/2025;6001;Cassino;LM-31;Ingegneria Gestionale;60.0;60038;12;F;18
2024/2025;6301;Napoli Federico II;LM-44;Mathematical Engineering;63.0;63049;12;M;18
2024/2025;6301;Napoli Federico II;LM-27;Ingegneria delle Telecomunicazioni e dei Media Digitali;63.0;63049;12;M;18
2024/2025;6301;Napoli Federico II;LM-70;Sustainable Food Systems;63.0;63059;13;F;18
2024/2025;6302;Napoli Parthenope;L-28;Conduzione del Mezzo Navale;63.0;63049;9;F;18
2024/2025;6306;Napoli Vanvitelli;LM-9;Molecular Biotechnology;61.0;61022;9;F;18
2024/2025;6501;Salerno;LM-29;Ingegneria Elettronica;65.0;65052;12;F;18
2024/2025;6501;Salerno;LM-83;Scienze Statistiche per la Finanza;65.0;65052;9;F;18
2024/2025;6601;L'Aquila;LM-23;Ingegneria Civile;66.0;66049;11;F;18
2024/2025;6701;Teramo;LM-70;Food Science And Technology;67.0;67041;13;M;18
2024/2025;6901;Chieti e Pescara;99999;Lingue e letterature straniere;68.0;68028;4;F;18
2024/2025;6901;Chieti e Pescara;99999;Medicina e chirurgia;69.0;69022;14;M;18
2024/2025;7101;Foggia;L/GASTR;Cultura e Sostenibilita’ della Enogastronomia;71.0;71024;7;F;18
2024/2025;6901;Chieti e Pescara;L-P01;Professioni Tecniche per l'Edilizia e il Territorio;68.0;68028;11;M;18
2024/2025;6901;Chieti e Pescara;LM-2;Beni Archeologici e Storico-Artistici;69.0;69022;3;F;18
2024/2025;6901;Chieti e Pescara;LM-51;Psychology Of Well-Being And Performance;69.0;69022;6;F;18
2024/2025;7101;Foggia;LM-85;Scienze Pedagogiche e della Progettazione Educativa;71.0;71024;1;M;18
2024/2025;7201;Bari;18;Scienze dell'Educazione e della Formazione;72.0;72006;1;F;18
2024/2025;7201;Bari;L/GASTR;Scienze per la Valorizzazione del Patrimonio Gastronomico;72.0;72006;7;F;18
2024/2025;7201;Bari;L/GASTR;Scienze per la Valorizzazione del Patrimonio Gastronomico;72.0;72006;7;M;18
2024/2025;7201;Bari;L/SNT3;Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista);72.0;72006;14;F;18
2024/2025;7201;Bari;LM-77;Innovazione, Governance e Sostenibilità;72.0;72006;7;F;18
2024/2025;7201;Bari;LM-74;Scienze Geologiche e Geofisiche;72.0;72006;9;M;18
2024/2025;7202;Bari Politecnico;99999;Ingegneria edile;72.0;72006;11;F;18
2024/2025;7202;Bari Politecnico;4/S;Corso di Laurea Specialistica in Ingegneria Edile - Architettura;72.0;72006;11;F;18
2024/2025;7202;Bari Politecnico;L-7;Ingegneria Civile e Ambientale;73.0;73027;11;F;18
2024/2025;7203;Casamassima – LUM G. Degennaro;L-18;Business Economics And Organization;72.0;72015;7;F;18
2024/2025;7202;Bari Politecnico;LM-27;Ingegneria delle Telecomunicazioni;72.0;72006;12;M;18
2024/2025;7202;Bari Politecnico;LM-30;Ingegneria Energetica;72.0;72006;12;F;18
2024/2025;7501;Salento;L-27;Chimica per la Sostenibilità;75.0;75035;9;M;18
2024/2025;7501;Salento;L-30;Ottica e Optometria;75.0;75035;9;M;18
2024/2025;7801;Calabria;L-9;Ingegneria Ambientale e Chimica;78.0;78102;12;F;18
2024/2025;7501;Salento;LM-65;Scienze dello Spettacolo e della Produzione Audiovisiva;75.0;75035;2;M;18
2024/2025;7501;Salento;LM-Data;Data Science per le Scienze Umane e Sociali;75.0;75035;10;M;18
2024/2025;7501;Salento;LM-9;Biotecnologie Mediche e Nanobiotecnologie;75.0;75035;9;M;18
2024/2025;7801;Calabria;LM-25;Ingegneria Robotica e dell'Automazione;78.0;78102;12;M;18
2024/2025;7801;Calabria;LM-30;Ingegneria Energetica;78.0;78102;12;F;18
2024/2025;7801;Calabria;LM-43;Gestione e Conservazione dei Documenti Digitali;78.0;78102;5;M;18
2024/2025;7801;Calabria;LMR/02;Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004);78.0;78102;3;F;18
2024/2025;7801;Calabria;LM-9;Health Biotechnology;78.0;78102;9;M;18
2024/2025;8001;Reggio Calabria;L-7;Ingegneria Civile e Ambientale per Lo Sviluppo Sostenibile;80.0;80063;11;F;18
2024/2025;7901;Catanzaro;L/SNT3;Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare);79.0;79023;14;F;18
2024/2025;8201;Palermo;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);82.0;82053;14;M;18
2024/2025;8201;Palermo;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);81.0;81021;14;F;18
2024/2025;8201;Palermo;L-9;Ingegneria delle Tecnologie per il Mare;81.0;81021;12;M;18
2024/2025;8201;Palermo;L-39;Servizio Sociale;82.0;82053;14;M;18
2024/2025;8201;Palermo;LM-17;Fisica;82.0;82053;9;F;18
2024/2025;8201;Palermo;LM-8;Biotecnologie Industriali Biomolecolari;82.0;82053;9;F;18
2024/2025;8201;Palermo;LM-8;Biotecnologie Industriali Biomolecolari;82.0;82053;9;M;18
2024/2025;8201;Palermo;LM-70;Mediterranean Food Science And Technology;82.0;82053;13;M;18
2024/2025;8201;Palermo;LM-61;Scienze dell'Alimentazione e della Nutrizione Umana;82.0;82053;9;M;18
2024/2025;8301;Messina;99999;Medicina e chirurgia;83.0;83048;14;M;18
2024/2025;8301;Messina;99999;Medicina veterinaria;83.0;83048;13;F;18
2024/2025;8201;Palermo;LMG/01;Giurisprudenza;84.0;84001;8;F;18
2024/2025;8301;Messina;L-14;Transnational And European Legal Studies;83.0;83048;8;F;18
2024/2025;8301;Messina;L-1;Beni Archeologici: Territorio, Insediamenti, Cultura Materiale;89.0;89013;2;F;18
2024/2025;8701;Catania;4/S;Architettura;89.0;89017;11;F;18
2024/2025;8701;Catania;L-16;Scienze dell'Amministrazione;87.0;87015;5;F;18
2024/2025;8301;Messina;LM-88;Servizio Sociale, Politiche Sociali e Studi Sociologici e Ricerca Sociale;83.0;83048;5;F;18
2024/2025;9201;Cagliari;99999;Lingue e letterature straniere;92.0;92009;4;F;18
2024/2025;9201;Cagliari;LM-21;Ingegneria Biomedica;92.0;92009;12;M;18
2024/2025;9201;Cagliari;LM-2;Archeologia;92.0;92009;3;M;18
2024/2025;9201;Cagliari;LM-35;Ingegneria Ambientale per Lo Sviluppo Sostenibile;92.0;92009;11;F;18
2024/2025;9201;Cagliari;LM-40;Matematica;92.0;92009;9;M;18
2024/2025;8701;Catania;LM-35;Ingegneria per l'Ambiente e il Territorio;87.0;87015;11;F;18
2024/2025;9001;Sassari;L-4;Design;90.0;90003;2;M;18
2024/2025;9001;Sassari;46/S;Medicina e Chirurgia;90.0;90064;14;M;18
2024/2025;9001;Sassari;99999;Lingue e letterature straniere;90.0;90064;4;F;18
2023/2024;8301;Messina;LM-19;Metodi e Linguaggi del Giornalismo;83.0;83048;5;F;18
2023/2024;8301;Messina;LM-23;Ingegneria Civile;83.0;83048;11;F;18
2023/2024;8301;Messina;L-14;Diritto delle Nuove Tecnologie;83.0;83048;8;M;18
2023/2024;8301;Messina;L-1;Beni Archeologici: Territorio, Insediamenti, Cultura Materiale;89.0;89013;2;F;18
2023/2024;8201;Palermo;LM-74;Georischi e Georisorse;82.0;82053;9;F;18
2023/2024;8201;Palermo;LM-69;Scienze delle Produzioni e delle Tecnologie Agrarie;82.0;82053;13;F;18
2023/2024;8301;Messina;L/SNT2;Terapia della Neuro e Psicomotricità dell'Età Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricità dell'Età Evolutiva);83.0;83048;14;M;18
2023/2024;8301;Messina;99999;Medicina veterinaria;83.0;83048;13;F;18
2023/2024;8301;Messina;LMG/01;Giurisprudenza;89.0;89021;8;M;18
2023/2024;8701;Catania;17;Economia Aziendale;87.0;87015;7;M;18
2023/2024;8701;Catania;11;Lingue e Culture Europee;87.0;87015;4;F;18
2023/2024;8701;Catania;99999;Scienze politiche;87.0;87015;5;M;18
2023/2024;8701;Catania;L-21;Pianificazione e Tutela del Territorio e del Paesaggio;87.0;87015;11;M;18
2023/2024;8701;Catania;LM-79;Scienze Geofisiche;87.0;87015;9;M;18
2023/2024;8701;Catania;LM-52;Internazionalizzazione delle Relazioni Commerciali;87.0;87015;5;M;18
2023/2024;8701;Catania;LM-62;Politica Globale e delle Relazioni Euromediterranee (Global Politics And Euro-Mediterranean Relations);87.0;87015;5;F;18
2023/2024;8701;Catania;LM-39;Scienze Linguistiche per l'Intercultura e la Formazione;88.0;88009;4;M;18
2023/2024;9001;Sassari;LM-54;Scienze Chimiche;90.0;90064;9;F;18
2023/2024;9001;Sassari;L-15;Scienze del Turismo Culturale;90.0;90064;7;F;18
2023/2024;9001;Sassari;LM-75;Gestione dell'Ambiente e del Territorio;90.0;90064;9;F;18
2023/2024;9201;Cagliari;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);92.0;92009;14;M;18
2023/2024;9201;Cagliari;LM-76;Management e Monitoraggio del Turismo Sostenibile;92.0;92009;7;F;18
2023/2024;6601;L'Aquila;4/S;Ingegneria Edile - Architettura (Corso Corrispondente alla Direttiva 85/384/Cee);66.0;66049;11;F;18
2023/2024;6601;L'Aquila;4/S;Ingegneria Edile - Architettura (Corso Corrispondente alla Direttiva 85/384/Cee);66.0;66049;11;M;18
2023/2024;6601;L'Aquila;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);66.0;66049;14;M;18
2023/2024;6601;L'Aquila;LM-6;Biologia Ambientale e Gestione degli Ecosistemi;66.0;66049;9;F;18
2023/2024;6601;L'Aquila;LM-54;Scienze Chimiche;66.0;66049;9;F;18
2023/2024;6601;L'Aquila;LM-40;Matematica;66.0;66049;9;M;18
2023/2024;6601;L'Aquila;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;66.0;66049;14;F;18
2023/2024;6601;L'Aquila;L-12;Lingue e Mediazione Culturale;66.0;66049;4;F;18
2023/2024;6701;Teramo;LM-9;Biotecnologie della Riproduzione - Reproductive Biotechnologies;67.0;67041;9;F;18
2023/2024;6901;Chieti e Pescara;99999;Lingue e letterature straniere;68.0;68028;4;F;18
2023/2024;6901;Chieti e Pescara;99999;Economia e commercio;68.0;68028;7;M;18
2023/2024;6701;Teramo;LM-70;Food Science And Technology;67.0;67041;13;M;18
2023/2024;6701;Teramo;LM-77;Diritto, Economia e Strategia d'Impresa;67.0;67041;7;F;18
2023/2024;7101;Foggia;LM-15;Filologia, Letterature e Storia;71.0;71024;3;F;18
2023/2024;7101;Foggia;LM-51;Psicologia Scolastica;71.0;71024;6;F;18
2023/2024;6901;Chieti e Pescara;LM-2;Beni Archeologici e Storico-Artistici;69.0;69022;3;F;18
2023/2024;7001;Molise;LM-47;Management dello Sport;70.0;70006;15;M;18
2023/2024;7201;Bari;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);73.0;73027;14;M;18
2023/2024;7201;Bari;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;72.0;72006;14;F;18
2023/2024;7201;Bari;LM-7;Biotecnologie per la Qualità e la Sicurezza dell'Alimentazione;72.0;72006;9;F;18
2023/2024;7201;Bari;LM-83;Statistica e Metodi per l'Economia e la Finanza;72.0;72006;9;F;18
2023/2024;7201;Bari;LM-87;Innovazione Sociale e Politiche di Inclusione;72.0;72006;14;M;18
2023/2024;7201;Bari;LM-87;Progettazione delle Politiche di Inclusione Sociale;72.0;72006;14;F;18
2023/2024;7202;Bari Politecnico;99999;Ingegneria edile;72.0;72006;11;F;18
2023/2024;7202;Bari Politecnico;L-7;Ingegneria Civile e Ambientale;73.0;73027;11;F;18
2023/2024;7202;Bari Politecnico;L-8;Ingegneria Elettronica e delle Tecnologie Internet;72.0;72006;12;F;18
2023/2024;7203;Casamassima – LUM G. Degennaro;L-9;Ingegneria Gestionale;72.0;72015;12;F;18
2023/2024;7501;Salento;LM-94;Traduzione Tecnico-Scientifica e Interpretariato;75.0;75035;4;M;18
2023/2024;7501;Salento;LM-16;Economia Finanza e Assicurazioni;75.0;75035;7;F;18
2023/2024;7501;Salento;LM-16;Economia Finanza e Assicurazioni;75.0;75035;7;M;18
2023/2024;7801;Calabria;L-14;Servizi Giuridici per l'Innovazione Digitale;78.0;78102;8;F;18
2023/2024;7801;Calabria;14/S;Chimica e Tecnologia Farmaceutiche;78.0;78102;14;F;18
2023/2024;8001;Reggio Calabria;L-8;Ingegneria dell'Informazione;80.0;80063;12;F;18
2023/2024;8001;Reggio Calabria;L-25;Scienze Forestali e Ambientali;80.0;80063;13;F;18
2023/2024;8001;Reggio Calabria;LM-69;Scienze e Tecnologie Agrarie;80.0;80063;13;F;18
2023/2024;7801;Calabria;LMR/02;Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004);78.0;78102;3;F;18
2023/2024;7801;Calabria;LM-54;Chemistry;78.0;78102;9;M;18
2023/2024;7801;Calabria;LM-30;Ingegneria Energetica;78.0;78102;12;F;18
2023/2024;7801;Calabria;L-9;Ingegneria Ambientale e Chimica;78.0;78102;12;M;18
2023/2024;8201;Palermo;L-26;Scienze  e Tecnologie Agroalimentari;82.0;82053;13;M;18
2023/2024;8201;Palermo;L-37;Economia e Cooperazione Internazionale per Lo Sviluppo Sostenibile;82.0;82053;5;F;18
2023/2024;8201;Palermo;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);82.0;82053;14;F;18
2023/2024;1001;Genova;LM-77;Management For Energy And Environmental Transition (Meet);10.0;10025;7;M;18
2023/2024;1501;Milano;26;Informatica;15.0;15146;10;M;18
2023/2024;1501;Milano;99999;Storia;15.0;15146;3;M;18
2023/2024;1501;Milano;99999;Scienze naturali;15.0;15146;9;F;18
2023/2024;1501;Milano;99999;Scienze biologiche;15.0;15146;9;F;18
2023/2024;1501;Milano;99999;Farmacia;15.0;15146;14;F;18
2023/2024;1501;Milano;L/SNT2;Terapia della Neuro e Psicomotricit&Agrave dell'Et&Agrave Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricit&Agrave dell'Et&Agrave Evolutiva);15.0;15146;14;F;18
2023/2024;1501;Milano;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;15.0;15146;14;M;18
2023/2024;1502;Milano Politecnico;LM-32;Geoinformatics Engineering - Ingegneria Geoinformatica;15.0;15146;12;M;18
2023/2024;1503;Milano Bocconi;L-35;Scienze Matematiche e della Computazione per l'Intelligenza Artificiale;15.0;15146;9;F;18
2023/2024;1501;Milano;LM-77;Economia Aziendale, Diritto e Governance D’Impresa;15.0;15146;7;M;18
2023/2024;1504;Milano Cattolica;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);58.0;58091;14;M;18
2023/2024;1504;Milano Cattolica;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);21.0;21008;14;F;18
2023/2024;1504;Milano Cattolica;LM-15;Scienze dell'Antichità;15.0;15146;3;M;18
2023/2024;1504;Milano Cattolica;LM/SNT1;Scienze Infermieristiche e Ostetriche;58.0;58091;14;M;18
2023/2024;1504;Milano Cattolica;LM-50;Consulenza Pedagogica per la Disabilità e la Marginalità;15.0;15146;1;M;18
2023/2024;1509;Milano Bicocca;LM/SNT1;Scienze Infermieristiche e Ostetriche;108.0;108033;14;M;18
2023/2024;1508;Milano San Raffaele;LM-51;Cognitive Psychology in Health Communication;15.0;15205;6;F;18
2023/2024;1509;Milano Bicocca;99999;Giurisprudenza;15.0;15146;8;F;18
2023/2024;1508;Milano San Raffaele;L-5;Filosofia;15.0;108019;3;F;18
2023/2024;1701;Brescia;L-8;Ingegneria Elettronica e delle Telecomunicazioni;17.0;17029;12;F;18
2023/2024;1701;Brescia;99999;Medicina e chirurgia;17.0;17029;14;F;18
2023/2024;1701;Brescia;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);17.0;17067;14;M;18
2023/2024;1801;Pavia;L-P01;Tecnologie Digitali per le Costruzioni, L’Ambiente e il Territorio;18.0;18110;11;F;18
2023/2024;1801;Pavia;LM-14;FILOLOGIA MODERNA;18.0;18110;3;M;18
2023/2024;2201;Trento;99999;Lettere;22.0;22205;3;F;18
2023/2024;2801;Padova;L-27;Scienza dei Materiali;28.0;28060;9;F;18
2023/2024;2801;Padova;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);24.0;24116;14;F;18
2023/2024;2801;Padova;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;28.0;28060;14;M;18
2023/2024;2701;Ca' Foscari Venezia;LM-15;Scienze dell'Antichità: Letterature, Storia e Archeologia;27.0;27042;3;M;18
2023/2024;2701;Ca' Foscari Venezia;L-1;Conservazione e Gestione dei Beni e delle Attivita Culturali;27.0;27042;2;F;18
2023/2024;2301;Verona;LM-32;Ingegneria e Scienze Informatiche;23.0;23091;12;F;18
2023/2024;2801;Padova;99999;Ingegneria meccanica;28.0;28060;12;M;18
2023/2024;2801;Padova;LM-69;Sustainable Agriculture - Agricoltura Sostenibile;28.0;28044;13;F;18
2023/2024;3201;Trieste;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);31.0;31007;14;M;18
2023/2024;3001;Udine;LM-89;Storia dell'arte;30.0;30129;2;M;18
2023/2024;3001;Udine;LM-69;Scienze e Tecnologie Agrarie;30.0;30129;13;F;18
2023/2024;3201;Trieste;99999;Ingegneria elettronica;32.0;32006;12;M;18
2023/2024;3201;Trieste;99999;Scienze dell'educazione;32.0;32006;1;F;18
2023/2024;3001;Udine;LM-37;Lingue e Letterature Europee ed Extraeuropee;30.0;30129;4;M;18
2023/2024;3001;Udine;LM-4;Architettura;30.0;30129;11;F;18
2023/2024;3001;Udine;LM-23;Ingegneria Civile;30.0;30129;11;F;18
2023/2024;3401;Parma;LM-15;Lettere Classiche e Moderne;34.0;34027;3;F;18
2023/2024;3401;Parma;L/SNT2;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);33.0;33032;14;F;18
2023/2024;3401;Parma;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);34.0;34027;14;F;18
2023/2024;3601;Modena e Reggio Emilia;LM-93;Teorie e Metodologie del Digital Learning;35.0;35033;1;F;18
2023/2024;3701;Bologna;99999;Economia e commercio;37.0;37006;7;F;18
2023/2024;3701;Bologna;99999;Scienze dell'educazione;37.0;37006;1;F;18
2023/2024;3601;Modena e Reggio Emilia;LM-33;Sustainable Industrial Engineering;36.0;36005;12;M;18
2023/2024;3601;Modena e Reggio Emilia;LM-35;Ingegneria Civile e Ambientale;36.0;36023;11;F;18
2023/2024;3701;Bologna;LM-17;Fisica del Sistema Terra;37.0;37006;9;F;18
2023/2024;3701;Bologna;LM-16;Greening Energy Market And Finance;37.0;37006;7;F;18
2023/2024;3701;Bologna;LM-18;Intelligenza Artificiale;37.0;37006;10;M;18
2023/2024;3701;Bologna;L-25;Scienze del Territorio e dell'Ambiente Agro-Forestale;37.0;37006;13;M;18
2023/2024;3701;Bologna;LM-77;Economia e Professione;37.0;37006;7;F;18
2023/2024;3701;Bologna;LM-64;Religioni Storie Culture;37.0;37006;3;M;18
2023/2024;3701;Bologna;LM-6;Biologia della Salute;37.0;37006;9;M;18
2023/2024;3701;Bologna;LM-27;Telecommunications Engineering;37.0;37006;12;F;18
2023/2024;3701;Bologna;LM-54;Chemical Innovation And Regulation;37.0;37006;9;F;18
2023/2024;3701;Bologna;LM-56;Resource Economics And Sustainable Development / Economia delle Risorse e dello Sviluppo Sostenibile;99.0;99014;7;M;18
2023/2024;3701;Bologna;LM-56;Tourism Economics And Management;99.0;99014;7;M;18
2023/2024;3801;Ferrara;46/S;Medicina e Chirurgia;38.0;38008;14;F;18
2023/2024;3801;Ferrara;L-5;Scienze Filosofiche e dell'Educazione;38.0;38008;3;F;18
