ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);VIOLONCELLO;-;Violoncello;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;COMPOSIZIONE;DCPL15;Composizione;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;DIREZIONE D'ORCHESTRA;DCPL22;Direzione d'Orchestra;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;DIREZIONE D'ORCHESTRA;DCPL22;Direzione d'Orchestra;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;MUSICA CORALE E DIREZIONE DI CORO;DCPL33;Direzione di Coro e Composizione corale;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 2L;DIREZIONE D'ORCHESTRA;DCSL22;Direzione d'Orchestra;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 2L;MUSICA CORALE E DIREZIONE DI CORO;DCSL33;Direzione di Coro e Composizione corale;F;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);DIREZIONE D'ORCHESTRA;-;Direzione d'Orchestra;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Egidio R. Duni;MATERA;7271;BASILICATA;Teoria e analisi, composizione e direzione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);DIREZIONE D'ORCHESTRA;-;Direzione d'Orchestra;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;M;6
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;F;22
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL06;Canto;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL06;Canto;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Canto e teatro musicale;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CANTO;-;Canto;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Didattica;AFAM_Corso Diploma accademico 1L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCPL21;Didattica della Musica;M;5
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Didattica;AFAM_Corso Diploma accademico 1L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCPL21;Didattica della Musica;F;9
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Didattica;AFAM_Corso Diploma accademico 2L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCSL21;Didattica della Musica - Ind. Didattica della musica - Didattica dello strumento;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Didattica;AFAM_Corso Diploma accademico 2L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCSL21;Didattica della Musica - Ind. Didattica della musica - Didattica dello strumento;F;6
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL03;Basso Elettrico;M;8
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL05;Batteria e Percussioni Jazz;M;14
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;F;14
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL40;Pianoforte Jazz;M;5
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL42;Saxofono Jazz;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 2L;JAZZ;DCSL07;Canto Jazz;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA ELETTRONICA;-;Musica, Scienza e Tecnologia del Suono;M;118
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA ELETTRONICA;-;Musica, Scienza e Tecnologia del Suono;F;93
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale triennale_1L (ad esaurim.);MUSICA ELETTRONICA;-;Musica, Scienza e Tecnologia del Suono;M;105
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale triennale_1L (ad esaurim.);MUSICA ELETTRONICA;-;Musica, Scienza e Tecnologia del Suono;F;85
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;BASSO TUBA;DCPL04;Basso tuba;M;5
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CLARINETTO;DCPL11;Clarinetto;M;8
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CLARINETTO;DCPL11;Clarinetto;F;6
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CORNO;DCPL19;Corno;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FAGOTTO;DCPL24;Fagotto;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO;DCPL27;Flauto;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO;DCPL27;Flauto;F;16
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;OBOE;DCPL36;Oboe;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;M;8
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;F;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL46;Tromba;M;6
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL46;Tromba;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBONE;DCPL49;Trombone;M;8
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 2L;FLAUTO;DCSL27;Flauto;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 2L;FLAUTO;DCSL27;Flauto;F;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 2L;OBOE;DCSL36;Oboe;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Diploma accademico 2L;TROMBA;DCSL46;Tromba;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CLARINETTO;-;Clarinetto;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CLARINETTO;-;Clarinetto;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);FLAUTO;-;Flauto;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);OBOE;-;Oboe;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);SAXOFONO;-;Saxofono;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);TROMBA;-;Tromba e trombone;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;CLAVICEMBALO;DCPL14;Clavicembalo e Tastiere Storiche;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;FISARMONICA;DCPL26;Fisarmonica;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;FISARMONICA;DCPL26;Fisarmonica;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;PIANOFORTE;DCPL39;Pianoforte;M;15
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;PIANOFORTE;DCPL39;Pianoforte;F;19
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;STRUMENTI A PERCUSSIONE;DCPL44;Strumenti a percussione;M;11
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 2L;FISARMONICA;DCSL26;Fisarmonica;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 2L;FISARMONICA;DCSL26;Fisarmonica;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 2L;PIANOFORTE;DCSL39;Pianoforte;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 2L;PIANOFORTE;DCSL39;Pianoforte;F;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 2L;STRUMENTI A PERCUSSIONE;DCSL44;Strumenti a percussione;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);PIANOFORTE;-;Pianoforte;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);PIANOFORTE;-;Pianoforte;F;7
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti a tastiera e a percussione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);STRUMENTI A PERCUSSIONE;-;Strumenti a percussione;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;ARPA;DCPL01;Arpa;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;ARPA;DCPL01;Arpa;F;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CHITARRA;DCPL09;Chitarra;M;23
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CHITARRA;DCPL09;Chitarra;F;5
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CONTRABBASSO;DCPL16;Contrabbasso;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLA;DCPL52;Viola;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLA;DCPL52;Viola;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLINO;DCPL54;Violino;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLINO;DCPL54;Violino;F;12
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLONCELLO;DCPL57;Violoncello;F;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 2L;CHITARRA;DCSL09;Chitarra;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 2L;CONTRABBASSO;DCSL16;Contrabbasso;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 2L;VIOLINO;DCSL54;Violino;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 2L;VIOLINO;DCSL54;Violino;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CHITARRA;-;Chitarra;M;6
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CHITARRA;-;Chitarra;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CONTRABBASSO;-;Contrabbasso;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);VIOLA;-;Viola;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);VIOLINO;-;Violino;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);VIOLINO;-;Violino;F;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;COMPOSIZIONE;DCPL15;Composizione;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Fausto Torrefranca;VIBO VALENTIA;7284;CALABRIA;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;COMPOSIZIONE;DCPL15;Composizione;F;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;F;14
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL08;Canto rinascimentale barocco;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL08;Canto rinascimentale barocco;F;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL06;Canto;M;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL06;Canto;F;12
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL08;Canto rinascimentale barocco;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico 2L;CANTO;DCSL08;Canto rinascimentale barocco;F;4
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico di Perfezionamento/Master;Musica vocale da camera;-;Regia Lirica - master I livello;M;8
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Canto e teatro musicale;AFAM_Corso Diploma accademico di Perfezionamento/Master;Musica vocale da camera;-;Regia Lirica - master I livello;F;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Musicoterapia;AFAM_Corso Diploma accademico di Specializzazione;MUSICOTERAPIA;-;Musicoterapia - corso di specializzazione;M;5
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Musicoterapia;AFAM_Corso Diploma accademico di Specializzazione;MUSICOTERAPIA;-;Musicoterapia - corso di specializzazione;F;15
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL05;Batteria e Percussioni Jazz;M;9
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL05;Batteria e Percussioni Jazz;F;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;F;13
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL10;Chitarra Jazz;M;12
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL64;Composizione Jazz;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL17;Contrabbasso Jazz;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL40;Pianoforte Jazz;M;3
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL42;Saxofono Jazz;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL47;Tromba Jazz;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;MUSICA ELETTRONICA;DCPL34;Musica Elettronica;M;2
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;BASSO TUBA;DCPL04;Basso tuba;M;1
2018-2019;Conservatorio di Musica;Area Musicale/Coreutica;Felice E. Dall'Abaco;VERONA;7208;VENETO;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CLARINETTO;DCPL11;Clarinetto;M;2
