ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;SPECIALIZZANDI
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;10
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;489
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;30
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;54
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;33
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;322
2024/2025;05201;Siena - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;9
2024/2025;05202;Siena - Università per stranieri;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;01;Education;F;26
2024/2025;05202;Siena - Università per stranieri;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;01;Education;M;13
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;5
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;1
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;11
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;250
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;13
2024/2025;05401;Perugia - Università degli studi;Umbria;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;380
2024/2025;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;18
2024/2025;05601;Viterbo - Università della Tuscia;Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;43
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;8
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;25
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;129
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;28
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;17
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;20
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1815
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;79
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;80
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;31
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;8
2024/2025;05801;"Roma - Università degli studi ""La Sapienza""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1163
2024/2025;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;737
2024/2025;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;22
2024/2025;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;74
2024/2025;05802;"Roma - Università degli studi di ""Tor Vergata""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;491
2024/2025;05808;"Roma - Università ""Campus Bio-Medico""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;2
2024/2025;05808;"Roma - Università ""Campus Bio-Medico""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;11
2024/2025;05808;"Roma - Università ""Campus Bio-Medico""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;342
2024/2025;05808;"Roma - Università ""Campus Bio-Medico""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;301
2024/2025;05810;"Roma - Università telematica ""Guglielmo Marconi""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;7
2024/2025;05810;"Roma - Università telematica ""Guglielmo Marconi""";Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;8
2024/2025;05818;Roma - Saint Camillus International;Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;3
2024/2025;05818;Roma - Saint Camillus International;Lazio;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;3
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;3
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1016
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;881
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;1
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;12
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;1
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;4
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;7
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;3
2024/2025;06301;"Napoli - Università degli studi ""Federico II""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;12
2024/2025;06302;"Napoli - Università degli studi ""Parthenope""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;24
2024/2025;06302;"Napoli - Università degli studi ""Parthenope""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;16
2024/2025;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;74
2024/2025;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;29
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;5
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;5
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;760
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;654
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;7
2024/2025;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;1
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;267
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;25
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;353
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;14
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;29
2024/2025;06501;Salerno - Università degli studi;Campania;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;16
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;263
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;31
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;10
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;19
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;4
2024/2025;06601;L'Aquila - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;289
2024/2025;06701;Teramo - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;47
2024/2025;06701;Teramo - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;40
2024/2025;06701;Teramo - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;39
2024/2025;06701;Teramo - Università degli studi;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;83
2024/2025;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;354
2024/2025;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;255
2024/2025;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;9
2024/2025;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;Abruzzo;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;22
2024/2025;07001;Campobasso - Università degli studi del Molise;Molise;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;39
2024/2025;07001;Campobasso - Università degli studi del Molise;Molise;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;54
2024/2025;07101;Foggia - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;3
2024/2025;07101;Foggia - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;239
2024/2025;07101;Foggia - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;294
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;140
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;4
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;72
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;21
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;1
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;9
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;22
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1112
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;20
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;4
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;2
2024/2025;07201;Bari - Università degli studi;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;717
2024/2025;07202;Bari - Politecnico;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;3
2024/2025;07202;Bari - Politecnico;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;2
2024/2025;07501;Lecce - Università del Salento;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;12
2024/2025;07501;Lecce - Università del Salento;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;1
2024/2025;07501;Lecce - Università del Salento;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;13
2024/2025;07501;Lecce - Università del Salento;Puglia;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;5
2024/2025;07601;Potenza - Università degli studi della Basilicata;Basilicata;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;25
2024/2025;07601;Potenza - Università degli studi della Basilicata;Basilicata;SUD;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;10
2024/2025;07801;Arcavacata di Rende - Università della Calabria;Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;21
2024/2025;07801;Arcavacata di Rende - Università della Calabria;Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;3
2024/2025;07801;Arcavacata di Rende - Università della Calabria;Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;13
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;445
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;13
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;352
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;4
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;52
2024/2025;07901;"Catanzaro - Università degli studi ""Magna Grecia""";Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;3
2024/2025;08001;Reggio Calabria - Università degli studi Mediterranea;Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;12
2024/2025;08001;Reggio Calabria - Università degli studi Mediterranea;Calabria;SUD;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;3
2024/2025;08201;Palermo - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;630
2024/2025;08201;Palermo - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;12
2024/2025;08201;Palermo - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;48
2024/2025;08201;Palermo - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;873
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;30
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;80
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;6
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;9
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;89
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;6
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;28
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;456
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;66
2024/2025;08301;Messina - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;635
2024/2025;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;7
2024/2025;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;15
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;29
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;760
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;586
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;17
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;71
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;6
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;24
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;5
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;2
2024/2025;08701;Catania - Università degli studi;Sicilia;ISOLE;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;2
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;32
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;14
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;1
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;218
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;5
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;2
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;177
2024/2025;09001;Sassari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;1
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;696
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;11
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;62
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;17
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;3
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;28
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;6
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;409
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;16
2024/2025;09201;Cagliari - Università degli studi;Sardegna;ISOLE;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;8
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;743
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;153
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;287
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;01;Education;F;26
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;699
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;620
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;267
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;158
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;22891
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;152
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;01;Education;M;6
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;31291
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;61
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;627
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;154
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;188
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;1709
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;440
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;25
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1590
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;13
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1096
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;63
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;8
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;39
2023/2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;2
