ANNO_ACCADEMICO;DES;CLASSE_RIF;ID_SESSO;Immatricolati
2020/2021;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;100
2020/2021;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;59
2020/2021;Disegno industriale;L-4;F;102
2020/2021;Disegno industriale;L-4;M;76
2020/2021;Farmacia e farmacia industriale;LM-13;F;220
2020/2021;Farmacia e farmacia industriale;LM-13;M;75
2020/2021;Filosofia;L-5;F;48
2020/2021;Filosofia;L-5;M;48
2020/2021;Geografia;L-6;F;3
2020/2021;Ingegneria civile e ambientale;L-7;F;35
2020/2021;Ingegneria civile e ambientale;L-7;M;100
2020/2021;Ingegneria dell'informazione;L-8;F;118
2020/2021;Ingegneria dell'informazione;L-8;M;384
2020/2021;Ingegneria industriale;L-9;F;136
2020/2021;Ingegneria industriale;L-9;M;491
2020/2021;Lettere;L-10;F;66
2020/2021;Lettere;L-10;M;70
2020/2021;Lingue e culture moderne;L-11;F;315
2020/2021;Lingue e culture moderne;L-11;M;130
2020/2021;Magistrali in giurisprudenza;LMG/01;F;149
2020/2021;Magistrali in giurisprudenza;LMG/01;M;58
2020/2021;Mediazione linguistica;L-12;F;184
2020/2021;Mediazione linguistica;L-12;M;68
2020/2021;Medicina e chirurgia;LM-41;F;468
2020/2021;Medicina e chirurgia;LM-41;M;458
2020/2021;Medicina veterinaria;LM-42;F;26
2020/2021;Medicina veterinaria;LM-42;M;3
2020/2021;Odontoiatria e protesi dentaria;LM-46;F;57
2020/2021;Odontoiatria e protesi dentaria;LM-46;M;36
2020/2021;Professioni sanitarie della prevenzione;L/SNT4;F;2
2020/2021;Professioni sanitarie della riabilitazione;L/SNT2;F;29
2020/2021;Professioni sanitarie della riabilitazione;L/SNT2;M;9
2020/2021;Professioni sanitarie tecniche;L/SNT3;F;47
2020/2021;Professioni sanitarie tecniche;L/SNT3;M;39
2020/2021;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;228
2020/2021;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;50
2020/2021;Scienze biologiche;L-13;F;52
2020/2021;Scienze biologiche;L-13;M;31
2020/2021;Scienze dei servizi giuridici;L-14;F;126
2020/2021;Scienze dei servizi giuridici;L-14;M;59
2020/2021;Scienze del turismo;L-15;F;48
2020/2021;Scienze del turismo;L-15;M;28
2020/2021;Scienze della comunicazione;L-20;F;198
2020/2021;Scienze della comunicazione;L-20;M;94
2020/2021;Scienze della difesa e della sicurezza;L/DS;F;3
2020/2021;Scienze della difesa e della sicurezza;L/DS;M;26
2020/2021;Scienze della formazione primaria;LM-85 bis;F;21
2020/2021;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;15
2020/2021;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;9
2020/2021;Scienze dell'amministrazione e dell'organizzazione;L-16;F;44
2020/2021;Scienze dell'amministrazione e dell'organizzazione;L-16;M;35
2020/2021;Scienze dell'architettura;L-17;F;171
2020/2021;Scienze dell'architettura;L-17;M;109
2020/2021;Scienze delle attività motorie e sportive;L-22;F;25
2020/2021;Scienze delle attività motorie e sportive;L-22;M;41
2020/2021;Scienze dell'economia e della gestione aziendale;L-18;F;582
2020/2021;Scienze dell'economia e della gestione aziendale;L-18;M;630
2020/2021;Scienze dell'educazione e della formazione;L-19;F;91
2020/2021;Scienze dell'educazione e della formazione;L-19;M;20
2020/2021;Scienze e tecniche dell'edilizia;L-23;F;28
2020/2021;Scienze e tecniche dell'edilizia;L-23;M;51
2020/2021;Scienze e tecniche psicologiche;L-24;F;252
2020/2021;Scienze e tecniche psicologiche;L-24;M;54
2020/2021;Scienze e tecnologie agrarie e forestali;L-25;F;23
2020/2021;Scienze e tecnologie agrarie e forestali;L-25;M;24
2020/2021;Scienze e tecnologie alimentari;L-26;F;22
2020/2021;Scienze e tecnologie alimentari;L-26;M;7
2020/2021;Scienze e tecnologie chimiche;L-27;F;21
2020/2021;Scienze e tecnologie chimiche;L-27;M;21
2020/2021;Scienze e tecnologie della navigazione;L-28;F;1
2020/2021;Scienze e tecnologie della navigazione;L-28;M;10
2020/2021;Scienze e tecnologie farmaceutiche;L-29;F;25
2020/2021;Scienze e tecnologie farmaceutiche;L-29;M;14
2020/2021;Scienze e tecnologie fisiche;L-30;F;12
2020/2021;Scienze e tecnologie fisiche;L-30;M;22
2020/2021;Scienze e tecnologie informatiche;L-31;F;73
2020/2021;Scienze e tecnologie informatiche;L-31;M;240
2020/2021;Scienze e tecnologie per l'ambiente e la natura;L-32;F;26
2020/2021;Scienze e tecnologie per l'ambiente e la natura;L-32;M;23
2020/2021;Scienze economiche;L-33;F;283
2020/2021;Scienze economiche;L-33;M;351
2020/2021;Scienze geologiche;L-34;F;9
2020/2021;Scienze geologiche;L-34;M;21
2020/2021;Scienze matematiche;L-35;F;20
2020/2021;Scienze matematiche;L-35;M;35
2020/2021;Scienze politiche e delle relazioni internazionali;L-36;F;210
2020/2021;Scienze politiche e delle relazioni internazionali;L-36;M;236
2020/2021;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;15
2020/2021;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;9
2020/2021;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;18
2020/2021;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;9
2020/2021;Scienze, culture e politiche della gastronomia;L/GASTR;F;23
2020/2021;Scienze, culture e politiche della gastronomia;L/GASTR;M;9
2020/2021;Servizio sociale;L-39;F;43
2020/2021;Servizio sociale;L-39;M;8
2020/2021;Sociologia;L-40;F;15
2020/2021;Sociologia;L-40;M;4
2020/2021;Statistica;L-41;F;24
2020/2021;Statistica;L-41;M;43
2020/2021;Storia;L-42;F;85
2020/2021;Storia;L-42;M;57
2019/2020;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;54
2019/2020;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;32
2019/2020;Beni culturali;L-1;F;64
2019/2020;Beni culturali;L-1;M;24
2019/2020;Biotecnologie;L-2;F;80
2019/2020;Biotecnologie;L-2;M;44
2019/2020;Conservazione e restauro dei beni culturali;LMR/02;F;3
2019/2020;Conservazione e restauro dei beni culturali;LMR/02;M;2
2019/2020;Diagnostica per la conservazione dei beni culturali;L-43;F;7
2019/2020;Diagnostica per la conservazione dei beni culturali;L-43;M;2
2019/2020;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;105
2019/2020;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;38
2019/2020;Disegno industriale;L-4;F;100
2019/2020;Disegno industriale;L-4;M;67
2019/2020;Farmacia e farmacia industriale;LM-13;F;160
2019/2020;Farmacia e farmacia industriale;LM-13;M;56
2019/2020;Filosofia;L-5;F;41
2019/2020;Filosofia;L-5;M;26
2019/2020;Geografia;L-6;F;5
2019/2020;Ingegneria civile e ambientale;L-7;F;54
2019/2020;Ingegneria civile e ambientale;L-7;M;125
2019/2020;Ingegneria dell'informazione;L-8;F;133
2019/2020;Ingegneria dell'informazione;L-8;M;325
2019/2020;Ingegneria industriale;L-9;F;160
2019/2020;Ingegneria industriale;L-9;M;554
2019/2020;Lettere;L-10;F;72
2019/2020;Lettere;L-10;M;54
2019/2020;Lingue e culture moderne;L-11;F;316
2019/2020;Lingue e culture moderne;L-11;M;165
2019/2020;Magistrali in giurisprudenza;LMG/01;F;142
2019/2020;Magistrali in giurisprudenza;LMG/01;M;71
2019/2020;Mediazione linguistica;L-12;F;232
2019/2020;Mediazione linguistica;L-12;M;82
2019/2020;Medicina e chirurgia;LM-41;F;461
2019/2020;Medicina e chirurgia;LM-41;M;404
2019/2020;Medicina veterinaria;LM-42;F;19
2019/2020;Medicina veterinaria;LM-42;M;8
2019/2020;Odontoiatria e protesi dentaria;LM-46;F;43
2019/2020;Odontoiatria e protesi dentaria;LM-46;M;39
2019/2020;Professioni sanitarie della prevenzione;L/SNT4;F;4
2019/2020;Professioni sanitarie della prevenzione;L/SNT4;M;2
2019/2020;Professioni sanitarie della riabilitazione;L/SNT2;F;38
2019/2020;Professioni sanitarie della riabilitazione;L/SNT2;M;13
2019/2020;Professioni sanitarie tecniche;L/SNT3;F;35
2019/2020;Professioni sanitarie tecniche;L/SNT3;M;30
2019/2020;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;259
2019/2020;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;36
2019/2020;Scienze biologiche;L-13;F;64
2019/2020;Scienze biologiche;L-13;M;29
2019/2020;Scienze dei servizi giuridici;L-14;F;104
2019/2020;Scienze dei servizi giuridici;L-14;M;71
2019/2020;Scienze del turismo;L-15;F;97
2019/2020;Scienze del turismo;L-15;M;54
2019/2020;Scienze della comunicazione;L-20;F;184
2019/2020;Scienze della comunicazione;L-20;M;106
2019/2020;Scienze della difesa e della sicurezza;L/DS;F;2
2019/2020;Scienze della difesa e della sicurezza;L/DS;M;31
2019/2020;Scienze della formazione primaria;LM-85 bis;F;13
2019/2020;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;10
2019/2020;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;18
2019/2020;Scienze dell'amministrazione e dell'organizzazione;L-16;F;53
2019/2020;Scienze dell'amministrazione e dell'organizzazione;L-16;M;20
2019/2020;Scienze dell'architettura;L-17;F;126
2019/2020;Scienze dell'architettura;L-17;M;81
2019/2020;Scienze delle attività motorie e sportive;L-22;F;15
2019/2020;Scienze delle attività motorie e sportive;L-22;M;41
2019/2020;Scienze dell'economia e della gestione aziendale;L-18;F;553
2019/2020;Scienze dell'economia e della gestione aziendale;L-18;M;753
2019/2020;Scienze dell'educazione e della formazione;L-19;F;100
2019/2020;Scienze dell'educazione e della formazione;L-19;M;14
2019/2020;Scienze e tecniche dell'edilizia;L-23;F;42
2019/2020;Scienze e tecniche dell'edilizia;L-23;M;64
2019/2020;Scienze e tecniche psicologiche;L-24;F;158
2019/2020;Scienze e tecniche psicologiche;L-24;M;49
2019/2020;Scienze e tecnologie agrarie e forestali;L-25;F;27
2019/2020;Scienze e tecnologie agrarie e forestali;L-25;M;28
2019/2020;Scienze e tecnologie alimentari;L-26;F;31
2019/2020;Scienze e tecnologie alimentari;L-26;M;15
2019/2020;Scienze e tecnologie chimiche;L-27;F;34
2019/2020;Scienze e tecnologie chimiche;L-27;M;12
2019/2020;Scienze e tecnologie della navigazione;L-28;F;1
2019/2020;Scienze e tecnologie della navigazione;L-28;M;5
2019/2020;Scienze e tecnologie farmaceutiche;L-29;F;20
2019/2020;Scienze e tecnologie farmaceutiche;L-29;M;4
2019/2020;Scienze e tecnologie fisiche;L-30;F;13
2019/2020;Scienze e tecnologie fisiche;L-30;M;44
2019/2020;Scienze e tecnologie informatiche;L-31;F;52
2019/2020;Scienze e tecnologie informatiche;L-31;M;132
2019/2020;Scienze e tecnologie per l'ambiente e la natura;L-32;F;40
2019/2020;Scienze e tecnologie per l'ambiente e la natura;L-32;M;29
2019/2020;Scienze economiche;L-33;F;262
2019/2020;Scienze economiche;L-33;M;381
2019/2020;Scienze geologiche;L-34;F;6
2019/2020;Scienze geologiche;L-34;M;22
2019/2020;Scienze matematiche;L-35;F;16
2019/2020;Scienze matematiche;L-35;M;33
2019/2020;Scienze politiche e delle relazioni internazionali;L-36;F;210
2019/2020;Scienze politiche e delle relazioni internazionali;L-36;M;164
2019/2020;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;21
2019/2020;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;12
2019/2020;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;12
2019/2020;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;10
2019/2020;Scienze, culture e politiche della gastronomia;L/GASTR;F;25
2019/2020;Scienze, culture e politiche della gastronomia;L/GASTR;M;21
2019/2020;Servizio sociale;L-39;F;61
2019/2020;Servizio sociale;L-39;M;18
2019/2020;Sociologia;L-40;F;12
2019/2020;Sociologia;L-40;M;4
2019/2020;Statistica;L-41;F;15
2019/2020;Statistica;L-41;M;38
2019/2020;Storia;L-42;F;29
2019/2020;Storia;L-42;M;35
2018/2019;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;50
2018/2019;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;43
2018/2019;Beni culturali;L-1;F;70
2018/2019;Beni culturali;L-1;M;16
2018/2019;Biotecnologie;L-2;F;56
2018/2019;Biotecnologie;L-2;M;39
2018/2019;Conservazione e restauro dei beni culturali;LMR/02;M;1
2018/2019;Diagnostica per la conservazione dei beni culturali;L-43;F;3
2018/2019;Diagnostica per la conservazione dei beni culturali;L-43;M;2
2018/2019;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;94
2018/2019;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;38
2018/2019;Disegno industriale;L-4;F;94
2018/2019;Disegno industriale;L-4;M;69
2018/2019;Farmacia e farmacia industriale;LM-13;F;138
2018/2019;Farmacia e farmacia industriale;LM-13;M;83
2018/2019;Filosofia;L-5;F;38
2018/2019;Filosofia;L-5;M;45
2018/2019;Geografia;L-6;F;2
2018/2019;Geografia;L-6;M;6
2018/2019;Ingegneria civile e ambientale;L-7;F;58
2018/2019;Ingegneria civile e ambientale;L-7;M;78
2018/2019;Ingegneria dell'informazione;L-8;F;109
2018/2019;Ingegneria dell'informazione;L-8;M;359
2018/2019;Ingegneria industriale;L-9;F;117
2018/2019;Ingegneria industriale;L-9;M;494
2018/2019;Lettere;L-10;F;78
2018/2019;Lettere;L-10;M;39
2018/2019;Lingue e culture moderne;L-11;F;342
2018/2019;Lingue e culture moderne;L-11;M;152
2018/2019;Magistrali in giurisprudenza;LMG/01;F;159
2018/2019;Magistrali in giurisprudenza;LMG/01;M;82
2018/2019;Mediazione linguistica;L-12;F;162
2018/2019;Mediazione linguistica;L-12;M;76
2018/2019;Medicina e chirurgia;LM-41;F;470
2018/2019;Medicina e chirurgia;LM-41;M;349
2018/2019;Medicina veterinaria;LM-42;F;26
2018/2019;Medicina veterinaria;LM-42;M;9
2018/2019;Odontoiatria e protesi dentaria;LM-46;F;52
2018/2019;Odontoiatria e protesi dentaria;LM-46;M;35
2018/2019;Professioni sanitarie della prevenzione;L/SNT4;F;6
2018/2019;Professioni sanitarie della riabilitazione;L/SNT2;F;24
2018/2019;Professioni sanitarie della riabilitazione;L/SNT2;M;19
2018/2019;Professioni sanitarie tecniche;L/SNT3;F;17
2018/2019;Professioni sanitarie tecniche;L/SNT3;M;16
2018/2019;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;221
2018/2019;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;25
2018/2019;Scienze biologiche;L-13;F;48
2018/2019;Scienze biologiche;L-13;M;26
2018/2019;Scienze dei servizi giuridici;L-14;F;65
2018/2019;Scienze dei servizi giuridici;L-14;M;50
2018/2019;Scienze del turismo;L-15;F;90
2018/2019;Scienze del turismo;L-15;M;45
2018/2019;Scienze della comunicazione;L-20;F;159
2018/2019;Scienze della comunicazione;L-20;M;100
2018/2019;Scienze della difesa e della sicurezza;L/DS;F;2
2018/2019;Scienze della difesa e della sicurezza;L/DS;M;37
2018/2019;Scienze della formazione primaria;LM-85 bis;F;8
2018/2019;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;9
2018/2019;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;8
2018/2019;Scienze dell'amministrazione e dell'organizzazione;L-16;F;55
2018/2019;Scienze dell'amministrazione e dell'organizzazione;L-16;M;22
2018/2019;Scienze dell'architettura;L-17;F;118
2018/2019;Scienze dell'architettura;L-17;M;68
2018/2019;Scienze delle attività motorie e sportive;L-22;F;15
2018/2019;Scienze delle attività motorie e sportive;L-22;M;37
2018/2019;Scienze dell'economia e della gestione aziendale;L-18;F;568
2018/2019;Scienze dell'economia e della gestione aziendale;L-18;M;588
2018/2019;Scienze dell'educazione e della formazione;L-19;F;102
2018/2019;Scienze dell'educazione e della formazione;L-19;M;9
2018/2019;Scienze e tecniche dell'edilizia;L-23;F;23
2018/2019;Scienze e tecniche dell'edilizia;L-23;M;47
2018/2019;Scienze e tecniche psicologiche;L-24;F;95
2018/2019;Scienze e tecniche psicologiche;L-24;M;21
2018/2019;Scienze e tecnologie agrarie e forestali;L-25;F;21
2018/2019;Scienze e tecnologie agrarie e forestali;L-25;M;25
2018/2019;Scienze e tecnologie alimentari;L-26;F;25
2018/2019;Scienze e tecnologie alimentari;L-26;M;18
2018/2019;Scienze e tecnologie chimiche;L-27;F;28
2018/2019;Scienze e tecnologie chimiche;L-27;M;15
2018/2019;Scienze e tecnologie farmaceutiche;L-29;F;17
2018/2019;Scienze e tecnologie farmaceutiche;L-29;M;3
2018/2019;Scienze e tecnologie fisiche;L-30;F;19
2018/2019;Scienze e tecnologie fisiche;L-30;M;21
2018/2019;Scienze e tecnologie informatiche;L-31;F;42
2018/2019;Scienze e tecnologie informatiche;L-31;M;105
2018/2019;Scienze e tecnologie per l'ambiente e la natura;L-32;F;40
2018/2019;Scienze e tecnologie per l'ambiente e la natura;L-32;M;18
2018/2019;Scienze economiche;L-33;F;241
2018/2019;Scienze economiche;L-33;M;318
2018/2019;Scienze geologiche;L-34;F;12
2018/2019;Scienze geologiche;L-34;M;16
2018/2019;Scienze matematiche;L-35;F;24
2018/2019;Scienze matematiche;L-35;M;31
2018/2019;Scienze politiche e delle relazioni internazionali;L-36;F;187
2018/2019;Scienze politiche e delle relazioni internazionali;L-36;M;172
2018/2019;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;18
2018/2019;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;9
2018/2019;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;5
2018/2019;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;5
2018/2019;Scienze, culture e politiche della gastronomia;L/GASTR;F;22
2018/2019;Scienze, culture e politiche della gastronomia;L/GASTR;M;15
2018/2019;Servizio sociale;L-39;F;45
2018/2019;Servizio sociale;L-39;M;8
2018/2019;Sociologia;L-40;F;12
2018/2019;Sociologia;L-40;M;5
2018/2019;Statistica;L-41;F;15
2018/2019;Statistica;L-41;M;21
2018/2019;Storia;L-42;F;24
2018/2019;Storia;L-42;M;26
2017/2018;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;36
2017/2018;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;16
2017/2018;Beni culturali;L-1;F;72
2017/2018;Beni culturali;L-1;M;24
2017/2018;Biotecnologie;L-2;F;81
2017/2018;Biotecnologie;L-2;M;44
2017/2018;Conservazione e restauro dei beni culturali;LMR/02;F;1
2017/2018;Conservazione e restauro dei beni culturali;LMR/02;M;1
2017/2018;Diagnostica per la conservazione dei beni culturali;L-43;F;5
2017/2018;Diagnostica per la conservazione dei beni culturali;L-43;M;3
2017/2018;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;82
2017/2018;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;44
2017/2018;Disegno industriale;L-4;F;95
2017/2018;Disegno industriale;L-4;M;40
2017/2018;Farmacia e farmacia industriale;LM-13;F;150
2017/2018;Farmacia e farmacia industriale;LM-13;M;52
2017/2018;Filosofia;L-5;F;35
2017/2018;Filosofia;L-5;M;31
2017/2018;Geografia;L-6;M;2
2017/2018;Ingegneria civile e ambientale;L-7;F;56
2017/2018;Ingegneria civile e ambientale;L-7;M;86
2017/2018;Ingegneria dell'informazione;L-8;F;114
2017/2018;Ingegneria dell'informazione;L-8;M;364
2017/2018;Ingegneria industriale;L-9;F;154
2017/2018;Ingegneria industriale;L-9;M;484
2017/2018;Lettere;L-10;F;85
2017/2018;Lettere;L-10;M;58
2017/2018;Lingue e culture moderne;L-11;F;348
2017/2018;Lingue e culture moderne;L-11;M;146
2017/2018;Magistrali in giurisprudenza;LMG/01;F;172
2017/2018;Magistrali in giurisprudenza;LMG/01;M;75
2017/2018;Mediazione linguistica;L-12;F;165
2017/2018;Mediazione linguistica;L-12;M;72
2017/2018;Medicina e chirurgia;LM-41;F;356
2017/2018;Medicina e chirurgia;LM-41;M;304
2017/2018;Medicina veterinaria;LM-42;F;16
2017/2018;Medicina veterinaria;LM-42;M;12
2017/2018;Odontoiatria e protesi dentaria;LM-46;F;32
2017/2018;Odontoiatria e protesi dentaria;LM-46;M;21
2017/2018;Professioni sanitarie della prevenzione;L/SNT4;F;4
2017/2018;Professioni sanitarie della prevenzione;L/SNT4;M;1
2017/2018;Professioni sanitarie della riabilitazione;L/SNT2;F;27
2017/2018;Professioni sanitarie della riabilitazione;L/SNT2;M;11
2017/2018;Professioni sanitarie tecniche;L/SNT3;F;17
2017/2018;Professioni sanitarie tecniche;L/SNT3;M;9
2017/2018;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;144
2017/2018;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;21
2017/2018;Scienze biologiche;L-13;F;50
2017/2018;Scienze biologiche;L-13;M;37
2017/2018;Scienze dei servizi giuridici;L-14;F;49
2017/2018;Scienze dei servizi giuridici;L-14;M;29
2017/2018;Scienze del turismo;L-15;F;74
2017/2018;Scienze del turismo;L-15;M;39
2017/2018;Scienze della comunicazione;L-20;F;157
2017/2018;Scienze della comunicazione;L-20;M;73
2017/2018;Scienze della difesa e della sicurezza;L/DS;M;27
2017/2018;Scienze della formazione primaria;LM-85 bis;F;12
2017/2018;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;9
2017/2018;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;8
2017/2018;Scienze dell'amministrazione e dell'organizzazione;L-16;F;48
2017/2018;Scienze dell'amministrazione e dell'organizzazione;L-16;M;20
2017/2018;Scienze dell'architettura;L-17;F;118
2017/2018;Scienze dell'architettura;L-17;M;67
2017/2018;Scienze delle attività motorie e sportive;L-22;F;20
2017/2018;Scienze delle attività motorie e sportive;L-22;M;27
2017/2018;Scienze dell'economia e della gestione aziendale;L-18;F;563
2017/2018;Scienze dell'economia e della gestione aziendale;L-18;M;576
2017/2018;Scienze dell'educazione e della formazione;L-19;F;95
2017/2018;Scienze dell'educazione e della formazione;L-19;M;9
2017/2018;Scienze e tecniche dell'edilizia;L-23;F;9
2017/2018;Scienze e tecniche dell'edilizia;L-23;M;12
2017/2018;Scienze e tecniche psicologiche;L-24;F;81
2017/2018;Scienze e tecniche psicologiche;L-24;M;31
2017/2018;Scienze e tecnologie agrarie e forestali;L-25;F;28
2017/2018;Scienze e tecnologie agrarie e forestali;L-25;M;40
2017/2018;Scienze e tecnologie alimentari;L-26;F;53
2017/2018;Scienze e tecnologie alimentari;L-26;M;41
2017/2018;Scienze e tecnologie chimiche;L-27;F;25
2017/2018;Scienze e tecnologie chimiche;L-27;M;25
2017/2018;Scienze e tecnologie farmaceutiche;L-29;F;12
2017/2018;Scienze e tecnologie farmaceutiche;L-29;M;4
2017/2018;Scienze e tecnologie fisiche;L-30;F;22
2017/2018;Scienze e tecnologie fisiche;L-30;M;32
2017/2018;Scienze e tecnologie informatiche;L-31;F;26
2017/2018;Scienze e tecnologie informatiche;L-31;M;100
2017/2018;Scienze e tecnologie per l'ambiente e la natura;L-32;F;19
2017/2018;Scienze e tecnologie per l'ambiente e la natura;L-32;M;23
2017/2018;Scienze economiche;L-33;F;235
2017/2018;Scienze economiche;L-33;M;311
2017/2018;Scienze geologiche;L-34;F;15
2017/2018;Scienze geologiche;L-34;M;26
2017/2018;Scienze matematiche;L-35;F;29
2017/2018;Scienze matematiche;L-35;M;18
2017/2018;Scienze politiche e delle relazioni internazionali;L-36;F;189
2017/2018;Scienze politiche e delle relazioni internazionali;L-36;M;156
2017/2018;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;13
2017/2018;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;10
2017/2018;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;12
2017/2018;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;2
2017/2018;Servizio sociale;L-39;F;66
2017/2018;Servizio sociale;L-39;M;23
2017/2018;Sociologia;L-40;F;19
2017/2018;Sociologia;L-40;M;10
2017/2018;Statistica;L-41;F;26
2017/2018;Statistica;L-41;M;20
2017/2018;Storia;L-42;F;20
2017/2018;Storia;L-42;M;35
2016/2017;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;21
2016/2017;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;15
2016/2017;Beni culturali;L-1;F;59
2016/2017;Beni culturali;L-1;M;20
2016/2017;Biotecnologie;L-2;F;57
2016/2017;Biotecnologie;L-2;M;45
2016/2017;Conservazione e restauro dei beni culturali;LMR/02;F;1
2016/2017;Diagnostica per la conservazione dei beni culturali;L-43;F;9
2016/2017;Diagnostica per la conservazione dei beni culturali;L-43;M;7
2016/2017;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;87
2016/2017;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;36
2016/2017;Disegno industriale;L-4;F;69
2016/2017;Disegno industriale;L-4;M;41
2016/2017;Farmacia e farmacia industriale;LM-13;F;149
2016/2017;Farmacia e farmacia industriale;LM-13;M;67
2016/2017;Filosofia;L-5;F;26
2016/2017;Filosofia;L-5;M;25
2016/2017;Geografia;L-6;F;7
2016/2017;Geografia;L-6;M;10
2016/2017;Ingegneria civile e ambientale;L-7;F;57
2016/2017;Ingegneria civile e ambientale;L-7;M;90
2016/2017;Ingegneria dell'informazione;L-8;F;90
2016/2017;Ingegneria dell'informazione;L-8;M;246
2016/2017;Ingegneria industriale;L-9;F;107
2016/2017;Ingegneria industriale;L-9;M;473
2016/2017;Lettere;L-10;F;73
2016/2017;Lettere;L-10;M;45
2016/2017;Lingue e culture moderne;L-11;F;353
2016/2017;Lingue e culture moderne;L-11;M;125
2016/2017;Magistrali in giurisprudenza;LMG/01;F;156
2016/2017;Magistrali in giurisprudenza;LMG/01;M;66
2016/2017;Mediazione linguistica;L-12;F;199
2016/2017;Mediazione linguistica;L-12;M;64
2016/2017;Medicina e chirurgia;LM-41;F;302
2016/2017;Medicina e chirurgia;LM-41;M;256
2016/2017;Medicina veterinaria;LM-42;F;11
2016/2017;Medicina veterinaria;LM-42;M;8
2016/2017;Odontoiatria e protesi dentaria;LM-46;F;12
2016/2017;Odontoiatria e protesi dentaria;LM-46;M;10
2016/2017;Professioni sanitarie della prevenzione;L/SNT4;F;3
2016/2017;Professioni sanitarie della prevenzione;L/SNT4;M;1
2016/2017;Professioni sanitarie della riabilitazione;L/SNT2;F;14
2016/2017;Professioni sanitarie della riabilitazione;L/SNT2;M;11
2016/2017;Professioni sanitarie tecniche;L/SNT3;F;15
2016/2017;Professioni sanitarie tecniche;L/SNT3;M;3
2016/2017;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;122
2016/2017;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;24
2016/2017;Scienze biologiche;L-13;F;46
2016/2017;Scienze biologiche;L-13;M;33
2016/2017;Scienze dei servizi giuridici;L-14;F;52
2016/2017;Scienze dei servizi giuridici;L-14;M;11
2016/2017;Scienze del turismo;L-15;F;77
2016/2017;Scienze del turismo;L-15;M;38
2016/2017;Scienze della comunicazione;L-20;F;152
2016/2017;Scienze della comunicazione;L-20;M;80
2016/2017;Scienze della difesa e della sicurezza;L/DS;F;1
