ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;N_PERS_DR
2012;45 - 49;1PO;Professore I fascia (ordinario);1370
2012;50 - 54;1PO;Professore I fascia (ordinario);2307
2012;55 - 59;1PO;Professore I fascia (ordinario);2760
2012;60 - 64;1PO;Professore I fascia (ordinario);3888
2012;>= 65;1PO;Professore I fascia (ordinario);3799
2012;30 - 34;2PA;Professore II fascia (associato);16
2012;35 - 39;2PA;Professore II fascia (associato);464
2012;40 - 44;2PA;Professore II fascia (associato);1965
2012;45 - 49;2PA;Professore II fascia (associato);3606
2012;50 - 54;2PA;Professore II fascia (associato);3616
2012;55 - 59;2PA;Professore II fascia (associato);2586
2012;60 - 64;2PA;Professore II fascia (associato);2377
2012;>= 65;2PA;Professore II fascia (associato);1513
2012;25 - 29;3RTD;Ricercatore a tempo determinato;50
2012;30 - 34;3RTD;Ricercatore a tempo determinato;709
2012;35 - 39;3RTD;Ricercatore a tempo determinato;911
2012;40 - 44;3RTD;Ricercatore a tempo determinato;392
2012;45 - 49;3RTD;Ricercatore a tempo determinato;134
2012;50 - 54;3RTD;Ricercatore a tempo determinato;41
2012;55 - 59;3RTD;Ricercatore a tempo determinato;17
2012;60 - 64;3RTD;Ricercatore a tempo determinato;10
2012;>= 65;3RTD;Ricercatore a tempo determinato;3
2012;25 - 29;3RU;Ricercatore a tempo indeterminato;16
2012;30 - 34;3RU;Ricercatore a tempo indeterminato;1295
2012;35 - 39;3RU;Ricercatore a tempo indeterminato;5385
2012;40 - 44;3RU;Ricercatore a tempo indeterminato;5865
2012;45 - 49;3RU;Ricercatore a tempo indeterminato;4657
2012;50 - 54;3RU;Ricercatore a tempo indeterminato;3012
2012;55 - 59;3RU;Ricercatore a tempo indeterminato;2314
2012;60 - 64;3RU;Ricercatore a tempo indeterminato;1655
2012;>= 65;3RU;Ricercatore a tempo indeterminato;65
2012;< 25;4AR;Titolare di assegno di ricerca;43
2012;25 - 29;4AR;Titolare di assegno di ricerca;3252
2012;30 - 34;4AR;Titolare di assegno di ricerca;6707
2012;35 - 39;4AR;Titolare di assegno di ricerca;4024
2012;40 - 44;4AR;Titolare di assegno di ricerca;1162
2012;45 - 49;4AR;Titolare di assegno di ricerca;366
2012;50 - 54;4AR;Titolare di assegno di ricerca;117
2012;55 - 59;4AR;Titolare di assegno di ricerca;42
2012;60 - 64;4AR;Titolare di assegno di ricerca;18
2012;>= 65;4AR;Titolare di assegno di ricerca;16
2013;35 - 39;1PO;Professore I fascia (ordinario);23
2013;40 - 44;1PO;Professore I fascia (ordinario);257
2013;45 - 49;1PO;Professore I fascia (ordinario);1177
2013;50 - 54;1PO;Professore I fascia (ordinario);2183
2013;55 - 59;1PO;Professore I fascia (ordinario);2782
2013;60 - 64;1PO;Professore I fascia (ordinario);3422
2013;>= 65;1PO;Professore I fascia (ordinario);4046
2013;30 - 34;2PA;Professore II fascia (associato);8
2013;35 - 39;2PA;Professore II fascia (associato);340
2013;40 - 44;2PA;Professore II fascia (associato);1665
2013;45 - 49;2PA;Professore II fascia (associato);3377
2013;50 - 54;2PA;Professore II fascia (associato);3712
2013;55 - 59;2PA;Professore II fascia (associato);2766
2013;60 - 64;2PA;Professore II fascia (associato);2286
2013;>= 65;2PA;Professore II fascia (associato);1656
2013;25 - 29;3RTD;Ricercatore a tempo determinato;44
2013;30 - 34;3RTD;Ricercatore a tempo determinato;762
2013;35 - 39;3RTD;Ricercatore a tempo determinato;1243
2013;40 - 44;3RTD;Ricercatore a tempo determinato;575
2013;45 - 49;3RTD;Ricercatore a tempo determinato;201
2013;50 - 54;3RTD;Ricercatore a tempo determinato;64
2013;55 - 59;3RTD;Ricercatore a tempo determinato;19
2013;60 - 64;3RTD;Ricercatore a tempo determinato;11
2013;>= 65;3RTD;Ricercatore a tempo determinato;4
2013;25 - 29;3RU;Ricercatore a tempo indeterminato;2
2013;30 - 34;3RU;Ricercatore a tempo indeterminato;750
2013;35 - 39;3RU;Ricercatore a tempo indeterminato;4616
2013;40 - 44;3RU;Ricercatore a tempo indeterminato;5995
2013;45 - 49;3RU;Ricercatore a tempo indeterminato;4970
2013;50 - 54;3RU;Ricercatore a tempo indeterminato;3168
2013;55 - 59;3RU;Ricercatore a tempo indeterminato;2393
2013;60 - 64;3RU;Ricercatore a tempo indeterminato;1766
2013;>= 65;3RU;Ricercatore a tempo indeterminato;86
2013;< 25;4AR;Titolare di assegno di ricerca;30
2013;25 - 29;4AR;Titolare di assegno di ricerca;3181
2013;30 - 34;4AR;Titolare di assegno di ricerca;6802
2013;35 - 39;4AR;Titolare di assegno di ricerca;4149
2013;40 - 44;4AR;Titolare di assegno di ricerca;1473
2013;45 - 49;4AR;Titolare di assegno di ricerca;419
2013;50 - 54;4AR;Titolare di assegno di ricerca;134
2013;55 - 59;4AR;Titolare di assegno di ricerca;57
2013;60 - 64;4AR;Titolare di assegno di ricerca;16
2013;>= 65;4AR;Titolare di assegno di ricerca;19
2014;35 - 39;1PO;Professore I fascia (ordinario);16
2014;40 - 44;1PO;Professore I fascia (ordinario);215
2014;45 - 49;1PO;Professore I fascia (ordinario);1043
2014;50 - 54;1PO;Professore I fascia (ordinario);2095
2014;55 - 59;1PO;Professore I fascia (ordinario);2764
2014;60 - 64;1PO;Professore I fascia (ordinario);3066
2014;>= 65;1PO;Professore I fascia (ordinario);4064
2014;30 - 34;2PA;Professore II fascia (associato);49
2014;35 - 39;2PA;Professore II fascia (associato);693
2014;40 - 44;2PA;Professore II fascia (associato);2132
2014;45 - 49;2PA;Professore II fascia (associato);3630
2014;50 - 54;2PA;Professore II fascia (associato);4068
2014;55 - 59;2PA;Professore II fascia (associato);3022
2014;60 - 64;2PA;Professore II fascia (associato);2234
2014;>= 65;2PA;Professore II fascia (associato);1713
2014;25 - 29;3RTD;Ricercatore a tempo determinato;29
2014;30 - 34;3RTD;Ricercatore a tempo determinato;801
2014;35 - 39;3RTD;Ricercatore a tempo determinato;1558
2014;40 - 44;3RTD;Ricercatore a tempo determinato;777
2014;45 - 49;3RTD;Ricercatore a tempo determinato;277
2014;50 - 54;3RTD;Ricercatore a tempo determinato;86
2014;55 - 59;3RTD;Ricercatore a tempo determinato;24
2014;60 - 64;3RTD;Ricercatore a tempo determinato;9
2014;>= 65;3RTD;Ricercatore a tempo determinato;4
2014;30 - 34;3RU;Ricercatore a tempo indeterminato;351
2014;35 - 39;3RU;Ricercatore a tempo indeterminato;3298
2014;40 - 44;3RU;Ricercatore a tempo indeterminato;5332
2014;45 - 49;3RU;Ricercatore a tempo indeterminato;4606
2014;50 - 54;3RU;Ricercatore a tempo indeterminato;3131
2014;55 - 59;3RU;Ricercatore a tempo indeterminato;2420
2014;60 - 64;3RU;Ricercatore a tempo indeterminato;1803
2014;>= 65;3RU;Ricercatore a tempo indeterminato;94
2014;< 25;4AR;Titolare di assegno di ricerca;38
2014;25 - 29;4AR;Titolare di assegno di ricerca;2826
2014;30 - 34;4AR;Titolare di assegno di ricerca;6579
2014;35 - 39;4AR;Titolare di assegno di ricerca;4083
2014;40 - 44;4AR;Titolare di assegno di ricerca;1671
2014;45 - 49;4AR;Titolare di assegno di ricerca;449
2014;50 - 54;4AR;Titolare di assegno di ricerca;159
2014;55 - 59;4AR;Titolare di assegno di ricerca;67
2014;60 - 64;4AR;Titolare di assegno di ricerca;21
2014;>= 65;4AR;Titolare di assegno di ricerca;16
2015;35 - 39;1PO;Professore I fascia (ordinario);23
2015;40 - 44;1PO;Professore I fascia (ordinario);212
2015;45 - 49;1PO;Professore I fascia (ordinario);918
2015;50 - 54;1PO;Professore I fascia (ordinario);2023
2015;55 - 59;1PO;Professore I fascia (ordinario);2810
2015;60 - 64;1PO;Professore I fascia (ordinario);2869
2015;>= 65;1PO;Professore I fascia (ordinario);4023
2015;30 - 34;2PA;Professore II fascia (associato);76
2015;35 - 39;2PA;Professore II fascia (associato);964
2015;40 - 44;2PA;Professore II fascia (associato);2928
2015;45 - 49;2PA;Professore II fascia (associato);4144
2015;50 - 54;2PA;Professore II fascia (associato);4591
2015;55 - 59;2PA;Professore II fascia (associato);3395
2015;60 - 64;2PA;Professore II fascia (associato);2233
2015;>= 65;2PA;Professore II fascia (associato);1712
2015;25 - 29;3RTD;Ricercatore a tempo determinato;35
2015;30 - 34;3RTD;Ricercatore a tempo determinato;791
2015;35 - 39;3RTD;Ricercatore a tempo determinato;1800
2015;40 - 44;3RTD;Ricercatore a tempo determinato;1011
2015;45 - 49;3RTD;Ricercatore a tempo determinato;316
2015;50 - 54;3RTD;Ricercatore a tempo determinato;121
2015;55 - 59;3RTD;Ricercatore a tempo determinato;33
2015;60 - 64;3RTD;Ricercatore a tempo determinato;7
2015;>= 65;3RTD;Ricercatore a tempo determinato;1
2015;30 - 34;3RU;Ricercatore a tempo indeterminato;142
2015;35 - 39;3RU;Ricercatore a tempo indeterminato;2053
2015;40 - 44;3RU;Ricercatore a tempo indeterminato;4317
2015;45 - 49;3RU;Ricercatore a tempo indeterminato;3856
2015;50 - 54;3RU;Ricercatore a tempo indeterminato;2928
2015;55 - 59;3RU;Ricercatore a tempo indeterminato;2343
2015;60 - 64;3RU;Ricercatore a tempo indeterminato;1709
2015;>= 65;3RU;Ricercatore a tempo indeterminato;85
2015;< 25;4AR;Titolare di assegno di ricerca;37
2015;25 - 29;4AR;Titolare di assegno di ricerca;2266
2015;30 - 34;4AR;Titolare di assegno di ricerca;5848
2015;35 - 39;4AR;Titolare di assegno di ricerca;3538
2015;40 - 44;4AR;Titolare di assegno di ricerca;1619
2015;45 - 49;4AR;Titolare di assegno di ricerca;452
2015;50 - 54;4AR;Titolare di assegno di ricerca;170
2015;55 - 59;4AR;Titolare di assegno di ricerca;71
2015;60 - 64;4AR;Titolare di assegno di ricerca;25
2015;>= 65;4AR;Titolare di assegno di ricerca;16
2016;35 - 39;1PO;Professore I fascia (ordinario);20
2016;40 - 44;1PO;Professore I fascia (ordinario);249
2016;45 - 49;1PO;Professore I fascia (ordinario);940
2016;50 - 54;1PO;Professore I fascia (ordinario);2154
2016;55 - 59;1PO;Professore I fascia (ordinario);2911
2016;60 - 64;1PO;Professore I fascia (ordinario);2918
2016;>= 65;1PO;Professore I fascia (ordinario);3781
2016;30 - 34;2PA;Professore II fascia (associato);41
2016;35 - 39;2PA;Professore II fascia (associato);865
2016;40 - 44;2PA;Professore II fascia (associato);2904
2016;45 - 49;2PA;Professore II fascia (associato);4063
2016;50 - 54;2PA;Professore II fascia (associato);4565
2016;55 - 59;2PA;Professore II fascia (associato);3507
2016;60 - 64;2PA;Professore II fascia (associato);2332
2016;>= 65;2PA;Professore II fascia (associato);1646
2016;25 - 29;3RTD;Ricercatore a tempo determinato;43
2016;30 - 34;3RTD;Ricercatore a tempo determinato;929
2016;35 - 39;3RTD;Ricercatore a tempo determinato;2218
2016;40 - 44;3RTD;Ricercatore a tempo determinato;1517
2016;45 - 49;3RTD;Ricercatore a tempo determinato;451
2016;50 - 54;3RTD;Ricercatore a tempo determinato;152
2016;55 - 59;3RTD;Ricercatore a tempo determinato;38
2016;60 - 64;3RTD;Ricercatore a tempo determinato;7
2016;>= 65;3RTD;Ricercatore a tempo determinato;2
2016;30 - 34;3RU;Ricercatore a tempo indeterminato;48
2016;35 - 39;3RU;Ricercatore a tempo indeterminato;1374
2016;40 - 44;3RU;Ricercatore a tempo indeterminato;3768
2016;45 - 49;3RU;Ricercatore a tempo indeterminato;3591
2016;50 - 54;3RU;Ricercatore a tempo indeterminato;2938
2016;55 - 59;3RU;Ricercatore a tempo indeterminato;2341
2016;60 - 64;3RU;Ricercatore a tempo indeterminato;1766
2016;>= 65;3RU;Ricercatore a tempo indeterminato;156
2016;< 25;4AR;Titolare di assegno di ricerca;53
2016;25 - 29;4AR;Titolare di assegno di ricerca;2312
2016;30 - 34;4AR;Titolare di assegno di ricerca;5584
2016;35 - 39;4AR;Titolare di assegno di ricerca;3486
2016;40 - 44;4AR;Titolare di assegno di ricerca;1662
2016;45 - 49;4AR;Titolare di assegno di ricerca;515
2016;50 - 54;4AR;Titolare di assegno di ricerca;208
2016;55 - 59;4AR;Titolare di assegno di ricerca;78
2016;60 - 64;4AR;Titolare di assegno di ricerca;31
2016;>= 65;4AR;Titolare di assegno di ricerca;17
2017;35 - 39;1PO;Professore I fascia (ordinario);28
2017;40 - 44;1PO;Professore I fascia (ordinario);259
2017;45 - 49;1PO;Professore I fascia (ordinario);934
2017;50 - 54;1PO;Professore I fascia (ordinario);2224
2017;55 - 59;1PO;Professore I fascia (ordinario);2962
2017;60 - 64;1PO;Professore I fascia (ordinario);3019
2017;>= 65;1PO;Professore I fascia (ordinario);3464
2017;30 - 34;2PA;Professore II fascia (associato);35
2017;35 - 39;2PA;Professore II fascia (associato);737
2017;40 - 44;2PA;Professore II fascia (associato);2973
2017;45 - 49;2PA;Professore II fascia (associato);4115
2017;50 - 54;2PA;Professore II fascia (associato);4552
2017;55 - 59;2PA;Professore II fascia (associato);3701
2017;60 - 64;2PA;Professore II fascia (associato);2419
2017;>= 65;2PA;Professore II fascia (associato);1612
2017;25 - 29;3RTD;Ricercatore a tempo determinato;43
2017;30 - 34;3RTD;Ricercatore a tempo determinato;1037
2017;35 - 39;3RTD;Ricercatore a tempo determinato;2407
2017;40 - 44;3RTD;Ricercatore a tempo determinato;1887
2017;45 - 49;3RTD;Ricercatore a tempo determinato;590
2017;50 - 54;3RTD;Ricercatore a tempo determinato;179
2017;55 - 59;3RTD;Ricercatore a tempo determinato;49
2017;60 - 64;3RTD;Ricercatore a tempo determinato;11
2017;>= 65;3RTD;Ricercatore a tempo determinato;1
2017;30 - 34;3RU;Ricercatore a tempo indeterminato;7
2017;35 - 39;3RU;Ricercatore a tempo indeterminato;802
2017;40 - 44;3RU;Ricercatore a tempo indeterminato;3082
2017;45 - 49;3RU;Ricercatore a tempo indeterminato;3356
2017;50 - 54;3RU;Ricercatore a tempo indeterminato;2962
2017;55 - 59;3RU;Ricercatore a tempo indeterminato;2270
2017;60 - 64;3RU;Ricercatore a tempo indeterminato;1780
2017;>= 65;3RU;Ricercatore a tempo indeterminato;296
2017;< 25;4AR;Titolare di assegno di ricerca;70
2017;25 - 29;4AR;Titolare di assegno di ricerca;2597
2017;30 - 34;4AR;Titolare di assegno di ricerca;5525
2017;35 - 39;4AR;Titolare di assegno di ricerca;3404
2017;40 - 44;4AR;Titolare di assegno di ricerca;1639
2017;45 - 49;4AR;Titolare di assegno di ricerca;546
2017;50 - 54;4AR;Titolare di assegno di ricerca;209
2017;55 - 59;4AR;Titolare di assegno di ricerca;80
2017;60 - 64;4AR;Titolare di assegno di ricerca;34
2017;>= 65;4AR;Titolare di assegno di ricerca;20
2018;30 - 34;1PO;Professore I fascia (ordinario);2
2018;35 - 39;1PO;Professore I fascia (ordinario);34
2018;40 - 44;1PO;Professore I fascia (ordinario);298
2018;45 - 49;1PO;Professore I fascia (ordinario);1034
2018;50 - 54;1PO;Professore I fascia (ordinario);2350
2018;55 - 59;1PO;Professore I fascia (ordinario);3089
2018;60 - 64;1PO;Professore I fascia (ordinario);3237
2018;>= 65;1PO;Professore I fascia (ordinario);3141
2018;30 - 34;2PA;Professore II fascia (associato);28
2018;35 - 39;2PA;Professore II fascia (associato);743
2018;40 - 44;2PA;Professore II fascia (associato);3159
2018;45 - 49;2PA;Professore II fascia (associato);4345
2018;50 - 54;2PA;Professore II fascia (associato);4567
2018;55 - 59;2PA;Professore II fascia (associato);3842
2018;60 - 64;2PA;Professore II fascia (associato);2574
2018;>= 65;2PA;Professore II fascia (associato);1526
2018;25 - 29;3RTD;Ricercatore a tempo determinato;50
2018;30 - 34;3RTD;Ricercatore a tempo determinato;1247
2018;35 - 39;3RTD;Ricercatore a tempo determinato;2875
2018;40 - 44;3RTD;Ricercatore a tempo determinato;2291
2018;45 - 49;3RTD;Ricercatore a tempo determinato;878
2018;50 - 54;3RTD;Ricercatore a tempo determinato;264
2018;55 - 59;3RTD;Ricercatore a tempo determinato;70
2018;60 - 64;3RTD;Ricercatore a tempo determinato;15
2018;>= 65;3RTD;Ricercatore a tempo determinato;2
2018;30 - 34;3RU;Ricercatore a tempo indeterminato;1
2018;35 - 39;3RU;Ricercatore a tempo indeterminato;367
2018;40 - 44;3RU;Ricercatore a tempo indeterminato;2258
2018;45 - 49;3RU;Ricercatore a tempo indeterminato;2911
2018;50 - 54;3RU;Ricercatore a tempo indeterminato;2773
2018;55 - 59;3RU;Ricercatore a tempo indeterminato;2170
2018;60 - 64;3RU;Ricercatore a tempo indeterminato;1792
2018;>= 65;3RU;Ricercatore a tempo indeterminato;329
2018;< 25;4AR;Titolare di assegno di ricerca;86
2018;25 - 29;4AR;Titolare di assegno di ricerca;2815
2018;30 - 34;4AR;Titolare di assegno di ricerca;5674
2018;35 - 39;4AR;Titolare di assegno di ricerca;3174
2018;40 - 44;4AR;Titolare di assegno di ricerca;1463
2018;45 - 49;4AR;Titolare di assegno di ricerca;557
2018;50 - 54;4AR;Titolare di assegno di ricerca;197
2018;55 - 59;4AR;Titolare di assegno di ricerca;81
2018;60 - 64;4AR;Titolare di assegno di ricerca;41
2018;>= 65;4AR;Titolare di assegno di ricerca;17
2019;30 - 34;1PO;Professore I fascia (ordinario);1
2019;35 - 39;1PO;Professore I fascia (ordinario);34
2019;40 - 44;1PO;Professore I fascia (ordinario);343
2019;45 - 49;1PO;Professore I fascia (ordinario);1117
2019;50 - 54;1PO;Professore I fascia (ordinario);2430
2019;55 - 59;1PO;Professore I fascia (ordinario);3379
2019;60 - 64;1PO;Professore I fascia (ordinario);3420
2019;>= 65;1PO;Professore I fascia (ordinario);2961
2019;30 - 34;2PA;Professore II fascia (associato);40
2019;35 - 39;2PA;Professore II fascia (associato);859
2019;40 - 44;2PA;Professore II fascia (associato);3533
2019;45 - 49;2PA;Professore II fascia (associato);4893
2019;50 - 54;2PA;Professore II fascia (associato);4692
2019;55 - 59;2PA;Professore II fascia (associato);3976
2019;60 - 64;2PA;Professore II fascia (associato);2746
2019;>= 65;2PA;Professore II fascia (associato);1544
2019;25 - 29;3RTD;Ricercatore a tempo determinato;40
2019;30 - 34;3RTD;Ricercatore a tempo determinato;1615
2019;35 - 39;3RTD;Ricercatore a tempo determinato;3272
2019;40 - 44;3RTD;Ricercatore a tempo determinato;2441
2019;45 - 49;3RTD;Ricercatore a tempo determinato;990
2019;50 - 54;3RTD;Ricercatore a tempo determinato;290
2019;55 - 59;3RTD;Ricercatore a tempo determinato;85
2019;60 - 64;3RTD;Ricercatore a tempo determinato;25
2019;>= 65;3RTD;Ricercatore a tempo determinato;2
2019;35 - 39;3RU;Ricercatore a tempo indeterminato;148
2019;40 - 44;3RU;Ricercatore a tempo indeterminato;1422
2019;45 - 49;3RU;Ricercatore a tempo indeterminato;2434
2019;50 - 54;3RU;Ricercatore a tempo indeterminato;2444
2019;55 - 59;3RU;Ricercatore a tempo indeterminato;2024
2019;60 - 64;3RU;Ricercatore a tempo indeterminato;1805
2019;>= 65;3RU;Ricercatore a tempo indeterminato;421
2019;< 25;4AR;Titolare di assegno di ricerca;99
2019;25 - 29;4AR;Titolare di assegno di ricerca;3201
2019;30 - 34;4AR;Titolare di assegno di ricerca;5791
2019;35 - 39;4AR;Titolare di assegno di ricerca;3093
2019;40 - 44;4AR;Titolare di assegno di ricerca;1318
2019;45 - 49;4AR;Titolare di assegno di ricerca;595
2019;50 - 54;4AR;Titolare di assegno di ricerca;207
2019;55 - 59;4AR;Titolare di assegno di ricerca;92
2019;60 - 64;4AR;Titolare di assegno di ricerca;43
2019;>= 65;4AR;Titolare di assegno di ricerca;20
2020;35 - 39;1PO;Professore I fascia (ordinario);40
2020;40 - 44;1PO;Professore I fascia (ordinario);362
2020;45 - 49;1PO;Professore I fascia (ordinario);1214
2020;50 - 54;1PO;Professore I fascia (ordinario);2414
2020;55 - 59;1PO;Professore I fascia (ordinario);3582
2020;60 - 64;1PO;Professore I fascia (ordinario);3695
2020;>= 65;1PO;Professore I fascia (ordinario);2870
2020;30 - 34;2PA;Professore II fascia (associato);37
2020;35 - 39;2PA;Professore II fascia (associato);817
2020;40 - 44;2PA;Professore II fascia (associato);3531
2020;45 - 49;2PA;Professore II fascia (associato);5331
2020;50 - 54;2PA;Professore II fascia (associato);4800
2020;55 - 59;2PA;Professore II fascia (associato);4188
2020;60 - 64;2PA;Professore II fascia (associato);2898
2020;>= 65;2PA;Professore II fascia (associato);1545
2020;>= 65;3RTD;Ricercatore a tempo determinato;3
2020;25 - 29;3RTD;Ricercatore a tempo determinato;48
2020;30 - 34;3RTD;Ricercatore a tempo determinato;1669
2020;35 - 39;3RTD;Ricercatore a tempo determinato;3716
2020;40 - 44;3RTD;Ricercatore a tempo determinato;2627
2020;45 - 49;3RTD;Ricercatore a tempo determinato;1240
2020;50 - 54;3RTD;Ricercatore a tempo determinato;363
2020;55 - 59;3RTD;Ricercatore a tempo determinato;113
2020;60 - 64;3RTD;Ricercatore a tempo determinato;29
2020;35 - 39;3RU;Ricercatore a tempo indeterminato;46
2020;40 - 44;3RU;Ricercatore a tempo indeterminato;768
2020;45 - 49;3RU;Ricercatore a tempo indeterminato;1974
2020;50 - 54;3RU;Ricercatore a tempo indeterminato;2073
2020;55 - 59;3RU;Ricercatore a tempo indeterminato;1903
2020;60 - 64;3RU;Ricercatore a tempo indeterminato;1739
2020;>= 65;3RU;Ricercatore a tempo indeterminato;418
2020;< 25;4AR;Titolare di assegno di ricerca;119
2020;25 - 29;4AR;Titolare di assegno di ricerca;3628
2020;30 - 34;4AR;Titolare di assegno di ricerca;6371
2020;35 - 39;4AR;Titolare di assegno di ricerca;3196
2020;40 - 44;4AR;Titolare di assegno di ricerca;1222
2020;45 - 49;4AR;Titolare di assegno di ricerca;570
2020;50 - 54;4AR;Titolare di assegno di ricerca;210
2020;55 - 59;4AR;Titolare di assegno di ricerca;104
2020;60 - 64;4AR;Titolare di assegno di ricerca;48
2020;>= 65;4AR;Titolare di assegno di ricerca;21
2021;30 - 34;1PO;Professore I fascia (ordinario);2
2021;35 - 39;1PO;Professore I fascia (ordinario);49
2021;40 - 44;1PO;Professore I fascia (ordinario);418
2021;45 - 49;1PO;Professore I fascia (ordinario);1397
2021;50 - 54;1PO;Professore I fascia (ordinario);2555
2021;55 - 59;1PO;Professore I fascia (ordinario);3812
2021;60 - 64;1PO;Professore I fascia (ordinario);3913
2021;>= 65;1PO;Professore I fascia (ordinario);3004
2021;30 - 34;2PA;Professore II fascia (associato);51
2021;35 - 39;2PA;Professore II fascia (associato);990
2021;40 - 44;2PA;Professore II fascia (associato);3679
2021;45 - 49;2PA;Professore II fascia (associato);5674
2021;50 - 54;2PA;Professore II fascia (associato);4844
2021;55 - 59;2PA;Professore II fascia (associato);4304
2021;60 - 64;2PA;Professore II fascia (associato);2994
2021;>= 65;2PA;Professore II fascia (associato);1619
2021;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;100
2021;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;4
2021;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1566
2021;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;441
2021;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2209
2021;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1938
2021;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1017
2021;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1656
2021;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;480
2021;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;911
2021;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;150
2021;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;295
2021;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;49
2021;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;83
2021;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;19
2021;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;14
2021;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1
2021;35 - 39;3RU;Ricercatore a tempo indeterminato;12
2021;40 - 44;3RU;Ricercatore a tempo indeterminato;429
2021;45 - 49;3RU;Ricercatore a tempo indeterminato;1499
2021;50 - 54;3RU;Ricercatore a tempo indeterminato;1748
2021;55 - 59;3RU;Ricercatore a tempo indeterminato;1758
2021;60 - 64;3RU;Ricercatore a tempo indeterminato;1661
2021;>= 65;3RU;Ricercatore a tempo indeterminato;447
2021;< 25;4AR;Titolare di assegno di ricerca;133
2021;25 - 29;4AR;Titolare di assegno di ricerca;3715
2021;30 - 34;4AR;Titolare di assegno di ricerca;6519
2021;35 - 39;4AR;Titolare di assegno di ricerca;3215
2021;40 - 44;4AR;Titolare di assegno di ricerca;1111
2021;45 - 49;4AR;Titolare di assegno di ricerca;584
2021;50 - 54;4AR;Titolare di assegno di ricerca;236
2021;55 - 59;4AR;Titolare di assegno di ricerca;119
2021;60 - 64;4AR;Titolare di assegno di ricerca;40
2021;>= 65;4AR;Titolare di assegno di ricerca;29
2022;30 - 34;1PO;Professore I fascia (ordinario);1
2022;35 - 39;1PO;Professore I fascia (ordinario);41
2022;40 - 44;1PO;Professore I fascia (ordinario);377
2022;45 - 49;1PO;Professore I fascia (ordinario);1481
2022;50 - 54;1PO;Professore I fascia (ordinario);2594
2022;55 - 59;1PO;Professore I fascia (ordinario);3939
2022;60 - 64;1PO;Professore I fascia (ordinario);4084
2022;>= 65;1PO;Professore I fascia (ordinario);3169
2022;30 - 34;2PA;Professore II fascia (associato);51
2022;35 - 39;2PA;Professore II fascia (associato);1255
2022;40 - 44;2PA;Professore II fascia (associato);3815
2022;45 - 49;2PA;Professore II fascia (associato);6297
2022;50 - 54;2PA;Professore II fascia (associato);5459
2022;55 - 59;2PA;Professore II fascia (associato);4692
2022;60 - 64;2PA;Professore II fascia (associato);3301
2022;>= 65;2PA;Professore II fascia (associato);1734
2022;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;121
2022;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2163
2022;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;663
2022;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2545
2022;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;2405
2022;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1182
2022;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1885
2022;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;530
2022;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1099
2022;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;171
2022;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;385
2022;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;74
2022;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;139
2022;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;16
2022;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;28
2022;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1
2022;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;2
2022;35 - 39;3RU;Ricercatore a tempo indeterminato;1
2022;40 - 44;3RU;Ricercatore a tempo indeterminato;120
