ANNO_ACCADEMICO;REGIONE_ISTITUTO;TIPO_ISTITUTO;Area_Istituto;PROVENIENZA_STUDENTE;ISCR_ITALIANI;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;MARCHE;4;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;MOLISE;5;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;PIEMONTE;1;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;18;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;1;;
2023-2024;ABRUZZO;Istituto superiore per le Industrie Artistiche;Area Artistica;UMBRIA;2;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;292;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;15;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;45;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;1;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;3;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;3;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;1;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;167;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;8;;
2023-2024;BASILICATA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;4;;
2023-2024;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;27;;
2023-2024;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;1;;
2023-2024;BASILICATA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;23;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;690;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;2;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;5;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;1;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;MARCHE;1;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;2;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;84;;
2023-2024;CALABRIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;1;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;11;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;1499;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;20;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;6;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;18;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;1;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;5;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;2;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;51;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;4;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;2;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;234;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;1;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;2;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;1;;
2023-2024;CALABRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;3;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;19;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;19;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;23;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;2652;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;2;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;48;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;2;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;4;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;MARCHE;2;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;MOLISE;18;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;3;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;39;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;9;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;10;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;25;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;1;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;5;;
2023-2024;CAMPANIA;Accademia di Belle Arti statale;Area Artistica;VENETO;4;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;2;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;20;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;58;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;3103;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;3;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;30;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;9;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;2;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;14;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;22;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;15;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;2;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;1;;
2023-2024;CAMPANIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;3;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;2;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;16;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;12;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;790;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;4;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;1;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;9;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;3;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;2;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;3;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MOLISE;4;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;19;;
2023-2024;CAMPANIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;2;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;53;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;22;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;45;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;49;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;735;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;38;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LAZIO;34;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;17;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;162;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;MARCHE;74;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;MOLISE;13;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;41;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;99;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;19;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;SICILIA;68;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;117;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;33;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;10;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;VALLE D'AOSTA;6;;
2023-2024;EMILIA ROMAGNA;Accademia di Belle Arti statale;Area Artistica;VENETO;174;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;41;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;17;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;43;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;39;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;1236;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;20;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;45;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;28;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;179;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;58;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;8;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;33;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;75;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;2;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;38;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;82;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;106;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;13;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;23;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;VALLE D'AOSTA;3;;
2023-2024;EMILIA ROMAGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;81;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;ABRUZZO;4;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;CAMPANIA;3;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;EMILIA ROMAGNA;111;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;LAZIO;3;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;LOMBARDIA;4;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;MARCHE;8;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;9;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;TOSCANA;1;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;UMBRIA;4;;
2023-2024;EMILIA ROMAGNA;Istituto superiore per le Industrie Artistiche;Area Artistica;VENETO;4;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;4;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;2;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;5;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;8;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;306;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;5;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;12;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;2;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;13;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;86;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MOLISE;1;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;11;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;17;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;2;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;15;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TOSCANA;15;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;3;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;UMBRIA;4;;
2023-2024;EMILIA ROMAGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;22;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;4;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;2;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;4;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;410;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;3;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;9;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;1;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;2;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;4;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;3;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;7;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;2;;
2023-2024;FRIULI VENEZIA GIULIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;63;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;EMILIA ROMAGNA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;FRIULI VENEZIA GIULIA;105;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;LAZIO;5;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;LOMBARDIA;5;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;PIEMONTE;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;2;;
2023-2024;FRIULI VENEZIA GIULIA;Istituto superiore per le Industrie Artistiche;Area Artistica;VENETO;66;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;277;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;2;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;1;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;3;;
2023-2024;FRIULI VENEZIA GIULIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;26;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;54;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;BASILICATA;46;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;CALABRIA;72;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;86;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;20;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;6;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;LAZIO;2018;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;LIGURIA;11;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;13;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;MARCHE;39;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;MOLISE;12;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;11;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;PUGLIA;117;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;31;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;SICILIA;82;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;TOSCANA;40;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;5;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;UMBRIA;49;;
2023-2024;LAZIO;Accademia di Belle Arti statale;Area Artistica;VENETO;18;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;ABRUZZO;44;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;BASILICATA;22;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;CALABRIA;51;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;CAMPANIA;146;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;EMILIA ROMAGNA;31;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;FRIULI VENEZIA GIULIA;10;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;LAZIO;922;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;LIGURIA;4;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;LOMBARDIA;29;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;MARCHE;31;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;MOLISE;8;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;PIEMONTE;18;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;PUGLIA;87;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;Residenti all'Estero;14;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;SARDEGNA;12;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;SICILIA;91;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;TOSCANA;38;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;TRENTINO-ALTO ADIGE;14;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;UMBRIA;46;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;VALLE D'AOSTA;4;;
2023-2024;LAZIO;Accademia Legalmente Riconosciuta;Area Artistica;VENETO;30;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;ABRUZZO;4;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;CAMPANIA;8;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;EMILIA ROMAGNA;8;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;FRIULI VENEZIA GIULIA;1;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;LAZIO;42;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;LIGURIA;4;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;LOMBARDIA;8;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;MARCHE;3;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;MOLISE;1;;
2023-2024;LAZIO;Accademia Nazionale di Arte Drammatica;Area Artistica;PIEMONTE;3;;
