ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;CODICE_CLASSE;DESCRIZIONE_CLASSE;CONTRIBUZIONE_LAUREA;CONTRIBUZIONE_DOTTORATO;CONTRIBUZIONE_SPECIALIZZAZIONE;CONTRIBUZIONE_MASTER
2023-2024;01801;Pavia - Università degli studi;12d;da 1.800,01 a 1.900,00;129;0;0;0
2023-2024;01801;Pavia - Università degli studi;12e;da 1.900,01 a 2.000,00;215;0;0;87
2023-2024;01801;Pavia - Università degli studi;13 ;da 2.000,01 a 2.500,00;731;0;1278;291
2023-2024;01801;Pavia - Università degli studi;14 ;da 2.500,01 a 3.000,00;531;0;0;202
2023-2024;01801;Pavia - Università degli studi;15 ;da 3.000,01 a 3.500,00;1158;0;0;78
2023-2024;01801;Pavia - Università degli studi;16 ;da 3.500,01 a 4.000,00;3621;0;25;112
2023-2024;01801;Pavia - Università degli studi;17 ;da 4.000,01 a 4.500,00;1107;0;0;96
2023-2024;01801;Pavia - Università degli studi;18 ;da 4.500,01 a 5.000,00;58;0;0;26
2023-2024;01801;Pavia - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;12
2023-2024;01801;Pavia - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;81
2023-2024;01801;Pavia - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;3
2023-2024;01801;Pavia - Università degli studi;21b;oltre 10.000,00;0;0;0;9
2023-2024;01802;Pavia - Istituto universitario di studi superiori;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;03 ;da 200,01 a 300,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;05 ;da 400,01 a 500,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;06 ;da 500,01 a 600,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;07 ;da 600,01 a 700,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;08 ;da 700,01 a 800,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;09 ;da 800,01 a 900,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;10 ;da 900,01 a 1.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;11b;da 1.100,01 a 1.200,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;11c;da 1.200,01 a 1.300,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;11e;da 1.400,01 a 1.500,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;12a;da 1.500,01 a 1.600,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;12b;da 1.600,01 a 1.700,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;12d;da 1.800,01 a 1.900,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;12e;da 1.900,01 a 2.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;13 ;da 2.000,01 a 2.500,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;14 ;da 2.500,01 a 3.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;15 ;da 3.000,01 a 3.500,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;16 ;da 3.500,01 a 4.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;19 ;da 5.000,01 a 6.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;21b;oltre 10.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;02101;Bolzano - Libera Università;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;02101;Bolzano - Libera Università;02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;03 ;da 200,01 a 300,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;05 ;da 400,01 a 500,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;06 ;da 500,01 a 600,00;10;0;0;0
2023-2024;02101;Bolzano - Libera Università;07 ;da 600,01 a 700,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;08 ;da 700,01 a 800,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;09 ;da 800,01 a 900,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;10 ;da 900,01 a 1.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;11b;da 1.100,01 a 1.200,00;2159;0;0;0
2023-2024;02101;Bolzano - Libera Università;11c;da 1.200,01 a 1.300,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;11e;da 1.400,01 a 1.500,00;329;0;0;0
2023-2024;02101;Bolzano - Libera Università;12a;da 1.500,01 a 1.600,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;12b;da 1.600,01 a 1.700,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;12d;da 1.800,01 a 1.900,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;12e;da 1.900,01 a 2.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;13 ;da 2.000,01 a 2.500,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;14 ;da 2.500,01 a 3.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;15 ;da 3.000,01 a 3.500,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;16 ;da 3.500,01 a 4.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;19 ;da 5.000,01 a 6.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;21b;oltre 10.000,00;0;0;0;0
2023-2024;02201;Trento - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;02201;Trento - Università degli studi;00a;contribuzione finanziata da enti esterni;30;0;0;0
2023-2024;02201;Trento - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);141;0;0;0
2023-2024;02201;Trento - Università degli studi;02 ;da 100,01 a 200,00;1504;0;0;0
2023-2024;02201;Trento - Università degli studi;03 ;da 200,01 a 300,00;464;0;0;0
2023-2024;02201;Trento - Università degli studi;04 ;da 300,01 a 400,00;420;0;0;0
2023-2024;02201;Trento - Università degli studi;05 ;da 400,01 a 500,00;383;0;0;0
2023-2024;02201;Trento - Università degli studi;06 ;da 500,01 a 600,00;311;0;0;0
2023-2024;02201;Trento - Università degli studi;07 ;da 600,01 a 700,00;366;0;0;0
2023-2024;02201;Trento - Università degli studi;08 ;da 700,01 a 800,00;312;0;0;0
2023-2024;02201;Trento - Università degli studi;09 ;da 800,01 a 900,00;257;0;0;0
2023-2024;02201;Trento - Università degli studi;10 ;da 900,01 a 1.000,00;331;0;0;0
2023-2024;02201;Trento - Università degli studi;11a;da 1.000,01 a 1.100,00;257;0;0;0
2023-2024;02201;Trento - Università degli studi;11b;da 1.100,01 a 1.200,00;243;0;1;0
2023-2024;02201;Trento - Università degli studi;11c;da 1.200,01 a 1.300,00;232;0;0;0
2023-2024;02201;Trento - Università degli studi;11d;da 1.300,01 a 1.400,00;220;0;0;0
2023-2024;02201;Trento - Università degli studi;11e;da 1.400,01 a 1.500,00;194;0;0;2
2023-2024;02201;Trento - Università degli studi;12a;da 1.500,01 a 1.600,00;252;0;1;0
2023-2024;02201;Trento - Università degli studi;12b;da 1.600,01 a 1.700,00;203;0;18;0
2023-2024;02201;Trento - Università degli studi;12c;da 1.700,01 a 1.800,00;258;0;0;0
2023-2024;02201;Trento - Università degli studi;12d;da 1.800,01 a 1.900,00;206;0;0;0
2023-2024;02201;Trento - Università degli studi;12e;da 1.900,01 a 2.000,00;212;0;0;19
2023-2024;02201;Trento - Università degli studi;13 ;da 2.000,01 a 2.500,00;4286;0;0;0
2023-2024;02201;Trento - Università degli studi;14 ;da 2.500,01 a 3.000,00;258;0;0;33
2023-2024;02201;Trento - Università degli studi;15 ;da 3.000,01 a 3.500,00;1169;0;0;3
2023-2024;02201;Trento - Università degli studi;16 ;da 3.500,01 a 4.000,00;0;0;0;23
2023-2024;02201;Trento - Università degli studi;17 ;da 4.000,01 a 4.500,00;3;0;0;0
2023-2024;02201;Trento - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;02201;Trento - Università degli studi;19 ;da 5.000,01 a 6.000,00;1;0;0;0
2023-2024;02201;Trento - Università degli studi;20 ;da 6.000,01 a 8.000,00;3;0;0;0
2023-2024;02201;Trento - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;02201;Trento - Università degli studi;21b;oltre 10.000,00;0;0;0;0
2023-2024;02301;Verona - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;0;3;13
2023-2024;02301;Verona - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;02301;Verona - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);4;0;0;5
2023-2024;02301;Verona - Università degli studi;02 ;da 100,01 a 200,00;310;0;0;0
2023-2024;02301;Verona - Università degli studi;03 ;da 200,01 a 300,00;754;466;0;0
2023-2024;02301;Verona - Università degli studi;04 ;da 300,01 a 400,00;557;0;1;2
2023-2024;02301;Verona - Università degli studi;05 ;da 400,01 a 500,00;50;0;2;0
2023-2024;02301;Verona - Università degli studi;06 ;da 500,01 a 600,00;204;0;3;0
2023-2024;02301;Verona - Università degli studi;07 ;da 600,01 a 700,00;94;0;2;0
2023-2024;02301;Verona - Università degli studi;08 ;da 700,01 a 800,00;518;0;3;1
2023-2024;02301;Verona - Università degli studi;09 ;da 800,01 a 900,00;520;0;7;5
2023-2024;02301;Verona - Università degli studi;10 ;da 900,01 a 1.000,00;576;0;9;2
2023-2024;02301;Verona - Università degli studi;11a;da 1.000,01 a 1.100,00;583;0;4;0
2023-2024;02301;Verona - Università degli studi;11b;da 1.100,01 a 1.200,00;2136;0;66;2
2023-2024;02301;Verona - Università degli studi;11c;da 1.200,01 a 1.300,00;655;0;4;1
2023-2024;02301;Verona - Università degli studi;11d;da 1.300,01 a 1.400,00;306;0;5;0
2023-2024;02301;Verona - Università degli studi;11e;da 1.400,01 a 1.500,00;3465;0;7;10
2023-2024;02301;Verona - Università degli studi;12a;da 1.500,01 a 1.600,00;292;0;14;1
2023-2024;02301;Verona - Università degli studi;12b;da 1.600,01 a 1.700,00;350;0;1652;3
2023-2024;02301;Verona - Università degli studi;12c;da 1.700,01 a 1.800,00;2730;0;0;10
2023-2024;02301;Verona - Università degli studi;12d;da 1.800,01 a 1.900,00;567;0;0;5
2023-2024;02301;Verona - Università degli studi;12e;da 1.900,01 a 2.000,00;168;0;0;11
2023-2024;02301;Verona - Università degli studi;13 ;da 2.000,01 a 2.500,00;2601;0;0;130
2023-2024;02301;Verona - Università degli studi;14 ;da 2.500,01 a 3.000,00;394;0;0;266
2023-2024;02301;Verona - Università degli studi;15 ;da 3.000,01 a 3.500,00;243;0;0;280
2023-2024;02301;Verona - Università degli studi;16 ;da 3.500,01 a 4.000,00;0;0;0;50
2023-2024;02301;Verona - Università degli studi;17 ;da 4.000,01 a 4.500,00;1;0;0;0
2023-2024;02301;Verona - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;5
2023-2024;02301;Verona - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;8
2023-2024;02301;Verona - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;02301;Verona - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;3
2023-2024;02301;Verona - Università degli studi;21b;oltre 10.000,00;0;0;0;1
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;00 ;contribuzione non prevista (esclusi esoneri);0;16;0;3
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;01 ;da 0,01 a 100,00 (esclusi esoneri);17;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;02 ;da 100,01 a 200,00;76;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;03 ;da 200,01 a 300,00;57;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;04 ;da 300,01 a 400,00;383;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;05 ;da 400,01 a 500,00;204;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;06 ;da 500,01 a 600,00;93;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;07 ;da 600,01 a 700,00;306;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;08 ;da 700,01 a 800,00;167;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;09 ;da 800,01 a 900,00;116;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;10 ;da 900,01 a 1.000,00;256;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;11a;da 1.000,01 a 1.100,00;361;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;11b;da 1.100,01 a 1.200,00;799;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;11c;da 1.200,01 a 1.300,00;362;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;11d;da 1.300,01 a 1.400,00;517;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;11e;da 1.400,01 a 1.500,00;423;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;12a;da 1.500,01 a 1.600,00;258;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;12b;da 1.600,01 a 1.700,00;226;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;12c;da 1.700,01 a 1.800,00;788;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;12d;da 1.800,01 a 1.900,00;668;0;0;1
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;12e;da 1.900,01 a 2.000,00;923;0;0;2
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;13 ;da 2.000,01 a 2.500,00;6534;0;0;2
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;14 ;da 2.500,01 a 3.000,00;592;0;0;41
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;15 ;da 3.000,01 a 3.500,00;94;0;0;3
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;16 ;da 3.500,01 a 4.000,00;0;0;0;12
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;19 ;da 5.000,01 a 6.000,00;1;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;20 ;da 6.000,01 a 8.000,00;61;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;21a;da 8.000,01 a 10.000,00;207;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;21b;oltre 10.000,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;02702;Venezia - Università IUAV;00a;contribuzione finanziata da enti esterni;0;0;0;3
2023-2024;02702;Venezia - Università IUAV;01 ;da 0,01 a 100,00 (esclusi esoneri);2;0;0;0
2023-2024;02702;Venezia - Università IUAV;02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;03 ;da 200,01 a 300,00;16;0;0;0
2023-2024;02702;Venezia - Università IUAV;04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;05 ;da 400,01 a 500,00;9;0;0;0
2023-2024;02702;Venezia - Università IUAV;06 ;da 500,01 a 600,00;2;0;0;0
2023-2024;02702;Venezia - Università IUAV;07 ;da 600,01 a 700,00;12;0;0;0
2023-2024;02702;Venezia - Università IUAV;08 ;da 700,01 a 800,00;93;0;0;0
2023-2024;02702;Venezia - Università IUAV;09 ;da 800,01 a 900,00;11;0;0;0
2023-2024;02702;Venezia - Università IUAV;10 ;da 900,01 a 1.000,00;90;0;0;0
2023-2024;02702;Venezia - Università IUAV;11a;da 1.000,01 a 1.100,00;172;0;0;0
2023-2024;02702;Venezia - Università IUAV;11b;da 1.100,01 a 1.200,00;118;0;0;0
2023-2024;02702;Venezia - Università IUAV;11c;da 1.200,01 a 1.300,00;105;0;0;0
2023-2024;02702;Venezia - Università IUAV;11d;da 1.300,01 a 1.400,00;77;0;0;0
2023-2024;02702;Venezia - Università IUAV;11e;da 1.400,01 a 1.500,00;86;0;0;1
2023-2024;02702;Venezia - Università IUAV;12a;da 1.500,01 a 1.600,00;57;0;0;3
2023-2024;02702;Venezia - Università IUAV;12b;da 1.600,01 a 1.700,00;41;0;0;0
2023-2024;02702;Venezia - Università IUAV;12c;da 1.700,01 a 1.800,00;45;0;0;0
2023-2024;02702;Venezia - Università IUAV;12d;da 1.800,01 a 1.900,00;20;0;0;0
2023-2024;02702;Venezia - Università IUAV;12e;da 1.900,01 a 2.000,00;13;0;0;8
2023-2024;02702;Venezia - Università IUAV;13 ;da 2.000,01 a 2.500,00;63;0;0;2
2023-2024;02702;Venezia - Università IUAV;14 ;da 2.500,01 a 3.000,00;2113;0;19;18
2023-2024;02702;Venezia - Università IUAV;15 ;da 3.000,01 a 3.500,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;16 ;da 3.500,01 a 4.000,00;0;0;0;31
2023-2024;02702;Venezia - Università IUAV;17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;19 ;da 5.000,01 a 6.000,00;0;0;0;21
2023-2024;02702;Venezia - Università IUAV;20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;02702;Venezia - Università IUAV;21a;da 8.000,01 a 10.000,00;0;0;0;8
2023-2024;02702;Venezia - Università IUAV;21b;oltre 10.000,00;0;0;0;0
2023-2024;02801;Padova - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;22;1;22
2023-2024;02801;Padova - Università degli studi;00a;contribuzione finanziata da enti esterni;176;0;0;0
2023-2024;02801;Padova - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);138;0;0;0
2023-2024;02801;Padova - Università degli studi;02 ;da 100,01 a 200,00;465;0;0;81
2023-2024;02801;Padova - Università degli studi;03 ;da 200,01 a 300,00;530;0;0;4
2023-2024;02801;Padova - Università degli studi;04 ;da 300,01 a 400,00;1763;0;0;4
2023-2024;02801;Padova - Università degli studi;05 ;da 400,01 a 500,00;654;0;0;0
2023-2024;02801;Padova - Università degli studi;06 ;da 500,01 a 600,00;1815;0;0;13
2023-2024;02801;Padova - Università degli studi;07 ;da 600,01 a 700,00;1297;0;0;1
2023-2024;02801;Padova - Università degli studi;08 ;da 700,01 a 800,00;1741;0;0;8
2023-2024;02801;Padova - Università degli studi;09 ;da 800,01 a 900,00;1184;0;0;6
2023-2024;02801;Padova - Università degli studi;10 ;da 900,01 a 1.000,00;1105;0;0;16
2023-2024;02801;Padova - Università degli studi;11a;da 1.000,01 a 1.100,00;1449;0;0;49
2023-2024;02801;Padova - Università degli studi;11b;da 1.100,01 a 1.200,00;1619;0;0;10
2023-2024;02801;Padova - Università degli studi;11c;da 1.200,01 a 1.300,00;1680;0;0;0
2023-2024;02801;Padova - Università degli studi;11d;da 1.300,01 a 1.400,00;1382;0;0;4
2023-2024;02801;Padova - Università degli studi;11e;da 1.400,01 a 1.500,00;2154;0;0;21
2023-2024;02801;Padova - Università degli studi;12a;da 1.500,01 a 1.600,00;1372;0;2716;10
2023-2024;02801;Padova - Università degli studi;12b;da 1.600,01 a 1.700,00;923;0;0;0
2023-2024;02801;Padova - Università degli studi;12c;da 1.700,01 a 1.800,00;713;0;1;0
2023-2024;02801;Padova - Università degli studi;12d;da 1.800,01 a 1.900,00;718;0;0;49
2023-2024;02801;Padova - Università degli studi;12e;da 1.900,01 a 2.000,00;638;0;0;38
2023-2024;02801;Padova - Università degli studi;13 ;da 2.000,01 a 2.500,00;9347;0;1;140
2023-2024;02801;Padova - Università degli studi;14 ;da 2.500,01 a 3.000,00;13860;0;0;1334
2023-2024;02801;Padova - Università degli studi;15 ;da 3.000,01 a 3.500,00;738;0;0;243
2023-2024;02801;Padova - Università degli studi;16 ;da 3.500,01 a 4.000,00;1117;0;0;174
2023-2024;02801;Padova - Università degli studi;17 ;da 4.000,01 a 4.500,00;198;0;0;95
2023-2024;02801;Padova - Università degli studi;18 ;da 4.500,01 a 5.000,00;232;0;0;88
2023-2024;02801;Padova - Università degli studi;19 ;da 5.000,01 a 6.000,00;1;0;0;102
2023-2024;02801;Padova - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;61
2023-2024;02801;Padova - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;02801;Padova - Università degli studi;21b;oltre 10.000,00;0;0;0;0
2023-2024;03001;Udine - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;03001;Udine - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;15
2023-2024;03001;Udine - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);26;0;0;0
2023-2024;03001;Udine - Università degli studi;02 ;da 100,01 a 200,00;109;0;0;0
2023-2024;03001;Udine - Università degli studi;03 ;da 200,01 a 300,00;62;0;0;0
2023-2024;03001;Udine - Università degli studi;04 ;da 300,01 a 400,00;3;0;0;0
2023-2024;03001;Udine - Università degli studi;05 ;da 400,01 a 500,00;91;0;0;0
2023-2024;03001;Udine - Università degli studi;06 ;da 500,01 a 600,00;6;0;0;0
2023-2024;03001;Udine - Università degli studi;07 ;da 600,01 a 700,00;119;0;0;26
2023-2024;03001;Udine - Università degli studi;08 ;da 700,01 a 800,00;206;0;0;0
2023-2024;03001;Udine - Università degli studi;09 ;da 800,01 a 900,00;9;0;0;0
2023-2024;03001;Udine - Università degli studi;10 ;da 900,01 a 1.000,00;294;0;1;11
2023-2024;03001;Udine - Università degli studi;11a;da 1.000,01 a 1.100,00;123;0;0;0
2023-2024;03001;Udine - Università degli studi;11b;da 1.100,01 a 1.200,00;101;0;0;0
2023-2024;03001;Udine - Università degli studi;11c;da 1.200,01 a 1.300,00;638;0;0;0
2023-2024;03001;Udine - Università degli studi;11d;da 1.300,01 a 1.400,00;34;0;0;0
2023-2024;03001;Udine - Università degli studi;11e;da 1.400,01 a 1.500,00;297;0;8;1
2023-2024;03001;Udine - Università degli studi;12a;da 1.500,01 a 1.600,00;106;0;73;0
2023-2024;03001;Udine - Università degli studi;12b;da 1.600,01 a 1.700,00;135;0;0;2
2023-2024;03001;Udine - Università degli studi;12c;da 1.700,01 a 1.800,00;247;0;455;0
2023-2024;03001;Udine - Università degli studi;12d;da 1.800,01 a 1.900,00;5988;0;0;2
2023-2024;03001;Udine - Università degli studi;12e;da 1.900,01 a 2.000,00;1605;0;0;17
2023-2024;03001;Udine - Università degli studi;13 ;da 2.000,01 a 2.500,00;2;0;24;9
2023-2024;03001;Udine - Università degli studi;14 ;da 2.500,01 a 3.000,00;0;0;0;91
2023-2024;03001;Udine - Università degli studi;15 ;da 3.000,01 a 3.500,00;0;0;0;31
2023-2024;03001;Udine - Università degli studi;16 ;da 3.500,01 a 4.000,00;0;0;0;74
2023-2024;03001;Udine - Università degli studi;17 ;da 4.000,01 a 4.500,00;0;0;0;55
2023-2024;03001;Udine - Università degli studi;18 ;da 4.500,01 a 5.000,00;0;0;0;32
2023-2024;03001;Udine - Università degli studi;19 ;da 5.000,01 a 6.000,00;0;0;0;15
2023-2024;03001;Udine - Università degli studi;20 ;da 6.000,01 a 8.000,00;0;0;0;7
2023-2024;03001;Udine - Università degli studi;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;03001;Udine - Università degli studi;21b;oltre 10.000,00;0;0;0;60
2023-2024;03201;Trieste - Università degli studi;00 ;contribuzione non prevista (esclusi esoneri);0;6;0;52
2023-2024;03201;Trieste - Università degli studi;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;03201;Trieste - Università degli studi;01 ;da 0,01 a 100,00 (esclusi esoneri);28;0;0;0
2023-2024;03201;Trieste - Università degli studi;02 ;da 100,01 a 200,00;1443;0;0;0
2023-2024;03201;Trieste - Università degli studi;03 ;da 200,01 a 300,00;537;462;0;15
2023-2024;03201;Trieste - Università degli studi;04 ;da 300,01 a 400,00;463;0;0;0
2023-2024;03201;Trieste - Università degli studi;05 ;da 400,01 a 500,00;432;0;21;0
2023-2024;03201;Trieste - Università degli studi;06 ;da 500,01 a 600,00;463;0;2;0
2023-2024;03201;Trieste - Università degli studi;07 ;da 600,01 a 700,00;403;0;7;0
2023-2024;03201;Trieste - Università degli studi;08 ;da 700,01 a 800,00;358;0;5;0
2023-2024;03201;Trieste - Università degli studi;09 ;da 800,01 a 900,00;313;0;1;1
2023-2024;03201;Trieste - Università degli studi;10 ;da 900,01 a 1.000,00;294;0;3;3
2023-2024;03201;Trieste - Università degli studi;11a;da 1.000,01 a 1.100,00;277;0;0;0
2023-2024;03201;Trieste - Università degli studi;11b;da 1.100,01 a 1.200,00;240;0;4;0
