ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_TOTALE;DESCRIZIONE_ESONERO_TOTALE;ESONERO_TOTALE_LAUREA;ESONERO_TOTALE_DOTTORATO;ESONERO_TOTALE_SPECIALIZZAZIONE;ESONERO_TOTALE_MASTER
2023-2024;01601;Bergamo - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1003;;;
2023-2024;01701;Brescia - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);14;0;4;
2023-2024;01701;Brescia - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;5;
2023-2024;01701;Brescia - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);66;0;5;
2023-2024;01701;Brescia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;360;0;0;8
2023-2024;01701;Brescia - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1120;;;
2023-2024;01701;Brescia - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01701;Brescia - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2388;;;
2023-2024;01701;Brescia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);44;0;0;0
2023-2024;01701;Brescia - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;274;;
2023-2024;01701;Brescia - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;88;;
2023-2024;01701;Brescia - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;151;;;
2023-2024;01701;Brescia - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;4;;;
2023-2024;01701;Brescia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);339;;;
2023-2024;01801;Pavia - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);8;0;4;
2023-2024;01801;Pavia - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);802;0;1;
2023-2024;01801;Pavia - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);249;N;10;
2023-2024;01801;Pavia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1371;0;0;3
2023-2024;01801;Pavia - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2045;;;
2023-2024;01801;Pavia - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01801;Pavia - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);5578;;;
2023-2024;01801;Pavia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;9
2023-2024;01801;Pavia - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;747;;
2023-2024;01801;Pavia - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;133;;
2023-2024;01801;Pavia - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;118;;;
2023-2024;01801;Pavia - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;01801;Pavia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);347;;;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;399;;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;11;;
2023-2024;02101;Bolzano - Libera Università;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);811;0;0;
2023-2024;02101;Bolzano - Libera Università;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;02101;Bolzano - Libera Università;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);28;N;0;
2023-2024;02101;Bolzano - Libera Università;15 ;Altre tipologie non comprese nelle precedenti voci;34;0;0;0
2023-2024;02101;Bolzano - Libera Università;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02101;Bolzano - Libera Università;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;217;;
2023-2024;02101;Bolzano - Libera Università;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;21;;
2023-2024;02201;Trento - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;02201;Trento - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;02201;Trento - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);128;3;0;
2023-2024;02201;Trento - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;463;13;0;0
2023-2024;02201;Trento - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1694;;;
2023-2024;02201;Trento - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;02201;Trento - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1292;;;
2023-2024;02201;Trento - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02201;Trento - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;758;;
2023-2024;02201;Trento - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;74;;
2023-2024;02201;Trento - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;301;;;
2023-2024;02201;Trento - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;02201;Trento - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);108;;;
2023-2024;02301;Verona - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);45;1;1;
2023-2024;02301;Verona - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);4;0;1;
2023-2024;02301;Verona - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);209;N;6;
2023-2024;02301;Verona - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;55;15;0;68
2023-2024;02301;Verona - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2097;;;
2023-2024;02301;Verona - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;450;;;
2023-2024;02301;Verona - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2667;;;
2023-2024;02301;Verona - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02301;Verona - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;02301;Verona - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;79;;
2023-2024;02301;Verona - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;271;;;
2023-2024;02301;Verona - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;123;;;
2023-2024;02301;Verona - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1077;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1253;0;0;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);74;0;0;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);232;0;0;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;15 ;Altre tipologie non comprese nelle precedenti voci;218;0;0;8
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1024;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;151;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1539;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;375;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;35;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;36;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;58;;;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);238;;;
2023-2024;02702;Venezia - Università IUAV;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);32;0;0;
2023-2024;02702;Venezia - Università IUAV;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);10;0;0;
2023-2024;02702;Venezia - Università IUAV;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);21;0;0;
2023-2024;02702;Venezia - Università IUAV;15 ;Altre tipologie non comprese nelle precedenti voci;67;0;4;2
2023-2024;02702;Venezia - Università IUAV;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;381;;;
2023-2024;02702;Venezia - Università IUAV;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;212;;;
2023-2024;02702;Venezia - Università IUAV;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);430;;;
2023-2024;02702;Venezia - Università IUAV;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02702;Venezia - Università IUAV;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;102;;
2023-2024;02702;Venezia - Università IUAV;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;19;;
2023-2024;02702;Venezia - Università IUAV;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;39;;;
2023-2024;02702;Venezia - Università IUAV;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;54;;;
2023-2024;02702;Venezia - Università IUAV;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);160;;;
2023-2024;02801;Padova - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);2508;0;0;
2023-2024;02801;Padova - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;02801;Padova - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);169;N;5;
2023-2024;02801;Padova - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;598;2044;0;9
2023-2024;02801;Padova - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;4368;;;
2023-2024;02801;Padova - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;02801;Padova - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);8878;;;
2023-2024;02801;Padova - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);515;3;6;60
2023-2024;02801;Padova - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;02801;Padova - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;02801;Padova - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;0;;;
2023-2024;02801;Padova - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;02801;Padova - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);5265;;;
2023-2024;03001;Udine - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);650;0;2;
2023-2024;03001;Udine - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03001;Udine - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);182;0;N;
2023-2024;03001;Udine - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;145;4;1;13
2023-2024;03001;Udine - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1318;;;
2023-2024;03001;Udine - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03001;Udine - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1234;;;
2023-2024;03001;Udine - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03001;Udine - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;285;;
2023-2024;03001;Udine - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;28;;
2023-2024;03001;Udine - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;237;;;
2023-2024;03001;Udine - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03001;Udine - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);410;;;
2023-2024;03201;Trieste - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);419;0;6;
2023-2024;03201;Trieste - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03201;Trieste - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);129;N;N;
2023-2024;03201;Trieste - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;116;4;0;10
2023-2024;03201;Trieste - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2078;;;
2023-2024;03201;Trieste - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03201;Trieste - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1480;;;
2023-2024;03201;Trieste - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);90;N;N;0
2023-2024;03201;Trieste - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;03201;Trieste - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;71;;
2023-2024;03201;Trieste - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;455;;;
2023-2024;03201;Trieste - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03201;Trieste - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);579;;;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;303;;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;03401;Parma - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1032;1;0;
2023-2024;03401;Parma - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03401;Parma - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);272;0;N;
2023-2024;03401;Parma - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;365;0;0;27
2023-2024;03401;Parma - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;3082;;;
2023-2024;03401;Parma - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03401;Parma - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2991;;;
2023-2024;03401;Parma - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);93;0;3;0
2023-2024;03401;Parma - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;552;;
2023-2024;03401;Parma - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;45;;
2023-2024;03401;Parma - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;242;;;
2023-2024;03401;Parma - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03401;Parma - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1231;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);64;0;0;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);113;0;N;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;470;57;2;0
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1504;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);3673;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);92;0;N;0
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;531;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;89;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;259;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1198;;;
2023-2024;03701;Bologna - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1335;27;16;
2023-2024;03701;Bologna - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03701;Bologna - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);741;0;24;
2023-2024;03701;Bologna - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1953;2591;2;0
2023-2024;03701;Bologna - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;11180;;;
2023-2024;03701;Bologna - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03701;Bologna - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);6872;;;
2023-2024;03701;Bologna - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03701;Bologna - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;03701;Bologna - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;03701;Bologna - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;968;;;
2023-2024;03701;Bologna - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03701;Bologna - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3968;;;
2023-2024;03801;Ferrara - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);137;0;0;
2023-2024;03801;Ferrara - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;03801;Ferrara - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);191;N;4;
2023-2024;03801;Ferrara - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;348;16;0;0
