ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER
2023-2024;01510;Rozzano (MI) - Humanitas University;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;1;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;01510;Rozzano (MI) - Humanitas University;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);5;1;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;N;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;24;5;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;184;60;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;184;60;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;184;60;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;19;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;2;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;9;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;36,5;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;1;0;0
2023-2024;01510;Rozzano (MI) - Humanitas University;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;10,5;0;0
2023-2024;01601;Bergamo - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;67;1;75;0;0
2023-2024;01601;Bergamo - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);544;46;44;0;0
2023-2024;01601;Bergamo - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;40;6;44;0;0
2023-2024;01601;Bergamo - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;69;6;5;0;0
2023-2024;01601;Bergamo - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;01601;Bergamo - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);235;60;0;0;0
2023-2024;01601;Bergamo - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;29;29;0;0;0
2023-2024;01601;Bergamo - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;890;7;0;0;0
2023-2024;01601;Bergamo - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;77;15;0;0;0
2023-2024;01601;Bergamo - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;64;40;0;0;0
2023-2024;01601;Bergamo - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;29;11;0;0;0
2023-2024;01601;Bergamo - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;48;0;0
2023-2024;01601;Bergamo - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;2;0;0
2023-2024;01601;Bergamo - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;42,67;0;0
2023-2024;01601;Bergamo - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;15;0;0
2023-2024;01601;Bergamo - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;71,66;0;0
2023-2024;01601;Bergamo - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;2,5;0;0
2023-2024;01601;Bergamo - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;4,17;0;0
2023-2024;01701;Brescia - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;375;64;120;2;0
2023-2024;01701;Brescia - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);319;39;168;7;0
2023-2024;01701;Brescia - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;26;3;46;0;0
2023-2024;01701;Brescia - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;18;2;31;0;0
2023-2024;01701;Brescia - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;93;;
2023-2024;01701;Brescia - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);119;18;0;0;0
2023-2024;01701;Brescia - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;3;3;0;0;0
2023-2024;01701;Brescia - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;413;26;0;N;0
2023-2024;01701;Brescia - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;341;11;0;N;0
2023-2024;01701;Brescia - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;376;42;0;0;0
2023-2024;01701;Brescia - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;49;19;1;0;0
2023-2024;01701;Brescia - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;33;17;0;0;0
2023-2024;01701;Brescia - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;1;0;0;1;0
2023-2024;01701;Brescia - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01701;Brescia - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;3500;231;55;95;0
2023-2024;01701;Brescia - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;112;0;0
2023-2024;01701;Brescia - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;01701;Brescia - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;59,5;0;0
2023-2024;01701;Brescia - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;01701;Brescia - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;55,5;0;0
2023-2024;01701;Brescia - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;4,5;0;0
2023-2024;01701;Brescia - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;25,5;0;0
2023-2024;01801;Pavia - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;552;37;200;3;5
2023-2024;01801;Pavia - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);725;118;62;0;0
2023-2024;01801;Pavia - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;658;86;0;0;0
2023-2024;01801;Pavia - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;57;17;8;0;0
2023-2024;01801;Pavia - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;43;;
2023-2024;01801;Pavia - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);562;116;0;0;0
2023-2024;01801;Pavia - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;53;53;0;0;0
2023-2024;01801;Pavia - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;963;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;450;30;0;0;0
2023-2024;01801;Pavia - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01801;Pavia - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;10915;1483;194;61;95
2023-2024;01801;Pavia - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;264;0;0
2023-2024;01801;Pavia - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;01801;Pavia - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;87;0;0
2023-2024;01801;Pavia - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;55;0;0
2023-2024;01801;Pavia - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;216,5;0;0
2023-2024;01801;Pavia - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;8;0;0
2023-2024;01801;Pavia - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;97,5;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;6;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);14;0;144;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;5;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;3;0;21;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;137;;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;77;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;8,5;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;171;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;113,5;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;5;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;24;0;0
2023-2024;02101;Bolzano - Libera Università;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);129;3;92;0;0
2023-2024;02101;Bolzano - Libera Università;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;9;1;92;0;0
2023-2024;02101;Bolzano - Libera Università;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;1;1;15;0;0
2023-2024;02101;Bolzano - Libera Università;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;02101;Bolzano - Libera Università;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);60;15;0;0;0
2023-2024;02101;Bolzano - Libera Università;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;4;4;0;0;0
2023-2024;02101;Bolzano - Libera Università;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;9;0;N;0;0
2023-2024;02101;Bolzano - Libera Università;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;293;4;N;0;0
2023-2024;02101;Bolzano - Libera Università;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;289;26;0;0;0
2023-2024;02101;Bolzano - Libera Università;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;02101;Bolzano - Libera Università;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;02101;Bolzano - Libera Università;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;02101;Bolzano - Libera Università;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;134;0;0
2023-2024;02101;Bolzano - Libera Università;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2023-2024;02101;Bolzano - Libera Università;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;41;0;0
2023-2024;02101;Bolzano - Libera Università;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;9,33;0;0
2023-2024;02101;Bolzano - Libera Università;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;28,67;0;0
2023-2024;02201;Trento - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;519;251;209;0;0
2023-2024;02201;Trento - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);1180;96;254;0;0
2023-2024;02201;Trento - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;84;22;174;0;0
2023-2024;02201;Trento - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;113;6;39;0;0
2023-2024;02201;Trento - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;62;;
2023-2024;02201;Trento - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);844;296;81;0;0
2023-2024;02201;Trento - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;149;146;40;0;0
2023-2024;02201;Trento - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;425;12;0;0;0
2023-2024;02201;Trento - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;231;29;0;0;0
2023-2024;02201;Trento - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;73;1;0;0;0
2023-2024;02201;Trento - Università degli studi;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;02201;Trento - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;42;0;0
2023-2024;02201;Trento - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;02201;Trento - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;395,5;0;0
