ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1 ;Totale iscritti;14590;59;60;1899
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;16;;
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;496;;;
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1 ;Totale iscritti;5055;0;0;6111
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05812;Roma - Università Europea;T1 ;Totale iscritti;2233;27;0;163
2023-2024;05812;Roma - Università Europea;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;21;;
2023-2024;05812;Roma - Università Europea;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05812;Roma - Università Europea;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;2;;;
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1 ;Totale iscritti;10614;35;0;1010
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;14;;
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05814;Roma - Universitas telematica Mercatorum;T1 ;Totale iscritti;44592;49;0;1161
2023-2024;05814;Roma - Universitas telematica Mercatorum;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;37;;
2023-2024;05814;Roma - Universitas telematica Mercatorum;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1 ;Totale iscritti;17473;25;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;21;;
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1 ;Totale iscritti;11279;14;0;1184
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;11;;
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05817;Roma - Link Campus University;T1 ;Totale iscritti;867;23;0;131
2023-2024;05817;Roma - Link Campus University;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;15;;
2023-2024;05817;Roma - Link Campus University;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05817;Roma - Link Campus University;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;05818;Roma - Saint Camillus International;T1 ;Totale iscritti;3077;0;6;6158
2023-2024;05818;Roma - Saint Camillus International;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;05818;Roma - Saint Camillus International;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;8;;;
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;T1 ;Totale iscritti;0;24;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;12;;
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;T1 ;Totale iscritti;7172;142;0;237
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;119;;
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1002;;;
2023-2024;06201;Benevento - Università degli studi del Sannio;T1 ;Totale iscritti;3522;120;0;70
2023-2024;06201;Benevento - Università degli studi del Sannio;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;103;;
2023-2024;06201;Benevento - Università degli studi del Sannio;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06201;Benevento - Università degli studi del Sannio;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;4;;;
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1 ;Totale iscritti;2057;0;0;1002
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";T1 ;Totale iscritti;73551;2018;1717;791
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1715;;
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06301;"Napoli - Università degli studi ""Federico II""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";T1 ;Totale iscritti;13350;271;18;300
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;257;;
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06302;"Napoli - Università degli studi ""Parthenope""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;97;;;
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";T1 ;Totale iscritti;9191;135;0;9
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;108;;
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06303;"Napoli - Università degli studi ""L' Orientale""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;11;;;
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";T1 ;Totale iscritti;8714;36;96;2670
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;30;;
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06304;"Napoli - Università degli studi ""Suor Orsola Benincasa""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";T1 ;Totale iscritti;22330;1003;1386;324
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;840;;
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06306;"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;68;;;
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";T1 ;Totale iscritti;89080;153;0;20286
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06307;"Napoli - Università telematica ""Pegaso""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06308;Napoli - Scuola Superiore Meridionale;T1 ;Totale iscritti;0;85;0;0
2023-2024;06308;Napoli - Scuola Superiore Meridionale;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;85;;
2023-2024;06308;Napoli - Scuola Superiore Meridionale;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06308;Napoli - Scuola Superiore Meridionale;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06501;Salerno - Università degli studi;T1 ;Totale iscritti;33100;764;651;145
2023-2024;06501;Salerno - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;623;;
2023-2024;06501;Salerno - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06501;Salerno - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;126;;;
2023-2024;06601;L'Aquila - Università degli studi;T1 ;Totale iscritti;15899;354;591;194
2023-2024;06601;L'Aquila - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;280;;
2023-2024;06601;L'Aquila - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06601;L'Aquila - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;105;;;
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;T1 ;Totale iscritti;0;145;0;0
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;145;;
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06603;L'Aquila - Gran Sasso Science Institute;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;06701;Teramo - Università degli studi;T1 ;Totale iscritti;4718;151;213;325
2023-2024;06701;Teramo - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;135;;
2023-2024;06701;Teramo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06701;Teramo - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;275;;;
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1 ;Totale iscritti;20587;423;583;275
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;393;;
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;252;;;
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1 ;Totale iscritti;239;18;0;706
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;17;;
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;07001;Campobasso - Università degli studi del Molise;T1 ;Totale iscritti;6610;156;89;185
2023-2024;07001;Campobasso - Università degli studi del Molise;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;135;;
2023-2024;07001;Campobasso - Università degli studi del Molise;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07001;Campobasso - Università degli studi del Molise;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;77;;;
2023-2024;07101;Foggia - Università degli studi;T1 ;Totale iscritti;12485;304;496;47
2023-2024;07101;Foggia - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;216;;
2023-2024;07101;Foggia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07101;Foggia - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;69;;;
2023-2024;07201;Bari - Università degli studi;T1 ;Totale iscritti;38956;938;2010;237
2023-2024;07201;Bari - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;888;;
2023-2024;07201;Bari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07201;Bari - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;212;;;
2023-2024;07202;Bari - Politecnico;T1 ;Totale iscritti;9666;380;9;13
2023-2024;07202;Bari - Politecnico;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;318;;
2023-2024;07202;Bari - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07202;Bari - Politecnico;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;308;;;
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";T1 ;Totale iscritti;2028;30;0;982
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;27;;
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07203;"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;07501;Lecce - Università del Salento;T1 ;Totale iscritti;18966;436;46;132
2023-2024;07501;Lecce - Università del Salento;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;383;;
2023-2024;07501;Lecce - Università del Salento;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07501;Lecce - Università del Salento;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;17;;;
2023-2024;07601;Potenza - Università degli studi della Basilicata;T1 ;Totale iscritti;5074;156;35;12
2023-2024;07601;Potenza - Università degli studi della Basilicata;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;142;;
2023-2024;07601;Potenza - Università degli studi della Basilicata;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07601;Potenza - Università degli studi della Basilicata;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;32;;;
2023-2024;07801;Arcavacata di Rende - Università della Calabria;T1 ;Totale iscritti;23101;358;46;662
2023-2024;07801;Arcavacata di Rende - Università della Calabria;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;358;;
2023-2024;07801;Arcavacata di Rende - Università della Calabria;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;2
2023-2024;07801;Arcavacata di Rende - Università della Calabria;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;34;;;
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1 ;Totale iscritti;11282;241;814;419
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;212;;
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;T1 ;Totale iscritti;4500;98;11;204
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;87;;
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;1;0;0
2023-2024;08001;Reggio Calabria - Università degli studi Mediterranea;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;3;;;
2023-2024;08003;Reggio Calabria - Università per Stranieri;T1 ;Totale iscritti;298;0;0;0
2023-2024;08003;Reggio Calabria - Università per Stranieri;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;08003;Reggio Calabria - Università per Stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;08003;Reggio Calabria - Università per Stranieri;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;08201;Palermo - Università degli studi;T1 ;Totale iscritti;44382;1095;1414;264
2023-2024;08201;Palermo - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;949;;
2023-2024;08201;Palermo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;08201;Palermo - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;2131;;;
2023-2024;08301;Messina - Università degli studi;T1 ;Totale iscritti;24633;505;1329;122
2023-2024;08301;Messina - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;403;;
2023-2024;08301;Messina - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;08301;Messina - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;101;;;
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1 ;Totale iscritti;5359;101;19;16
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;70;;
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;7;;;
2023-2024;08701;Catania - Università degli studi;T1 ;Totale iscritti;38595;704;1479;337
2023-2024;08701;Catania - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;640;;
2023-2024;08701;Catania - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;08701;Catania - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;684;;;
2023-2024;09001;Sassari - Università degli studi;T1 ;Totale iscritti;11512;268;499;9
2023-2024;09001;Sassari - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;241;;
2023-2024;09001;Sassari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;09001;Sassari - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;590;;;
2023-2024;09201;Cagliari - Università degli studi;T1 ;Totale iscritti;23791;392;1053;49
2023-2024;09201;Cagliari - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;350;;
2023-2024;09201;Cagliari - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;09201;Cagliari - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1387;;;
