REGIONE,PROVINCIA,DESCRIZIONECOMUNE,TIPOPERCORSO,INDIRIZZO,DISCIPLINA
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Letteratura Italiana
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Cultura Straniera (Francese)
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto Ed Economia
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Fondamenti Di Progettazione Edilizia E Ambiente
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Biologia, Microbiologia E Tecnologie Di Controllo Sanitario"
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Chimica
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Economia Aziendale
Lombardia,Milano,Castano Primo,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Tecnologie E Tecniche Di Rappresentazione Grafica
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Religione Cattolica/Attivita' Alternativa
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Matematica
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Economia Agraria E Dello Sviluppo Territoriale
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Biotecnologie Agrarie
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Diritto E Tecniche Amministrative Della Struttura Ricettiva
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Agronomia Del Territorio Agrario E Forestale
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Trasformazione Dei Prodotti
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Ecologia E Pedologia
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Fisica
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Laboratorio Di Servizi Enogastronomici - Settore Cucina
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Storia
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Agronomia Territoriale Ed Ecosistemi Forestali
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Geografia
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Lingua Inglese
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Lingua E Letteratura Italiana
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Lingua E Cultura Straniera (Francese)
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Diritto Ed Economia
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Chimica
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Scienza Degli Alimenti
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Laboratorio Di Servizi Di Accoglienza Turistica
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Tecnologie Informatiche
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Laboratorio Enogastronomia  Bar-Sala E Vendita
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Tecnologie Dell'Informazione E Della Comunicazione
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Chimica Applicata E Processi Di Trasformazione
Lombardia,Lodi,Lodi,Professionale,"Agricoltura, Sviluppo Rurale, Valorizzazione Dei Prodotti Del Territorio E Gestione Delle Risorse Forestali E Montane",Scienza E Cultura Dell'Alimentazione
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Religione Cattolica/Attivita' Alternativa
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Diritto
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Matematica
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Scienze Umane
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Storia Dell'Arte
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Fisica
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Storia
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Scienze Motorie E Sportive
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Pedagogia
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua Inglese
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Disegno
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Informatica
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua Latina
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Psicologia Generale Ed Applicata
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua E Cultura Straniera (Francese)
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua E Letteratura Italiana
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Diritto Ed Economia
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Filosofia
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua E Cultura Straniera (Cinese)
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Chimica
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Brescia,Rovato,Liceo,Scienze Umane - Opz. Economico Sociale,Storia E Geografia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Religione Cattolica/Attivita' Alternativa
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Diritto
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Tecniche Professionali Dei Servizi Commerciali
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Matematica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Scienze Umane
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Diritto E Tecniche Amministrative Della Struttura Ricettiva
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Igiene E Cultura Medico-Sanitaria
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Fisica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Laboratorio Di Servizi Enogastronomici - Settore Cucina
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Medicina
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Esercitazioni Di Contattologia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Esercitazioni Di Laboratorio Di Odontotecnica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Storia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Metodologie Operative
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Gnatologia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Diritto E Legislazione Socio-Sanitaria
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Geografia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Lingua Inglese
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Anatomia Fisiologia Igiene
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Rappresentazione E Modellazione Odontotecnica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Informatica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Lingua E Cultura Straniera (Francese)
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Lingua E Letteratura Italiana
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Psicologia Generale Ed Applicata
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Diritto Ed Economia
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,"Ottica, Ottica Applicata"
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Scienza Degli Alimenti
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Chimica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Laboratorio Di Servizi Di Accoglienza Turistica
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Tecnologie Informatiche
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Laboratorio Enogastronomia  Bar-Sala E Vendita
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Scienze Dei Materiali Dentali
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Economia Aziendale
Lombardia,Cremona,Crema,Professionale,Arti Ausiliarie Delle Professioni Sanitarie: Odontotecnico,Scienza E Cultura Dell'Alimentazione
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Religione Cattolica/Attivita' Alternativa
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Matematica
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Scienze Umane
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Storia Dell'Arte
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Fisica
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua E Cultura Straniera (Tedesco)
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Storia
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Pedagogia
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua Inglese
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua Latina
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Psicologia Generale Ed Applicata
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua E Letteratura Italiana
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Scienze Umane E Sociali
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Diritto Ed Economia
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Filosofia
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua E Cultura Straniera (Francese)
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Chimica
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Monza E Della Brianza,Seregno,Liceo,Linguistico,Storia E Geografia
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Religione Cattolica/Attivita' Alternativa
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Diritto
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Matematica
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Scienze Integrate (Scienze Della Terra E Biologia)
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Economia Politica
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Fisica
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Lingua E Cultura Straniera (Tedesco)
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Storia
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Scienze Motorie E Sportive
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Geografia
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Lingua Inglese
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Relazioni Internazionali
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Informatica
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Lingua E Letteratura Italiana
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Diritto Ed Economia
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Chimica
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Tecnologie Informatiche
Lombardia,Varese,Gazzada Schianno,Tecnico,Sistemi Informativi Aziendali,Economia Aziendale
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Scienze E Tecnologie Applicate
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Meccanica E Macchine
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Tecnologie E Progettazione Di Sistemi Informatici E Di Telecomunicazioni
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Chimica
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,"Gestione Progetto, Organizzazione D'Impresa"
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Sistemi E Automazione
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Matematica
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Lingua Inglese
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Sistemi E Reti
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Telecomunicazioni
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Informatica
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Storia
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Lingua E Letteratura Italiana
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Diritto Ed Economia
Lombardia,Lodi,Lodi,Tecnico,Meccanica E Meccatronica,Tecnologie E Tecniche Di Rappresentazione Grafica
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Progettazione, Costruzioni E Impianti"
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Matematica
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Topografia
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Estimo
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Economia Politica
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Fisica
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Ecologia E Pedologia
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Storia
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Scienze E Tecnologie Applicate
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Geografia
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua Inglese
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Letteratura Italiana
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Cultura Straniera (Francese)
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto Ed Economia
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Chimica
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Economia Aziendale
Lombardia,Pavia,Pavia,Tecnico,Costruzioni Ambiente E Territorio - Triennio,Tecnologie E Tecniche Di Rappresentazione Grafica
Lombardia,Milano,Milano,Liceo,Scientifico,Scienze Umane
Lombardia,Milano,Milano,Liceo,Scientifico,Pedagogia
Lombardia,Milano,Milano,Liceo,Scientifico,Disegno
Lombardia,Milano,Milano,Liceo,Scientifico,Psicologia Generale Ed Applicata
Lombardia,Milano,Milano,Liceo,Scientifico,Scienze Umane E Sociali
Lombardia,Milano,Milano,Liceo,Scientifico,Diritto Ed Economia
Lombardia,Milano,Milano,Liceo,Scientifico,Antropologia Scienze Umane
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Religione Cattolica/Attivita' Alternativa
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Chimica
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Diritto
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Tecnologie Informatiche
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Fisica
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Matematica
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Lingua Inglese
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Informatica
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Storia Dell'Arte
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Storia E Geografia
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Storia
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Scienze Motorie E Sportive
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Lingua E Letteratura Italiana
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Lingua Latina
Lombardia,Bergamo,Lovere,Liceo,Scientifico - Sezione Ad Indirizzo Sportivo,Filosofia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Religione Cattolica/Attivita' Alternativa
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Progettazione, Costruzioni E Impianti"
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Matematica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Topografia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Estimo
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Gestione Del Cantiere E Sicurezza Dell'Ambiente Di Lavoro
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Storia Dell'Arte
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Economia Politica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Fisica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Ecologia E Pedologia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Cultura Straniera (Tedesco)
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Storia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Scienze Motorie E Sportive
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Geografia Turistica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Scienze E Tecnologie Applicate
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Geografia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua Inglese
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Anatomia Fisiologia Igiene
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Relazioni Internazionali
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Discipline Turistiche E Aziendali
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Informatica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Letteratura Italiana
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto Ed Economia
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,"Biologia, Microbiologia E Tecnologie Di Controllo Sanitario"
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Chimica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Diritto E Legislazione Turistica
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Tecnologie Informatiche
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Economia Aziendale
Lombardia,Brescia,Salo',Tecnico,Costruzioni Ambiente E Territorio - Triennio,Tecnologie E Tecniche Di Rappresentazione Grafica
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Tecnologie E Progettazione Di Sistemi Informatici E Di Telecomunicazioni
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Religione Cattolica/Attivita' Alternativa
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Diritto
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Matematica
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Storia Dell'Arte
Lombardia,Lodi,Sant'Angelo Lodigiano,Tecnico,Infor. Telecom. - Biennio Comune,Economia Politica
