AnnoA;AnnoNascita;SESSO;Imm
2013/2014;1995 e successivi;M;5389
2012/2013;1952 e precedenti;F;41
2012/2013;1952 e precedenti;M;96
2012/2013;1953;F;9
2012/2013;1953;M;18
2012/2013;1954;F;10
2012/2013;1954;M;21
2012/2013;1955;F;30
2012/2013;1955;M;24
2012/2013;1956;F;29
2012/2013;1956;M;26
2012/2013;1957;F;24
2012/2013;1957;M;39
2012/2013;1958;F;51
2012/2013;1958;M;41
2012/2013;1959;F;49
2012/2013;1959;M;40
2012/2013;1960;F;55
2012/2013;1960;M;48
2012/2013;1961;F;81
2012/2013;1961;M;56
2012/2013;1962;F;102
2012/2013;1962;M;70
2012/2013;1963;F;89
2012/2013;1963;M;58
2012/2013;1964;F;138
2012/2013;1964;M;90
2012/2013;1965;F;152
2012/2013;1965;M;102
2012/2013;1966;F;131
2012/2013;1966;M;106
2012/2013;1967;F;180
2012/2013;1967;M;115
2012/2013;1968;F;159
2012/2013;1968;M;121
2012/2013;1969;F;169
2012/2013;1969;M;142
2012/2013;1970;F;169
2012/2013;1970;M;166
2012/2013;1971;F;172
2012/2013;1971;M;149
2012/2013;1972;F;173
2012/2013;1972;M;160
2012/2013;1973;F;202
2012/2013;1973;M;169
2012/2013;1974;F;239
2012/2013;1974;M;191
2012/2013;1975;F;225
2012/2013;1975;M;184
2012/2013;1976;F;232
2012/2013;1976;M;188
2012/2013;1977;F;220
2012/2013;1977;M;228
2012/2013;1978;F;213
2012/2013;1978;M;200
2012/2013;1979;F;230
2012/2013;1979;M;213
2012/2013;1980;F;251
2012/2013;1980;M;230
2012/2013;1981;F;231
2012/2013;1981;M;231
2012/2013;1982;F;223
2012/2013;1982;M;226
2012/2013;1983;F;194
2012/2013;1983;M;236
2012/2013;1984;F;303
2012/2013;1984;M;300
2012/2013;1985;F;328
2012/2013;1985;M;351
2012/2013;1986;F;354
2012/2013;1986;M;484
2012/2013;1987;F;517
2012/2013;1987;M;606
2012/2013;1988;F;701
2012/2013;1988;M;936
2012/2013;1989;F;1096
2012/2013;1989;M;1409
2012/2013;1990;F;1950
2012/2013;1990;M;2581
2012/2013;1991;F;5385
2012/2013;1991;M;6107
2012/2013;1992;F;20756
2012/2013;1992;M;18941
2012/2013;1993;F;106705
2012/2013;1993;M;77094
2012/2013;1994 e successivi;F;8094
2012/2013;1994 e successivi;M;5940
2011/2012;1951 e precedenti;F;49
2011/2012;1951 e precedenti;M;111
2011/2012;1952;F;12
2011/2012;1952;M;20
2011/2012;1953;F;16
2011/2012;1953;M;22
2011/2012;1954;F;18
2011/2012;1954;M;32
2011/2012;1955;F;21
2011/2012;1955;M;40
2011/2012;1956;F;44
2011/2012;1956;M;50
2011/2012;1957;F;59
2011/2012;1957;M;51
2011/2012;1958;F;56
2011/2012;1958;M;63
2011/2012;1959;F;72
2011/2012;1959;M;69
2011/2012;1960;F;100
2011/2012;1960;M;100
2011/2012;1961;F;107
2011/2012;1961;M;101
2011/2012;1962;F;143
2011/2012;1962;M;103
2011/2012;1963;F;140
2011/2012;1963;M;126
2011/2012;1964;F;165
2011/2012;1964;M;172
2011/2012;1965;F;196
2011/2012;1965;M;179
2011/2012;1966;F;204
2011/2012;1966;M;173
2011/2012;1967;F;205
2011/2012;1967;M;189
2011/2012;1968;F;227
2011/2012;1968;M;173
2011/2012;1969;F;228
2011/2012;1969;M;209
2011/2012;1970;F;206
2011/2012;1970;M;199
2011/2012;1971;F;276
2011/2012;1971;M;227
2011/2012;1972;F;263
2011/2012;1972;M;234
2011/2012;1973;F;260
2011/2012;1973;M;217
2011/2012;1974;F;250
2011/2012;1974;M;231
2011/2012;1975;F;301
2011/2012;1975;M;258
2011/2012;1976;F;283
2011/2012;1976;M;249
2011/2012;1977;F;315
2011/2012;1977;M;284
2011/2012;1978;F;306
2011/2012;1978;M;257
2011/2012;1979;F;350
2011/2012;1979;M;311
2011/2012;1980;F;312
2011/2012;1980;M;278
2011/2012;1981;F;309
2011/2012;1981;M;278
2011/2012;1982;F;339
2011/2012;1982;M;301
2011/2012;1983;F;301
2011/2012;1983;M;360
2011/2012;1984;F;355
2011/2012;1984;M;448
2011/2012;1985;F;444
2011/2012;1985;M;562
2011/2012;1986;F;524
2011/2012;1986;M;704
2011/2012;1987;F;774
2011/2012;1987;M;931
2011/2012;1988;F;1123
2011/2012;1988;M;1465
2011/2012;1989;F;1980
2011/2012;1989;M;2425
2011/2012;1990;F;5413
2011/2012;1990;M;5936
2011/2012;1991;F;19767
2011/2012;1991;M;18831
2011/2012;1992;F;111821
2011/2012;1992;M;79082
2011/2012;1993 e successivi;F;8705
2011/2012;1993 e successivi;M;6360
2010/2011;1950 e precedenti;F;65
2010/2011;1950 e precedenti;M;175
2010/2011;1951;F;14
2010/2011;1951;M;34
2010/2011;1952;F;33
2010/2011;1952;M;46
2010/2011;1953;F;34
2010/2011;1953;M;53
2010/2011;1954;F;38
2010/2011;1954;M;65
2010/2011;1955;F;54
2010/2011;1955;M;60
2010/2011;1956;F;72
2010/2011;1956;M;74
2010/2011;1957;F;92
2010/2011;1957;M;117
2010/2011;1958;F;98
2010/2011;1958;M;99
2010/2011;1959;F;139
2010/2011;1959;M;130
2010/2011;1960;F;195
2010/2011;1960;M;177
2010/2011;1961;F;192
2010/2011;1961;M;195
2010/2011;1962;F;232
2010/2011;1962;M;209
2010/2011;1963;F;266
2010/2011;1963;M;291
2010/2011;1964;F;304
2010/2011;1964;M;280
2010/2011;1965;F;323
2010/2011;1965;M;299
2010/2011;1966;F;344
2010/2011;1966;M;324
2010/2011;1967;F;345
2010/2011;1967;M;331
2010/2011;1968;F;340
2010/2011;1968;M;361
2010/2011;1969;F;346
2010/2011;1969;M;347
2010/2011;1970;F;363
2010/2011;1970;M;354
2010/2011;1971;F;357
2010/2011;1971;M;348
2010/2011;1972;F;376
2010/2011;1972;M;371
2010/2011;1973;F;368
2010/2011;1973;M;373
2010/2011;1974;F;420
2010/2011;1974;M;448
2010/2011;1975;F;410
2010/2011;1975;M;403
2010/2011;1976;F;420
2010/2011;1976;M;394
2010/2011;1977;F;393
2010/2011;1977;M;453
2010/2011;1978;F;422
2010/2011;1978;M;449
2010/2011;1979;F;454
2010/2011;1979;M;449
2010/2011;1980;F;428
2010/2011;1980;M;470
2010/2011;1981;F;411
2010/2011;1981;M;447
2010/2011;1982;F;417
2010/2011;1982;M;439
2010/2011;1983;F;445
2010/2011;1983;M;519
2010/2011;1984;F;515
2010/2011;1984;M;613
2010/2011;1985;F;680
2010/2011;1985;M;751
2010/2011;1986;F;791
2010/2011;1986;M;1086
2010/2011;1987;F;1134
2010/2011;1987;M;1409
2010/2011;1988;F;1975
2010/2011;1988;M;2416
2010/2011;1989;F;4880
2010/2011;1989;M;5870
2010/2011;1990;F;18726
2010/2011;1990;M;18198
2010/2011;1991;F;113656
2010/2011;1991;M;80057
2010/2011;1992 e successivi;F;9624
2010/2011;1992 e successivi;M;6910
2009/2010;1949 e precedenti;F;52
2009/2010;1949 e precedenti;M;179
2009/2010;1950;F;15
2009/2010;1950;M;44
2009/2010;1951;F;13
2009/2010;1951;M;43
2009/2010;1952;F;36
2009/2010;1952;M;47
2009/2010;1953;F;33
2009/2010;1953;M;46
2009/2010;1954;F;43
2009/2010;1954;M;67
2009/2010;1955;F;73
2009/2010;1955;M;74
2009/2010;1956;F;90
2009/2010;1956;M;111
2009/2010;1957;F;118
2009/2010;1957;M;112
2009/2010;1958;F;110
2009/2010;1958;M;140
2009/2010;1959;F;158
2009/2010;1959;M;140
2009/2010;1960;F;178
2009/2010;1960;M;200
2009/2010;1961;F;203
2009/2010;1961;M;210
2009/2010;1962;F;265
2009/2010;1962;M;227
2009/2010;1963;F;273
2009/2010;1963;M;281
2009/2010;1964;F;331
2009/2010;1964;M;295
2009/2010;1965;F;342
2009/2010;1965;M;301
2009/2010;1966;F;396
2009/2010;1966;M;340
2009/2010;1967;F;371
2009/2010;1967;M;330
2009/2010;1968;F;383
2009/2010;1968;M;344
2009/2010;1969;F;379
2009/2010;1969;M;398
2009/2010;1970;F;378
2009/2010;1970;M;359
2009/2010;1971;F;438
2009/2010;1971;M;401
2009/2010;1972;F;441
2009/2010;1972;M;408
2009/2010;1973;F;449
2009/2010;1973;M;413
2009/2010;1974;F;492
2009/2010;1974;M;476
2009/2010;1975;F;491
2009/2010;1975;M;447
2009/2010;1976;F;493
2009/2010;1976;M;476
2009/2010;1977;F;569
2009/2010;1977;M;496
2009/2010;1978;F;511
2009/2010;1978;M;487
2009/2010;1979;F;560
2009/2010;1979;M;555
2009/2010;1980;F;556
2009/2010;1980;M;560
2009/2010;1981;F;619
2009/2010;1981;M;614
2009/2010;1982;F;547
2009/2010;1982;M;583
2009/2010;1983;F;625
2009/2010;1983;M;669
2009/2010;1984;F;737
2009/2010;1984;M;807
2009/2010;1985;F;871
2009/2010;1985;M;1102
2009/2010;1986;F;1154
2009/2010;1986;M;1451
2009/2010;1987;F;2013
2009/2010;1987;M;2504
2009/2010;1988;F;4809
2009/2010;1988;M;5959
2009/2010;1989;F;17864
2009/2010;1989;M;17890
2009/2010;1990;F;118106
2009/2010;1990;M;82499
2009/2010;1991 e successivi;F;9311
2009/2010;1991 e successivi;M;6915
