AnnoA;AteneoNOME;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Isc
2021/2022;Ferrara;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;12
2021/2022;Enna KORE;Laurea - dm 270/04;L-P01;Professioni tecniche per l'edilizia e il territorio;M;12
2021/2022;Enna KORE;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;F;12
2021/2022;Chieti e Pescara;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;F;12
2021/2022;Chieti e Pescara;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;F;12
2021/2022;Chieti e Pescara;Laurea Magistrale - dm 270/04;LM-88;Sociologia e ricerca sociale;M;12
2021/2022;Enna KORE;Laurea - dm 270/04;L-11;Lingue e culture moderne;M;12
2021/2022;Chieti e Pescara;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;F;12
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-7;Biotecnologie agrarie;M;12
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-89;Storia dell'arte;M;12
2021/2022;Catania;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;F;12
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;12
2021/2022;Roma LUMSA;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;M;12
2021/2022;Roma LUMSA;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;M;12
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;F;12
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;12
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-79;Scienze geofisiche;M;12
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;12
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;12
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;12
2021/2022;Reggio Calabria;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;M;12
2021/2022;Reggio Calabria;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;M;12
2021/2022;Reggio Calabria;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;M;12
2021/2022;Reggio Calabria - Dante Alighieri;Laurea Magistrale - dm 270/04;LM-87;Servizio sociale e politiche sociali;M;12
2021/2022;Roma Foro Italico;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;F;12
2021/2022;Pavia;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;M;12
2021/2022;Parma;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;M;12
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;M;12
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-60;Scienze della natura;M;12
2021/2022;Perugia;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;F;12
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;M;12
2021/2022;Pisa;Laurea - dm 270/04;L-39;Servizio sociale;M;12
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM/SC-GIUR;Scienze Giuridiche;F;12
2021/2022;Perugia Stranieri;Laurea - dm 270/04;L-10;Lettere;F;12
2021/2022;Piemonte Orientale;Laurea - dm 270/04;L-39;Servizio sociale;M;12
2021/2022;Piemonte Orientale;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;12
2021/2022;Napoli Vanvitelli;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;M;12
2021/2022;Napoli Parthenope;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;F;12
2021/2022;Napoli Parthenope;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;M;12
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-82;Scienze statistiche;F;12
2021/2022;Napoli Parthenope;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;F;12
2021/2022;Molise;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;F;12
2021/2022;Molise;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;F;12
2021/2022;Napoli Benincasa;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;M;12
2021/2022;Napoli Federico II;Laurea - dm 270/04;L-34;Scienze geologiche;F;12
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;M;12
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-7;Biotecnologie agrarie;M;12
2021/2022;Parma;Laurea Magistrale - dm 270/04;LM/GASTR;Scienze economiche  e sociali della gastronomia;F;12
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;12
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;12
2021/2022;Palermo;Laurea - dm 270/04;L-41;Statistica;F;12
2021/2022;Palermo;Laurea - dm 270/04;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;12
2021/2022;Padova;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;12
2021/2022;Padova;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;M;12
2021/2022;Padova;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;F;11
2021/2022;Padova;Laurea Magistrale - dm 270/04;LM-79;Scienze geofisiche;F;11
2021/2022;Padova;Laurea Magistrale - dm 270/04;LM-58;Scienze dell'universo;M;11
2021/2022;Palermo;Laurea - dm 270/04;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;11
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-17;Fisica;M;11
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;F;11
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;11
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;11
2021/2022;Parma;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;F;11
2021/2022;Palermo;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;F;11
2021/2022;Parma;Laurea Magistrale - dm 270/04;LM-17;Fisica;M;11
2021/2022;Parma;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;M;11
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;11
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-60;Scienze della natura;F;11
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;11
2021/2022;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-44;Modellistica matematico-fisica per l'ingegneria;M;11
2021/2022;Napoli Federico II;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;F;11
2021/2022;Napoli Benincasa;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;11
2021/2022;Napoli Parthenope;Laurea Magistrale - dm 270/04;LM-50;Programmazione e gestione dei servizi educativi;M;11
2021/2022;Napoli Vanvitelli;Laurea - dm 270/04;L-35;Scienze matematiche;M;11
2021/2022;Napoli Vanvitelli;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;M;11
2021/2022;Perugia Stranieri;Laurea - dm 270/04;L/GASTR;Scienze, culture e politiche della gastronomia;F;11
2021/2022;Perugia Stranieri;Laurea - dm 270/04;L-15;Scienze del turismo;F;11
2021/2022;Perugia;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;M;11
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;M;11
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;M;11
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;11
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;F;11
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;11
2021/2022;Pisa;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;M;11
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM-16;Finanza;M;11
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM-17;Fisica;M;11
2021/2022;Perugia;Laurea Magistrale - dm 270/04;LM-40;Matematica;M;11
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;M;11
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;11
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-84;Scienze storiche;F;11
2021/2022;Pavia;Laurea Magistrale - dm 270/04;LM-2;Archeologia;M;11
2021/2022;Pavia;Laurea - dm 270/04;L-34;Scienze geologiche;F;11
2021/2022;Roma Biomedico;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;M;11
2021/2022;Reggio Calabria;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;F;11
2021/2022;Pisa;Laurea Magistrale - dm 270/04;LM-53;Scienza e ingegneria dei materiali;F;11
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;F;11
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-1;Antropologia culturale ed etnologia;M;11
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-11;Scienze per la conservazione dei beni culturali;M;11
2021/2022;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-80;Scienze geografiche;M;11
2021/2022;Roma LUMSA;Laurea - dm 270/04;L-39;Servizio sociale;M;11
2021/2022;Roma Marconi - telematica;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;F;11
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;11
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;F;11
2021/2022;Catania;Laurea Magistrale - dm 270/04;LM-40;Matematica;M;11
2021/2022;Camerino;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;11
2021/2022;Camerino;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;M;11
2021/2022;Casamassima – LUM G. Degennaro;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;11
2021/2022;Camerino;Laurea Magistrale - dm 270/04;LM-12;Design;F;11
2021/2022;Chieti e Pescara;Laurea - dm 270/04;L-39;Servizio sociale;M;11
2021/2022;Chieti e Pescara;Laurea Magistrale - dm 270/04;LM/SC-GIUR;Scienze Giuridiche;F;11
2021/2022;Catanzaro;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;M;11
2021/2022;Enna KORE;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;11
2021/2022;Enna KORE;Laurea - dm 270/04;L-9;Ingegneria industriale;F;11
2021/2022;Firenze;Laurea - dm 270/04;L-34;Scienze geologiche;M;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM-3;Architettura del paesaggio;F;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM-80;Scienze geografiche;F;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM-80;Scienze geografiche;M;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;F;11
2021/2022;Firenze;Laurea Magistrale - dm 270/04;LM-90;Studi europei;F;11
2021/2022;Genova;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;11
2021/2022;Genova;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;M;11
2021/2022;Genova;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;11
2021/2022;Genova;Laurea Magistrale - dm 270/04;LM-2;Archeologia;F;11
2021/2022;Genova;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;11
2021/2022;Milano;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;M;11
2021/2022;Milano;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;11
2021/2022;Milano;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;11
2021/2022;Milano;Laurea Magistrale - dm 270/04;LM/SC-GIUR;Scienze Giuridiche;M;11
2021/2022;Messina;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;M;11
2021/2022;Messina;Laurea - dm 270/04;L-1;Beni culturali;F;11
2021/2022;Messina;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;11
2021/2022;Messina;Laurea Magistrale - dm 270/04;LM-79;Scienze geofisiche;M;11
2021/2022;Messina;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;F;11
2021/2022;Messina;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;11
2021/2022;Marche;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;11
2021/2022;Marche;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;M;11
2021/2022;Marche;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;F;11
2021/2022;Marche;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;11
2021/2022;Macerata;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;M;11
2021/2022;L'Aquila;Laurea Magistrale - dm 270/04;LM-27;Ingegneria delle telecomunicazioni;M;11
2021/2022;L'Aquila;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;F;11
2021/2022;Milano Bicocca;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;F;11
2021/2022;Milano Bicocca;Laurea Magistrale - dm 270/04;LM-76;Scienze economiche per l'ambiente e la cultura;M;11
2021/2022;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;M;11
2021/2022;Milano Cattolica;Laurea - dm 270/04;L-15;Scienze del turismo;F;11
2021/2022;Milano San Raffaele;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;11
2021/2022;Milano IULM;Laurea Magistrale - dm 270/04;LM-89;Storia dell'arte;M;11
2021/2022;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-89;Storia dell'arte;M;11
2021/2022;Modena e Reggio Emilia;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;M;11
2021/2022;Modena e Reggio Emilia;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;F;11
2021/2022;Bari;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;11
2021/2022;Basilicata;Laurea Magistrale - dm 270/04;LM-84;Scienze storiche;M;11
2021/2022;Basilicata;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;11
2021/2022;Bergamo;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;F;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;F;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;M;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-5;Archivistica e biblioteconomia;M;11
2021/2022;Bolzano;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;F;11
2021/2022;Bolzano;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;M;11
2021/2022;Bolzano;Laurea Magistrale - dm 270/04;LM-87;Servizio sociale e politiche sociali;F;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;F;11
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;M;11
2021/2022;Ca' Foscari Venezia;Laurea Magistrale - dm 270/04;LM-11;Scienze per la conservazione dei beni culturali;F;11
2021/2022;Ca' Foscari Venezia;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;11
2021/2022;Ca' Foscari Venezia;Laurea Magistrale - dm 270/04;LM-53;Scienza e ingegneria dei materiali;M;11
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;M;11
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;11
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;F;11
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;11
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-81;Scienze per la cooperazione allo sviluppo;F;11
2021/2022;Cagliari;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;M;11
2021/2022;Cagliari;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;11
2021/2022;Sassari;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-42;Medicina veterinaria;M;11
2021/2022;Sassari;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;F;11
2021/2022;Sannio;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;M;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-17;Fisica;M;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-88;Sociologia e ricerca sociale;M;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-91;Tecniche e metodi per la societa dell'informazione;M;11
2021/2022;Sannio;Laurea - dm 270/04;L-9;Ingegneria industriale;F;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;F;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;M;11
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;11
2021/2022;Torino;Laurea - dm 270/04;L-34;Scienze geologiche;F;11
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-2;Archeologia;M;11
2021/2022;Siena;Laurea Magistrale - dm 270/04;LM-27;Ingegneria delle telecomunicazioni;M;11
2021/2022;Siena;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;11
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;M;11
2021/2022;Roma Tor Vergata;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;M;11
2021/2022;Roma Tre;Laurea Magistrale - dm 270/04;LM-17;Fisica;F;11
2021/2022;Roma Tre;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;11
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;11
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;M;11
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;F;11
2021/2022;Roma UNICUSANO - telematica;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;M;11
2021/2022;Roma UNICUSANO - telematica;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;F;11
2021/2022;Roma UNICUSANO - telematica;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;F;11
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-80;Scienze geografiche;F;11
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;M;11
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-82;Scienze statistiche;M;11
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-86;Scienze zootecniche e tecnologie  animali;M;11
2021/2022;Trieste;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;F;11
2021/2022;Trento;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;F;11
2021/2022;Trieste;Laurea Magistrale - dm 270/04;LM-50;Programmazione e gestione dei servizi educativi;M;11
2021/2022;Trieste;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;11
2021/2022;Trieste;Laurea - dm 270/04;L-5;Filosofia;F;11
2021/2022;Verona;Laurea Magistrale - dm 270/04;LM-91;Tecniche e metodi per la societa dell'informazione;F;11
2021/2022;Verona;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;11
2021/2022;Verona;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;M;11
2021/2022;Verona;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;M;11
2021/2022;Verona;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;10
2021/2022;Urbino;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;M;10
2021/2022;Urbino;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;F;10
2021/2022;Trieste;Laurea Magistrale - dm 270/04;LM-17;Fisica;F;10
2021/2022;Trieste;Laurea Magistrale - dm 270/04;LM-34;Ingegneria navale;F;10
2021/2022;Tuscia;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;10
2021/2022;Tuscia;Laurea Magistrale - dm 270/04;LM-69;Scienze e tecnologie agrarie;F;10
2021/2022;Tuscia;Laurea Magistrale - dm 270/04;LM-90;Studi europei;M;10
2021/2022;Tuscia;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;F;10
2021/2022;Tuscia;Laurea Magistrale - dm 270/04;LM-7;Biotecnologie agrarie;F;10
2021/2022;Udine;Laurea Magistrale - dm 270/04;LM-75;Scienze e tecnologie per l'ambiente e il territorio;M;10
2021/2022;Udine;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;M;10
2021/2022;Udine;Laurea - dm 270/04;L-15;Scienze del turismo;M;10
2021/2022;Trento;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;M;10
2021/2022;Trento;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;10
2021/2022;Trieste;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;M;10
2021/2022;Trento;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;F;10
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;10
2021/2022;Rozzano (MI) Humanitas University;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;F;10
2021/2022;Roma Tre;Laurea Magistrale - dm 270/04;LM-2;Archeologia;M;10
2021/2022;Roma Tre;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;10
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;10
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;10
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-18;Informatica;M;10
2021/2022;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;M;10
2021/2022;Siena;Laurea - dm 270/04;L-39;Servizio sociale;M;10
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;10
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-5;Archivistica e biblioteconomia;M;10
2021/2022;Torino;Laurea Magistrale - dm 270/04;LM-39;Linguistica;M;10
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;10
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-69;Scienze e tecnologie agrarie;M;10
2021/2022;Salerno;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;F;10
2021/2022;Sannio;Laurea Magistrale - dm 270/04;LM-83;Scienze statistiche attuariali e finanziarie;F;10
2021/2022;Sassari;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;F;10
2021/2022;Sassari;Laurea - dm 270/04;L-15;Scienze del turismo;M;10
2021/2022;Sassari;Laurea Magistrale - dm 270/04;LM-48;Pianificazione territoriale urbanistica e ambientale;M;10
2021/2022;Sassari;Laurea Magistrale - dm 270/04;LM-84;Scienze storiche;M;10
2021/2022;Sassari;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;10
2021/2022;Cagliari;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;F;10
2021/2022;Cagliari;Laurea Magistrale - dm 270/04;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;10
2021/2022;Cagliari;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;10
2021/2022;Cagliari;Laurea - dm 270/04;L-35;Scienze matematiche;M;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-60;Scienze della natura;F;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;F;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-22;Ingegneria chimica;M;10
2021/2022;Calabria;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;10
2021/2022;Calabria;Laurea - dm 270/04;L-41;Statistica;F;10
2021/2022;Calabria;Laurea - dm 270/04;L-34;Scienze geologiche;F;10
2021/2022;Ca' Foscari Venezia;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;M;10
2021/2022;Ca' Foscari Venezia;Laurea - dm 270/04;L-15;Scienze del turismo;M;10
2021/2022;Ca' Foscari Venezia;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;F;10
2021/2022;Bolzano;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;F;10
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;10
2021/2022;Bologna;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;F;10
2021/2022;Bergamo;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;10
