AnnoA;Area_Disc;GruppoCOD;Nome Gruppo Disciplinare;SESSO;Imm
2017/2018;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;24406
2017/2018;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6716
2017/2018;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7811
2017/2018;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4636
2017/2018;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3852
2017/2018;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2379
2017/2018;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;871
2017/2018;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9817
2017/2018;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3166
2017/2018;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20803
2017/2018;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5860
2017/2018;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5861
2017/2018;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12877
2017/2018;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13982
2017/2018;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;8243
2017/2018;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;20009
2017/2018;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;7370
2017/2018;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4626
2017/2018;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;17445
2017/2018;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1864
2017/2018;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;29424
2017/2018;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;14365
2017/2018;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8271
2017/2018;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4603
2017/2018;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;12747
2017/2018;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6162
2017/2018;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3969
2017/2018;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;20458
2017/2018;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;990
2016/2017;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4862
2016/2017;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2280
2016/2017;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4882
2016/2017;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;28707
2016/2017;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3077
2016/2017;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3876
2016/2017;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9808
2016/2017;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12200
2016/2017;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6433
2016/2017;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21492
2016/2017;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6626
2016/2017;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;14058
2016/2017;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23441
2016/2017;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5666
2016/2017;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;17510
2016/2017;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;13107
2016/2017;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4700
2016/2017;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;6987
2016/2017;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8201
2016/2017;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13731
2016/2017;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1868
2016/2017;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;971
2016/2017;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;19253
2016/2017;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9024
2016/2017;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;8097
2016/2017;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5800
2016/2017;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;19169
2016/2017;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4229
2016/2017;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;980
2016/2017;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7500
2015/2016;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12975
2015/2016;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7144
2015/2016;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;22028
2015/2016;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3879
2015/2016;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6108
2015/2016;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9209
2015/2016;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;2778
2015/2016;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5149
2015/2016;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;27310
2015/2016;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8989
2015/2016;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1828
2015/2016;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11158
2015/2016;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12972
2015/2016;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4418
2015/2016;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5274
2015/2016;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;7900
2015/2016;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;18466
2015/2016;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;5033
2015/2016;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;17317
2015/2016;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;17590
2015/2016;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;805
2015/2016;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21330
2015/2016;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;5957
2015/2016;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;870
2015/2016;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7723
2015/2016;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4544
2015/2016;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1760
2015/2016;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;12778
2015/2016;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4318
2015/2016;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6737
2014/2015;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6746
2014/2015;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1609
2014/2015;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1679
2014/2015;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12528
2014/2015;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;25304
2014/2015;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5903
2014/2015;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;14952
2014/2015;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4251
2014/2015;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;18073
2014/2015;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4281
2014/2015;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;854
2014/2015;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4834
2014/2015;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;11338
2014/2015;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;5890
2014/2015;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;8377
2014/2015;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;23160
2014/2015;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;21130
2014/2015;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;759
2014/2015;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7426
2014/2015;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;16998
2014/2015;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4149
2014/2015;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8500
2014/2015;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11168
2014/2015;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;5775
2014/2015;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4744
2014/2015;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3947
2014/2015;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11368
2014/2015;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;13548
2014/2015;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7177
2014/2015;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;2595
2013/2014;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;5696
2013/2014;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;3991
2013/2014;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;16221
2013/2014;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8189
2013/2014;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5797
2013/2014;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;24319
2013/2014;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4972
2013/2014;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4475
2013/2014;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;18423
2013/2014;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20767
2013/2014;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4217
2013/2014;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;9647
2013/2014;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6705
2013/2014;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1000
2013/2014;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12275
2013/2014;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;743
2013/2014;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11482
2013/2014;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;8188
2013/2014;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3977
2013/2014;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1776
2013/2014;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9639
2013/2014;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;15226
2013/2014;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1870
2013/2014;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;2393
2013/2014;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6704
2013/2014;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;20870
2013/2014;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4757
2013/2014;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;11736
2013/2014;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6290
2013/2014;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;16317
2012/2013;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23849
2012/2013;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11703
2012/2013;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6219
2012/2013;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4575
