AnnoA;AteneoNOME;AteneoCOD;Diploma_Paese;Continente;Imm_D
2021/2022;Brescia;1701;Libano;Asia;6
2021/2022;Ca' Foscari Venezia;2701;Libano;Asia;1
2021/2022;Cagliari;9201;Libano;Asia;3
2021/2022;Camerino;4302;Libano;Asia;1
2021/2022;Catanzaro;7901;Libano;Asia;5
2021/2022;Chieti e Pescara;6901;Libano;Asia;5
2021/2022;Ferrara;3801;Libano;Asia;3
2021/2022;Firenze;4801;Libano;Asia;1
2021/2022;Genova;1001;Libano;Asia;26
2021/2022;Insubria;1202;Libano;Asia;4
2021/2022;L'Aquila;6601;Libano;Asia;1
2021/2022;Marche;4201;Libano;Asia;4
2021/2022;Messina;8301;Libano;Asia;1
2021/2022;Milano;1501;Libano;Asia;2
2021/2022;Milano Bicocca;1509;Libano;Asia;1
2021/2022;Milano Bocconi;1503;Libano;Asia;7
2021/2022;Milano Politecnico;1502;Libano;Asia;1
2021/2022;Modena e Reggio Emilia;3601;Libano;Asia;1
2021/2022;Padova;2801;Libano;Asia;10
2021/2022;Parma;3401;Libano;Asia;4
2021/2022;Pavia;1801;Libano;Asia;8
2021/2022;Perugia;5401;Libano;Asia;5
2021/2022;Piemonte Orientale;201;Libano;Asia;1
2021/2022;Pisa;5001;Libano;Asia;2
2021/2022;Roma La Sapienza;5801;Libano;Asia;3
2021/2022;Roma Tor Vergata;5802;Libano;Asia;2
2021/2022;Rozzano (MI) Humanitas University;1510;Libano;Asia;2
2021/2022;Salento;7501;Libano;Asia;1
2021/2022;Torino;101;Libano;Asia;20
2021/2022;Torino Politecnico;102;Libano;Asia;94
2021/2022;Trieste;3201;Libano;Asia;11
2021/2022;Tuscia;5601;Libano;Asia;1
2021/2022;Udine;3001;Libano;Asia;1
2021/2022;Venezia Iuav;2702;Libano;Asia;1
2021/2022;Verona;2301;Libano;Asia;1
2021/2022;Bologna;3701;Malaysia;Asia;1
2021/2022;Milano Bocconi;1503;Malaysia;Asia;2
2021/2022;Bologna;3701;Mongolia;Asia;5
2021/2022;Ca' Foscari Venezia;2701;Mongolia;Asia;5
2021/2022;Cassino;6001;Mongolia;Asia;2
2021/2022;Firenze;4801;Mongolia;Asia;9
2021/2022;Messina;8301;Mongolia;Asia;2
2021/2022;Milano;1501;Mongolia;Asia;1
2021/2022;Milano Bocconi;1503;Mongolia;Asia;1
2021/2022;Napoli Vanvitelli;6306;Mongolia;Asia;1
2021/2022;Padova;2801;Mongolia;Asia;1
2021/2022;Perugia Stranieri;5403;Mongolia;Asia;1
2021/2022;Torino;101;Mongolia;Asia;5
2021/2022;Torino Politecnico;102;Mongolia;Asia;8
2021/2022;Ca' Foscari Venezia;2701;Myanmar/Birmania;Asia;1
2021/2022;Roma LUMSA;5803;Myanmar/Birmania;Asia;1
2021/2022;Siena Stranieri;5202;Myanmar/Birmania;Asia;1
2021/2022;Torino Politecnico;102;Myanmar/Birmania;Asia;1
2021/2022;Bologna;3701;Nepal;Asia;1
2021/2022;Cassino;6001;Nepal;Asia;1
2021/2022;Messina;8301;Nepal;Asia;2
2021/2022;Napoli Federico II;6301;Nepal;Asia;2
2021/2022;Napoli Vanvitelli;6306;Nepal;Asia;2
2021/2022;Padova;2801;Nepal;Asia;1
2021/2022;Roma La Sapienza;5801;Nepal;Asia;1
2021/2022;Roma Tor Vergata;5802;Nepal;Asia;2
2021/2022;Siena;5201;Nepal;Asia;1
2021/2022;Trento;2201;Nepal;Asia;1
2021/2022;Pavia;1801;Oman;Asia;1
2021/2022;Roma Luiss;5805;Oman;Asia;3
2021/2022;Bologna;3701;Pakistan;Asia;1
2021/2022;Ca' Foscari Venezia;2701;Pakistan;Asia;4
2021/2022;Calabria;7801;Pakistan;Asia;5
2021/2022;Camerino;4302;Pakistan;Asia;5
2021/2022;Cassino;6001;Pakistan;Asia;7
2021/2022;Firenze;4801;Pakistan;Asia;1
2021/2022;Genova;1001;Pakistan;Asia;1
2021/2022;Messina;8301;Pakistan;Asia;98
2021/2022;Milano;1501;Pakistan;Asia;2
2021/2022;Milano Bocconi;1503;Pakistan;Asia;2
2021/2022;Milano Cattolica;1504;Pakistan;Asia;1
2021/2022;Milano Politecnico;1502;Pakistan;Asia;1
2021/2022;Modena e Reggio Emilia;3601;Pakistan;Asia;1
2021/2022;Napoli Vanvitelli;6306;Pakistan;Asia;6
2021/2022;Padova;2801;Pakistan;Asia;8
2021/2022;Pavia;1801;Pakistan;Asia;6
2021/2022;Pisa;5001;Pakistan;Asia;2
2021/2022;Roma La Sapienza;5801;Pakistan;Asia;3
2021/2022;Roma Tor Vergata;5802;Pakistan;Asia;5
2021/2022;Siena;5201;Pakistan;Asia;9
2021/2022;Torino;101;Pakistan;Asia;27
2021/2022;Torino Politecnico;102;Pakistan;Asia;29
2021/2022;Trieste;3201;Pakistan;Asia;1
2021/2022;Bologna;3701;Palestina;Asia;1
2021/2022;Cagliari;9201;Palestina;Asia;2
2021/2022;Genova;1001;Palestina;Asia;1
2021/2022;Perugia;5401;Palestina;Asia;1
2021/2022;Pisa;5001;Palestina;Asia;1
2021/2022;Milano Bocconi;1503;Qatar;Asia;1
2021/2022;Milano Politecnico;1502;Qatar;Asia;2
2021/2022;Padova;2801;Qatar;Asia;2
2021/2022;Roma La Sapienza;5801;Qatar;Asia;3
2021/2022;Torino;101;Qatar;Asia;1
2021/2022;Torino Politecnico;102;Qatar;Asia;1
2021/2022;Bologna;3701;Singapore;Asia;1
2021/2022;Milano Bocconi;1503;Singapore;Asia;10
2021/2022;Milano IULM;1505;Singapore;Asia;1
2021/2022;Milano San Raffaele;1508;Singapore;Asia;1
2021/2022;Rozzano (MI) Humanitas University;1510;Singapore;Asia;1
2021/2022;Brescia;1701;Siria;Asia;1
2021/2022;Cagliari;9201;Siria;Asia;1
2021/2022;Calabria;7801;Siria;Asia;2
2021/2022;Ferrara;3801;Siria;Asia;1
2021/2022;Firenze;4801;Siria;Asia;1
2021/2022;L'Aquila;6601;Siria;Asia;1
2021/2022;Milano;1501;Siria;Asia;1
2021/2022;Milano Cattolica;1504;Siria;Asia;2
2021/2022;Padova;2801;Siria;Asia;2
2021/2022;Perugia;5401;Siria;Asia;1
2021/2022;Perugia Stranieri;5403;Siria;Asia;1
2021/2022;Piemonte Orientale;201;Siria;Asia;1
2021/2022;Salento;7501;Siria;Asia;1
2021/2022;Cassino;6001;Sri Lanka;Asia;1
2021/2022;Messina;8301;Sri Lanka;Asia;8
2021/2022;Milano;1501;Sri Lanka;Asia;1
2021/2022;Milano Cattolica;1504;Sri Lanka;Asia;3
2021/2022;Napoli Federico II;6301;Sri Lanka;Asia;6
2021/2022;Napoli Vanvitelli;6306;Sri Lanka;Asia;2
2021/2022;Padova;2801;Sri Lanka;Asia;1
2021/2022;Parma;3401;Sri Lanka;Asia;1
2021/2022;Pavia;1801;Sri Lanka;Asia;2
2021/2022;Pisa;5001;Sri Lanka;Asia;2
2021/2022;Reggio Calabria;8001;Sri Lanka;Asia;1
2021/2022;Roma La Sapienza;5801;Sri Lanka;Asia;1
2021/2022;Roma Luiss;5805;Sri Lanka;Asia;1
2021/2022;Roma Tor Vergata;5802;Sri Lanka;Asia;4
2021/2022;Siena;5201;Sri Lanka;Asia;1
2021/2022;Torino;101;Sri Lanka;Asia;1
2021/2022;Torino Politecnico;102;Sri Lanka;Asia;6
2021/2022;Trieste;3201;Sri Lanka;Asia;1
2021/2022;Cassino;6001;Tagikistan;Asia;4
2021/2022;Napoli Vanvitelli;6306;Tagikistan;Asia;1
2021/2022;Bologna;3701;Taiwan;Asia;1
2021/2022;Messina;8301;Taiwan;Asia;1
2021/2022;Milano;1501;Taiwan;Asia;1
2021/2022;Milano Bocconi;1503;Taiwan;Asia;1
2021/2022;Milano Cattolica;1504;Taiwan;Asia;2
2021/2022;Milano San Raffaele;1508;Taiwan;Asia;3
2021/2022;Roma UNINT;5809;Taiwan;Asia;1
2021/2022;Rozzano (MI) Humanitas University;1510;Taiwan;Asia;1
2021/2022;Catania;8701;Thailandia;Asia;1
2021/2022;Milano Bocconi;1503;Thailandia;Asia;1
2021/2022;Modena e Reggio Emilia;3601;Thailandia;Asia;1
2021/2022;Padova;2801;Thailandia;Asia;1
2021/2022;Roma La Sapienza;5801;Thailandia;Asia;1
2021/2022;Roma Tor Vergata;5802;Thailandia;Asia;1
2021/2022;Roma UNINETTUNO - telematica;5813;Thailandia;Asia;1
2021/2022;Milano Cattolica;1504;Timor Leste;Asia;1
2021/2022;Bologna;3701;Uzbekistan;Asia;2
2021/2022;Ca' Foscari Venezia;2701;Uzbekistan;Asia;1
2021/2022;Camerino;4302;Uzbekistan;Asia;2
2021/2022;Cassino;6001;Uzbekistan;Asia;8
2021/2022;Marche;4201;Uzbekistan;Asia;1
2021/2022;Messina;8301;Uzbekistan;Asia;4
2021/2022;Milano Politecnico;1502;Uzbekistan;Asia;1
2021/2022;Padova;2801;Uzbekistan;Asia;2
2021/2022;Palermo;8201;Uzbekistan;Asia;1
2021/2022;Pavia;1801;Uzbekistan;Asia;1
2021/2022;Roma La Sapienza;5801;Uzbekistan;Asia;18
2021/2022;Roma Tor Vergata;5802;Uzbekistan;Asia;1
2021/2022;Torino;101;Uzbekistan;Asia;2
2021/2022;Torino Politecnico;102;Uzbekistan;Asia;9
2021/2022;Bologna;3701;Vietnam;Asia;1
2021/2022;Ca' Foscari Venezia;2701;Vietnam;Asia;1
2021/2022;Calabria;7801;Vietnam;Asia;3
2021/2022;Cassino;6001;Vietnam;Asia;1
2021/2022;Messina;8301;Vietnam;Asia;18
2021/2022;Milano Bocconi;1503;Vietnam;Asia;2
2021/2022;Milano Cattolica;1504;Vietnam;Asia;1
2021/2022;Padova;2801;Vietnam;Asia;2
2021/2022;Palermo;8201;Vietnam;Asia;1
2021/2022;Parma;3401;Vietnam;Asia;1
2021/2022;Pisa;5001;Vietnam;Asia;1
2021/2022;Roma La Sapienza;5801;Vietnam;Asia;1
2021/2022;Roma Tor Vergata;5802;Vietnam;Asia;1
2021/2022;Rozzano (MI) Humanitas University;1510;Vietnam;Asia;1
2021/2022;Torino;101;Vietnam;Asia;1
2021/2022;Torino Politecnico;102;Vietnam;Asia;2
2021/2022;Trento;2201;Vietnam;Asia;2
2021/2022;Calabria;7801;Yemen;Asia;8
2021/2022;Padova;2801;Yemen;Asia;1
2021/2022;Bari;7201;Albania;Europa;58
2021/2022;Bari Politecnico;7202;Albania;Europa;2
2021/2022;Bergamo;1601;Albania;Europa;6
2021/2022;Bologna;3701;Albania;Europa;24
2021/2022;Brescia;1701;Albania;Europa;11
2021/2022;Ca' Foscari Venezia;2701;Albania;Europa;2
2021/2022;Calabria;7801;Albania;Europa;1
2021/2022;Camerino;4302;Albania;Europa;3
2021/2022;Chieti e Pescara;6901;Albania;Europa;6
2021/2022;Ferrara;3801;Albania;Europa;5
2021/2022;Firenze;4801;Albania;Europa;26
2021/2022;Firenze IUL - telematica;4804;Albania;Europa;1
2021/2022;Foggia;7101;Albania;Europa;1
2021/2022;Genova;1001;Albania;Europa;19
2021/2022;Insubria;1202;Albania;Europa;3
2021/2022;L'Aquila;6601;Albania;Europa;3
2021/2022;Macerata;4301;Albania;Europa;2
2021/2022;Marche;4201;Albania;Europa;1
2021/2022;Messina;8301;Albania;Europa;1
2021/2022;Milano;1501;Albania;Europa;19
2021/2022;Milano Bicocca;1509;Albania;Europa;4
2021/2022;Milano Bocconi;1503;Albania;Europa;8
2021/2022;Milano Cattolica;1504;Albania;Europa;6
2021/2022;Milano IULM;1505;Albania;Europa;1
2021/2022;Milano Politecnico;1502;Albania;Europa;6
2021/2022;Milano San Raffaele;1508;Albania;Europa;1
2021/2022;Modena e Reggio Emilia;3601;Albania;Europa;4
2021/2022;Napoli Federico II;6301;Albania;Europa;1
2021/2022;Napoli L'Orientale;6303;Albania;Europa;1
2021/2022;Napoli Pegaso - telematica;6307;Albania;Europa;4
2021/2022;Napoli Vanvitelli;6306;Albania;Europa;2
2021/2022;Novedrate e-Campus - telematica;1301;Albania;Europa;27
2021/2022;Padova;2801;Albania;Europa;20
2021/2022;Parma;3401;Albania;Europa;8
2021/2022;Pavia;1801;Albania;Europa;4
2021/2022;Perugia;5401;Albania;Europa;8
2021/2022;Perugia Stranieri;5403;Albania;Europa;1
2021/2022;Piemonte Orientale;201;Albania;Europa;10
2021/2022;Pisa;5001;Albania;Europa;13
2021/2022;Roma  Mercatorum - telematica;5814;Albania;Europa;2
2021/2022;Roma La Sapienza;5801;Albania;Europa;17
2021/2022;Roma Luiss;5805;Albania;Europa;6
2021/2022;Roma Marconi - telematica;5810;Albania;Europa;1
2021/2022;Roma San Raffaele - telematica;5816;Albania;Europa;1
2021/2022;Roma Tor Vergata;5802;Albania;Europa;6
2021/2022;Roma UNICUSANO - telematica;5815;Albania;Europa;2
2021/2022;Roma UNINETTUNO - telematica;5813;Albania;Europa;1
2021/2022;Roma UNITELMA - telematica;5811;Albania;Europa;4
2021/2022;Rozzano (MI) Humanitas University;1510;Albania;Europa;2
2021/2022;Salento;7501;Albania;Europa;3
2021/2022;Sannio;6201;Albania;Europa;1
2021/2022;Sassari;9001;Albania;Europa;1
2021/2022;Siena;5201;Albania;Europa;9
2021/2022;Siena Stranieri;5202;Albania;Europa;2
2021/2022;Torino;101;Albania;Europa;5
2021/2022;Torino Politecnico;102;Albania;Europa;29
2021/2022;Trento;2201;Albania;Europa;2
2021/2022;Trieste;3201;Albania;Europa;5
2021/2022;Tuscia;5601;Albania;Europa;1
2021/2022;Udine;3001;Albania;Europa;2
2021/2022;Urbino;4101;Albania;Europa;1
2021/2022;Venezia Iuav;2702;Albania;Europa;1
2021/2022;Verona;2301;Albania;Europa;6
2021/2022;Ferrara;3801;Andorra;Europa;1
2021/2022;Bologna;3701;Austria;Europa;1
2021/2022;Bolzano;2101;Austria;Europa;6
2021/2022;Catania;8701;Austria;Europa;1
2021/2022;Firenze;4801;Austria;Europa;1
2021/2022;Macerata;4301;Austria;Europa;1
2021/2022;Milano Bocconi;1503;Austria;Europa;8
2021/2022;Milano Cattolica;1504;Austria;Europa;2
2021/2022;Milano IULM;1505;Austria;Europa;1
2021/2022;Milano Politecnico;1502;Austria;Europa;2
2021/2022;Milano San Raffaele;1508;Austria;Europa;1
2021/2022;Roma Europea;5812;Austria;Europa;1
2021/2022;Roma Luiss;5805;Austria;Europa;1
2021/2022;Roma UNICUSANO - telematica;5815;Austria;Europa;2
2021/2022;Rozzano (MI) Humanitas University;1510;Austria;Europa;2
2021/2022;Torino;101;Austria;Europa;1
2021/2022;Trento;2201;Austria;Europa;1
2021/2022;Trieste;3201;Austria;Europa;1
2021/2022;Aosta;701;Belgio;Europa;1
2021/2022;Bergamo;1601;Belgio;Europa;1
2021/2022;Bologna;3701;Belgio;Europa;3
2021/2022;Brescia;1701;Belgio;Europa;2
2021/2022;Firenze;4801;Belgio;Europa;1
2021/2022;Genova;1001;Belgio;Europa;1
2021/2022;Macerata;4301;Belgio;Europa;1
2021/2022;Milano;1501;Belgio;Europa;3
2021/2022;Milano Bicocca;1509;Belgio;Europa;1
2021/2022;Milano Bocconi;1503;Belgio;Europa;5
2021/2022;Milano Cattolica;1504;Belgio;Europa;2
2021/2022;Milano Politecnico;1502;Belgio;Europa;1
2021/2022;Novedrate e-Campus - telematica;1301;Belgio;Europa;1
2021/2022;Padova;2801;Belgio;Europa;2
2021/2022;Parma;3401;Belgio;Europa;2
2021/2022;Perugia;5401;Belgio;Europa;2
2021/2022;Pisa;5001;Belgio;Europa;2
2021/2022;Roma  Mercatorum - telematica;5814;Belgio;Europa;2
2021/2022;Roma Europea;5812;Belgio;Europa;1
2021/2022;Roma Foro Italico;5806;Belgio;Europa;1
2021/2022;Roma La Sapienza;5801;Belgio;Europa;9
2021/2022;Roma Luiss;5805;Belgio;Europa;3
2021/2022;Roma LUMSA;5803;Belgio;Europa;1
2021/2022;Roma Marconi - telematica;5810;Belgio;Europa;1
2021/2022;Roma Tor Vergata;5802;Belgio;Europa;2
2021/2022;Rozzano (MI) Humanitas University;1510;Belgio;Europa;2
2021/2022;Siena;5201;Belgio;Europa;1
2021/2022;Torino Politecnico;102;Belgio;Europa;2
2021/2022;Udine;3001;Belgio;Europa;1
2021/2022;Venezia Iuav;2702;Belgio;Europa;2
2021/2022;Verona;2301;Belgio;Europa;1
2021/2022;Bari;7201;Bielorussia;Europa;4
2021/2022;Bologna;3701;Bielorussia;Europa;3
2021/2022;Brescia;1701;Bielorussia;Europa;1
2021/2022;Ca' Foscari Venezia;2701;Bielorussia;Europa;1
2021/2022;Cagliari;9201;Bielorussia;Europa;1
2021/2022;Catania;8701;Bielorussia;Europa;2
2021/2022;Firenze;4801;Bielorussia;Europa;7
2021/2022;Genova;1001;Bielorussia;Europa;4
2021/2022;Messina;8301;Bielorussia;Europa;2
2021/2022;Milano;1501;Bielorussia;Europa;2
2021/2022;Milano Cattolica;1504;Bielorussia;Europa;1
2021/2022;Milano IULM;1505;Bielorussia;Europa;1
2021/2022;Milano Politecnico;1502;Bielorussia;Europa;1
2021/2022;Novedrate e-Campus - telematica;1301;Bielorussia;Europa;3
2021/2022;Padova;2801;Bielorussia;Europa;5
2021/2022;Parma;3401;Bielorussia;Europa;2
2021/2022;Pavia;1801;Bielorussia;Europa;1
2021/2022;Perugia;5401;Bielorussia;Europa;1
2021/2022;Perugia Stranieri;5403;Bielorussia;Europa;1
2021/2022;Piemonte Orientale;201;Bielorussia;Europa;2
2021/2022;Pisa;5001;Bielorussia;Europa;2
2021/2022;Roma La Sapienza;5801;Bielorussia;Europa;3
2021/2022;Roma Tor Vergata;5802;Bielorussia;Europa;3
2021/2022;Siena Stranieri;5202;Bielorussia;Europa;1
2021/2022;Torino;101;Bielorussia;Europa;2
2021/2022;Trieste;3201;Bielorussia;Europa;2
2021/2022;Bergamo;1601;Bosnia-Erzegovina;Europa;1
2021/2022;Bologna;3701;Bosnia-Erzegovina;Europa;1
2021/2022;Ca' Foscari Venezia;2701;Bosnia-Erzegovina;Europa;3
2021/2022;Camerino;4302;Bosnia-Erzegovina;Europa;1
2021/2022;Milano;1501;Bosnia-Erzegovina;Europa;1
2021/2022;Milano Bocconi;1503;Bosnia-Erzegovina;Europa;2
2021/2022;Modena e Reggio Emilia;3601;Bosnia-Erzegovina;Europa;1
2021/2022;Napoli Pegaso - telematica;6307;Bosnia-Erzegovina;Europa;2
2021/2022;Novedrate e-Campus - telematica;1301;Bosnia-Erzegovina;Europa;1
2021/2022;Padova;2801;Bosnia-Erzegovina;Europa;1
2021/2022;Pavia;1801;Bosnia-Erzegovina;Europa;1
2021/2022;Roma  Mercatorum - telematica;5814;Bosnia-Erzegovina;Europa;1
2021/2022;Roma La Sapienza;5801;Bosnia-Erzegovina;Europa;2
2021/2022;Udine;3001;Bosnia-Erzegovina;Europa;1
2021/2022;Bari Politecnico;7202;Bulgaria;Europa;2
2021/2022;Bologna;3701;Bulgaria;Europa;4
2021/2022;Cagliari;9201;Bulgaria;Europa;1
2021/2022;Ferrara;3801;Bulgaria;Europa;1
2021/2022;Insubria;1202;Bulgaria;Europa;1
2021/2022;Milano;1501;Bulgaria;Europa;1
2021/2022;Milano Bocconi;1503;Bulgaria;Europa;24
2021/2022;Milano Cattolica;1504;Bulgaria;Europa;20
2021/2022;Milano IULM;1505;Bulgaria;Europa;6
2021/2022;Milano Politecnico;1502;Bulgaria;Europa;11
2021/2022;Padova;2801;Bulgaria;Europa;2
2021/2022;Parma;3401;Bulgaria;Europa;1
2021/2022;Pavia;1801;Bulgaria;Europa;1
2021/2022;Reggio Calabria - Dante Alighieri;8003;Bulgaria;Europa;1
2021/2022;Roma Luiss;5805;Bulgaria;Europa;1
2021/2022;Roma Tor Vergata;5802;Bulgaria;Europa;1
2021/2022;Roma Tre;5807;Bulgaria;Europa;1
2021/2022;Siena;5201;Bulgaria;Europa;2
2021/2022;Torino Politecnico;102;Bulgaria;Europa;10
2021/2022;Trieste;3201;Bulgaria;Europa;1
2021/2022;Bologna;3701;Cipro;Europa;2
2021/2022;Ca' Foscari Venezia;2701;Cipro;Europa;1
2021/2022;Camerino;4302;Cipro;Europa;1
2021/2022;Genova;1001;Cipro;Europa;1
2021/2022;Messina;8301;Cipro;Europa;2
2021/2022;Milano;1501;Cipro;Europa;2
2021/2022;Milano Bocconi;1503;Cipro;Europa;2
2021/2022;Milano Cattolica;1504;Cipro;Europa;1
2021/2022;Milano Politecnico;1502;Cipro;Europa;2
2021/2022;Napoli L'Orientale;6303;Cipro;Europa;1
2021/2022;Napoli Vanvitelli;6306;Cipro;Europa;1
2021/2022;Parma;3401;Cipro;Europa;3
2021/2022;Pavia;1801;Cipro;Europa;1
2021/2022;Pisa;5001;Cipro;Europa;1
2021/2022;Roma La Sapienza;5801;Cipro;Europa;4
2021/2022;Roma Tor Vergata;5802;Cipro;Europa;1
2021/2022;Roma UNINETTUNO - telematica;5813;Cipro;Europa;1
2021/2022;Torino;101;Cipro;Europa;2
2021/2022;Torino Politecnico;102;Cipro;Europa;3
2021/2022;Bologna;3701;Croazia;Europa;2
2021/2022;Milano Bocconi;1503;Croazia;Europa;5
2021/2022;Milano Cattolica;1504;Croazia;Europa;1
2021/2022;Milano Politecnico;1502;Croazia;Europa;1
2021/2022;Novedrate e-Campus - telematica;1301;Croazia;Europa;1
2021/2022;Padova;2801;Croazia;Europa;7
2021/2022;Pisa;5001;Croazia;Europa;1
2021/2022;Rozzano (MI) Humanitas University;1510;Croazia;Europa;2
2021/2022;Trieste;3201;Croazia;Europa;39
2021/2022;Udine;3001;Croazia;Europa;7
2021/2022;Venezia Iuav;2702;Croazia;Europa;3
2021/2022;Bologna;3701;Danimarca;Europa;3
2021/2022;Bolzano;2101;Danimarca;Europa;2
2021/2022;Milano Bocconi;1503;Danimarca;Europa;2
2021/2022;Pavia;1801;Danimarca;Europa;1
2021/2022;Piemonte Orientale;201;Danimarca;Europa;1
2021/2022;Roma Luiss;5805;Danimarca;Europa;1
2021/2022;Rozzano (MI) Humanitas University;1510;Danimarca;Europa;1
2021/2022;Cagliari;9201;Estonia;Europa;1
2021/2022;Milano Cattolica;1504;Estonia;Europa;1
2021/2022;Milano Politecnico;1502;Estonia;Europa;2
2021/2022;Novedrate e-Campus - telematica;1301;Estonia;Europa;1
2021/2022;Padova;2801;Estonia;Europa;1
2021/2022;Parma;3401;Estonia;Europa;1
2021/2022;Roma Luiss;5805;Estonia;Europa;1
2021/2022;Torino;101;Estonia;Europa;1
2021/2022;Bari;7201;Federazione russa;Europa;1
2021/2022;Bergamo;1601;Federazione russa;Europa;1
2021/2022;Bologna;3701;Federazione russa;Europa;16
2021/2022;Brescia;1701;Federazione russa;Europa;1
2021/2022;Ca' Foscari Venezia;2701;Federazione russa;Europa;10
2021/2022;Calabria;7801;Federazione russa;Europa;2
2021/2022;Cassino;6001;Federazione russa;Europa;6
2021/2022;Catania;8701;Federazione russa;Europa;4
2021/2022;Catanzaro;7901;Federazione russa;Europa;1
2021/2022;Chieti e Pescara;6901;Federazione russa;Europa;4
2021/2022;Ferrara;3801;Federazione russa;Europa;1
2021/2022;Firenze;4801;Federazione russa;Europa;11
2021/2022;Genova;1001;Federazione russa;Europa;32
2021/2022;Insubria;1202;Federazione russa;Europa;4
2021/2022;L'Aquila;6601;Federazione russa;Europa;2
2021/2022;Macerata;4301;Federazione russa;Europa;5
2021/2022;Messina;8301;Federazione russa;Europa;4
2021/2022;Milano;1501;Federazione russa;Europa;9
2021/2022;Milano Bicocca;1509;Federazione russa;Europa;1
2021/2022;Milano Bocconi;1503;Federazione russa;Europa;5
2021/2022;Milano Cattolica;1504;Federazione russa;Europa;4
2021/2022;Milano Politecnico;1502;Federazione russa;Europa;10
2021/2022;Modena e Reggio Emilia;3601;Federazione russa;Europa;2
2021/2022;Napoli L'Orientale;6303;Federazione russa;Europa;4
2021/2022;Novedrate e-Campus - telematica;1301;Federazione russa;Europa;2
2021/2022;Padova;2801;Federazione russa;Europa;15
2021/2022;Palermo;8201;Federazione russa;Europa;3
2021/2022;Parma;3401;Federazione russa;Europa;3
2021/2022;Pavia;1801;Federazione russa;Europa;2
2021/2022;Perugia;5401;Federazione russa;Europa;6
2021/2022;Perugia Stranieri;5403;Federazione russa;Europa;4
2021/2022;Piemonte Orientale;201;Federazione russa;Europa;2
2021/2022;Pisa;5001;Federazione russa;Europa;20
2021/2022;Reggio Calabria - Dante Alighieri;8003;Federazione russa;Europa;1
2021/2022;Roma Biomedico;5808;Federazione russa;Europa;1
2021/2022;Roma La Sapienza;5801;Federazione russa;Europa;21
2021/2022;Roma Luiss;5805;Federazione russa;Europa;2
2021/2022;Roma LUMSA;5803;Federazione russa;Europa;1
2021/2022;Roma Marconi - telematica;5810;Federazione russa;Europa;1
2021/2022;Roma Tor Vergata;5802;Federazione russa;Europa;17
2021/2022;Roma Tre;5807;Federazione russa;Europa;8
2021/2022;Roma UNINETTUNO - telematica;5813;Federazione russa;Europa;1
2021/2022;Salento;7501;Federazione russa;Europa;2
2021/2022;Sassari;9001;Federazione russa;Europa;2
2021/2022;Siena;5201;Federazione russa;Europa;8
2021/2022;Torino;101;Federazione russa;Europa;15
2021/2022;Torino Politecnico;102;Federazione russa;Europa;4
2021/2022;Trento;2201;Federazione russa;Europa;2
2021/2022;Trieste;3201;Federazione russa;Europa;5
2021/2022;Tuscia;5601;Federazione russa;Europa;1
2021/2022;Urbino;4101;Federazione russa;Europa;4
2021/2022;Verona;2301;Federazione russa;Europa;6
2021/2022;Bari;7201;Finlandia;Europa;1
2021/2022;Bolzano;2101;Finlandia;Europa;2
2021/2022;Messina;8301;Finlandia;Europa;2
2021/2022;Milano;1501;Finlandia;Europa;2
2021/2022;Milano Cattolica;1504;Finlandia;Europa;1
2021/2022;Napoli Federico II;6301;Finlandia;Europa;1
2021/2022;Napoli Vanvitelli;6306;Finlandia;Europa;1
2021/2022;Padova;2801;Finlandia;Europa;1
2021/2022;Pavia;1801;Finlandia;Europa;1
2021/2022;Roma La Sapienza;5801;Finlandia;Europa;3
2021/2022;Rozzano (MI) Humanitas University;1510;Finlandia;Europa;2
2021/2022;Siena;5201;Finlandia;Europa;2
2021/2022;Torino;101;Finlandia;Europa;1
2021/2022;Aosta;701;Francia;Europa;5
2021/2022;Bari;7201;Francia;Europa;3
2021/2022;Basilicata;7601;Francia;Europa;1
2021/2022;Bergamo;1601;Francia;Europa;1
2021/2022;Bologna;3701;Francia;Europa;13
2021/2022;Bra Scienze Gastronomiche;401;Francia;Europa;1
2021/2022;Brescia;1701;Francia;Europa;1
2021/2022;Cagliari;9201;Francia;Europa;2
2021/2022;Catania;8701;Francia;Europa;2
2021/2022;Chieti e Pescara;6901;Francia;Europa;1
2021/2022;Ferrara;3801;Francia;Europa;6
2021/2022;Firenze;4801;Francia;Europa;21
2021/2022;Genova;1001;Francia;Europa;12
2021/2022;Insubria;1202;Francia;Europa;6
2021/2022;Macerata;4301;Francia;Europa;1
2021/2022;Milano;1501;Francia;Europa;12
2021/2022;Milano Bicocca;1509;Francia;Europa;3
2021/2022;Milano Bocconi;1503;Francia;Europa;39
2021/2022;Milano Cattolica;1504;Francia;Europa;41
2021/2022;Milano IULM;1505;Francia;Europa;3
2021/2022;Milano Politecnico;1502;Francia;Europa;8
2021/2022;Milano San Raffaele;1508;Francia;Europa;3
2021/2022;Modena e Reggio Emilia;3601;Francia;Europa;2
2021/2022;Napoli Federico II;6301;Francia;Europa;1
2021/2022;Napoli L'Orientale;6303;Francia;Europa;1
2021/2022;Napoli Parthenope;6302;Francia;Europa;3
2021/2022;Napoli Vanvitelli;6306;Francia;Europa;3
2021/2022;Novedrate e-Campus - telematica;1301;Francia;Europa;5
2021/2022;Padova;2801;Francia;Europa;4
