ANNO_ACCADEMICO;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_ISTITUTO;NOME_ISTITUTO;TIPO_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;25;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;2;1;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900101;"Scuola Superiore per Mediatori Linguistici ''Vittoria"" di TORINO";MedLinguistici;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;1;Borse di studio - N° domande;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;2;Borse di studio - N° idonei (beneficiari e non beneficiari);1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;6;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;7;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;8;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;9;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;25;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;1;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;0;0;;
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;900401;"Scuola Superiore per Mediatori Linguistici ""Adriano Macagno"" di Cuneo e di Pinerolo";MedLinguistici;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;1;Borse di studio - N° domande;217;26;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;2;Borse di studio - N° idonei (beneficiari e non beneficiari);162;17;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);162;17;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;6;Mobilità internazionale - N° domande contributi;17;2;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;7;Mobilità internazionale - N° contributi concessi;6;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;8;Mobilità internazionale - N° complessivo di mesi in mobilità;32;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;9;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;70;19;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;56;12;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);56;12;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;26;1;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;25;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;73;3;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;33;2;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;56;12;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;00701;Università della Valle d'Aosta;Ateneo;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);16;0;0;0
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;1;Borse di studio - N° domande;19;3;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;2;Borse di studio - N° idonei (beneficiari e non beneficiari);12;2;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);12;2;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;6;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;7;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;8;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;9;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;11;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;7;2;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;5;1;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);5;1;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;2;1;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;25;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;7;1;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;0;0;;
2024-2025 ;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;007501007003;Istituto superiore di studi musicali della Valle d'Aosta;AltaFormazione;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;5;1;;
