Year,Series,Subject,Region,Local authority,Sex,Ethnicity,Ethnic group,Special educational needs (SEN) status,Disadvantaged status,Free school meal status,First language,Unit measure,Observation status,GeoCode,Value
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,60.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,White,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,41.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,63.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,78.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,55.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,67.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,Male,,,,,,,Percentage (%),Normal value,E12000007,73.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,70.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,Asian,,,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,Black,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,Mixed,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,57.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,White,,,,,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,All SEN,,,,Percentage (%),Normal value,E12000007,44.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,No SEN,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,68.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,66.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,47.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,72.0
2021 to 2022,Attainment at age 11,Reading,London,Haringey,,,,,,,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,72.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,88.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,Black,,,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,70.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,White,,,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,39.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,90.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,89.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,89.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,89.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Female,,,,,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,66.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,Black,,,,,,Percentage (%),Normal value,E12000007,68.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,78.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,White,,,,,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,44.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,63.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,Male,,,,,,,Percentage (%),Normal value,E12000007,78.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,Asian,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,Black,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,Mixed,,,,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,White,,,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,All SEN,,,,Percentage (%),Normal value,E12000007,42.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,No SEN,,,,Percentage (%),Normal value,E12000007,88.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,67.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,65.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Harrow,,,,,,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,Black,,,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,White,,,,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,37.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,20.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Female,,,,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,Black,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,67.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,56.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,White,,,,,,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,29.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,53.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,52.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,40.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,Male,,,,,,,Percentage (%),Normal value,E12000007,70.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,Asian,,,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,Black,,,,,,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,Mixed,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,58.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,White,,,,,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,All SEN,,,,Percentage (%),Normal value,E12000007,31.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,No SEN,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,60.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,27.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Havering,,,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,Black,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,White,,,,,,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,46.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,88.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,72.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,67.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Female,,,,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,78.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,Black,,,,,,Percentage (%),Normal value,E12000007,67.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,56.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,White,,,,,,Percentage (%),Normal value,E12000007,65.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,37.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,54.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,53.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,56.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,70.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,Male,,,,,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,Asian,,,,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,Black,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,Mixed,,,,,,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,69.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,White,,,,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,All SEN,,,,Percentage (%),Normal value,E12000007,40.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,No SEN,,,,Percentage (%),Normal value,E12000007,85.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,63.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,60.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Hillingdon,,,,,,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,Black,,,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,87.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,58.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,White,,,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,52.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,89.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,46.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,84.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Female,,,,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,66.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,78.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,Black,,,,,,Percentage (%),Normal value,E12000007,61.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,72.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,56.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,White,,,,,,Percentage (%),Normal value,E12000007,68.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,36.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,83.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,57.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,76.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,57.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,40.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,Male,,,,,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,74.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,Asian,,,,,,Percentage (%),Normal value,E12000007,82.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,Black,,,,,,Percentage (%),Normal value,E12000007,71.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,Mixed,,,,,,Percentage (%),Normal value,E12000007,79.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,57.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,White,,,,,,Percentage (%),Normal value,E12000007,75.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,All SEN,,,,Percentage (%),Normal value,E12000007,42.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,No SEN,,,,Percentage (%),Normal value,E12000007,86.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,Disadvantaged,,,Percentage (%),Normal value,E12000007,66.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000007,81.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,65.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,80.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,42.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,77.0
2021 to 2022,Attainment at age 11,Reading,London,Hounslow,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,77.0
