Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Campania;20,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;30,58;Non sufficienza
Piemonte;3,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;30,59;Non sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;30,62;Non sufficienza
Liguria;4,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;30,66;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;30,72;Non sufficienza
Sardegna;26,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;30,72;Non sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;30,82;Non sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;30,89;Non sufficienza
Puglia;21,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;30,92;Non sufficienza
Sicilia;25,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;30,96;Non sufficienza
Sardegna;26,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;30,96;Sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;30,98;Non sufficienza
Toscana;13,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;31,01;Non sufficienza
Sicilia;25,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;31,05;Non sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;31,08;Non sufficienza
Marche;15,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;31,12;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;31,12;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;31,13;Non sufficienza
Marche;15,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;31,15;Non sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;31,17;Non sufficienza
Campania;20,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;31,18;Non sufficienza
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;31,18;Non sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;31,21;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;31,34;Non sufficienza
Toscana;13,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;31,36;Non sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;31,39;Non sufficienza
Abruzzo;18,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;31,51;Non sufficienza
Calabria;24,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;31,51;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;31,58;Non sufficienza
Campania;20,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;31,64;Non sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;31,65;Non sufficienza
Lombardia;5,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;31,74;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;31,79;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;31,82;Non sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;31,86;Non sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;31,89;Non sufficienza
Lombardia;5,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;31,91;Non sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;31,92;Non sufficienza
Toscana;13,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;31,96;Non sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;31,99;Non sufficienza
Abruzzo;18,00;;;Not Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;31,99;Non sufficienza
Campania;20,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;32,03;Non sufficienza
Veneto;9,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;32,15;Non sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;32,17;Non sufficienza
Puglia;21,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;32,18;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;32,19;Non sufficienza
Sardegna;26,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;32,21;NON raggiungono il traguardo
Piemonte;3,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;32,22;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;32,23;Non sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;32,25;Non sufficienza
Veneto;9,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;32,30;Non sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;32,32;Non sufficienza
Valle d'Aosta;2,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;32,34;Non sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;32,35;Non sufficienza
Lombardia;5,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;32,36;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;32,41;NON raggiungono il traguardo
Toscana;13,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;32,45;Non sufficienza
Lombardia;5,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;32,50;Non sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;32,52;Non sufficienza
Calabria;24,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;32,61;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;32,62;Non sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;32,64;Non sufficienza
Veneto;9,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;32,65;Non sufficienza
Toscana;13,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;32,67;Non sufficienza
Lombardia;5,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;32,68;Non sufficienza
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;32,75;Non sufficienza
Basilicata;23,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;32,80;Non sufficienza
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;32,82;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;32,82;Non sufficienza
Campania;20,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;32,86;Non sufficienza
Lombardia;5,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;32,88;Non sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;32,92;Non sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;32,99;Non sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;33,01;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;33,04;Non sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;33,04;Non sufficienza
Valle d'Aosta;2,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;33,08;Non sufficienza
Lombardia;5,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;33,12;Non sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;33,16;Non sufficienza
Umbria;14,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;33,16;Non sufficienza
Umbria;14,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;33,21;Non sufficienza
Liguria;4,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;33,30;Non sufficienza
Sardegna;26,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;33,33;NON raggiungono il traguardo
Lazio;16,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;33,39;Non sufficienza
Lazio;16,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;33,39;Non sufficienza
Calabria;24,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;33,40;Non sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;33,59;Non sufficienza
Piemonte;3,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;33,61;Non sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;33,83;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;33,89;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;33,91;Non sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;33,93;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;33,93;Non sufficienza
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;33,95;Non sufficienza
Sicilia;25,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;33,95;Sufficienza
Calabria;24,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;33,98;Non sufficienza
Piemonte;3,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;33,99;Non sufficienza
Valle d'Aosta;2,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;34,17;Non sufficienza
Piemonte;3,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;34,20;Non sufficienza
Veneto;9,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;34,21;Non sufficienza
Umbria;14,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;34,22;Non sufficienza
Liguria;4,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;34,23;Non sufficienza
Liguria;4,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;34,32;Non sufficienza
Sardegna;26,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;34,33;Non sufficienza
Sardegna;26,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;34,33;NON raggiungono il traguardo
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;34,36;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;34,42;Non sufficienza
Liguria;4,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;34,48;Non sufficienza
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;34,49;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;34,50;Non sufficienza
Umbria;14,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;34,51;Non sufficienza
Piemonte;3,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;34,52;Non sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;34,67;Non sufficienza
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;34,74;Non sufficienza
Puglia;21,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;34,80;Non sufficienza
Sicilia;25,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;34,84;Non sufficienza
Liguria;4,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;34,85;Non sufficienza
Basilicata;23,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;34,86;Non sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;34,88;Non sufficienza
Campania;20,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;34,92;Non sufficienza
Calabria;24,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;34,96;Non sufficienza
Toscana;13,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;35,00;Non sufficienza
Piemonte;3,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;35,01;Non sufficienza
Sicilia;25,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;35,06;Non sufficienza
Campania;20,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;35,07;Non sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;35,12;Non sufficienza
Emilia-Romagna;11,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;35,12;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;35,15;Non sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;35,17;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;35,21;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;35,27;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;35,35;Non sufficienza
Puglia;21,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;35,36;Non sufficienza
Calabria;24,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;35,39;Non sufficienza
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;35,40;Non sufficienza
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;35,41;Non sufficienza
Molise;19,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;35,46;Non sufficienza
Sardegna;26,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;35,48;Non sufficienza
Calabria;24,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;35,50;Non sufficienza
Lombardia;5,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;35,59;Non sufficienza
Lombardia;5,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;35,59;Non sufficienza
Veneto;9,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;35,85;Non sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;35,92;Non sufficienza
Umbria;14,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;35,98;Non sufficienza
Valle d'Aosta;2,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;36,04;Non sufficienza
Liguria;4,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;36,20;Non sufficienza
Toscana;13,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;36,31;Non sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;36,31;Non sufficienza
Lazio;16,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;36,41;Non sufficienza
Marche;15,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;36,47;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;36,47;Non sufficienza
Calabria;24,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;36,55;Sufficienza
Veneto;9,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;36,57;Non sufficienza
Calabria;24,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;36,60;Non sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;36,60;Non sufficienza
Toscana;13,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;36,71;Non sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;36,72;Non sufficienza
Toscana;13,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;36,72;Non sufficienza
Puglia;21,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;36,73;Non sufficienza
Lazio;16,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;36,74;Non sufficienza
Calabria;24,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;36,74;Non sufficienza
Calabria;24,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;36,78;Non sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;36,80;Non sufficienza
Piemonte;3,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;36,81;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;36,85;Non sufficienza
Liguria;4,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;36,89;Non sufficienza
Abruzzo;18,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;36,90;Non sufficienza
Marche;15,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;37,01;Non sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;37,10;Non sufficienza
Molise;19,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;37,12;Non sufficienza
Abruzzo;18,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;37,14;Non sufficienza
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;37,16;Non sufficienza
Piemonte;3,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;37,21;Non sufficienza
Sicilia;25,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;37,30;Sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;37,33;Non sufficienza
Emilia-Romagna;11,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;37,39;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;37,43;Non sufficienza
Sardegna;26,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;37,46;Non sufficienza
Calabria;24,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;37,56;Sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;37,62;Non sufficienza
Campania;20,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;37,72;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;37,73;Non sufficienza
Calabria;24,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;37,74;Non sufficienza
Abruzzo;18,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;37,79;Non sufficienza
Toscana;13,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;37,80;Non sufficienza
Sicilia;25,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;37,92;Non sufficienza
Campania;20,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;37,97;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;37,98;Non sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;37,99;Non sufficienza
Marche;15,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;37,99;Non sufficienza
Marche;15,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;38,00;Non sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;38,28;Non sufficienza
Liguria;4,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;38,43;Non sufficienza
Sicilia;25,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;38,46;Sufficienza
Molise;19,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;38,48;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;38,59;Non sufficienza
Abruzzo;18,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;38,60;Non sufficienza
Liguria;4,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;38,61;Non sufficienza
Campania;20,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;38,61;Non sufficienza
Liguria;4,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;38,75;Non sufficienza
Sicilia;25,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;38,86;Non sufficienza
Sardegna;26,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;38,91;Non sufficienza
Liguria;4,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;38,92;Non sufficienza
Lazio;16,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;39,07;Non sufficienza
Campania;20,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;39,20;Non sufficienza
Campania;20,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;39,24;Sufficienza
Umbria;14,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;39,30;Non sufficienza
Sicilia;25,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;39,32;Non sufficienza
Toscana;13,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;39,37;Non sufficienza
Sardegna;26,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;39,48;Sufficienza
Calabria;24,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;39,55;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;39,56;Non sufficienza
Puglia;21,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;39,60;Non sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;39,62;Non sufficienza
Toscana;13,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;39,63;Non sufficienza
Emilia-Romagna;11,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;39,71;Non sufficienza
Toscana;13,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;39,83;Non sufficienza
Sardegna;26,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;39,83;Non sufficienza
Marche;15,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;39,85;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;39,89;Non sufficienza
Toscana;13,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;39,91;Non sufficienza
Basilicata;23,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;39,92;Non sufficienza
Marche;15,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;39,99;Non sufficienza
Campania;20,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;40,04;Sufficienza
Calabria;24,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;40,06;Sufficienza
Basilicata;23,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;40,08;Non sufficienza
Calabria;24,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;40,11;Non sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;40,14;Sufficienza
Umbria;14,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;40,44;Non sufficienza
Sicilia;25,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;40,55;Non sufficienza
Puglia;21,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;40,61;Non sufficienza
Calabria;24,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;40,72;Non sufficienza
Marche;15,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;40,72;Non sufficienza
Lazio;16,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;40,81;Non sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;40,86;Non sufficienza
Liguria;4,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;41,03;Non sufficienza
Liguria;4,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;41,08;Non sufficienza
