codice_ente,data_inizio,data_fine,codice_fiscale,denominazione,codice_regione,codice_provincia,codice_comune,sottocomparto
007553231,2024-04-05,9999-12-31,84002280547,ISTITUTO OMNICOMPRENSIVO G. PONTANO CERRETO DI SPOLETO - SELLANO,010,054,N.A.,ENTI_VOL_FIN_IS
007553280,2025-11-10,9999-12-31,84002570129,ISTITUTO COMPRENSIVO GERMIGNAGA,076,012,N.A.,ENTI_VOL_FIN_IS
007553285,2023-03-29,9999-12-31,84002610123,ISTITUTO COMPRENSIVO STATALE DOMENICO ZURETTI,102,012,N.A.,ENTI_VOL_FIN_IS
007553287,2025-11-10,9999-12-31,84002620585,ISTITUTO COMPRENSIVO LEONIDA MONTANARI,086,058,N.A.,ENTI_VOL_FIN_IS
007553304,2025-04-11,9999-12-31,84002720658,ISTITUTO OMNICOMPRENSIVO DI TORRE ORSAIA AUTONOMIA 168,149,065,N.A.,ENTI_VOL_FIN_IS
007553323,2023-10-27,9999-12-31,84002830135,ISTITUTO COMPRENSIVO DI PORLEZZA,189,013,N.A.,ENTI_VOL_FIN_IS
007553353,2023-11-10,9999-12-31,84002970139,ISTITUTO COMPRENSIVO DI BELLAGIO,250,013,N.A.,ENTI_VOL_FIN_IS
007553433,2020-05-01,9999-12-31,84003390220,"ISTITUTO COMPRENSIVO RIVA 2 """"LUIGI PIZZINI",153,022,N.A.,ENTI_VOL_FIN_IS
007553443,2020-05-01,9999-12-31,84003470220,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO """"GIACOMO FLORIANI",153,022,N.A.,ENTI_VOL_FIN_IS
007553447,2023-10-06,9999-12-31,84003490301,ISTITUTO COMPRENSIVO VAL TAGLIAMENTO - AMPEZZO,003,030,N.A.,ENTI_VOL_FIN_IS
007553469,2024-04-15,9999-12-31,84003620279,ISTITUTO COMPRENSIVO G. D'ANNUNZIO,019,027,N.A.,ENTI_VOL_FIN_IS
007553475,2024-07-24,9999-12-31,84003650151,ISTITUTO COMPRENSIVO ALESSANDRO MANZONI - LEGNANO,118,015,N.A.,ENTI_VOL_FIN_IS
007553486,2025-09-29,9999-12-31,84003710153,ISTITUTO COMPRENSIVO VIA DEI SALICI,118,015,N.A.,ENTI_VOL_FIN_IS
007553607,2025-03-24,9999-12-31,84004450833,ISTITUTO COMPRENSIVO TORRENOVA,108,083,N.A.,ENTI_VOL_FIN_IS
007553640,2024-02-23,9999-12-31,84004690131,ISTITUTO DI ISTRUZIONE SUPERIORE STATALE EZIO VANONI,145,013,N.A.,ENTI_VOL_FIN_IS
007553770,2024-11-25,9999-12-31,84006030245,ISTITUTO COMPRENSIVO CARLO GOLDONI DI VILLAVERLA,118,024,N.A.,ENTI_VOL_FIN_IS
007553796,2026-03-02,9999-12-31,84006250249,ISTITUTO COMPRENSIVO STATALE PATRIZIO RIGONI,009,024,N.A.,ENTI_VOL_FIN_IS
007553830,2024-07-05,9999-12-31,84006650240,ISTITUTO COMPRENSIVO SARCEDO T. VECELLIO,097,024,N.A.,ENTI_VOL_FIN_IS
007553863,2026-03-17,9999-12-31,84007190246,ISTITUTO COMPRENSIVO STATALE B. NODARI,053,024,N.A.,ENTI_VOL_FIN_IS
007553869,2024-04-05,9999-12-31,84007270246,ISTITUTO COMPRENSIVO MARANO VICENTINO,056,024,N.A.,ENTI_VOL_FIN_IS
007553900,2023-11-01,9999-12-31,84008000030,ISTITUTO COMPRENSIVO STATALE VALTOCE,077,103,N.A.,ENTI_VOL_FIN_IS
007553929,2025-04-04,9999-12-31,84009050042,ISTITUTO DI ISTRUZIONE SUPERIORE GIOLITTI - BELLISARIO,130,004,N.A.,ENTI_VOL_FIN_IS
007553995,2025-06-23,9999-12-31,84034030480,ISTITUTO PROFESSIONALE STATALE GUGLIELMO MARCONI,005,100,N.A.,ENTI_VOL_FIN_IS
007554096,2023-04-24,9999-12-31,84504640156,ISTITUTO COMPRENSIVO LODI V.F. CAZZULANI,031,098,N.A.,ENTI_VOL_FIN_IS
007554141,2024-03-08,9999-12-31,84509610154,ISTITUTO COMPRENSIVO EUGENIO CURIEL,169,015,N.A.,ENTI_VOL_FIN_IS
007554305,2025-04-04,9999-12-31,85000530791,ISTITUTO DI ISTRUZIONE SUPERIORE ENZO FERRARI,029,079,N.A.,ENTI_VOL_FIN_IS
007554342,2025-05-26,9999-12-31,85000810763,ISTITUTO COMPRENSIVO STATALE BERARDI - NITTI,048,076,N.A.,ENTI_VOL_FIN_IS
007554376,2024-12-12,9999-12-31,85001210245,ISTITUTO DI ISTRUZIONE SUPERIORE G. G. TRISSINO,111,024,N.A.,ENTI_VOL_FIN_IS
007554377,2024-07-20,9999-12-31,85001210765,ISTITUTO DI ISTRUZIONE SUPERIORE FEDERICO II DI SVEVIA,048,076,N.A.,ENTI_VOL_FIN_IS
007554378,2023-11-10,9999-12-31,85001240127,ISTITUTO TECNICO INDUSTRIALE STATALE GIULIO RIVA,119,012,N.A.,ENTI_VOL_FIN_IS
007554402,2024-06-16,9999-12-31,85001390179,ISTITUTO COMPRENSIVO STATALE 2 RITA LEVI MONTALCINI,113,017,N.A.,ENTI_VOL_FIN_IS
007554403,2025-02-03,9999-12-31,85001390245,ISTITUTO COMPRENSIVO 2 VALDAGNO,111,024,N.A.,ENTI_VOL_FIN_IS
007554415,2024-10-21,9999-12-31,85001450247,ISTITUTO COMPRENSIVO E. FERMI DI CASTELGOMBERTO,028,024,N.A.,ENTI_VOL_FIN_IS
007554424,2025-04-04,9999-12-31,85001490243,ISTITUTO COMPRENSIVO A. CROSARA,034,024,N.A.,ENTI_VOL_FIN_IS
007554449,2026-01-19,9999-12-31,85001640128,ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO ANTONIO PARMA,119,012,N.A.,ENTI_VOL_FIN_IS
007554458,2025-07-28,9999-12-31,85001690172,ISTITUTO DI ISTRUZIONE SUPERIORE DON MILANI,113,017,N.A.,ENTI_VOL_FIN_IS
006883152,2026-01-19,9999-12-31,00511630303,ISTITUTO STATALE DI ISTRUZIONE SUPERIORE PAOLINO D'AQUILEIA,026,030,N.A.,ENTI_VOL_FIN_IS
007554561,2023-11-01,9999-12-31,85002380120,LICEO CLASSICO S.M. LEGNANI,119,012,N.A.,ENTI_VOL_FIN_IS
007554699,2020-05-01,9999-12-31,85003750222,ISTITUTO TECNICO ECONOMICO E TECNOLOGICO FELICE E GREGORIO FONTANA,161,022,N.A.,ENTI_VOL_FIN_IS
007554709,2026-03-17,9999-12-31,85003860013,LICEO SCIENTIFICO MARIA CURIE,191,001,N.A.,ENTI_VOL_FIN_IS
007554726,2023-12-07,9999-12-31,85004070067,ISTITUTO COMPRENSIVO BASSA VALLE SCRIVIA,053,006,N.A.,ENTI_VOL_FIN_IS
007554766,2026-03-02,9999-12-31,85004550159,ISTITUTO DI ISTRUZIONE SUPERIORE G. MERONI,028,108,N.A.,ENTI_VOL_FIN_IS
007554785,2026-03-17,9999-12-31,85004780186,ISTITUTO TECNICO STATALE LUIGI CASALE,177,018,N.A.,ENTI_VOL_FIN_IS
007554791,2020-05-01,9999-12-31,85004830221,"ISTITUTO TECNICO TECNOLOGICO """"GUGLIELMO MARCONI",161,022,N.A.,ENTI_VOL_FIN_IS
007554838,2020-05-01,9999-12-31,85005390225,LICEO FABIO FILZI DI ROVERETO,161,022,N.A.,ENTI_VOL_FIN_IS
007554900,2020-05-01,9999-12-31,85006960224,ISTITUTO COMPRENSIVO ROVERETO NORD,161,022,N.A.,ENTI_VOL_FIN_IS
007554932,2024-04-05,9999-12-31,85007770150,ISTITUTO COMPRENSIVO BALILLA PAGANELLI,077,015,N.A.,ENTI_VOL_FIN_IS
007554968,2023-03-20,9999-12-31,85008930159,LICEO ARTISTICO STATALE DELLA VILLA REALE DI MONZA NANNI VALENTINI,033,108,N.A.,ENTI_VOL_FIN_IS
007554984,2022-12-14,9999-12-31,85009290157,ISTITUTO COMPRENSIVO G.RODARI - MACHERIO,029,108,N.A.,ENTI_VOL_FIN_IS
007555152,2023-07-28,9999-12-31,85017370157,ISTITUTO COMPRENSIVO S. ANDREA - BIASSONO,009,108,N.A.,ENTI_VOL_FIN_IS
007555162,2023-11-24,9999-12-31,85017890154,ISTITUTO COMPRENSIVO CLAUDIO ABBADO,242,015,N.A.,ENTI_VOL_FIN_IS
007555165,2024-01-10,9999-12-31,85018110156,ISTITUTO COMPRENSIVO STATALE GIUSEPPE ROVANI,209,015,N.A.,ENTI_VOL_FIN_IS
007555182,2025-03-03,9999-12-31,85019050153,ISTITUTO COMPRENSIVO SALVO D'ACQUISTO,033,108,N.A.,ENTI_VOL_FIN_IS
007555673,2023-12-14,9999-12-31,86001210177,ISTITUTO COMPRENSIVO DI ORZINUOVI,125,017,N.A.,ENTI_VOL_FIN_IS
007555685,2024-11-25,9999-12-31,86001330785,ISTITUTO COMPRENSIVO SAN LUCIDO,122,078,N.A.,ENTI_VOL_FIN_IS
007555729,2023-07-10,9999-12-31,86002030061,ISTITUTO DI ISTRUZIONE SUPERIORE BENVENUTO CELLINI,177,006,N.A.,ENTI_VOL_FIN_IS
007555736,2024-06-01,2024-09-30,86002130762,ISTITUTO D'ISTRUZIONE SECONDARIA SUPERIORE E. BATTAGLINI,095,076,N.A.,ENTI_VOL_FIN_IS
007555800,2026-03-17,9999-12-31,86002810587,ISTITUTO COMPRENSIVO PALOMBARA SABINA,075,058,N.A.,ENTI_VOL_FIN_IS
007555901,2020-05-01,9999-12-31,86004180229,ISTITUTO DI ISTRUZIONE LORENZO GUETTI,199,022,N.A.,ENTI_VOL_FIN_IS
007555919,2023-11-10,9999-12-31,86004550041,ISTITUTO COMPRENSIVO DI CAVALLERMAGGIORE,059,004,N.A.,ENTI_VOL_FIN_IS
007556009,2023-11-24,9999-12-31,86006630585,ISTITUTO COMPRENSIVO EDUARDO DE FILIPPO - VILLANOVA,047,058,N.A.,ENTI_VOL_FIN_IS
007556151,2026-03-17,9999-12-31,86049000010,ISTITUTO DI ISTRUZIONE SUPERIORE B. PASCAL,115,001,N.A.,ENTI_VOL_FIN_IS
007556402,2025-12-05,9999-12-31,86507520152,ISTITUTO COMPRENSIVO STATALE FUTURA,105,015,N.A.,ENTI_VOL_FIN_IS
007556487,2024-08-01,9999-12-31,87001090825,ISTITUTO COMPRENSIVO STATALE GIOVANNI XXIII,073,082,N.A.,ENTI_VOL_FIN_IS
007556540,2025-04-11,9999-12-31,87002230172,ISTITUTO TECNICO STATALE CESARE BATTISTI,170,017,N.A.,ENTI_VOL_FIN_IS
007556664,2024-01-01,9999-12-31,87007190173,ISTITUTO COMPRENSIVO DI VOBARNO,204,017,N.A.,ENTI_VOL_FIN_IS
007556679,2024-11-04,9999-12-31,87008080159,ISTITUTO COMPRENSIVO LINA MANDELLI - USMATE VELATE,044,108,N.A.,ENTI_VOL_FIN_IS
007556721,2025-03-03,9999-12-31,87030820176,ISTITUTO COMPRENSIVO DI PREVALLE,155,017,N.A.,ENTI_VOL_FIN_IS
007556768,2023-09-28,9999-12-31,88003290173,ISTITUTO COMPRENSIVO STATALE DI VEROLANUOVA,195,017,N.A.,ENTI_VOL_FIN_IS
007556773,2024-04-05,9999-12-31,88003510174,ISTITUTO COMPRENSIVO GOTTOLENGO,080,017,N.A.,ENTI_VOL_FIN_IS
007556789,2024-01-10,9999-12-31,88005130179,ISTITUTO COMPRENSIVO AGOSTI,066,017,N.A.,ENTI_VOL_FIN_IS
007556860,2026-01-19,9999-12-31,90000220831,ISTITUTO COMPRENSIVO STATALE BASTIANO GENOVESE,005,083,N.A.,ENTI_VOL_FIN_IS
007557094,2024-07-25,9999-12-31,90001120162,ISTITUTO DI ISTRUZIONE SUPERIORE ANDREA FANTONI,077,016,N.A.,ENTI_VOL_FIN_IS
007557465,2024-03-19,9999-12-31,90002500164,ISTITUTO STATALE DI ISTRUZIONE SECONDARIA SUPERIORE VALLE SERIANA,111,016,N.A.,ENTI_VOL_FIN_IS
007504350,2024-02-23,9999-12-31,80000760142,ISTITUTO TECNICO TECNOLOGICO ENEA MATTEI,061,014,N.A.,ENTI_VOL_FIN_IS
007504551,2025-06-23,9999-12-31,80001060773,LICEO STATALE TOMMASO STIGLIANI,014,077,N.A.,ENTI_VOL_FIN_IS
007504628,2025-10-17,9999-12-31,80001180530,ISTITUTO DI ISTRUZIONE SUPERIORE POLO BIANCIARDI,011,053,N.A.,ENTI_VOL_FIN_IS
007504629,2026-04-10,9999-12-31,80001180696,ISTITUTO COMPRENSIVO STATALE FRANCESCO PAOLO MICHETTI,035,069,N.A.,ENTI_VOL_FIN_IS
007504668,2025-03-03,9999-12-31,80001220708,ISTITUTO COMPRENSIVO DANTE ALIGHIERI,059,070,N.A.,ENTI_VOL_FIN_IS
007504681,2026-03-02,9999-12-31,80001240706,ISTITUTO COMPRENSIVO BARANELLO G. BARONE,002,070,N.A.,ENTI_VOL_FIN_IS
007504745,2025-10-31,9999-12-31,80001340530,ISTITUTO COMPRENSIVO GROSSETO 6,011,053,N.A.,ENTI_VOL_FIN_IS
007504781,2024-09-01,9999-12-31,80001380700,LICEO STATALE GIUSEPPE MARIA GALANTI,006,070,N.A.,ENTI_VOL_FIN_IS
007504860,2024-07-18,9999-12-31,80001480534,LICEO STATALE ANTONIO ROSMINI,011,053,N.A.,ENTI_VOL_FIN_IS
007504893,2024-11-04,9999-12-31,80001520537,ISTITUTO COMPRENSIVO GROSSETO 5,011,053,N.A.,ENTI_VOL_FIN_IS
007505122,2025-03-03,9999-12-31,80001820705,ISTITUTO COMPRENSIVO ALIGHIERI - F. JOVINE,006,070,N.A.,ENTI_VOL_FIN_IS
007505323,2024-05-30,9999-12-31,80002060707,ISTITUTO OMNICOMPRENSIVO STATALE NICOLA SCARANO,081,070,N.A.,ENTI_VOL_FIN_IS
007505401,2025-04-11,9999-12-31,80002140533,ISTITUTO COMPRENSIVO GROSSETO 2,011,053,N.A.,ENTI_VOL_FIN_IS
007505608,2024-10-01,9999-12-31,80002390690,LICEO STATALE ISABELLA GONZAGA,022,069,N.A.,ENTI_VOL_FIN_IS
007505677,2025-12-05,9999-12-31,80002480772,ISTITUTO DI ISTRUZIONE SUPERIORE G. B. PENTASUGLIA,014,077,N.A.,ENTI_VOL_FIN_IS
007506102,2024-04-15,9999-12-31,80002960112,"ISTRUZIONE SECONDARIA SUPERIORE """"G. CAPELLINI - N. SAURO",015,011,N.A.,ENTI_VOL_FIN_IS
007506143,2026-03-02,9999-12-31,80003000694,ISTITUTO COMPRENSIVO STATALE N. NICOLINI,090,069,N.A.,ENTI_VOL_FIN_IS
007506178,2026-01-19,9999-12-31,80003030949,ISTITUTO OMNICOMPRENSIVO G. N. D'AGNILLO - MOLISE ALTISSIMO,002,094,N.A.,ENTI_VOL_FIN_IS
007506339,2023-06-23,9999-12-31,80003190677,ISTITUTO COMPRENSIVO M.HACK DI CASTELLALTO - CELLINO,011,067,N.A.,ENTI_VOL_FIN_IS
007506446,2025-01-13,9999-12-31,80003290881,ISTITUTO DI ISTRUZIONE SUPERIORE GALILEO FERRARIS,009,088,N.A.,ENTI_VOL_FIN_IS
007506558,2025-11-10,9999-12-31,80003420926,LICEO CLASSICO GIOVANNI SIOTTO PINTOR,006,118,N.A.,ENTI_VOL_FIN_IS
007506572,2024-09-21,9999-12-31,80003440197,ISTITUTO DI ISTRUZIONE SUPERIORE LUIGI EINAUDI,036,019,N.A.,ENTI_VOL_FIN_IS
007506652,2024-03-04,9999-12-31,80003520097,ISTITUTO DI ISTRUZIONE SUPERIORE FEDERICO PATETTA,015,009,N.A.,ENTI_VOL_FIN_IS
007506746,2024-06-21,9999-12-31,80003620798,"IS """"FERMI"""" CATANZARO",023,079,N.A.,ENTI_VOL_FIN_IS
007506863,2026-01-19,9999-12-31,80003750892,LICEO STATALE POLIVALENTE M. F. QUINTILIANO,017,089,N.A.,ENTI_VOL_FIN_IS
007506951,2025-07-28,9999-12-31,80003850908,ISTITUTO DI ISTRUZIONE SUPERIORE M. PAGLIETTI,045,112,N.A.,ENTI_VOL_FIN_IS
007506999,2026-01-19,9999-12-31,80003900455,ISTITUTO PROFESSIONALE DI STATO PER SERVIZI PER ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA GIUSEPPE MINUTO,010,045,N.A.,ENTI_VOL_FIN_IS
007507052,2024-11-01,9999-12-31,80003960251,ISTITUTO COMPRENSIVO DI LONGARONE,071,025,N.A.,ENTI_VOL_FIN_IS
007507228,2025-12-05,9999-12-31,80004120764,LICEO SCIENTIFICO STATALE GALILEO GALILEI,063,076,N.A.,ENTI_VOL_FIN_IS
007507255,2025-05-26,9999-12-31,80004150555,ISTITUTO COMPRENSIVO BENEDETTO BRIN,032,055,N.A.,ENTI_VOL_FIN_IS
007507303,2022-12-14,9999-12-31,80004200061,ISTITUTO DI ISTRUZIONE SUPERIORE VINCI NERVI FERMI,003,006,N.A.,ENTI_VOL_FIN_IS
007507392,2024-03-19,9999-12-31,80004290559,ISTITUTO COMPRENSIVO TERNI GIOVANNI XXIII,032,055,N.A.,ENTI_VOL_FIN_IS
007507448,2025-09-29,9999-12-31,80004350411,ISTITUTO COMPRENSIVO STATALE G. LEOPARDI,044,041,N.A.,ENTI_VOL_FIN_IS
007507526,2025-04-04,9999-12-31,80004420792,ISTITUTO COMPRENSIVO G. SABATINI,011,079,N.A.,ENTI_VOL_FIN_IS
007557595,2025-04-04,9999-12-31,90003100394,ISTITUTO PROFESSIONALE ALBERGHIERO P. ARTUSI,015,039,N.A.,ENTI_VOL_FIN_IS
007557675,2023-03-29,9999-12-31,90003440246,ISTITUTO COMPRENSIVO 1 A.FRANK,061,024,N.A.,ENTI_VOL_FIN_IS
007558060,2025-03-24,9999-12-31,90006050877,ISTITUTO COMPRENSIVO SEBASTIANO SCANDURA,003,087,N.A.,ENTI_VOL_FIN_IS
007558633,2025-05-26,9999-12-31,90016920317,ISTITUTO DI ISTRUZIONE SUPERIORE SANDRO PERTINI,012,031,N.A.,ENTI_VOL_FIN_IS
007558726,2024-07-16,9999-12-31,90020780632,ISTITUTO DI ISTRUZIONE SUPERIORE DON LORENZO MILANI - GRAGNANO,035,063,N.A.,ENTI_VOL_FIN_IS
007559153,2023-12-07,9999-12-31,91000400597,ISTITUTO COMPRENSIVO DONNA LEILA CAETANI,027,059,N.A.,ENTI_VOL_FIN_IS
007559428,2026-03-17,9999-12-31,91001300754,ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE ENRICO MEDI,030,075,N.A.,ENTI_VOL_FIN_IS
007559563,2025-07-28,9999-12-31,91001750156,ISTITUTO DI ISTRUZIONE SUPERIORE LUIGI CASTIGLIONI,027,108,N.A.,ENTI_VOL_FIN_IS
007559578,2026-03-17,9999-12-31,91001810729,ISTITUTO DI ISTRUZIONE SECONDARIA SUPERIORE ROSA LUXEMBURG,001,072,N.A.,ENTI_VOL_FIN_IS
007559596,2026-03-17,9999-12-31,91001910172,ISTITUTO DI ISTRUZIONE SUPERIORE GIOVANNI FALCONE,133,017,N.A.,ENTI_VOL_FIN_IS
007559622,2025-05-05,9999-12-31,91002030442,ISTITUTO DI ISTRUZIONE SUPERIORE FAZZINI - MERCANTINI,023,044,N.A.,ENTI_VOL_FIN_IS
007559826,2024-11-04,9999-12-31,91002930799,ISTITUTO COMPRENSIVO A. F. DI BONA,012,101,N.A.,ENTI_VOL_FIN_IS
007560013,2023-10-27,9999-12-31,91003820122,ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE CARLO ALBERTO DALLA CHIESA,120,012,N.A.,ENTI_VOL_FIN_IS
007560051,2024-11-25,9999-12-31,91004000914,ISTITUTO COMPRENSIVO TERTENIA,016,116,N.A.,ENTI_VOL_FIN_IS
007560274,2024-09-30,9999-12-31,91005200414,ISTITUTO OMNICOMPRENSIVO STATALE DELLA ROVERE,066,041,N.A.,ENTI_VOL_FIN_IS
007560587,2026-04-10,9999-12-31,91007800930,LICEO ARTISTICO ENRICO GALVANI,017,093,N.A.,ENTI_VOL_FIN_IS
007560780,2025-05-26,9999-12-31,91009720417,ISTITUTO TECNICO INDUSTRIALE STATALE E. MATTEI,067,041,N.A.,ENTI_VOL_FIN_IS
007561024,2024-09-30,9999-12-31,91014010341,DIREZIONE DIDATTICA FIDENZA ILARIA ALPI,014,034,N.A.,ENTI_VOL_FIN_IS
007561669,2026-02-18,9999-12-31,91510760159,ISTITUTO COMPRENSIVO LEONARDO DA VINCI,210,015,N.A.,ENTI_VOL_FIN_IS
007561778,2026-03-02,9999-12-31,92000370426,POLO TECNICO PROFESSIONALE IIS CORINALDESI - PADOVANO,045,042,N.A.,ENTI_VOL_FIN_IS
007561811,2022-12-14,9999-12-31,92000460144,ISTITUTO DI ISTRUZIONE SUPERIORE BALILLA PINCHETTI,066,014,N.A.,ENTI_VOL_FIN_IS
007561833,2024-09-30,9999-12-31,92000510120,ISTITUTO DI ISTRUZIONE SUPERIORE E. STEIN,072,012,N.A.,ENTI_VOL_FIN_IS
007562110,2026-02-18,9999-12-31,92001450375,I. T. C. S. GAETANO SALVEMINI,011,037,N.A.,ENTI_VOL_FIN_IS
007562159,2026-04-10,9999-12-31,92001650305,ISTITUTO DI ISTRUZIONE STATALE SUPERIORE E. MATTEI,046,030,N.A.,ENTI_VOL_FIN_IS
007562386,2025-03-08,9999-12-31,92002540794,ISTITUTO COMPRENSIVO GATTI - MANZONI - AUGRUSO,160,079,N.A.,ENTI_VOL_FIN_IS
007562710,2025-05-05,9999-12-31,92003830442,ISTITUTO COMPRENSIVO STATALE FOLIGNANO - MALTIGNANO,020,044,N.A.,ENTI_VOL_FIN_IS
007562861,2023-12-04,9999-12-31,92004600372,ISTITUTO DI ISTRUZIONE SUPERIORE ENRICO MATTEI,054,037,N.A.,ENTI_VOL_FIN_IS
007563110,2020-05-01,9999-12-31,92006090226,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO """"CARLO ANTONIO PILATI",062,022,N.A.,ENTI_VOL_FIN_IS
007563337,2025-06-23,9999-12-31,92007760132,ISTITUTO DI ISTRUZIONE SUPERIORE STATALE VITTORIO BACHELET,057,097,N.A.,ENTI_VOL_FIN_IS
007563348,2023-12-07,9999-12-31,92007840371,ISTITUTO COMPRENSIVO DI CALDERARA DI RENO,009,037,N.A.,ENTI_VOL_FIN_IS
007563686,2025-06-23,9999-12-31,92011130926,ISTITUTO DI ISTRUZIONE SUPERIORE PRIMO LEVI,038,118,N.A.,ENTI_VOL_FIN_IS
007564086,2025-06-23,9999-12-31,92016560341,ISTITUTO COMPRENSIVO GIACOMO PUCCINI,027,034,N.A.,ENTI_VOL_FIN_IS
007564254,2025-04-04,9999-12-31,92020560105,ISTITUTO COMPRENSIVO SAN GIOVANNI BATTISTA,025,010,N.A.,ENTI_VOL_FIN_IS
007564343,2024-02-01,9999-12-31,92023930347,ISTITUTO SUPERIORE GALILEI - BOCCHIALINI,033,034,N.A.,ENTI_VOL_FIN_IS
007564684,2023-12-22,9999-12-31,92039600371,ISTITUTO D'ISTRUZIONE SUPERIORE ETTORE MAIORANA,054,037,N.A.,ENTI_VOL_FIN_IS
007507587,2024-06-16,9999-12-31,80004470557,ISTITUTO COMPRENSIVO TERNI G. MARCONI,032,055,N.A.,ENTI_VOL_FIN_IS
007507765,2025-05-05,9999-12-31,80004640191,ISTITUTO DI ISTRUZIONE SUPERIORE ANTONIO STRADIVARI,036,019,N.A.,ENTI_VOL_FIN_IS
007507841,2023-04-24,9999-12-31,80004700193,LICEO DELLE SCIENZE UMANE ED ECONOMICO SOCIALE S. ANGUISSOLA,036,019,N.A.,ENTI_VOL_FIN_IS
007508018,2025-12-05,9999-12-31,80004870764,LICEO STATALE W. GROPIUS,063,076,N.A.,ENTI_VOL_FIN_IS
007508223,2025-05-26,9999-12-31,80005070760,ISTITUTO COMPRENSIVO JOSEPH STELLA,053,076,N.A.,ENTI_VOL_FIN_IS
007508277,2025-03-03,9999-12-31,80005120318,ISTITUTO STATALE DI ISTRUZIONE SUPERIORE IVAN CANKAR,007,031,N.A.,ENTI_VOL_FIN_IS
007508305,2025-05-26,9999-12-31,80005140787,ISTITUTO COMPRENSIVO DIPIGNANO-CAROLEI S. VALENTINI,026,078,N.A.,ENTI_VOL_FIN_IS
007508392,2025-10-17,9999-12-31,80005230661,ISTITUTO COMPRENSIVO COMENIO,095,066,N.A.,ENTI_VOL_FIN_IS
007508560,2024-07-05,9999-12-31,80005400058,ISTITUTO SUPERIORE G.A. GIOBERT DI ASTI,005,005,N.A.,ENTI_VOL_FIN_IS
007508732,2024-01-10,9999-12-31,80005570504,ISTITUTO COMPRENSIVO STATALE L.FIBONACCI,026,050,N.A.,ENTI_VOL_FIN_IS
007508819,2025-01-30,9999-12-31,80005650926,ISTITUTO DI ISTRUZIONE SUPERIORE DOMENICO ALBERTO AZUNI,006,118,N.A.,ENTI_VOL_FIN_IS
007508843,2026-03-17,9999-12-31,80005680253,ISTITUTO COMPRENSIVO PUOS D'ALPAGO,072,025,N.A.,ENTI_VOL_FIN_IS
007508930,2026-03-17,9999-12-31,80005760188,ISTITUTO TECNICO ECONOMICO A. BORDONI,110,018,N.A.,ENTI_VOL_FIN_IS
007508956,2025-04-04,9999-12-31,80005780251,ISTITUTO COMPRENSIVO STATALE MARCO DA MELO MEL,074,025,N.A.,ENTI_VOL_FIN_IS
007508993,2024-06-16,9999-12-31,80005810686,ISTITUTO TECNICO COMMERCIALE STATALE GUGLIELMO MARCONI,027,068,N.A.,ENTI_VOL_FIN_IS
007509334,2026-04-10,9999-12-31,80006160933,ISTITUTO COMPRENSIVO RITA LEVI MONTALCINI,022,093,N.A.,ENTI_VOL_FIN_IS
007509427,2025-12-05,9999-12-31,80006270765,ISTITUTO COMPRENSIVO OPPIDO - TOLVE - PIETRAGALLA,056,076,N.A.,ENTI_VOL_FIN_IS
007509467,2025-12-05,9999-12-31,80006310769,ISTITUTO DI ISTRUZIONE SUPERIORE G. PEANO,045,076,N.A.,ENTI_VOL_FIN_IS
007509523,2024-10-01,9999-12-31,80006370862,ISTITUTO PROFESSIONALE STATALE FEDERICO II - ENNA,009,086,N.A.,ENTI_VOL_FIN_IS
007509686,2024-07-16,9999-12-31,80006560496,ISTITUTO COMPRENSIVO G. BORSI,006,049,N.A.,ENTI_VOL_FIN_IS
007509729,2026-03-17,9999-12-31,80006610416,ISTITUTO COMPRENSIVO L. PIRANDELLO,044,041,N.A.,ENTI_VOL_FIN_IS
007509777,2026-04-10,9999-12-31,80006660304,ISTITUTO COMPRENSIVO GIOVANNI XXIII,127,030,N.A.,ENTI_VOL_FIN_IS
007509978,2026-03-17,9999-12-31,80006890646,ISTITUTO COMPRENSIVO STATALE ALESSANDRO MANZONI,065,064,N.A.,ENTI_VOL_FIN_IS
007510477,2025-04-01,9999-12-31,80007470687,LICEO STATALE G. MARCONI,028,068,N.A.,ENTI_VOL_FIN_IS
007510691,2025-04-02,9999-12-31,80007710470,ISTITUTO TECNICO TECNOLOGICO STATALE SILVANO FEDI - ENRICO FERMI,014,047,N.A.,ENTI_VOL_FIN_IS
007510902,2024-05-06,9999-12-31,80007950688,"ISTITUTO COMPRENSIVO """"PAPA GIOVANI XXIII"""" - PIANELLA",030,068,N.A.,ENTI_VOL_FIN_IS
007510914,2024-07-07,9999-12-31,80007970470,ISTITUTO COMPRENSIVO STATALE FRANCESCO FERRUCCI,006,047,N.A.,ENTI_VOL_FIN_IS
007511104,2026-03-17,9999-12-31,80008170682,ISTITUTO TECNICO STATALE TITO ACERBO,028,068,N.A.,ENTI_VOL_FIN_IS
007511241,2026-03-02,9999-12-31,80008340723,LICEO SAN BENEDETTO,019,072,N.A.,ENTI_VOL_FIN_IS
